,Putamen_R,Temporal_Pole_Mid_L,ParaHippocampal_R,Precentral_L,Temporal_Inf_L,Thal_IL_L,Thal_VL_L,OFCant_R,Temporal_Mid_L,Thal_VA_R,Precuneus_R,Cingulate_Mid_R,Olfactory_L,Heschl_L,ACC_pre_R,Frontal_Mid_2_R,Cuneus_R,Olfactory_R,Cerebellum_Crus2_R,Thal_MDl_R,Temporal_Pole_Mid_R,Parietal_Sup_L,Frontal_Inf_Oper_R,OFClat_L,Thal_VL_R,Vermis_7,Raphe_D,Occipital_Inf_R,Paracentral_Lobule_L,Frontal_Inf_Tri_R,Vermis_8,Occipital_Sup_L,Vermis_10,Thal_VPL_L,Temporal_Pole_Sup_R,Frontal_Mid_2_L,ACC_sup_L,ParaHippocampal_L,Frontal_Inf_Oper_L,Cerebellum_10_R,Putamen_L,SN_pc_L,Occipital_Sup_R,Frontal_Med_Orb_R,Thal_VPL_R,Fusiform_R,Amygdala_R,OFCpost_R,Thal_MDl_L,Occipital_Inf_L,VTA_L,Thal_PuL_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Vermis_6,Cerebellum_7b_L,Thal_LGN_R,Calcarine_L,Cerebellum_3_R,Temporal_Sup_L
Frontal_Mid_2_L,0.7298485268118415,-0.07231590762500469,0.741612541775947,0.5937975641267792,0.6000500657356017,0.779862855263781,0.7086983176364134,0.11046340589760825,0.6361623400624303,0.6923751874472104,0.6860625752170968,0.5236609771720346,0.5279962373754822,-0.01630288098985295,0.4641167965887537,0.8407896020976786,0.5568062799900529,0.3182168402464235,-0.2172882479123581,0.27582233421334196,-0.1969361057673709,0.20366205152826836,0.7080073484141461,0.7331422829555837,0.7926526351064075,0.4968413003639883,0.49768789439073413,0.0647720603176856,0.43771677996625047,0.764391304381076,0.1630375385155984,0.17275078778200226,0.5401942467364711,0.537779930498296,0.1535071536738931,1.0,0.5569652801272837,0.6286731896712333,0.6870116143718883,0.45553043652739844,0.6243857066092249,0.17997750974130092,0.37777029257155254,0.05554165249270318,0.31352686461765084,0.6968449775803461,0.32148262047279275,0.3711874769320136,0.4997525366833898,0.01713154104278905,0.5476368784926743,0.3891380180661492,0.3025179918684986,0.4283422832706058,0.54822859551138,-0.1264810798385084,0.14602949216414313,0.5994917783386295,0.5773292105919412,0.7909969360208393
ACC_sup_L,0.6838371931043352,0.06654160635268133,0.4121562902290719,0.1856624686469328,0.3878696029904194,0.4469098208022573,0.8139836237747837,0.4317186373209668,0.3586760624258838,0.5426011183709948,0.2626023643603084,0.46961592949764813,0.4067582493897587,0.42421664310562546,0.6891165196460096,0.5362848176647883,0.07955086201623736,0.3819146265770142,0.19616829701421362,0.4283419137890388,0.1816955493520841,0.10575107635558595,0.5935268733931559,0.4258483663461604,0.8011936744821229,0.17415077626823744,0.6445489597195382,-0.10300705251626886,0.08432447442692315,0.6701385018746285,0.22384488496735,0.08986126891823895,0.5009294192174566,0.7501633844078212,0.37835230339943876,0.5569652801272837,1.0,0.3790638520580515,0.72098686311134,0.25103539137526987,0.6024054494167344,0.5579479414372864,0.14488878404376668,-0.005558801661755862,0.7274116653488489,0.2356657153010751,0.36512842515439053,0.28849777517961506,0.3614754468258206,-0.1281965780266651,0.5226555526717318,0.8521402312587636,0.7166811455245804,0.4646768201230041,-0.01039153114212558,0.01831869348051307,0.45315039847645167,0.09136267094834939,0.1864818488417035,0.5691349308645421
ParaHippocampal_L,0.5393565466938396,-0.26486610744718636,0.7146975859855222,0.17733285807070975,0.4216296877787488,0.5586848005482772,0.5157825058409056,0.1495721625772573,0.3306460146675675,0.6341841803578196,0.39137444339720423,0.22616389783397833,0.5094176501041303,-0.07066907382826818,0.1537829015763003,0.5265237504725125,0.3811875358344246,0.41003323254685237,-0.19513086946571406,0.37703172682686165,-0.07637817462129014,0.19437684384454149,0.5955486519145381,0.338372606106465,0.6552226092552326,0.39811543278039013,0.4407981811060059,0.10753589628192652,0.20700560314759625,0.6609333868083537,0.3433421811439289,0.02784122222997943,0.33649231218512254,0.44976018346613555,0.25988144916902994,0.6286731896712333,0.3790638520580515,1.0,0.372923412464577,0.56915792322446,0.6587063459573396,0.2395611286440534,0.3420334767586382,0.14811826642877013,0.3278251327807119,0.4378132455440186,0.5041876785274665,0.6565408744706207,0.5990010345981943,-0.16473584453219356,0.5866838032526376,0.23862931880401678,0.2573572646933226,0.43824740161203835,0.26543082598290485,-0.061847956313297675,0.26436789672697464,0.25076477426159605,0.20173873444716572,0.5610531247199957
Frontal_Inf_Oper_L,0.8045219069735863,0.0815444450983921,0.6629327212107747,0.47967727154542217,0.5994106345669505,0.7047382941830567,0.7111773139447509,0.2333059002306428,0.635886825401499,0.47927638951519386,0.5423436690433837,0.5785087659253751,0.4108183386067769,0.34875821123337963,0.5100624621268071,0.706682755475087,0.34343965773157,0.3002475898727554,-0.08257421619890482,0.3610610785553537,-0.20741134273294412,0.07251395525124818,0.7108699215279828,0.562518952535121,0.7495186787334973,0.4357034105182083,0.578640439519888,-0.008122534756148981,0.3099073177305476,0.7469243598499318,0.12842327822856275,0.24611126844356193,0.5514158819741929,0.6172375463973371,0.10989730592003744,0.6870116143718883,0.72098686311134,0.372923412464577,1.0,0.2583499230978566,0.6547837647599074,0.45103350670423986,0.22872223794262955,-0.1318761505924266,0.42895110997246905,0.5098500303009246,0.21888470837276547,0.2994853733852818,0.23376393468333626,0.08515183195651616,0.41660420181212715,0.5952023390931632,0.4012223776671646,0.6248720399854278,0.21012469620528942,-0.1800773494729839,0.18015081335894206,0.4311577583226925,0.5434699312443986,0.72485816017609
Cerebellum_10_R,0.42424280893725336,0.0314042278992432,0.5515644370713705,0.2032083964737527,0.5094951987400553,0.4859755479367031,0.4048463856231695,0.048870398789298976,0.44749074958639956,0.5175241599595082,0.38971295599762334,0.10847212155531545,0.40229384229748355,-0.0858964283901447,0.1332369134123168,0.5440559697450165,0.4345080554771642,0.45460033216675455,-0.052709389946631324,0.40113709447315543,-0.02431593969751337,0.1337009229540887,0.4661176246821144,0.07711743142693188,0.5052819024006597,0.5496997988178474,0.4138252456238177,0.28223523472751155,0.10052835247538752,0.5062854234129089,0.3370088134123409,0.07471750161843022,0.20448105891206644,0.42960487571784756,0.28633083697471323,0.45553043652739844,0.25103539137526987,0.56915792322446,0.2583499230978566,1.0,0.45273506919888495,0.3014396235340112,0.335220413264967,0.16527952191429562,0.3253921573410756,0.6506214572106945,0.5019520062599946,0.6055264313329314,0.47640804565193307,-0.10867526276189796,0.4868742695702203,0.12037813242064187,0.05527995823923989,0.3840543695190574,0.4039095835570099,-0.019971315472019226,0.39394997013026667,0.40618382790561225,0.25684536738430225,0.6226914869975068
Putamen_L,0.7777144678465663,-0.2585276248321237,0.7390779082447572,0.14768524543180037,0.4910882143609316,0.7828908086958006,0.7080671537678495,0.277831629623159,0.4414527353055472,0.6221620629522068,0.3698616939000191,0.2014128004633212,0.467502145783176,0.14778055352620817,0.3713558100645547,0.585834685849754,0.21922248144987116,0.4285219880063325,-0.006431411730450713,0.6236844788791432,0.010892671704804329,0.05703537560439683,0.601897860357837,0.45840631025278594,0.7889354840888226,0.4788717948884867,0.6567265434246843,0.07020835894922262,0.11967344937858883,0.7942850801678413,0.4568039441120057,-0.026132724601786447,0.5843401030478101,0.5393103258410494,0.4091289194405139,0.6243857066092249,0.6024054494167344,0.6587063459573396,0.6547837647599074,0.45273506919888495,1.0,0.5712002094757314,0.1884345347052911,0.08257526539337874,0.5536675382028601,0.5043858985436025,0.4358835000296396,0.49171340903840866,0.5693080747765237,-0.09929323597079251,0.6816653187349866,0.4013898823355941,0.31287487427763655,0.8578023778174025,0.033889888983830364,-0.04162783392099497,0.38241353370014625,0.18632120500551153,0.23078410118458131,0.6408148398270452
SN_pc_L,0.33037658781562623,0.08401466136297012,0.3408508407786765,-0.001651878092962649,0.39046759484569477,0.39768361537589536,0.6142789234564303,0.2654115190268409,0.3788570283268603,0.2996582336972989,0.12780354668412536,0.008244858297710609,0.10942382035024831,0.19422301408794324,0.3467160154753547,0.2816159814594719,0.16642093863750124,0.16882189357287827,0.21730342698817076,0.7852898866684376,0.24475977925299364,-0.037278279277810834,0.39126565732596774,0.14013511068752293,0.527571223743698,0.42512204357312966,0.4733993266964775,0.19026397930577874,-0.006169173108732655,0.34653638341388115,0.5112297576085875,0.0913350627098568,0.3726418064675213,0.6101702648607896,0.46586803991667564,0.17997750974130092,0.5579479414372864,0.2395611286440534,0.45103350670423986,0.3014396235340112,0.5712002094757314,1.0,0.1667738942185915,0.09165915408484128,0.6733265246690697,0.36796578087613063,0.18936187025219153,0.21627879767518748,0.41881337196665236,0.13446693874239923,0.4904490074423274,0.44206526320416445,0.3594604200684766,0.5511653907391827,-0.04435940385512201,0.01743568204900781,0.4639390368588731,0.15669625734160628,0.14027744765535158,0.3624759833231084
Occipital_Sup_R,0.10724269978729015,7.017928637400163e-05,0.3680891909057808,0.43314181432634685,0.07161331277997235,0.31076502333360856,0.27864878433385254,-0.24841828685385867,0.4495332888938932,-0.09738061726224428,0.6019580540563274,0.4690733787643684,-0.23190397664542012,0.17955090392678869,-0.21187583579770722,0.3962824231822089,0.77465120657689,-0.24423603186450446,0.009375952626724797,0.21271295632759465,-0.007889326705907251,0.771011899440154,0.4995512432746932,0.0467058087270773,0.26184338257265266,0.12897468262563305,-0.2656193212318004,0.34364043316729764,0.4677631134953111,0.2556437899850953,0.1473159260760215,0.7203117524578219,0.367126347357297,0.22468395529340718,0.2583910687821171,0.37777029257155254,0.14488878404376668,0.3420334767586382,0.22872223794262955,0.335220413264967,0.1884345347052911,0.1667738942185915,1.0,0.05160003193423529,0.042596034244498114,0.43366755836520915,-0.12796856197494696,0.20845270101983546,0.49666421399043026,0.2712096171670691,0.24720440637241645,0.2907360267613355,0.1609703228738354,0.1075495211056404,0.4414194185419848,0.4529643979441723,-0.14734004687909402,0.5032729092647634,0.4838352682871098,0.40513947484794355
Frontal_Med_Orb_R,-0.14745539950021563,-0.1778987990687227,0.01878179618794763,-0.12201081783416802,0.05610946824068591,-0.04238601912496939,0.1070092058352575,-0.312919890207385,-0.10587255102951497,0.08653546760985675,-0.1178496950038262,-0.11635451096705263,-0.06941792715476211,-0.269983733235855,-0.18073227720008667,-0.09855118680062414,0.05790305996497832,-0.19838191011085377,0.1516305089109874,0.17383178250537226,-0.0009304217725008803,-0.17604228745558628,-0.11136066349682135,0.05920657393225288,0.04301311768645682,0.1446955562999067,0.013438134505639535,0.20203759204964136,-0.15848332918966035,-0.11800418439663975,0.17024986136005613,-0.2107570650552497,-0.19399524940208654,0.15584173305732357,0.027474743219461927,0.05554165249270318,-0.005558801661755862,0.14811826642877013,-0.1318761505924266,0.16527952191429562,0.08257526539337874,0.09165915408484128,0.05160003193423529,1.0,0.04991683487979854,0.1515853729855015,-0.08184649436972034,-0.11260753922136661,0.3005034188713519,0.09884007356874346,0.10996751268143201,-0.017619391106041712,0.06215640394932046,-0.010280868227694412,0.1551422915742278,-0.11942267627151895,0.045878032955425134,0.04727623761141555,-0.042514464774833505,-0.07267817612049744
Thal_VPL_R,0.4585246651090078,-0.03130395735722066,0.21247514699266476,-0.12367485750713111,0.43054361578956063,0.4059315300496698,0.7047351672507948,0.44976574449535367,0.3408738028304242,0.4697641314966521,-0.010714908287947408,-0.01386991299035279,0.35128148035606865,0.38178521788515263,0.47840106532612725,0.3527235205677236,-0.0012446690436121058,0.4688452075457035,0.3622686339324307,0.7423159957993172,0.48800916005074146,-0.08829762199274015,0.5356807208984519,0.06686500604445507,0.6324711317785152,0.407139583157272,0.6933870780281276,0.12174708526346943,-0.23918648770856588,0.5466763009864889,0.36401439283577336,-0.08180771378227414,0.43725438717769183,0.6332837903704049,0.6976566867020942,0.31352686461765084,0.7274116653488489,0.3278251327807119,0.42895110997246905,0.3253921573410756,0.5536675382028601,0.6733265246690697,0.042596034244498114,0.04991683487979854,1.0,0.25131244165568817,0.4741010582758538,0.3635129499170647,0.38496566012455197,-0.11743591449012532,0.5721828189626464,0.6360595634983531,0.4503272997426659,0.3800276134703951,-0.04956936725573463,0.09447498255563927,0.819263411036886,0.006601346806268889,-0.14047220674521713,0.47791929888880774
Fusiform_R,0.5005015508093771,0.06958709306469445,0.6762171889699172,0.5945448591596905,0.6194455568603776,0.7526391347747098,0.5661418015673658,-0.026544061181016144,0.7224820901117529,0.49769005227034596,0.6772458427495517,0.2799203325834627,0.26050098061218563,-0.11270372185973791,0.20613879865031864,0.778904433806079,0.7616601400533535,0.1866227062176293,-0.21818893336371467,0.4880131482162329,-0.129410795250459,0.13458063931970668,0.6140906818019184,0.38975630795019767,0.5980755568886615,0.785117157621051,0.335284738347807,0.415666342933871,0.4091368274034409,0.522983704147408,0.26583605316078,0.33910358825541004,0.3612597971699877,0.46766713084732214,0.24097422041986732,0.6968449775803461,0.2356657153010751,0.4378132455440186,0.5098500303009246,0.6506214572106945,0.5043858985436025,0.36796578087613063,0.43366755836520915,0.1515853729855015,0.25131244165568817,1.0,0.23356888341591317,0.37459783450162054,0.49379036256008785,0.27435492197930944,0.4475301397969227,0.12033110988203971,-0.01260784091890559,0.4202487588841603,0.7443129130921424,-0.07932160911045891,0.1613066342893993,0.8432344756420475,0.6885696658801786,0.7112326214667041
Amygdala_R,0.45070224934413455,0.07066611046132384,0.29167466469949865,-0.18620863342219118,0.3235819981024322,0.36226104418458593,0.40124066333012237,0.4816850923285031,0.0386384576847536,0.6021913804846383,-0.04248504470690565,-0.23307197817482306,0.7506926539719357,-0.013174311589531055,0.4742664279518797,0.2879265184456501,-0.13790863410240262,0.8120413158379235,0.05583551372044847,0.2665113839544561,0.40902573449269,-0.1416196737601988,0.3318872729460359,0.16661033342384746,0.5045270242669128,0.32713337649747504,0.532501884826294,0.08703363322427791,-0.26435178548376775,0.5816292587845922,0.15520096396163247,-0.2687126993644799,0.09243480380029842,0.44974686425270316,0.49080466454186383,0.32148262047279275,0.36512842515439053,0.5041876785274665,0.21888470837276547,0.5019520062599946,0.4358835000296396,0.18936187025219153,-0.12796856197494696,-0.08184649436972034,0.4741010582758538,0.23356888341591317,1.0,0.5890952752107773,0.2572139724637822,-0.3758195406306362,0.4648151718324525,0.16640015994317506,0.18057065546709294,0.37067098828293193,-0.037974831648055166,-0.03096017460964991,0.657814095788048,-0.10007490833092147,-0.23246586128909885,0.32632761524431175
OFCpost_R,0.5644630672634945,0.05865709042684596,0.6172863690155345,0.20233098210086933,0.42700609157906855,0.4563196359083723,0.35530318181000115,0.4889221909733963,0.4811194689456934,0.5645234999883944,0.4075866599631844,0.13106243118640365,0.5815041465535512,0.1325388901941773,0.2992921948734846,0.5560840699880938,0.2953111516652797,0.7266819502709299,-0.11299769857277303,0.3173618769674281,0.06081783801594857,0.2660268126383132,0.5731707249177265,0.12280886753213982,0.47864169935154155,0.3684155474211643,0.42835666859091204,-0.009113451959853629,0.1787232751702117,0.5778256654678061,0.2433568300438185,0.172914135122152,0.3801501623808507,0.23510482610011227,0.2861629146881982,0.3711874769320136,0.28849777517961506,0.6565408744706207,0.2994853733852818,0.6055264313329314,0.49171340903840866,0.21627879767518748,0.20845270101983546,-0.11260753922136661,0.3635129499170647,0.37459783450162054,0.5890952752107773,1.0,0.20889856912613916,-0.2550184338386226,0.4901285244466822,0.1005370458622527,0.08775680338360274,0.4443824131747557,0.14740461517033898,0.10306341762801335,0.4072310718880276,0.205027855721539,0.16715031784179318,0.6071539876669788
