,Heschl_R,Vermis_9,Cerebellum_10_R,ParaHippocampal_L,ACC_pre_L,Thal_MGN_R,Cuneus_R,Thal_LP_R,Frontal_Inf_Tri_L,Thal_IL_L,Vermis_3,Cerebellum_7b_R,Vermis_10,Amygdala_R,Insula_L,Cerebellum_4_5_L,Occipital_Mid_L,Thal_PuL_R,Hippocampus_R,SN_pr_L,Fusiform_R,Cerebellum_3_R,Precentral_R,Cuneus_L,Temporal_Pole_Mid_L,Thal_LGN_L,OFCpost_L,Thal_MDm_L,Rolandic_Oper_L,Red_N_R,Lingual_L,Red_N_L,Temporal_Sup_L,Thal_MDl_L,Cingulate_Mid_L,ACC_sub_R,Thal_VA_R,Thal_LP_L,Vermis_7,Raphe_M,N_Acc_L,Rectus_R,Olfactory_L,Vermis_6,SN_pr_R,Occipital_Mid_R,Vermis_1_2,Pallidum_L,Temporal_Sup_R,Thal_AV_L,Frontal_Inf_Orb_2_R,Postcentral_L,Insula_R,OFCmed_R,Temporal_Pole_Sup_R,Parietal_Sup_R,Calcarine_L,ACC_pre_R,Temporal_Pole_Sup_L,Temporal_Mid_L
Vermis_3,0.5942904454744504,0.14791167912385755,0.3277299746559594,0.5511957195548555,0.24628119493298192,0.25637322043620697,0.4192653588540975,0.20315558783224116,0.6570317182876163,0.1948911610307334,1.0,0.38109617597653056,0.40296463116583386,-0.018661626199780606,0.6307781229362075,0.7777678380801621,0.13171498464643608,0.40486805437462337,0.5409047149886331,0.3374319795630949,0.34116835444211774,0.8187791813974007,0.6112662953675002,0.20038577953915465,0.18086708075278446,0.3066098781839664,0.4694401567360828,0.14181932448862677,0.7681645422575059,0.44993199119111366,0.7164695240666652,0.45470446540854725,0.6192907944391005,-0.06061133330331015,0.6518866174327115,0.053122196378687175,0.3534365349081691,0.15300353693750396,0.132187098695839,0.3047722661348986,0.349955708591003,0.12725809234280583,0.4631415081564755,0.5393427353858747,0.5918791325095771,0.08954200096877639,0.6550551520670033,0.21954839197190665,0.3569956037127374,0.5234447538269925,0.24788928343744127,0.4419462917206052,0.38793249296193616,-0.015636934405929812,0.07810828557854385,0.3828077537326565,0.596964584610631,0.3997448430843472,0.35001043374553675,0.2951421078989477
Cerebellum_7b_R,0.22564209362421592,0.24462411442735177,0.4104052712083031,0.2030707387359384,0.35207495380452897,0.22472151549970398,0.18182604864075563,0.36226548497872013,0.3063600453994502,-0.00803635302396354,0.38109617597653056,1.0,0.1813813245806829,0.0717887912304786,0.24187016942660539,0.2700707180079857,-0.07578492809533557,0.2061257095156367,0.26664365593278055,-0.12355684629090674,0.40342579990138977,0.3093282949697305,0.12452500759128703,-0.047069940291395565,0.5351079100344341,0.20820604931769293,0.3380048306559935,0.1647403746681787,0.3716838100128407,0.15286442990432048,0.15135071304683226,0.1907476533007567,0.16418742761012403,-0.07937508941988913,0.07066228343764376,0.17081428583016012,0.23680294836090385,0.3457139804316233,-0.04835949652767371,0.058301948305790344,0.4524928812070577,0.21421434146755933,0.43252010882212677,0.11727608925599506,0.2492925276316349,0.06853742984397719,0.17714474394948523,0.30631755446640724,0.29180428991959595,0.15453828923412477,0.31233732080869914,0.14422087676201636,0.3999281235985819,0.281707373186555,0.005469763905554812,0.06755396165652779,0.10734802367955355,0.14703610536553047,-0.03337408116045837,-0.014966363714414583
Vermis_10,0.119224979333982,0.48651039184512646,0.3880248300303823,0.7153310579239247,0.3577516865306925,-0.20949970637260215,-0.07383466860731619,-0.2626969665963389,0.38715210711855347,0.009414130154309376,0.40296463116583386,0.1813813245806829,1.0,-0.5894062576121892,0.7006206645379556,0.6070348909911459,0.2685663096177435,0.13767684399722785,-0.07759703629898063,0.5215319197286521,0.11637946960853103,0.35208817720887853,-0.06629423014160099,0.12553999170120725,0.10004590569115372,-0.31463948762217325,0.3327738919040917,0.11903538258782488,0.45536117680497284,0.3578770264482408,0.4410597519119006,0.716983988155047,0.6253717809460682,-0.43382097219691806,0.08411694942055097,-0.27767255748229247,0.17430005916837832,0.023014959645332622,0.12044277690462384,0.4306975544190094,0.09923611504097027,0.007180250429917155,0.21288458121017548,0.69431377137565,0.27855732762530666,-0.5314075941409686,0.5910771283482538,0.11577781193769388,-0.20106783438587292,0.3892375849839369,-0.32405715549507946,-0.1826119738360514,0.05981626360198357,0.14655102722518054,0.041503732706295114,-0.4336293760821393,0.5875875694390796,0.662350824673155,0.7330639640375297,0.7333968590185745
Amygdala_R,0.22232398675723222,-0.39592349364572915,-0.044211527319182424,-0.33522392186583105,-0.26724298482200687,0.20190772985910832,0.31200485863178845,0.33151629438794994,0.1540746744395894,0.41248991621588293,-0.018661626199780606,0.0717887912304786,-0.5894062576121892,1.0,-0.3703244773995244,-0.2201143685099217,-0.10416768087365197,0.0892350410759093,0.5908577156643343,-0.19487975556057535,0.157750536841664,0.0703529044780715,0.3768552380717618,-0.0030468307187528332,0.19126967017327579,0.6013665936814073,0.1275148823629694,0.12235085957175662,0.06205342907045804,-0.17100051471566594,-0.3148461814410398,-0.4013015639580668,-0.2499553679670133,0.373747674251506,0.3009334302401636,0.23993942455109893,0.33695822383910934,-0.02027402885587107,-0.18529878517985707,-0.16605396277727583,0.13758270459625127,-0.1495591427308432,0.04502388341106052,-0.47241025425432404,0.10312031267757461,0.48713008918884415,-0.21993441769679456,0.3064602551959431,0.42150879834148025,-0.2524974846540415,0.5800471829103694,0.4678401119536514,0.14346066673041283,-0.34194193609630563,0.10091036094225955,0.4773232821746468,-0.2025383278999535,-0.49829909227954017,-0.6944660847363687,-0.5363513819550988
Insula_L,0.4156973587643695,0.3346280801976637,0.18380584796312316,0.8059276599407089,0.5879238216287654,-0.13333261462155846,0.13036199590133865,-0.0682172680534018,0.5572508379887751,0.039400953116382746,0.6307781229362075,0.24187016942660539,0.7006206645379556,-0.3703244773995244,1.0,0.7672007736184782,0.2621381993873378,0.3001131820745201,0.253390619824596,0.6021955946275372,0.06240764242813549,0.6718938000531686,0.2302512048971993,0.1906922215729899,0.04938123496658283,-0.11620723338038848,0.5306535289289778,0.07492117507347343,0.5824582017317292,0.4124863798658886,0.6029224950065979,0.6771156486714599,0.8463484959671396,-0.4303410791421099,0.35688176488871654,-0.36421136284540245,0.20259677550899863,0.14107766899385757,0.16236852756835907,0.33368584467051216,0.22107503354707742,-0.05004424218389401,0.260878335584504,0.6459291185272498,0.3585746196942705,-0.31958379180815577,0.6706517468331713,0.32028124782164685,-0.04927364809481877,0.521214355019295,-0.09019164596417792,-0.02893699660181113,0.10908343575794768,0.11549194274910486,-0.00814428362600891,-0.04543002959013319,0.6761487367811111,0.7267040659390854,0.7373512638464809,0.7147650629756588
Cerebellum_4_5_L,0.5174036557312202,0.35258196975891415,0.19781257120128884,0.7531034420488428,0.3186177338193375,-0.002828235271980423,0.36144702135292994,0.1355514111257331,0.6531592840692892,0.24714810036253257,0.7777678380801621,0.2700707180079857,0.6070348909911459,-0.2201143685099217,0.7672007736184782,1.0,0.30585467601661537,0.5373420352805255,0.4651916479741118,0.487118264460114,0.2581638693806908,0.8579578072182565,0.49352724454886354,0.3539645940610584,0.10076643725239516,0.12233375628243814,0.5410364161670168,0.340767802694226,0.8009537204470925,0.5743299701095367,0.7886569916834251,0.6925874121500445,0.735652387540351,-0.17623315667109052,0.5553897733897475,-0.26688507267211004,0.37819752573080295,0.2856203898587238,0.1322270278564461,0.49146770655302136,0.437876521943009,0.09841895324156229,0.4496966368618467,0.5578282191662897,0.5068837874513494,-0.18493884256193804,0.6581578646071488,0.32191472044046054,0.09477634952088604,0.5745219502773741,-0.02155420554011289,0.2784339463381918,0.175754351543029,0.0786212366968824,0.053202891525197624,0.14757655377625722,0.8326907119208846,0.5363429421266119,0.5281919424725077,0.5677119374578027
Occipital_Mid_L,0.0011897210966608867,0.29560663223564976,-0.18536024067335116,0.35742659742957483,0.05745996009562514,-0.41251455043250246,-0.023260387655654368,-0.19882961043346978,0.15858770655872162,-0.017176832919925167,0.13171498464643608,-0.07578492809533557,0.2685663096177435,-0.10416768087365197,0.2621381993873378,0.30585467601661537,1.0,0.03729920049474322,0.18555509090717268,0.3369512483207145,-0.22760034800298634,0.21008402989172398,0.01010336280877357,0.11715116835737208,0.11340197450685023,-0.15581212388857155,0.17009859026721738,0.10267250841860164,0.31381910446404615,0.12030161174088493,0.19395831554970727,0.19612242527046805,0.3774240767403927,-0.2269639963114446,0.01802090464279337,-0.2910724225748497,0.12706898829964297,0.011742847195453144,0.0832152148084965,0.2507529565037974,0.05855486902534532,-0.11858681591184503,0.17474729264587724,0.32389878786933807,-0.026005309494081568,-0.25199476728675163,0.15952545324220016,0.19158124567505824,-0.2850004586736971,0.12425457211073679,-0.34279531386654793,-0.05399795989241304,-0.33000026066861377,-0.243943050381734,-0.0230221961358846,-0.13029468704420386,0.31598309632983473,0.287761803143427,0.38367393219245405,0.5214353478034385
Thal_PuL_R,0.41541847598341075,0.138670627766544,0.20114404094849733,0.26241764553192076,0.1725933714862181,0.14810908068048917,0.24248228864006838,0.4322925849497077,0.4305122128523532,0.45135343122955207,0.40486805437462337,0.2061257095156367,0.13767684399722785,0.0892350410759093,0.3001131820745201,0.5373420352805255,0.03729920049474322,1.0,0.49034441395439815,0.0011992300796441018,0.32599954754821925,0.6295109795477475,0.607404108631256,0.14912089864758143,0.1472054221977468,0.4482588708972332,0.2997772791489861,0.7351893667939903,0.5152447307342778,0.6327803734417461,0.3454827047011441,0.4846890970822442,0.22653302038906742,0.3681631781659195,0.45044693189021817,-0.014133679923899408,0.35761605291050536,0.5917552666249513,0.14271998216375636,0.2293968483958006,0.5465509497495039,0.33176483970690196,0.4865623257583454,-0.07530066413553502,0.3910457216317687,0.08017214331235159,0.1583001457906714,0.22500762175314032,0.31171438990414907,0.4776182790656025,0.22971183197871606,0.33687352444648444,0.2202532449711969,0.29800705029010943,0.08971498870318934,0.36433119041640266,0.4035905876616926,0.15390662195352128,0.10498651804226922,0.04437579476560011
Hippocampus_R,0.7289509107175992,-0.10824072111625456,0.15478672630045331,0.2951251489795335,0.07990573084037245,0.22406230803325852,0.41934527583894593,0.4415293420238949,0.6623654345591606,0.5681690738449604,0.5409047149886331,0.26664365593278055,-0.07759703629898063,0.5908577156643343,0.253390619824596,0.4651916479741118,0.18555509090717268,0.49034441395439815,1.0,0.29382519437517474,0.47711182009692793,0.688671034311961,0.645076632151779,0.21510292181224197,0.2007443429609544,0.652000837691018,0.34712126498708745,0.3000912889798437,0.6348541229916075,0.3746879477443656,0.2282432961901804,0.23348292357958692,0.36983979224489116,0.21942914637863667,0.7886256669373354,0.05023496420540385,0.6410561753029608,0.172965906710039,-0.023178773416305767,0.15311478922637786,0.3861995163488192,0.15573938352105168,0.3827893445550729,0.005973455985356283,0.6185555230148093,0.28826348917077793,0.3941018276527397,0.5053926277103956,0.5704520167047629,0.3081240516278657,0.5934543734406263,0.7039095523065638,0.4172335004741561,-0.18483980033811598,0.16710932767568323,0.44808633738410947,0.3455256159768804,0.047383509141594,-0.1788463648894149,-0.05871148784223794
SN_pr_L,0.38117447800530524,-0.001231069737028586,0.12943728582153805,0.6361428431455556,0.3299229501507874,-0.16364862705603048,0.07535173437986036,-0.20296945187972368,0.4955910585552473,0.22831482864106814,0.3374319795630949,-0.12355684629090674,0.5215319197286521,-0.19487975556057535,0.6021955946275372,0.487118264460114,0.3369512483207145,0.0011992300796441018,0.29382519437517474,1.0,0.012152116508871585,0.42854995562905795,0.08149970903086629,0.0970500555673897,-0.2153186317771783,-0.0790650242402348,0.20736189725959145,-0.19584517470714574,0.37342598540308314,0.25796256437490184,0.3703006999389635,0.5067115911171421,0.6227981991860838,-0.35827571636031424,0.4318097844849814,-0.384398916063407,0.3369653196331946,-0.2750764793272558,0.12428145764450171,0.26305431964249654,-0.23057007633818935,-0.18872738836319214,-0.09560507351997971,0.5034489512676805,0.388002882848583,-0.24924310983989717,0.6289000565376254,0.2691127469445297,-0.04445116054986202,0.3953490739954868,-0.053119835550821816,0.17685517554224478,0.11260729731568801,-0.22422901546208845,0.03783861052917482,-0.192266344015348,0.4352751027097144,0.5387559129202552,0.46775155711550215,0.5548234840242492
