,SupraMarginal_L,Vermis_4_5,Cerebellum_Crus1_L,OFCant_R,Caudate_R,Precentral_L,OFClat_R,Thal_PuI_R,Temporal_Inf_L,ACC_sup_R,ACC_pre_L,Frontal_Inf_Orb_2_R,Paracentral_Lobule_R,Insula_L,Cerebellum_9_L,Fusiform_R,Frontal_Sup_Medial_R,Thal_VL_R,SN_pc_L,Thal_PuL_R
ACC_pre_L,0.013800376875279165,0.6463188755666205,0.07389294540895175,0.6994096372898218,0.7500864195391896,-0.09572705769875701,0.5424188699942372,0.19163286520866424,0.5139686105714995,0.7890272830931809,1.0,0.6313767230741306,-0.0626640836550237,0.4045598947968561,0.5468074166584515,0.5671214478351412,0.32959224117705826,0.30051957763661236,0.41774064921274634,-0.03623852598333701
Frontal_Inf_Orb_2_R,0.0696981852191519,0.6565304914177154,-0.1414118299364103,0.737376589368589,0.7482405894904509,-0.08411731185353628,0.7711182474171202,0.0486473651659504,0.3212397443909894,0.6993849709417289,0.6313767230741306,1.0,0.1123141061200348,0.5815462058559374,0.5049404110297053,0.7315632778315865,0.3634621311794573,0.25973557572371114,0.40359536325488254,0.14882257097584428
Paracentral_Lobule_R,0.4213335713353421,-0.03518154522356067,-0.21285096730917352,-0.13730950822327911,0.09665856837199399,0.6192882634796798,-0.11298134571288279,-0.04744219736778008,-0.37173731259045695,0.12062246645720483,-0.0626640836550237,0.1123141061200348,1.0,0.10545960166400382,-0.2030489815574863,0.09591073959953465,0.3516485227466109,0.3694452182674453,-0.3819652892753251,9.881900250030765e-05
Insula_L,0.43602125773648825,0.5943680130150556,-0.0032585655229352387,0.24737796427220451,0.6047197474825485,0.3854245239482379,0.31216386748888075,-0.09265914669433213,0.29651695917740345,0.579627734461606,0.4045598947968561,0.5815462058559374,0.10545960166400382,1.0,0.36744631171844977,0.5507486535890878,0.6047447784762939,0.547566890582374,0.08132633207715857,0.4304690866178522
Cerebellum_9_L,0.16833909227843621,0.7548491975334267,0.5616359111492515,0.416002895397393,0.46244523888548456,-0.19921474439677914,0.4000287329507364,0.2926130993378642,0.7677486561503226,0.6025811264198511,0.5468074166584515,0.5049404110297053,-0.2030489815574863,0.36744631171844977,1.0,0.6415767109155619,0.31449937508567766,0.22304116416146264,0.6820217212985227,0.24377904368482056
Fusiform_R,0.2371870846540783,0.8205646435542191,0.11804944242893864,0.5172457063072842,0.730280929377978,0.12011830115305039,0.4414524317247244,0.1560779721769024,0.46778525322693726,0.6029080413341652,0.5671214478351412,0.7315632778315865,0.09591073959953465,0.5507486535890878,0.6415767109155619,1.0,0.4553513775116181,0.5538023298325396,0.33077735667134656,0.2912134718156731
Frontal_Sup_Medial_R,0.41226796348098027,0.4155810477504216,0.2565665388746142,-0.031132583186302673,0.5477351851126273,0.6338541975903421,0.0364084451251832,0.02846644310718945,0.14805153219801429,0.5168785643345709,0.32959224117705826,0.3634621311794573,0.3516485227466109,0.6047447784762939,0.31449937508567766,0.4553513775116181,1.0,0.5969487484346653,-0.09120960486177705,0.1306290939131478
Thal_VL_R,0.44430465136704844,0.41419815061058296,0.023376898396642202,-0.04428580283065505,0.5209678223514261,0.5828634985043338,-0.06554789557549237,0.0878383019152884,0.11430520851655308,0.3676583460372207,0.30051957763661236,0.25973557572371114,0.3694452182674453,0.547566890582374,0.22304116416146264,0.5538023298325396,0.5969487484346653,1.0,-0.31385482473103515,0.26641553971388804
SN_pc_L,-0.24871103401784062,0.48348018083398503,0.478106966066677,0.4419465388610105,0.19893710786266136,-0.5731743875058107,0.36506785911743495,0.14203975571323685,0.6066386567232015,0.350287204171908,0.41774064921274634,0.40359536325488254,-0.3819652892753251,0.08132633207715857,0.6820217212985227,0.33077735667134656,-0.09120960486177705,-0.31385482473103515,1.0,0.0726612590869957
Thal_PuL_R,0.14230165558578023,0.2780927318799479,0.1107293120942594,-0.04526631928917555,0.1495525156655047,0.09624483649507325,-0.05153754420423416,-0.08353925006269974,0.19685524713689304,0.061932354687289186,-0.03623852598333701,0.14882257097584428,9.881900250030765e-05,0.4304690866178522,0.24377904368482056,0.2912134718156731,0.1306290939131478,0.26641553971388804,0.0726612590869957,1.0
