,Occipital_Mid_R,Cerebellum_7b_R,Pallidum_R,Frontal_Mid_2_R,Vermis_10,Fusiform_L,Thal_PuA_R,LC_L,OFClat_L,Cerebellum_4_5_R,Parietal_Sup_L,SN_pr_L,OFCmed_L,Occipital_Sup_R,Temporal_Mid_R,N_Acc_R,Lingual_R,Frontal_Sup_2_L,Angular_R,Postcentral_R,Calcarine_R,SN_pc_R,Thal_PuI_L,Occipital_Sup_L,Angular_L,Thal_AV_R,Parietal_Sup_R,Frontal_Mid_2_L,LC_R,OFCpost_L
Parietal_Sup_L,0.6314024922498509,0.0040544139864446705,0.16582310302963066,0.043520826442033755,0.1924552562914899,-0.13584667184081903,0.17738207657015598,-0.37171647497659505,0.11038109996526829,0.11836316044692334,1.0,-0.0846421322039977,-0.08963232598342895,0.6896222547615353,0.2693321765833528,0.030863521883510516,0.23019612090450475,0.0768850036086729,0.19948533099195798,0.45648850891301873,0.3428987224272782,0.09365400061134936,-0.06005853975328636,0.7235894257028784,0.2336876623947822,0.24866922936960598,0.22122549979706943,0.09487269379467285,0.04805500985822268,0.04508780607556329
SN_pr_L,-0.12321574595541188,0.06179156007183161,0.5343911582598028,-0.14690817185320992,0.1504167184846899,0.5707001655627734,-0.030177361304561227,0.6745572769579343,0.4996510734869664,0.5204116232215901,-0.0846421322039977,1.0,0.5833542642073031,-0.12627797037138563,0.3395463863562186,0.7935112974280584,0.2841516822754801,-0.16616300258291036,0.009060325756778488,-0.27968220523601256,0.3500619482441565,0.31084457076964606,-0.02699833002811761,-0.11154558959087645,-0.3125580639719262,-0.22743808852139033,-0.21034380001556852,-0.2430169002759482,0.23940754184548824,-0.004055933954136963
OFCmed_L,-0.0992687599398717,-0.10435440979823456,0.38184996734692467,-0.5375193744082766,0.02832790657462044,0.42702708493428004,-0.36001190940542366,0.5152927332791051,0.330526065608963,0.35076162939867794,-0.08963232598342895,0.5833542642073031,1.0,-0.13051888262723346,0.15672945591172552,0.7244181363108588,0.23523635781184576,-0.4760034114953427,0.036580571773309076,-0.2991326352704182,0.11102415788264533,0.23700590942219796,0.025703596427880403,-0.10600645102959956,-0.10630425100899082,-0.5804237740756495,-0.10864665277536056,-0.6308977236480979,0.07184173378342873,-0.2627875264833838
Occipital_Sup_R,0.9461884406657347,0.06814399213516543,0.2711520132949159,0.004233237632170439,0.2320148512481648,-0.24141251335959701,0.17506198811466525,-0.484120689921152,0.016174856974223255,0.11115816015586126,0.6896222547615353,-0.12627797037138563,-0.13051888262723346,1.0,0.44008497612847874,0.04818291425330977,0.33799441742556097,0.015527780372895553,0.29998307882597913,0.4796299583983734,0.520974930879906,0.10209958108098699,-0.17183089526767603,0.9635734897568268,0.3197241558504757,0.27436845386782416,0.20988665416796948,0.05765678848827798,-0.029611257546293113,-0.02089357708820351
Temporal_Mid_R,0.3905015669342286,0.29463697590216015,0.5489046552412633,0.203259869018188,0.5527729719384703,0.464115484597938,0.26846825992231177,0.00940145424906183,0.4352183385925145,0.61031284526112,0.2693321765833528,0.3395463863562186,0.15672945591172552,0.44008497612847874,1.0,0.446422786779659,0.7087856654878872,0.19021910691426855,0.29647726047370876,0.2284822072034785,0.8127174068891526,0.5520621229126074,0.20622420283926463,0.421622869453468,0.2724707938721696,0.2807371181969278,-0.034829082067600846,0.19012008261645383,0.3224817150316858,0.511370849083407
N_Acc_R,0.043758336936083636,0.15083982595940665,0.6083945425526599,-0.32441362622800163,0.09688184392234062,0.4698424787687332,-0.19568558750307324,0.49721123761819247,0.47434286118667035,0.48341788537450087,0.030863521883510516,0.7935112974280584,0.7244181363108588,0.04818291425330977,0.446422786779659,1.0,0.3680168521206701,-0.26133120439961804,0.14751917697467448,-0.19840373571703596,0.3524482707467378,0.4253963475245078,0.05558616868675614,0.08079680262204517,-0.1364627093406469,-0.3648745989216221,-0.0747084492026187,-0.3534559693268484,0.1954406108134244,-0.03271189942286585
Lingual_R,0.23005996046979815,0.304127250568459,0.46000442934464586,0.2106131292204694,0.7955472202298995,0.575072483841213,0.5074900453754244,-0.06267868997122084,0.429653960984565,0.6446169887370305,0.23019612090450475,0.2841516822754801,0.23523635781184576,0.33799441742556097,0.7087856654878872,0.3680168521206701,1.0,0.24376064197265793,0.48662784685931443,0.47018033926038183,0.7751935008080036,0.5929412873536968,0.4471660291416921,0.3629106654637148,0.4248327912686327,0.3025026915243839,0.14351748767390488,0.18810948897923496,0.49942712506762316,0.350331208154824
Frontal_Sup_2_L,-0.014591794452163083,0.38641602112509965,0.028562267509412417,0.8233281594800956,0.393970162012822,0.18766472025272757,0.3015246504884248,-0.06050694962285533,0.20610245062320412,0.339228833967734,0.0768850036086729,-0.16616300258291036,-0.4760034114953427,0.015527780372895553,0.19021910691426855,-0.26133120439961804,0.24376064197265793,1.0,0.13008506930513122,0.2861462560663108,0.17271583978022598,0.3254023115431037,0.33009213858460806,0.045515900877629245,0.06605655939536642,0.4352477444654881,0.135626597305264,0.956850707275962,0.1370395899423501,0.5066574385841861
Angular_R,0.24693925830985855,0.12610910469324282,0.09782553285126697,0.2273197730841516,0.24611802886776465,0.07483514217709891,0.24657871038924023,-0.16313408644590022,0.14289153328346324,0.10823190425492873,0.19948533099195798,0.009060325756778488,0.036580571773309076,0.29998307882597913,0.29647726047370876,0.14751917697467448,0.48662784685931443,0.13008506930513122,1.0,0.4467770967092687,0.4008667200339144,0.298997800859604,0.2643542316775732,0.31865283887342194,0.3907557000492692,0.1409249942892638,0.20349538659366626,0.133738560522118,0.13811747183226644,0.02896134440589159
Postcentral_R,0.3304412168313877,0.0808785361633612,0.027158471793881273,0.37259461461494164,0.4016485755817907,-0.09213201617527074,0.5176875656447942,-0.5227281372889887,0.036303230803934446,0.06320164547102597,0.45648850891301873,-0.27968220523601256,-0.2991326352704182,0.4796299583983734,0.2284822072034785,-0.19840373571703596,0.47018033926038183,0.2861462560663108,0.4467770967092687,1.0,0.309218732913954,0.20366498225292154,0.34999492372413193,0.5359365987029127,0.48878849277063735,0.4844864833783102,0.2812188663100827,0.2887016680403,0.18503497082968234,0.23289315334209892
