,Temporal_Pole_Sup_R,Vermis_10,Temporal_Inf_L,OFCpost_R,Cerebellum_9_L,Frontal_Mid_2_R,Thal_PuI_R,Temporal_Sup_R,Fusiform_L,Paracentral_Lobule_L,Rectus_L,Cerebellum_4_5_R,Thal_LP_R,Cerebellum_Crus1_L,Cingulate_Mid_R,Cuneus_L,N_Acc_R,ACC_pre_R,Temporal_Pole_Sup_L,Thal_MDm_L,Vermis_3,Cingulate_Mid_L,Parietal_Sup_L,Heschl_L,Thal_VA_L,Insula_R,Heschl_R,Thal_MDl_L,Vermis_8,ACC_sub_R,Thal_VA_R,OFClat_R,Olfactory_R,Temporal_Mid_L,Angular_L,SN_pr_L,Cerebellum_9_R,Parietal_Sup_R,Thal_PuL_L,Calcarine_R,Thal_MDm_R,Precentral_R,Vermis_1_2,Postcentral_L,OFCant_L
Vermis_3,0.5556443011439383,0.2959629606562197,0.6053266791113306,0.4854199319238989,0.5400095806337963,-0.014893529355280943,0.1947357967345574,0.5457549700471797,0.7081662487233684,0.06377196954708286,0.45299171994907284,0.6155386774275186,0.48947975646030883,0.025785476195151386,0.7039313336781619,-0.00463762179899888,0.5676139111842304,0.6725443464807456,0.5865404382608086,0.5449225113400574,1.0,0.664678013192837,0.02652438212551361,0.6669317384119348,0.09748480137792438,0.666551687138385,0.5855647789763395,0.5491625319976469,0.4434012470784253,0.5115376741063731,0.43176233594103536,0.5001455767550319,0.5542047936985174,0.5549012668524771,-0.12838431893690597,0.6240060832120025,0.4233713761339195,-0.09561669115961399,0.3419492456269351,0.35667387717600363,0.32236301680174395,-0.17095626492149096,0.7219182715395427,0.04182314000570951,0.5231954801768213
Cingulate_Mid_L,0.8015938658288606,0.5623641265459902,0.5415271115427783,0.7334106486163647,0.6568084030109905,0.21195972629175586,0.2750485528659956,0.895394503243365,0.8020473638395818,0.4030870218488847,0.3373806068076131,0.7109401300666217,0.44600770231312786,0.03194362065123288,0.9645852719053305,0.3591684736113836,0.4528567539733585,0.6713712051909297,0.7239256573638988,0.6887272078112828,0.664678013192837,1.0,0.09579701851303693,0.6561184215299961,0.40751332596662154,0.7812809578807024,0.6983929530841807,0.3836330648801703,0.496670306655838,0.5780797774120502,0.6508546229837369,0.5513399615377225,0.6026106882304666,0.6792283606445668,0.2211564947032049,0.49956955601219805,0.4997582928288411,-0.1129464075538926,0.4299362797155479,0.7189443924720645,0.6182145434298638,0.30978834758158047,0.5578258239870049,0.2927441703212739,0.5664750107236586
Parietal_Sup_L,0.09200906683213733,0.1924552562914899,-0.2774984575335189,0.15821413787840202,-0.13590039567707815,0.043520826442033755,-0.09221156196931064,0.20811203061140168,-0.13584667184081903,0.2934166000015441,-0.004234431470020808,0.11836316044692334,-0.048351351407892304,-0.35328506104041485,0.09541230052947457,0.6450224936738608,0.030863521883510516,0.08612609580617911,-0.18771675458726653,0.10283512747624526,0.02652438212551361,0.09579701851303693,1.0,-0.0034434827098191274,0.14906017520120055,0.33473130975015397,0.3014220154676789,-0.1699696983664991,-0.03325168029342123,0.053405339563287094,0.1814017284472994,0.11035709874106898,0.09142351493174537,-0.26983228185838204,0.2336876623947822,-0.0846421322039977,-0.004891905841022483,0.22122549979706943,0.08406701694266895,0.3428987224272782,0.1941857245539479,0.07035015714902713,0.051555200105568216,0.25315522528701384,-0.06149039140374632
Heschl_L,0.5643674199601597,0.43302198046922885,0.5266610581699714,0.529360029993826,0.46586582265632775,0.1505725189104639,0.18990024209624842,0.5818092255109192,0.7465962612491506,0.08330886146665117,0.36114405357535245,0.6553879278762252,0.4233703897139207,0.05964702624526495,0.7388862263015528,-0.08689915573833257,0.3278164251965779,0.6450981484849387,0.6435201085852269,0.53122816018163,0.6669317384119348,0.6561184215299961,-0.0034434827098191274,1.0,0.25958521290614567,0.5986975607165512,0.6086549528566352,0.5258342409472228,0.44812451727340596,0.6806833371649685,0.5753089237796892,0.4056325802413401,0.5788221346485061,0.49799370719097513,-0.007588552866899247,0.41349504869186093,0.43424272587850166,-0.13283891067668097,0.3264325518193073,0.3377629455773257,0.32703338375251,0.04072854208263384,0.31918556376575175,0.1458180180157115,0.6392729496710272
Thal_VA_L,0.27708540148327393,0.5704157914264418,-0.10803935003684782,0.556083830328252,0.008525093031052184,0.5803876733182373,0.003879153451192037,0.4746818484306207,0.22366829050478226,0.4229982287228343,-0.3914270292950571,0.2205543362672278,-0.2404685311010716,-0.06851900788999044,0.3795538735256792,0.30848796487955327,-0.3736885783794187,0.4769518649333743,0.07440153430133833,0.5112435402071186,0.09748480137792438,0.40751332596662154,0.14906017520120055,0.25958521290614567,1.0,0.31346247394752097,0.39651082334438564,-0.19390630501135026,0.14210072161069714,0.2114873826273337,0.8328805033957597,-0.15500997935394686,-0.1393744248071194,0.13896597351883921,0.44901433144040354,-0.18752764033325922,-0.0747950036754438,0.04534112095487635,0.42369415591531523,0.2965200366540937,0.7310744593600786,0.6464028878877588,-0.10138878990680149,0.7280873155898677,0.14688228036206002
Insula_R,0.7462820503442986,0.605215707479203,0.43805283358612257,0.784459551849086,0.4874967254711242,0.13755706912727464,0.17088137461704334,0.7839622527662845,0.6189816238310308,0.15484486332340439,0.3776667593531361,0.7837254447086683,0.35842503780248347,-0.05547923175845998,0.8253176741139594,0.42084255234848855,0.49183817220463755,0.6628815290031354,0.648044472227665,0.6604451197083332,0.666551687138385,0.7812809578807024,0.33473130975015397,0.5986975607165512,0.31346247394752097,1.0,0.8200438759899714,0.42864754541830347,0.5284744105772011,0.7055106805279061,0.6636927438835539,0.5279602449056394,0.6388193218876028,0.5304836973703109,0.11908963178991745,0.48398656437498905,0.40448488296790663,0.013469073096503928,0.3906510837250407,0.5912483744015566,0.5575082517969,-0.04162552745542842,0.5408527185211647,0.19661823153788602,0.5355774156604176
Heschl_R,0.622829146049495,0.6279799553022817,0.44508383481859076,0.6518055836802019,0.5445253783735797,0.21253478386845967,0.2254811537207646,0.7552630881847098,0.5872685817675289,0.044356374041484146,0.21966791844171749,0.7348185901708021,0.24659254578736076,0.034270184756524165,0.7521014127820318,0.305603657601836,0.36406345552424696,0.5673775779742302,0.4469159851944873,0.5475614608501116,0.5855647789763395,0.6983929530841807,0.3014220154676789,0.6086549528566352,0.39651082334438564,0.8200438759899714,1.0,0.2787661479261148,0.48972233291665745,0.5419113899747249,0.6980194427019747,0.37747202598507923,0.39936661590055816,0.47878831470759947,0.014075530887260171,0.5206317557963778,0.45229889257332007,0.025419425628085923,0.3458225895648175,0.608098069019845,0.4706994865315333,0.04894469753290654,0.470640009090941,0.17819133829113865,0.42057226106761386
Thal_MDl_L,0.27135624441461903,0.11929537454118681,0.5507883237484155,0.37382819733148226,0.4248985115042061,-0.048344677503436045,0.09672130976733924,0.25531703613083445,0.5403259252725786,-0.006480805999535875,0.4378033868280144,0.4211727944426775,0.4304756504646286,0.1780300870265516,0.41885241059825246,-0.2040129700225796,0.436748062807218,0.3894084772893229,0.5669006936681154,0.47615297431870324,0.5491625319976469,0.3836330648801703,-0.1699696983664991,0.5258342409472228,-0.19390630501135026,0.42864754541830347,0.2787661479261148,1.0,0.4018163900036378,0.498469155707305,0.14003370620968056,0.29774050393310497,0.5135201402367803,0.5219594140166436,-0.12592453028268139,0.35884959371072983,0.4001417487885428,-0.114998354160832,0.1285042467018875,0.15898579139941202,0.17423972719823205,-0.2584303569642559,0.36676162627509806,-0.14416108473367212,0.4118240925452605
Vermis_8,0.45553085627972634,0.5163830319739718,0.5044572946885051,0.5295331814292502,0.6840760681182952,0.4034190661865624,0.07384834226433545,0.5218517563833492,0.6474909906182872,0.0013581000621880773,0.02202331764815807,0.8013504009478882,0.3631541789005457,0.6534973264154199,0.49219384089906454,0.09534259521270425,0.38924248730537714,0.3917196606737335,0.4852483425165628,0.36260507216041454,0.4434012470784253,0.496670306655838,-0.03325168029342123,0.44812451727340596,0.14210072161069714,0.5284744105772011,0.48972233291665745,0.4018163900036378,1.0,0.40566689720915194,0.33316146423555726,0.08005615715878006,0.411858334056312,0.5880126950486589,-0.2144111337141948,0.4174766037900908,0.6252913531057404,-0.06129161566697401,0.1903434336418746,0.4773479532735621,0.32008029255006154,-0.030162454228842103,0.285453381146731,0.03943949872516058,0.35129932817026377
ACC_sub_R,0.6581343622433249,0.4654280898780519,0.44455053009815726,0.6409160414875259,0.4088754578496608,0.12655436595017433,0.11043973433651598,0.5469552324968993,0.5510481277615651,0.011161397194612897,0.4969454696100136,0.6226470829239531,0.3807159322302332,-0.01637572471737535,0.6843536551587402,0.01870688216263065,0.3727833148063503,0.7048403150255872,0.692606253939709,0.5239716043666249,0.5115376741063731,0.5780797774120502,0.053405339563287094,0.6806833371649685,0.2114873826273337,0.7055106805279061,0.5419113899747249,0.498469155707305,0.40566689720915194,1.0,0.5827074743516315,0.5077136955237418,0.7166478623248839,0.5263624340959897,0.10186196809519782,0.3610864008615956,0.3765724560358222,-0.010227156489743702,0.2879754879152458,0.25741019346137894,0.37970612587417146,-0.06462508455994855,0.29414812080028324,0.03799958140750225,0.8024277011155405
