,SN_pr_R,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_R,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_MDm_L,LC_L,Precentral_L,Frontal_Inf_Orb_2_R
Thal_AV_R,-0.21230661222763458,0.60329723829822,0.4236576064397324,0.31514750173814815,0.11659302402774961,0.30833194155835136,0.41303934529436,0.12415543023875177,-0.03932841109317027,0.09942721310266331,1.0,0.35439020129262544,0.43975862501077984,0.13581894604124126,0.09038258630359454,0.3574911662964837,0.3489872230711747,-0.38975863325655696,0.6948406843123376,0.02429811882118926
Thal_MGN_L,-0.07198482054363647,0.6634891267743549,0.4531660124894796,0.47892790669785523,0.1741787403457194,0.2144910541307812,0.41756786729919904,0.07948933971029526,0.22318129325765018,0.2627085450649889,0.35439020129262544,1.0,0.5793905105021938,0.13757942353581418,0.0546319431807837,0.47726012257762707,0.559322755710772,-0.38360059212843883,0.5209738678767413,0.32393484660094657
Paracentral_Lobule_R,-0.26147759749155175,0.6534693588765227,0.29847822130915697,0.23313643167575634,0.03855308650920193,-0.02943932478268813,0.3565043477246983,-0.04269207399434509,-0.17935129706799077,-0.0460752934993259,0.43975862501077984,0.5793905105021938,1.0,0.016196703835308926,0.03629235574642667,0.19460669370327116,0.2966271787271631,-0.4968518543618125,0.6192882634796798,0.1123141061200348
Vermis_9,0.6554033111651038,-0.15078701672999112,0.6011386781023594,0.720606361998514,0.6868620764786241,0.67573783226974,0.18798335731054946,0.09137722203800706,0.5412345017871887,0.5366376587770497,0.13581894604124126,0.13757942353581418,0.016196703835308926,1.0,0.5692367361955708,0.653807157526445,0.506699973090602,0.4021332754924866,0.08028477896744964,0.650505667739293
Amygdala_R,0.5654912632564466,-0.2296419926674887,0.48870188194945496,0.5084836864001372,0.5989912925276875,0.4549266615958099,0.09764206885824528,-0.15727806655899262,0.15530542438356476,0.0899126084376514,0.09038258630359454,0.0546319431807837,0.03629235574642667,0.5692367361955708,1.0,0.3975961881492013,0.38392423954894195,0.3266906495659584,0.016441495592025672,0.47632296303064187
Temporal_Sup_L,0.33065831650863486,0.21256600957723454,0.7663595389123009,0.7485846365121742,0.6450346826407588,0.6300398139654453,0.18046707535340267,-0.1051482718057827,0.4231491284564929,0.504300675279506,0.3574911662964837,0.47726012257762707,0.19460669370327116,0.653807157526445,0.3975961881492013,1.0,0.7137790872464588,0.21327244796977712,0.3937367539117408,0.5691267838845736
Thal_MDm_L,0.3526213203730334,0.33380004905603583,0.7382919239236307,0.618084757090068,0.566033884714852,0.5475614608501116,0.24680748445996603,-0.055268169881958325,0.3085786112024507,0.36260507216041454,0.3489872230711747,0.559322755710772,0.2966271787271631,0.506699973090602,0.38392423954894195,0.7137790872464588,1.0,0.0887684942552251,0.295963849045571,0.4877590137698009
LC_L,0.457636597303082,-0.6130069890373729,0.18082291980569895,0.15531304854913178,0.34431464881870166,0.25781609120363796,-0.4667816663058338,-0.30644466503086,0.17678037469243807,0.39630578844367176,-0.38975863325655696,-0.38360059212843883,-0.4968518543618125,0.4021332754924866,0.3266906495659584,0.21327244796977712,0.0887684942552251,1.0,-0.4148477700281819,0.16707626666445047
Precentral_L,-0.38060340075324933,0.7108393162479022,0.3495497010912816,0.16833130824511605,0.0028117076742380045,0.06567919286826618,0.2947072268183552,0.0550667373418977,-0.08761787254776356,0.0919203032612314,0.6948406843123376,0.5209738678767413,0.6192882634796798,0.08028477896744964,0.016441495592025672,0.3937367539117408,0.295963849045571,-0.4148477700281819,1.0,-0.08411731185353628
Frontal_Inf_Orb_2_R,0.6596633799437662,-0.06782473206839316,0.6229138847221595,0.7934183719096293,0.7031728165945881,0.5669018669459492,0.4455891364689176,0.2545045125527205,0.7022892749762425,0.43112564063742825,0.02429811882118926,0.32393484660094657,0.1123141061200348,0.650505667739293,0.47632296303064187,0.5691267838845736,0.4877590137698009,0.16707626666445047,-0.08411731185353628,1.0
