,Fusiform_L,Frontal_Inf_Tri_R,Insula_L,OFCant_R,Thal_IL_R,Cerebellum_6_L,ACC_pre_R,Precentral_R,Thal_MGN_R,Hippocampus_L,Cerebellum_Crus2_R,Pallidum_L,Amygdala_R,ParaHippocampal_L,Temporal_Pole_Mid_L,Postcentral_R,ACC_sub_R,Occipital_Sup_L,Precentral_L,Cerebellum_9_R,OFCpost_R,Temporal_Pole_Mid_R,Cerebellum_Crus2_L,Temporal_Inf_L,Calcarine_L,Raphe_M,Thal_VPL_R,Vermis_1_2,Caudate_L,Fusiform_R,ParaHippocampal_R,Vermis_7,LC_L,Supp_Motor_Area_R,Frontal_Inf_Oper_R,OFCmed_R,Parietal_Inf_L,Thal_AV_R,Heschl_L,Rectus_L,Calcarine_R,Rolandic_Oper_R,OFCant_L,Cerebellum_10_L,ACC_sub_L,N_Acc_R,Frontal_Med_Orb_L,Frontal_Sup_Medial_L,OFCmed_L,Red_N_L,Frontal_Med_Orb_R,Angular_R,Frontal_Inf_Orb_2_R,Cerebellum_6_R,Thal_LGN_R
Cerebellum_Crus2_R,0.2553106505020217,0.26067249998890235,0.4660300561370705,0.17399013005426076,0.28875915832772,0.4583647835922631,0.38128596858821034,0.31240717957863806,-0.0303359930908994,0.3204388530946627,1.0,0.20073276776243554,0.2536501153108149,0.19906497273551896,0.23436106639532975,0.26058994136481756,0.18896091219228772,0.3146237211225638,0.4619300693342821,0.5581025166630555,0.3282943787936788,0.21899470280555275,0.35199533619630313,0.009937633046269377,0.4153071627932426,0.2184772106269135,0.390168833175471,0.17008477881052356,0.3111935891629159,0.5183101375003837,0.39706843612471926,0.4584563438900104,0.1847807325695698,0.3494674597367968,0.2596833928922079,0.25060763649345724,0.34313540564038164,-0.10370034477457735,0.027654368059511394,0.2618370518432751,0.3573967740695521,0.42147990729196155,-0.12072841463195427,0.369000623718343,0.14039325303040476,0.07474750447397262,0.020290743487656065,0.45324957722315445,0.2272689671894967,0.16996466864392226,0.030620752831294645,0.17101015144585213,0.15597797983217473,0.49892173166486986,0.012143179604367369
Pallidum_L,0.22780335991773334,0.4127201263162684,0.1896111814283163,0.6067807505021544,-0.23775158515030712,0.4571597798228861,0.5773290697142086,0.29493167597789427,0.34554447092465934,0.5022300001744788,0.20073276776243554,1.0,0.3827803774029554,0.38673733459709536,0.7767497987358174,0.2990524018459035,0.5702682870423693,-0.15624274009608408,0.38365405521927515,0.38051667035871417,0.27393413013334983,0.29448574049532966,-0.13095648625987835,0.17999163435851454,0.00895215844785091,0.16213192931685358,0.22782397795802697,0.2412153768947389,0.5680817421861227,0.20313307749565082,0.5459673198205499,-0.20118195408755324,-0.3856763218255787,0.3719136794623371,0.2534107732356123,0.5401180115537865,0.25672794404252613,0.46078432221642995,0.3822895592595039,0.439574810086189,0.05343541109216027,0.26280102296477487,0.5120045198424804,0.44844969467401324,0.6454741518691031,-0.40006970192721125,0.17547617433178597,0.38236854900717804,0.35979630205119284,0.3649765994599212,0.26079104957381183,-0.0065494624282795245,0.28634733136937746,0.2707793944981754,0.10531242696053042
Amygdala_R,0.5266857636797704,0.42093489938055584,0.39623867809619584,0.6119122210092797,0.09075896423935172,0.37110176225529257,0.5267840952384854,0.28296178075836564,0.021442086776375952,0.7249609441205357,0.2536501153108149,0.3827803774029554,1.0,0.694064384688719,0.49732164692367403,0.3102644322054743,0.5858703881363827,0.016319952617382266,0.3289210977891825,0.42838220859539183,0.574023428523926,0.3491626581213228,0.08130621707542963,0.4659203498041329,0.05588765782757538,0.22979609872121073,0.4340112271844085,0.09854977536837295,0.5789527278674851,0.3346954639731322,0.6564333120752637,0.1528020421561704,-0.1378721824467715,0.3425723053150538,0.3387574118952544,0.5393578877900799,0.3080399545083823,0.25503691762654807,0.29685516476027046,0.5257536264243087,0.02490934005910041,0.33802509646095835,0.3010125225486111,0.319908029344586,0.4858480388727848,-0.11544025833541384,0.29560594599808154,0.43355459155107934,0.5496498952735285,0.4433437403208561,0.37293590241351693,0.06872929945369252,0.4466098060355306,0.20179749111017434,0.24192148414112147
ParaHippocampal_L,0.8087329987878084,0.5460956524415868,0.542714026854139,0.560514055846113,0.20730132482128535,0.5996480436041487,0.7027054656443437,0.4567180389765833,0.318925577401953,0.9026145034257831,0.19906497273551896,0.38673733459709536,0.694064384688719,1.0,0.5519495772774068,0.49121292126208765,0.5923710934972768,0.20832221207273374,0.523979442041792,0.6730935080209339,0.675017427566187,0.5357930933282545,0.31784311887594663,0.7708637805670913,0.2158430154821045,0.27518718722983376,0.7082380320342535,0.3704022510697439,0.7661706835446217,0.5523465596858392,0.8152317623015992,0.19732995434136194,-0.06533486404611086,0.5589903398487701,0.5728546401605638,0.39639882790896536,0.4732056909508277,0.35068654223081885,0.5856426580865793,0.4626771249562046,0.24965312186787897,0.530484286212088,0.41000311958837876,0.5926037621149873,0.5503481385950109,0.09574658686293633,0.3941026338770785,0.6576454417707639,0.2629681627518471,0.3910800467771163,0.45128797964793677,0.20042145868165354,0.5751044265494424,0.4445170708837323,0.5245777084507338
Temporal_Pole_Mid_L,0.4089880809869822,0.5102729422705151,0.2541286852959453,0.7579563643629802,-0.10824429545695793,0.5030190044633133,0.7383930420789587,0.3346533213577348,0.39279938674404785,0.6631195003247612,0.23436106639532975,0.7767497987358174,0.49732164692367403,0.5519495772774068,1.0,0.3738329065561425,0.7027795084773806,-0.060566849813058724,0.35130983587519515,0.49049780102083784,0.4505373593270381,0.30521865236150936,-0.03409473219250537,0.4138558416073482,0.12861085423976878,0.1996533993008225,0.4305138604718624,0.2546131545806959,0.7271603924759565,0.25834498287232555,0.5948796815102021,-0.07952226572127373,-0.24382831386341886,0.4159589527304073,0.3603815859081831,0.6680594884590704,0.3629409675099379,0.34594498844462684,0.41594566926728077,0.6027945896356144,0.14881891948599774,0.30220235467613127,0.40884896333687765,0.46645681628649266,0.798346842521965,-0.3528762271617333,0.32850051277189923,0.5428859093323082,0.43482568596792354,0.38147879470691426,0.4382417556639264,0.01923192176043751,0.3631549367750796,0.25501042465278473,0.13171126312696926
Postcentral_R,0.43857024644285525,0.7758860354522575,0.6145293068794718,0.36560628987403543,0.5106371868903944,0.6276631382933873,0.7029659304472521,0.9561619200883613,0.3243492313581632,0.5596898142982141,0.26058994136481756,0.2990524018459035,0.3102644322054743,0.49121292126208765,0.3738329065561425,1.0,0.22925741662517757,0.5630678057397466,0.8758311840315399,0.6646800235342339,0.4684910016932128,0.11376958166880455,0.12980652900538733,0.4069915969577618,0.5214775556614903,0.23164248980900995,0.7358342781395104,0.3177309762445141,0.5564695175600312,0.4334939735954593,0.568506071560183,0.08682643045454425,0.3588483044527556,0.9026480726521726,0.8323920466165267,0.3452485342483395,0.8870254428763177,0.10176144054881509,0.4411636904167787,0.26235667630009346,0.5010985072634527,0.6843304428023368,0.02239280299992271,0.6193913253338555,0.19067857259481671,0.2944616999693602,0.03650229463543582,0.744038668693308,0.19128337751526478,0.4532489503221833,0.09378726754989697,0.7224139450566837,0.5216116944936395,0.40325669814764364,0.2904941881790923
ACC_sub_R,0.38240178555432025,0.4726334377782501,0.379889021185511,0.8277595859505258,0.0002645295765498239,0.30239522950804837,0.6715816049608605,0.201917059117732,0.3109135519112726,0.5674891502700543,0.18896091219228772,0.5702682870423693,0.5858703881363827,0.5923710934972768,0.7027795084773806,0.22925741662517757,1.0,-0.205067273506457,0.25959189109328223,0.38372658794295295,0.5724657209292798,0.2501212785177096,-0.09714464359391847,0.4223247124379346,-0.1089833240630625,0.2340330461656335,0.36186216086807144,0.23339605927362556,0.6763799074328368,0.2034418657497989,0.49879199028159227,-0.0015828235181268818,-0.19739642481446967,0.26869555529468614,0.36811344178699906,0.5898568831872232,0.21764206421050372,0.2799992199613059,0.42388665742803494,0.7699447031841583,-0.08827089916260239,0.30430548296123366,0.3038960831202926,0.3685376791300201,0.870578734622041,-0.1651247575781609,0.39949063593254774,0.4548458292482798,0.4098725846258608,0.33085775712149107,0.4673681841233067,-0.13334413375212228,0.5068388738022329,0.06154470262914844,0.15195932644221308
Occipital_Sup_L,0.283377949721462,0.31107675853538647,0.5122296780587386,-0.1906471326817063,0.4878457418908055,0.4397359017266238,0.2168565381355571,0.5496256697974305,0.10830661609446741,0.22721596221755977,0.3146237211225638,-0.15624274009608408,0.016319952617382266,0.20832221207273374,-0.060566849813058724,0.5630678057397466,-0.205067273506457,1.0,0.585527805409315,0.40523472207184846,0.21450176664693427,0.17543104310856192,0.5131480301251012,0.09021893109188996,0.814481395537105,0.037355557835651795,0.44230861008585076,0.1801415418654478,0.18667314310510405,0.5259142091810715,0.2842134504954819,0.30799317656184544,0.41929513332288837,0.5214205904031061,0.4721708837179944,-0.1451437949773071,0.7261977879062655,0.012806661281908797,0.18672272304754908,-0.1320078723704891,0.7972988846422198,0.4797735692148978,-0.07512138229492114,0.26063704634257945,-0.24970239004800984,0.42727052282455497,-0.06550450807170309,0.5333420633223043,-0.030627280735667835,0.24067878898469267,-0.10969614367240878,0.8256703181907771,0.18205825638212966,0.5563909246868298,0.1813536303105813
Precentral_L,0.49223118922698816,0.6748267418751004,0.6950473647281282,0.34120846771105673,0.42445022087250356,0.6953810514349559,0.6863970483876599,0.8860840788327103,0.27568667068412417,0.5916807236155366,0.4619300693342821,0.38365405521927515,0.3289210977891825,0.523979442041792,0.35130983587519515,0.8758311840315399,0.25959189109328223,0.585527805409315,1.0,0.7503275756691388,0.4587335565925046,0.2305098981051974,0.2196140838297006,0.39175932534695007,0.52202407698175,0.23732150726201462,0.7329536348569938,0.4061803623010759,0.5764053999604847,0.5718312989880284,0.6701498686098916,0.15528684581140728,0.28949020112501567,0.900226550522362,0.7898282224507905,0.30998479609064367,0.8528413612835615,0.15972884691985623,0.5347452348264394,0.24451708341167594,0.5141422448674925,0.7300920350704387,0.08748305920300647,0.6479164491410511,0.19403913700625725,0.24604117790355778,0.048713687047555056,0.7837699104513614,0.18756991117198396,0.4804694313218173,0.07276112446232379,0.6569159395641505,0.49973894357440646,0.5363746442236599,0.274126802498682
Cerebellum_9_R,0.746696636210263,0.6703077576073873,0.6713791733737596,0.38606703483430665,0.4738898347594769,0.8653291088351194,0.6957024042839752,0.6841068574101904,0.3826356567409784,0.7553579816200446,0.5581025166630555,0.38051667035871417,0.42838220859539183,0.6730935080209339,0.49049780102083784,0.6646800235342339,0.38372658794295295,0.40523472207184846,0.7503275756691388,1.0,0.6414861991273496,0.38217850085022487,0.47076158259249856,0.5440414060598783,0.4832527751716261,0.4461253441621795,0.8220914124396859,0.5093572132052576,0.7353381655759376,0.7422019055053434,0.7556112088982078,0.414332730917979,0.13950080644344762,0.7517309152268272,0.737648503082863,0.28457065457715963,0.632718571593158,0.1820568079879626,0.5249593395490336,0.4562534370125016,0.48909882079285305,0.6062745389619351,0.12386520934880453,0.7330914094628913,0.3797341154795316,0.2307404021368456,0.005900070467284536,0.6923162617481627,0.19192032969671435,0.20978078112009726,0.09786389314943336,0.37642031443073415,0.49605234182409197,0.6993882267305382,0.465801752863156
