,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_Re_L,SN_pr_R,Precentral_L,Frontal_Inf_Orb_2_R
Thal_AV_L,0.0938564774290216,0.4251715785219765,0.385446726617578,0.21067941790005673,0.761824049178711,0.1599326595918815,-0.2075702049180599,-0.20180066068324493,0.1786268407574757,-0.07788399485720565,1.0,-0.20912679256336045,0.1850940118869794,0.5339226158501089,0.4956998607623038,0.4127701220576505,-0.15815888177583748,0.38099140892247757,0.18065308213121983,0.20149529388730084
Thal_LGN_L,0.21375773479812696,0.13549990544976775,0.3658385251685405,0.5791503190596043,-0.08103338535551476,0.5400363972149871,0.6702939081780548,0.2961610338885118,0.20051424171237792,0.4865876389169025,-0.20912679256336045,1.0,0.3650933608379696,0.3797303779554554,0.1113796931803753,0.6226809027668767,0.10669261178852212,-0.24589043769449645,0.5612679087414901,0.3083212427204655
Paracentral_Lobule_R,0.3417846905150683,0.21380568371003558,0.40761411747586074,0.5492556309814696,0.37128002070218363,0.4512601911774797,0.5793719723348519,0.028740865074520106,0.21876302723148197,0.34812011384684455,0.1850940118869794,0.3650933608379696,1.0,0.46107101794205313,0.3148824263966614,0.48104089880633405,0.09406783007485166,0.0481028551004599,0.6620596531287075,0.43618625755395934
Vermis_9,0.3089125083669344,0.4442896248397178,0.4952451375974038,0.6711066854196348,0.5699937354510317,0.612771505815617,0.37394165168900284,0.05353308548038705,0.4124300702270621,0.273929773733589,0.5339226158501089,0.3797303779554554,0.46107101794205313,1.0,0.4159843924625187,0.7690635253800113,-0.10557860260565238,0.21205188235011313,0.6620734014969817,0.4618098247157386
Amygdala_R,0.5197198414820922,0.08727101259752605,0.574023428523926,0.42970990693914957,0.4870401215157855,0.27524927459811294,0.15324883948748166,-0.043065720376958126,0.3784287023926868,0.11934961027296827,0.4956998607623038,0.1113796931803753,0.3148824263966614,0.4159843924625187,1.0,0.427231351739685,-0.02553336928735123,0.4043133174067348,0.3289210977891825,0.4466098060355306
Temporal_Sup_L,0.3079385191766939,0.46779737061940635,0.5372389170569932,0.7124086958073705,0.4766118473689289,0.6499652766703446,0.5040076586806919,0.23708334993535268,0.35506671961214764,0.46551109986630823,0.4127701220576505,0.6226809027668767,0.48104089880633405,0.7690635253800113,0.427231351739685,1.0,0.05788179320663416,0.21203585244676307,0.6713391075730429,0.4981023763081599
Thal_Re_L,0.0980525394710786,0.03230562605088973,-0.17220665280719802,0.05037203368649419,-0.016415785536223682,0.03564173496327538,0.08456737852524725,0.10907367824517948,-0.06587025398736764,0.08596845740580429,-0.15815888177583748,0.10669261178852212,0.09406783007485166,-0.10557860260565238,-0.02553336928735123,0.05788179320663416,1.0,0.1480213705095269,0.03877757662614452,-0.05882216843674846
SN_pr_R,0.35346890578366225,0.05642591826151543,0.15483041127873137,0.15089431217643487,0.2090819013394665,0.122362545968745,-0.1461393638904699,-0.06406113058025144,0.04845053162008223,-0.16923828554544817,0.38099140892247757,-0.24589043769449645,0.0481028551004599,0.21205188235011313,0.4043133174067348,0.21203585244676307,0.1480213705095269,1.0,0.09678964957716822,0.357091648518326
Precentral_L,0.3862806229157136,0.33579895015074507,0.4587335565925046,0.7651072785324169,0.2725642569659969,0.7444893357672342,0.5989355785396612,0.07602105059256764,0.34624767479859386,0.40622714599896054,0.18065308213121983,0.5612679087414901,0.6620596531287075,0.6620734014969817,0.3289210977891825,0.6713391075730429,0.03877757662614452,0.09678964957716822,1.0,0.49973894357440646
Frontal_Inf_Orb_2_R,0.5966162384503138,-0.012561621984467771,0.7482137458886283,0.5741981446647674,0.3460956689943193,0.49609584570356824,0.21287902919743085,-0.10420131995604455,0.12390897234907691,0.07671956554145165,0.20149529388730084,0.3083212427204655,0.43618625755395934,0.4618098247157386,0.4466098060355306,0.4981023763081599,-0.05882216843674846,0.357091648518326,0.49973894357440646,1.0
