,Postcentral_R,Thal_VPL_L,Thal_VA_R,SN_pc_L,Thal_PuM_R,Temporal_Sup_L,ParaHippocampal_R,Vermis_3,Angular_R,Parietal_Sup_R,Temporal_Mid_L,Rolandic_Oper_L,Cingulate_Mid_L,Precuneus_L,Temporal_Inf_L,Thal_PuA_R,Cerebellum_10_L,SN_pr_R,Vermis_6,Frontal_Inf_Tri_R
Temporal_Mid_L,-0.10083172071260553,0.15907076253663618,-0.19078306413047633,-0.2873167619073551,-0.08737279948363154,0.5019187044330298,-0.012078621860697901,0.11749608249614982,-0.01753695667567073,-0.18872961473567976,1.0,0.26676029775134935,0.40903589491688325,-0.07661310246342705,0.7174863826570317,-0.058207550923355875,-0.1764654940481661,-0.1830316431461075,0.31401839118876246,-0.21759598554693171
Rolandic_Oper_L,-0.23018336306945925,0.3458323206899126,-0.0875857562311782,-0.003993060895989251,0.09161966974065053,0.10043857917042723,0.07658339818523856,0.14487746244415176,-0.1352255093542007,-0.011374053176569168,0.26676029775134935,1.0,0.36814404867349987,0.1390237395316701,0.029414441754851577,0.0974427569928209,-0.020353740123380305,0.12749704439741316,0.19967807879894872,-0.05806174692593734
Cingulate_Mid_L,-0.4412120354873225,0.3687612861549594,-0.2306265180527946,0.2813573836235408,0.34205839743842387,0.572255840838812,0.31192573736453627,0.03648258464360023,-0.34991356235881843,-0.3460735795243729,0.40903589491688325,0.36814404867349987,1.0,-0.21386985340363235,0.2493614984658413,0.3485027650532859,0.298554499302723,0.1264272923786808,0.13118156097943307,-0.2830908828570622
Precuneus_L,0.5995799066108941,0.045629138919641106,0.29846261773921534,0.11922028301364355,-0.33423553644544857,-0.34195234716893863,0.0117001839812851,0.324366442474578,0.6840206329903207,0.7959479147836765,-0.07661310246342705,0.1390237395316701,-0.21386985340363235,1.0,-0.3535083439286978,-0.3421841241340218,-0.2985236252038971,0.1272964046820589,0.11324279140236494,0.35033965160131914
Temporal_Inf_L,0.016813729420000458,0.196230178305326,-0.21206133480166633,-0.22811607149700847,0.058531842541902246,0.3165175752085246,-0.033066625762649106,0.02000637925952044,-0.0888908422333711,-0.32342206102557297,0.7174863826570317,0.029414441754851577,0.2493614984658413,-0.3535083439286978,1.0,0.08072589182727592,0.03490184160458859,-0.19246820573189474,0.19019113211559915,-0.019616040960979592
Thal_PuA_R,-0.5306042625027396,0.5061877166620454,0.27554771678778867,0.11852104189436083,0.8970263535602173,0.3831187084057443,0.7370387553700797,1.6486532195760377e-06,-0.580122125705661,-0.43270559659933905,-0.058207550923355875,0.0974427569928209,0.3485027650532859,-0.3421841241340218,0.08072589182727592,1.0,0.5338837490656344,0.2815824945461391,-0.0032758682211273256,0.24647650465571022
Cerebellum_10_L,-0.23086485275219565,0.32773454634511395,0.18164118553001413,0.2528039530339854,0.4992504037564863,0.38508872826132096,0.2923852933911017,-0.12861598921801992,-0.4019084409336704,-0.38454360215567335,-0.1764654940481661,-0.020353740123380305,0.298554499302723,-0.2985236252038971,0.03490184160458859,0.5338837490656344,1.0,0.30482980367677837,0.008251902540612891,0.06287548602154774
SN_pr_R,0.01207610120189831,0.38391924738403965,0.20818410984640487,0.09543019835275635,0.3245394281520462,0.18638006521863124,0.24954781913293264,0.0034708129691232263,-0.09629093440960478,0.07526392093686772,-0.1830316431461075,0.12749704439741316,0.1264272923786808,0.1272964046820589,-0.19246820573189474,0.2815824945461391,0.30482980367677837,1.0,-0.04760913561967959,0.05349161233008316
Vermis_6,0.041982615894010575,0.1543380174263511,0.20027530123288215,0.09297590131872724,0.10045575483880645,0.16927987436298692,-0.003908186953326694,0.5126287635695145,-0.0027286908381685643,-0.07987238022845843,0.31401839118876246,0.19967807879894872,0.13118156097943307,0.11324279140236494,0.19019113211559915,-0.0032758682211273256,0.008251902540612891,-0.04760913561967959,1.0,0.1156495954947183
Frontal_Inf_Tri_R,0.39227358969263465,0.2719223805735457,0.4193740260154335,0.16023306656150532,0.23790533588232893,-0.35557442929813365,0.2975813208522675,0.2089200721920792,0.08840261274775071,0.28821685912998546,-0.21759598554693171,-0.05806174692593734,-0.2830908828570622,0.35033965160131914,-0.019616040960979592,0.24647650465571022,0.06287548602154774,0.05349161233008316,0.1156495954947183,1.0
