,Thal_PuL_L,Raphe_M,ParaHippocampal_L,Cerebellum_4_5_R,Lingual_R,Calcarine_R,Cerebellum_10_R,Thal_VA_L,Parietal_Inf_R,Thal_PuM_L,Occipital_Inf_R,Cerebellum_4_5_L,Cerebellum_6_L,OFCant_R,Thal_Re_L,OFClat_R,Thal_PuI_R,Thal_PuI_L,Precentral_L,Raphe_D,SupraMarginal_L,Supp_Motor_Area_L,Precuneus_L,Precentral_R,Thal_MDl_L,Vermis_10,Thal_AV_L,Vermis_4_5,Cerebellum_Crus1_R,Vermis_3,Frontal_Inf_Oper_L,Calcarine_L,Insula_R,Thal_PuM_R,Thal_AV_R,OFCpost_L,Thal_VPL_R,Vermis_9,Red_N_L,Hippocampus_R
SupraMarginal_L,0.48264392827656954,-0.03131669250932605,0.17639241720187782,0.514967605783695,0.5448764889910485,0.6593076853602847,0.36033378148931344,0.03464894476224456,0.6979861797961737,0.6415596398638608,-0.14096885111070473,0.607897445229517,0.45044397962385857,-0.0225538194732793,0.049463268198294136,0.12227771699064878,0.19864529501913047,0.40779854349149697,0.7124772812465306,0.16964604702828176,1.0,0.6994548372223441,0.5866288705646425,0.634272316618028,0.5784763465664673,0.3249894905817401,0.04624688494866371,0.46968202753832905,0.19551107456077144,0.42430585936550225,0.7637745380223494,0.5585841072426122,0.5821154384541204,0.489004787829281,0.13930582993413643,-0.020678881816606084,0.46849494219333476,-0.23389699989581933,0.14692579656442617,0.2940260759115015
Supp_Motor_Area_L,0.12439128009378662,0.23317131106551595,0.4314666614125216,0.10921382167627203,0.13057554998419668,0.31177205526063084,-0.14192674375696027,0.37670751494298543,0.558534947198187,0.7647408986133521,-0.009436774485862541,0.24645495061293538,-0.028786765088175376,0.22749822630937352,0.01912249210041738,0.19325225761161222,0.430177189167283,0.6275723397565642,0.8146816824696486,0.3993974188146225,0.6994548372223441,1.0,0.5878414235109797,0.8054711312825293,0.5070137969392519,-0.18378209068793674,0.3658427842278828,0.03801663648987535,-0.1788718043224232,0.6858495754383649,0.7765522447579193,0.16356915487665857,0.23396674273028556,0.7955852234527002,0.14814188910656284,0.1486232629370642,0.6843115311167671,0.22451666783289542,0.17119996788982078,0.6279040134887961
Precuneus_L,0.24037272017146927,0.08802945235184344,0.30459950183960943,0.5525319762665599,0.5484343787435176,0.6297786503410571,0.18402772142114301,-0.028322137460773396,0.8786393658863448,0.47825689016113243,0.1978429112997417,0.6153840512973124,0.4093931061933261,-0.1282389464007466,0.05955168187191954,-0.08684082130482952,0.366094049985818,0.5712641207373467,0.4782107057339942,0.06368556205285704,0.5866288705646425,0.5878414235109797,1.0,0.5083248629494589,0.3021823719414171,0.17392402570097076,-0.18989884818297287,0.486576949634457,0.06498431123319943,0.5524885760024111,0.511233157109951,0.6068614259680923,0.36713307012546254,0.5773245620704145,-0.01119763891429378,-0.14160917444059948,0.5592230317737756,-0.06963089009942129,0.2514976080049242,0.512059804405232
Precentral_R,0.19357055147928762,0.20953764218322163,0.6006859991452589,0.20406467059466363,0.25235855072817887,0.26301720722334293,-0.014372007320822625,0.39126816838313605,0.5028643517269628,0.8063692541562247,-0.09240878581747457,0.3204706600925454,0.025724901053891757,0.3147875769174604,0.012705277794304855,0.33266705401827856,0.46614983248908887,0.6095011332851041,0.8505029371982803,0.5041989589993845,0.634272316618028,0.8054711312825293,0.5083248629494589,1.0,0.6009933556911858,-0.1328205986869264,0.4122362981866884,0.10659105431880454,-0.3081631745380023,0.7816821429652119,0.7419415345907143,0.1409538824610956,0.37980119910960575,0.8065889512879243,0.31972939730825717,0.2708839717368511,0.7489148578918646,0.16790833387978119,0.024365282384121337,0.7350530848254774
Thal_MDl_L,0.44952453865134673,0.10039845089664771,0.37700186400306324,0.36947865119285683,0.4565866276322827,0.3673047023298366,0.38284636259870264,0.2551677009835116,0.4598027506836857,0.7391822082249399,-0.16139287345495754,0.5087076530813998,0.286430058651879,0.07873690216178479,-0.08353106103150364,0.21820896751057742,0.2996727314517849,0.3624087219977551,0.6176486884178932,0.3586875254243479,0.5784763465664673,0.5070137969392519,0.3021823719414171,0.6009933556911858,1.0,0.23994598754133314,0.2714923172519055,0.35839224285759635,0.0994641387115636,0.5305912773347454,0.5698637546400392,0.3286045213117558,0.5990186512047694,0.5198561383779741,0.3031590763008268,0.1542493336244159,0.5823522494815973,-0.2819602480103913,-0.06239286132959257,0.4104553014585513
Vermis_10,0.7614825774350674,-0.4003338781322947,-0.5123277439671606,0.7956481067880601,0.8120641221552068,0.7383135665749886,0.9538892783034552,-0.6000356512027584,0.3575765899392658,0.044096830728333855,-0.09124708416938132,0.7437075841748889,0.925052362737827,-0.6397315545303086,-0.09808659605351461,-0.4195655516386176,-0.20329939580684914,-0.32585775340659195,-0.009437843912489677,-0.4118965186946612,0.3249894905817401,-0.18378209068793674,0.17392402570097076,-0.1328205986869264,0.23994598754133314,1.0,-0.6348293305538878,0.8904478524099029,0.7739690178493279,-0.31265875226088125,-0.010902879491980733,0.8040556647199942,0.6776674658118578,-0.26418171618546094,-0.11606348635048143,-0.4685248427908804,-0.11489366218404953,-0.9188293270104125,0.09887850520508128,-0.505044629887263
Thal_AV_L,-0.3026615787495474,0.41234541141921144,0.5980349615758214,-0.5733851432595556,-0.4341384251488634,-0.40204549210385276,-0.48525304157333005,0.7749272665840596,-0.24754594201434652,0.35167703259563227,-0.2699833979236393,-0.45912721675712465,-0.6256459531968045,0.7203720132420894,0.12116821658253202,0.5823924943692231,0.21716915855446844,0.4528054496189777,0.4596650387175851,0.6667709574828689,0.04624688494866371,0.3658427842278828,-0.18989884818297287,0.4122362981866884,0.2714923172519055,-0.6348293305538878,1.0,-0.6421440535414394,-0.5438176920389098,0.3588251753933841,0.37623767396418584,-0.6254288437433216,-0.30730036734975336,0.36721556841281827,0.5743346812554805,0.3857438355029952,0.3621652079148629,0.524367072365549,-0.3921919862023445,0.5122325213931868
Vermis_4_5,0.7147990292180754,-0.26285929593710267,-0.2640326485699224,0.962933439914015,0.9153363283957282,0.7931763923600508,0.850343326729053,-0.5185899381352469,0.6419855310441062,0.24736585590890492,0.04066480491875264,0.93167102311495,0.9496934855833856,-0.59067070722424,-0.10882209725784864,-0.36616323282264046,0.029571509432535528,-0.08021820273899176,0.14430993766974615,-0.38516863513330113,0.46968202753832905,0.03801663648987535,0.486576949634457,0.10659105431880454,0.35839224285759635,0.8904478524099029,-0.6421440535414394,1.0,0.6970023987582669,-0.0013170622651238818,0.13749322996038132,0.9190805861165138,0.7683938455322323,0.04331139803313468,-0.14190937615312604,-0.37048447923707245,0.15739008084698303,-0.7708592141743091,0.24532337859854875,-0.1730186654521262
Cerebellum_Crus1_R,0.5148669933431954,-0.1339461244378634,-0.5127886762893583,0.5956022724478938,0.5586908390181531,0.519243418403839,0.6699344680520797,-0.45804200606775985,0.24793254986407684,-0.058971673801551446,-0.03294469250193285,0.5196241254395013,0.7096238694846588,-0.5941275268459973,-0.12178150897450958,-0.3792237835615785,-0.2529246847970478,-0.33966560200353363,-0.10511593479025257,-0.5246709429083412,0.19551107456077144,-0.1788718043224232,0.06498431123319943,-0.3081631745380023,0.0994641387115636,0.7739690178493279,-0.5438176920389098,0.6970023987582669,1.0,-0.47047225441749074,-0.07646692893679055,0.6410747672412138,0.4819883373265668,-0.274905923723126,-0.09761432107249307,-0.37581279050906796,-0.15779830354511903,-0.7467523288128527,0.211864623019721,-0.5251194845379193
Vermis_3,-0.01013092169127293,0.28185247974132166,0.7191843578988926,0.12076392919521017,0.11292156566733078,0.09554881398468458,-0.20287997567678012,0.44260569363611085,0.5005790872883621,0.6474653634645358,0.03950527050241524,0.27621262791364287,-0.1170623217822117,0.31397096327962803,-0.029956934017123623,0.20853962249078417,0.634718756107946,0.7048302399806837,0.6157719872856415,0.5370617531635754,0.42430585936550225,0.6858495754383649,0.5524885760024111,0.7816821429652119,0.5305912773347454,-0.31265875226088125,0.3588251753933841,-0.0013170622651238818,-0.47047225441749074,1.0,0.5938425304149108,0.020728179972558602,0.13990280429082394,0.7676267702708524,0.11910869059209901,0.22962116292105061,0.7096799253531173,0.32312273281795806,0.07353380120589564,0.8651571157507932
Frontal_Inf_Oper_L,0.2607607887421058,0.17317675127353183,0.4471566873820695,0.1825653187703429,0.2757404049023115,0.3949830043676747,0.08145186382295615,0.3861588510715286,0.4889238910560586,0.7057036689009516,-0.21889733259139096,0.31328702239055106,0.10690114482360191,0.18547411244001863,0.032904159071427415,0.16114230643587835,0.2836887258084151,0.600488730813578,0.8745694891464904,0.4170838340501086,0.7637745380223494,0.7765522447579193,0.511233157109951,0.7419415345907143,0.5698637546400392,-0.010902879491980733,0.37623767396418584,0.13749322996038132,-0.07646692893679055,0.5938425304149108,1.0,0.2222511857287319,0.30201342742662557,0.5978100912467903,0.27036088779910156,0.05951067259289223,0.6007862487260242,0.02282108694875611,0.06355625481166596,0.5090366870006121
Calcarine_L,0.650974955510117,-0.3096400765539504,-0.31602718316289097,0.8709297277721281,0.8271482649337495,0.8881840666518978,0.7597917345509289,-0.5347396629083163,0.6930425543891476,0.2709790131762502,0.04769588828354183,0.8615260613986607,0.872489342025004,-0.5230640057701924,-0.03236536714198512,-0.32331138657765923,-0.005643734855647386,-0.023654664060758977,0.19974687165807264,-0.3625181153886829,0.5585841072426122,0.16356915487665857,0.6068614259680923,0.1409538824610956,0.3286045213117558,0.8040556647199942,-0.6254288437433216,0.9190805861165138,0.6410747672412138,0.020728179972558602,0.2222511857287319,1.0,0.7532156146629893,0.06863198282161462,-0.21284369575186285,-0.3419040982500269,0.12164728389600946,-0.6791904913190118,0.33059106961261286,-0.16181773285586015
Insula_R,0.636868909615829,-0.21607830233121664,-0.07526049754932805,0.7298800132026039,0.7043999653940136,0.653580966970721,0.7092975578973074,-0.2757162529293848,0.5677643385712963,0.49177424677702014,-0.01030737876590524,0.7648200885201628,0.7009607893529703,-0.19493301654557865,-0.0847321855024586,0.09929451326538657,0.09564860992357418,0.03701525096280758,0.34826114316151974,-0.14984422984377102,0.5821154384541204,0.23396674273028556,0.36713307012546254,0.37980119910960575,0.5990186512047694,0.6776674658118578,-0.30730036734975336,0.7683938455322323,0.4819883373265668,0.13990280429082394,0.30201342742662557,0.7532156146629893,1.0,0.2597576268666034,0.032854172036214345,-0.021885975281799714,0.3267793078102553,-0.5835529884365742,0.23286111447150054,0.02367548952284477
Thal_PuM_R,0.04008296757615687,0.3747769629990134,0.6111709913436952,0.1443416693965878,0.1459922537315911,0.140247974043715,-0.1872396039428202,0.5234331506058588,0.5585673226551905,0.7745015698573163,0.151360498098307,0.275195850347908,-0.06054701083896823,0.26907985972113707,-0.019731317207404012,0.27554867102592584,0.5356486020812088,0.6997785151552391,0.6899721727455043,0.4078384438434268,0.489004787829281,0.7955852234527002,0.5773245620704145,0.8065889512879243,0.5198561383779741,-0.26418171618546094,0.36721556841281827,0.04331139803313468,-0.274905923723126,0.7676267702708524,0.5978100912467903,0.06863198282161462,0.2597576268666034,1.0,0.23034448022858242,0.19675791265202155,0.8706789067844477,0.3099523634187272,0.16965265318559017,0.8178051277612348
