,OFClat_L,Cingulate_Mid_L,OFCant_L,Rectus_R,ACC_pre_R,Cerebellum_4_5_R,Angular_R,Rolandic_Oper_R,Occipital_Mid_L,Frontal_Inf_Tri_L,Cerebellum_9_R,Lingual_L,ACC_sup_R,Frontal_Inf_Tri_R,Rectus_L,OFCpost_R,Frontal_Sup_Medial_R,Parietal_Sup_L,Cingulate_Post_L,ACC_sup_L,Occipital_Mid_R,Putamen_L,Rolandic_Oper_L,Frontal_Mid_2_L,Thal_PuM_R
Cerebellum_9_R,-0.20576242096372577,-0.01413784854579866,0.20936028451012684,-0.17016029567307153,-0.32121585632060895,-0.285745689000871,0.12749285994998769,-0.26873398146832345,0.05106681900920123,0.040068909441637296,1.0,0.2579188302077418,0.09155413431249233,-0.2172601880724748,0.021479943876119945,0.22239716700813458,-0.13660866736672628,0.06730233465208306,-0.006269784495011371,-0.1394686573295368,0.02609206238549546,-0.17707349947746653,-0.13459846826127617,0.08480082121233799,-0.2543700349949724
Lingual_L,-0.012912491241708292,0.2830242023723509,-0.031008220309266043,-0.2582805282010623,-0.2152970860634761,-0.19341838746089146,0.673348512959417,-0.45231539944736265,0.1051081536372874,0.21047732220286136,0.2579188302077418,1.0,-0.14929848047831143,-0.11444769129745733,0.21593053797178682,0.06579024216945799,0.039245739901279,0.4934390025028313,0.34181741868503,-0.20911729586407657,-0.09040048924813884,-0.28080616180311274,-0.3786412623202218,0.3045495939969602,-0.4146605266000127
ACC_sup_R,-0.08504427534018037,0.11971561967568954,0.07588914446489639,0.04796851611353444,-0.10715520680547366,0.17650034572063378,-0.4444388368362614,0.43535656575171827,-0.18842536039392535,0.26618833969084826,0.09155413431249233,-0.14929848047831143,1.0,0.4442656258511558,0.0786632196769569,0.22954664921533485,0.24385829236582143,-0.30057070793686846,-0.29508872761772503,0.43371827796892143,-0.20730244719091806,0.4757732129150401,0.3612607197857288,0.277172960997682,0.444771805822962
Frontal_Inf_Tri_R,0.14241753173067073,0.25661782588230775,-0.06855427593640336,0.1556685646040792,0.18900538168891665,0.729952036492271,-0.3251365986463261,0.8306722576228456,-0.41059091080998006,0.36598059031756713,-0.2172601880724748,-0.11444769129745733,0.4442656258511558,1.0,0.029845460519447326,-0.18533942664843342,0.7561512828081403,-0.2700099106867297,-0.1884893201385828,0.7404626528186447,-0.13139901444724503,0.6485076165630408,0.5129271857822056,0.4891307289344165,0.7517034920009636
Rectus_L,0.18342310572068452,0.0731775960311545,-0.01741639018602298,0.008398138266992143,-0.01921452459655541,-0.03605267071253186,0.016302148534712763,0.004434920277988311,-0.10404252744677131,-0.21901413365067915,0.021479943876119945,0.21593053797178682,0.0786632196769569,0.029845460519447326,1.0,0.2180870831236534,-0.02428841900532373,0.12293086316654223,0.13105987912082862,-0.04806790447822139,-0.12348628322061558,-0.029351232693169704,-0.010491946582536793,0.07424908005904744,0.02207509570462698
OFCpost_R,-0.020451073744689782,0.08337717479376569,0.06535545144248833,-0.05398688523437681,-0.07241199449301161,-0.3573226844207177,-0.04342599722846679,-0.20417592525256636,0.12084347170681604,-0.16817519456842134,0.22239716700813458,0.06579024216945799,0.22954664921533485,-0.18533942664843342,0.2180870831236534,1.0,-0.13930936693265109,0.04974562471414203,0.1242186058199529,-0.12434197343565973,-0.02113802427757562,0.016785945089371403,-0.002077946300840501,0.08351292107973858,-0.16552428239735598
Frontal_Sup_Medial_R,0.2471517824721256,0.5896939571661404,-0.038878671082032835,0.20396764923597405,0.36316607404280044,0.5843367670325247,-0.17609113526051712,0.6461382485311058,-0.15339739638488475,0.5936322563222538,-0.13660866736672628,0.039245739901279,0.24385829236582143,0.7561512828081403,-0.02428841900532373,-0.13930936693265109,1.0,0.042324075773866855,0.21005143948603427,0.747931155852492,0.010278830285151483,0.6697075087274176,0.6268378951747695,0.7065121526566593,0.6775257566713171
Parietal_Sup_L,0.12186209586860554,0.5294123236128593,-0.0469072030264861,-0.08499956411765763,-0.031073617412678903,-0.14772312224055575,0.7393615820341939,-0.41666066400688434,0.4206690989769502,0.21582188380841977,0.06730233465208306,0.4934390025028313,-0.30057070793686846,-0.2700099106867297,0.12293086316654223,0.04974562471414203,0.042324075773866855,1.0,0.617658973190865,-0.22681889344299067,0.17508204891172982,-0.11992601917813668,-0.08805301762915427,0.3034662988144731,-0.20262293042632387
Cingulate_Post_L,0.16056505356472642,0.7207156109855699,0.032491433133184165,0.03423805216016392,0.4007985018174279,-0.19957707586985665,0.42179125028098946,-0.3057495624462305,0.28457330618202564,0.13843344872480465,-0.006269784495011371,0.34181741868503,-0.29508872761772503,-0.1884893201385828,0.13105987912082862,0.1242186058199529,0.21005143948603427,0.617658973190865,1.0,-0.06926449156653752,0.10018111661131324,0.1464559787201687,0.16549407666661453,0.33074970047865115,-0.024434822355920205
ACC_sup_L,0.20328556801473407,0.3156471882041676,0.035827514702224394,0.2620089708089544,0.3193980995575743,0.5911485355841345,-0.48463716044570504,0.7377282729647647,-0.3085278870341843,0.48805032800921555,-0.1394686573295368,-0.20911729586407657,0.43371827796892143,0.7404626528186447,-0.04806790447822139,-0.12434197343565973,0.747931155852492,-0.22681889344299067,-0.06926449156653752,1.0,-0.16616616062564887,0.67792279047093,0.6514008947136462,0.521537952478207,0.7043422984875871
Occipital_Mid_R,0.03143528259170215,-0.02039633880965407,-0.02912231961615823,0.05787753920302577,-0.020531714737370203,0.025124652579683177,0.18686505606760334,-0.09379136736980012,0.14205269437915036,-0.09540318387604373,0.02609206238549546,-0.09040048924813884,-0.20730244719091806,-0.13139901444724503,-0.12348628322061558,-0.02113802427757562,0.010278830285151483,0.17508204891172982,0.10018111661131324,-0.16616616062564887,1.0,-0.1183419166105027,-0.04746806994321961,-0.08846593159823286,-0.06424592993043145
Putamen_L,0.11780452413183247,0.4963731426332362,0.12877842007535562,0.23248929242415614,0.3149672023858252,0.43519282836387263,-0.4290068014352179,0.5982359541383021,-0.15947540811490002,0.5047453417794094,-0.17707349947746653,-0.28080616180311274,0.4757732129150401,0.6485076165630408,-0.029351232693169704,0.016785945089371403,0.6697075087274176,-0.11992601917813668,0.1464559787201687,0.67792279047093,-0.1183419166105027,1.0,0.8559184683923231,0.4777364847645969,0.7565801339723423
Rolandic_Oper_L,0.11327664341209552,0.46648716917749217,0.07721536883234725,0.3075065484578165,0.3120734811802845,0.4404630175153925,-0.4806014922760267,0.5592123185243991,-0.06309049043662888,0.5182099716537657,-0.13459846826127617,-0.3786412623202218,0.3612607197857288,0.5129271857822056,-0.010491946582536793,-0.002077946300840501,0.6268378951747695,-0.08805301762915427,0.16549407666661453,0.6514008947136462,-0.04746806994321961,0.8559184683923231,1.0,0.490890468393571,0.7716114688635317
Frontal_Mid_2_L,0.09819963951499455,0.6176488715547053,0.005108887410229933,-0.08285352894671559,0.1020452239427393,0.18547350965207118,0.13663335916302427,0.1914972432127215,0.01935323417048631,0.5777020251461114,0.08480082121233799,0.3045495939969602,0.277172960997682,0.4891307289344165,0.07424908005904744,0.08351292107973858,0.7065121526566593,0.3034662988144731,0.33074970047865115,0.521537952478207,-0.08846593159823286,0.4777364847645969,0.490890468393571,1.0,0.3501862002745891
Thal_PuM_R,0.17981410221470637,0.3937293514658862,0.007122732302711871,0.31095003583778197,0.3539124212844083,0.719573421075722,-0.5411695146192008,0.8510545199472566,-0.2253427525242382,0.3539845947782034,-0.2543700349949724,-0.4146605266000127,0.444771805822962,0.7517034920009636,0.02207509570462698,-0.16552428239735598,0.6775257566713171,-0.20262293042632387,-0.024434822355920205,0.7043422984875871,-0.06424592993043145,0.7565801339723423,0.7716114688635317,0.3501862002745891,1.0
