,Thal_PuM_R,Vermis_6,Vermis_7,Cerebellum_6_L,Frontal_Sup_2_R,OFCmed_L,Thal_LGN_L,Cerebellum_4_5_R,Insula_L,OFClat_R,Cingulate_Mid_R,Amygdala_R,Fusiform_R,Rolandic_Oper_R,Vermis_8,OFCant_L,Frontal_Inf_Oper_L,N_Acc_R,Cerebellum_Crus1_L,Frontal_Inf_Orb_2_R,Heschl_L,Supp_Motor_Area_L,Thal_MDm_R,Thal_PuI_L,Raphe_M,Temporal_Pole_Sup_R,Precuneus_L,Thal_VL_L,Frontal_Sup_2_L,Temporal_Mid_L,Thal_PuM_L,Temporal_Pole_Mid_L,Putamen_L,Cerebellum_Crus2_R,Thal_IL_L,Thal_MGN_R,Thal_IL_R,Lingual_L,Cerebellum_8_L,Occipital_Sup_R,Precuneus_R,Pallidum_L,Cerebellum_8_R,Vermis_1_2,Temporal_Pole_Mid_R,OFCant_R,Calcarine_R,Thal_MDm_L,Occipital_Inf_L,Olfactory_L
Cingulate_Mid_R,0.6230107212161062,-0.1368259155665904,-0.009536906581697261,0.028027674973123102,0.5935793220746924,0.18981360810077136,0.22899116390051105,0.353439805666354,0.7334822942312802,-0.0734240608997156,1.0,0.08216007652821225,0.3574630877670185,0.37867630006000663,0.14859658204519124,-0.008653555981073313,0.5900737699029813,0.10025040475741055,-0.03879080488002247,0.22850116968749978,0.5512020909702792,0.8285168500229896,0.5904721902166669,0.5316559708474597,0.21252323830543904,0.06896259683643727,0.4402652307868063,0.726176175580966,0.8273281799683823,0.36278966878072877,0.6662850440750292,-0.22637340625961835,0.63649380220487,0.0996908583254473,0.4130969819742428,0.46605440711870005,0.5053326478622123,0.0747182428327581,0.08663672348966742,-0.17717510097683864,0.46475573744291715,0.4885910340555857,0.32285141814953355,0.3851302966208216,0.0451998735706473,0.04170400887076787,0.2818142482095221,0.6821867629052116,0.17087601865800678,-0.016904075089355302
Amygdala_R,-0.0723418436871386,0.11248107767489013,0.12606036665848647,-0.05354418568653902,-0.08351722522012468,0.16188904959511488,0.1547209193622055,0.08134862033389888,-0.06605062218089663,0.09474875620086666,0.08216007652821225,1.0,0.13307709910734616,-0.11397209938592463,-0.2933725118955335,-0.04616052769492793,-0.011123776487778245,0.2629281288810651,0.2197296121863449,-0.03658206489968313,0.14076282723502745,0.14102174010679258,0.04681339032538105,0.003102196877261774,0.009360355496638871,0.3407841690204422,0.2966290335227393,0.16894287935963925,0.08096771425901449,0.2505863429578687,0.15887662507617228,0.3392804670948623,-0.0934637933974183,0.022776020181062225,0.0904728379704027,-0.00569389180382919,-0.14837279766505648,0.03078706022944046,0.024403457718561544,0.03277597006124417,0.22435001073969627,-0.10584426077033975,-0.059500685856182144,-0.04356774597713875,0.33677373552714396,0.14246179041109175,0.3327517725078019,0.1539242199509198,0.10913774172829692,-0.08389570671692034
Fusiform_R,0.4343010569131146,0.10201567127497763,-0.06924386519209415,0.3288059105688257,0.41112389901160923,0.1907462025140041,-0.152345924491787,0.7655070707783513,0.19288125502626793,-0.31029432368493987,0.3574630877670185,0.13307709910734616,1.0,0.5152918749050022,0.03379488460099704,-0.15658414456064743,0.18639576212096762,-0.0403121603362428,-0.04084293140559572,0.368324936627953,-0.18705391376571706,0.42465268921918076,0.6303680963100904,0.05538475388583777,0.4776225081778035,0.4035814104068114,0.23788785555485512,0.38807089794110533,0.466245488587426,-0.019284931877301566,0.10430230298051098,0.2166287593196532,0.24874447700732566,-0.007451349411760463,-0.008364638088114874,0.3560943532662472,0.37664825896240745,0.1826941383849176,0.2850270836946346,-0.2817219284944433,0.14499938558461836,0.11840249828447665,0.1392689542830594,0.5024542610006669,0.15879378864087232,-0.07001173025643376,0.6887509993578981,0.3501205328147452,0.06993511907796372,-0.20800665435181928
Rolandic_Oper_R,0.8510545199472566,-0.5099316222959944,-0.1496969581905902,-0.18333706927026266,0.8390110256697985,0.13678236092615662,-0.32396376814738104,0.8076274689176753,0.42746215819619243,-0.48923821486779184,0.37867630006000663,-0.11397209938592463,0.5152918749050022,1.0,0.15288585561209758,-0.09178478684525905,0.39309765001686464,-0.031669921831846616,-0.41826229521022373,0.6729945352524436,-0.07473592710617259,0.30872718086785406,0.3011945349558149,0.5840498243570025,0.8208588966190471,-0.014914131351509709,-0.35598106902582316,0.5377667796014441,0.35165106841105254,0.2920814715667132,0.30099472466282384,0.03232451160636727,0.5982359541383021,0.26394461252395673,-0.10033535989379305,0.4795260411442936,0.5309802616437557,-0.45231539944736265,0.14281900243511697,-0.7542373457248203,-0.4103773537583385,0.3469252621418242,0.42395031548243456,0.8864546316166506,-0.16164229813423617,0.1948970209780821,0.3798960115861647,0.08340156909737548,0.03624947686574078,-0.1817371067330718
Vermis_8,0.188339477429984,0.07112445919808848,0.01818098998416524,-0.007229923705198122,0.12766362661713748,-0.044331666691328785,-0.057466805756978545,-0.025117680824079038,0.13639136683474112,0.1285074948515903,0.14859658204519124,-0.2933725118955335,0.03379488460099704,0.15288585561209758,1.0,0.0651089832263806,0.11889574824543399,-0.057233968422776525,-0.2628746502250023,0.1809208348286744,-0.023294939359104292,0.10550630690919513,0.15191843520484974,0.19883348137447537,0.11119858673076072,-0.1402964457870221,-0.00945849264217447,0.18991044193500511,0.11068866652658224,0.0005737941589449112,0.08042066570149023,-0.018356912861328796,0.21820076763240093,0.14752394761214266,0.10751694786361576,0.10401021657270475,0.16149680217834894,-0.05906623779142883,-0.35842620661517105,-0.08019278717518274,0.0023418004006322555,0.24008827151121054,0.34750374452433125,0.15659996083146208,-0.04003642192779254,0.14112790780407794,-0.012197018783609551,0.11237646458040727,-0.06363817027997679,0.020380195435353504
OFCant_L,0.007122732302711871,-0.08259467325650019,-0.036077985738445416,-0.183434876923375,-0.05596386399063516,-0.048847322313619816,0.06164352529325756,-0.11587351284648431,0.08585097474288955,0.06818754000130038,-0.008653555981073313,-0.04616052769492793,-0.15658414456064743,-0.09178478684525905,0.0651089832263806,1.0,0.014661457583290597,0.00416722526813212,-0.11015004268013455,0.004491173455299674,0.10858930515486044,0.001129196492982743,0.03753538407958067,0.041693610874845376,-0.07564582964507084,-0.11224388499127226,-0.05824068440706544,0.03827351303220579,-0.014604066829739498,0.028455588069120543,0.04660401747840464,-0.06326320795424122,0.12877842007535562,-0.005250201571812848,0.10406982882067704,-0.04133084926234525,0.012663903294459416,-0.031008220309266043,-0.09609581976283883,0.017996712201398653,-0.02466302967015006,0.13450166133715394,0.03978119166866239,-0.03414163692824575,-0.21908329576976796,0.0876294857782141,-0.12133073188439555,0.08224229830884791,-0.06466203061005309,0.11363466045306772
Frontal_Inf_Oper_L,0.566986186554859,-0.21574221145525388,-0.013436316545975033,-0.19862522749054856,0.6119602703640545,-0.06274683311870348,-0.02421036511843059,0.32800798365699857,0.6795337239235463,-0.2634260487028425,0.5900737699029813,-0.011123776487778245,0.18639576212096762,0.39309765001686464,0.11889574824543399,0.014661457583290597,1.0,0.004725358339020982,-0.27866589679315673,0.451642357659984,0.4506621507857462,0.506665418619215,0.3342997003049713,0.5995531283464456,0.383393417627744,-0.07992069193706892,0.035178459245119274,0.5845152778773914,0.6087794981848903,0.409336841442662,0.4622508821470829,-0.10338863417339339,0.7762717533662886,0.17969340268905715,0.21187620958663508,0.29761339489743305,0.4681081143837961,-0.25738798227969534,-0.019072612177527648,-0.3807777903963654,0.02863216891364411,0.5703147630107653,0.3552239494642869,0.4461779675983315,-0.12069157849449189,-0.08317651991169063,0.15832738813873273,0.2949419283243317,-0.03882842459141279,-0.15281139468154503
N_Acc_R,-0.009994251021312841,0.03591987153914871,-0.017194715034507164,-0.034747051777581674,0.021704376114322688,0.18125380332644186,-0.0020497039764590733,-0.09984022175344881,-0.13532279797999994,0.055789848522914375,0.10025040475741055,0.2629281288810651,-0.0403121603362428,-0.031669921831846616,-0.057233968422776525,0.00416722526813212,0.004725358339020982,1.0,0.16283530913876998,-0.014882868899145474,0.14086491388270014,-0.07307780021230695,-0.1849221217194521,-0.009672161266798039,-0.09488151265758481,0.006749835451991753,0.06600727128886767,-0.06566399870615011,-0.022816417657754155,0.11581084409344358,0.017796561157363416,0.23324714003684024,-0.026617863055603826,0.07019820604130216,-0.06946025423496674,-0.0015026005490703133,-0.1284574357422833,-0.038473975928153534,-0.09326787039841726,0.026891562191247064,0.0197684887044361,-0.06988372590201675,-0.03305370918635771,-0.11328144432258977,0.049992913325255614,0.10048227864936958,0.14419287683910847,-0.15701803138233544,-0.02203935914075733,0.0700623758924562
Cerebellum_Crus1_L,-0.3735643823735707,0.5465833525687741,0.22466932407375387,0.2977755979429491,-0.2781944388021679,0.27580256403612713,0.29312147206557476,-0.24204893838537211,-0.12218646640758064,0.3227011859813359,-0.03879080488002247,0.2197296121863449,-0.04084293140559572,-0.41826229521022373,-0.2628746502250023,-0.11015004268013455,-0.27866589679315673,0.16283530913876998,1.0,-0.3370837316442147,0.1945313214301268,0.07364998532941477,-0.00889297571991314,-0.33620061879657387,-0.4488025815924087,0.11752355283224772,0.3754765478123718,-0.09727444925215259,0.04062220204805709,-0.05872905549578089,0.021465061331373155,0.010404177004506772,-0.40304914210171255,-0.21848357697571621,0.20652384221901374,-0.12091333436287385,-0.22525765333204392,0.5544327196559705,-0.12343027424566341,0.4251435709398426,0.42357226580135593,-0.3187168951890687,-0.32395927635732835,-0.4537396493541824,0.23770613558671236,0.002933946565122763,-0.019525891564228282,0.14992283001030482,0.22362384986963488,0.1569591849729898
Frontal_Inf_Orb_2_R,0.5842734584562823,-0.34090028991996035,-0.2006298591898135,-0.2526249888292626,0.6213624658021812,-0.12600770088575242,-0.329542242531744,0.5716199478497984,0.38760974732081954,-0.4535253917088003,0.22850116968749978,-0.03658206489968313,0.368324936627953,0.6729945352524436,0.1809208348286744,0.004491173455299674,0.451642357659984,-0.014882868899145474,-0.3370837316442147,1.0,-0.056644065836358774,0.18852485486005305,0.20646651069729782,0.33230632926694603,0.6545791300322414,0.05199129694168945,-0.2884751579008055,0.37138980209640465,0.2630301286045423,0.1408639858299089,0.14451723031114902,0.19412272173200007,0.5325908819894782,0.2275184574104376,-0.0780635065781307,0.17713361737165542,0.25941592374526323,-0.4374501630252859,0.07665751519175272,-0.563756969966931,-0.30608750735658474,0.3919890687120739,0.3613694217375257,0.5914246121954759,0.028576518433037598,-0.0007829094455609401,0.22125292085339054,-0.038736934430317074,0.05145032086011343,-0.12738384828212418
