,Temporal_Sup_R,Cingulate_Post_L,Angular_L,N_Acc_R,Fusiform_R,Vermis_3,Frontal_Inf_Oper_R,Thal_MGN_R,OFCant_R,Thal_VL_L,Heschl_R,Occipital_Sup_L,Red_N_R,Angular_R,Thal_LGN_R,Amygdala_L,Frontal_Inf_Tri_R,Amygdala_R,Occipital_Inf_R,OFCant_L
Heschl_R,0.8114873289556308,-0.29386270807808124,-0.6664219902210629,-0.037595472699204706,0.3660063877821358,0.5631336845093157,0.7148855608265325,0.496816353479734,0.23275551986588044,0.45829478939481466,1.0,-0.4678062856530247,0.42922403734943493,-0.6104237020943244,-0.270767358711453,-0.07597360699267207,0.8073109285869757,-0.18253828117177737,-0.0025801929506100237,-0.03988741044778539
Occipital_Sup_L,-0.30727274054926795,0.1702415429420132,0.6534682869159103,0.06022536418408021,0.00774139759393058,-0.13777929989877946,-0.2550431414955651,-0.10384659401191815,-0.010033922533068344,-0.11752235449698184,-0.4678062856530247,1.0,-0.22167347774440177,0.5605919038210692,0.13367541592970122,0.1270747465995497,-0.3633774943529569,0.19116704746912644,0.12006081125916768,-0.19973934266434615
Red_N_R,0.5259034912517404,0.11447339512888036,-0.23486007960065655,-0.33333601482086256,0.6086494442813499,0.5513736562573007,0.46209914925369466,0.46814430558644987,0.01066530351740617,0.6193773311548049,0.42922403734943493,-0.22167347774440177,1.0,-0.06453974469292857,0.11515998598350505,0.03789093874750136,0.6278977835858478,-0.07752458165723257,-0.06139464698922253,0.025298116683420677
Angular_R,-0.26672188518973317,0.42179125028098946,0.8438459376902866,-0.04855188404983015,0.14992226469751513,-0.3770220996473826,-0.20431522234070829,-0.23325303601616695,-0.32849151484977634,-0.2304901999003644,-0.6104237020943244,0.5605919038210692,-0.06453974469292857,1.0,0.35660877115782835,-0.06034509753885685,-0.3251365986463261,0.15447274576859465,0.11200993263095446,-0.09303995639886134
Thal_LGN_R,-0.28677403807046414,0.5009891009406472,0.33821727560008064,0.05219015654349134,-0.0954946265556776,0.00409560792530774,-0.10263183225399125,0.2364545348454458,0.1664884437532038,0.11281230526871991,-0.270767358711453,0.13367541592970122,0.11515998598350505,0.35660877115782835,1.0,0.07656553683472972,-0.15464423813295794,0.06776798932155509,0.014619418668279491,0.09544873049987528
Amygdala_L,-0.12387894254195575,0.01416477733261197,0.10636766399239775,0.0659512684100059,-0.09607068293515393,0.11789646139851183,-0.10526498370857046,0.06754830107992518,0.14330191206668022,0.1854347257951334,-0.07597360699267207,0.1270747465995497,0.03789093874750136,-0.06034509753885685,0.07656553683472972,1.0,-0.14000261957250745,0.2759363746623847,-0.14489154796893747,0.1495892382805726
Frontal_Inf_Tri_R,0.8420526662765089,-0.1884893201385828,-0.48499112245755044,-0.1027233603874993,0.6595255908113735,0.5043700372083981,0.8297924534218807,0.501028942246639,0.026232560532418854,0.47914794248204695,0.8073109285869757,-0.3633774943529569,0.6278977835858478,-0.3251365986463261,-0.15464423813295794,-0.14000261957250745,1.0,-0.2266039788590849,0.0898356045664935,-0.06855427593640336
Amygdala_R,-0.07766583957534977,0.4060744153242305,0.1675417923039615,0.2629281288810651,0.13307709910734616,0.07913808150700029,-0.03291154048152656,-0.00569389180382919,0.14246179041109175,0.16894287935963925,-0.18253828117177737,0.19116704746912644,-0.07752458165723257,0.15447274576859465,0.06776798932155509,0.2759363746623847,-0.2266039788590849,1.0,-0.1515862677827434,-0.04616052769492793
Occipital_Inf_R,0.027480237015037413,-0.01914299370726251,0.14301844246380332,0.020468096286652356,0.09474235219550423,-0.06251587803975805,0.11149471756764195,0.12865504482968756,-0.09659356539105465,-0.08622087362367127,-0.0025801929506100237,0.12006081125916768,-0.06139464698922253,0.11200993263095446,0.014619418668279491,-0.14489154796893747,0.0898356045664935,-0.1515862677827434,1.0,-0.04250029883052885
OFCant_L,-0.08037106955897813,0.032491433133184165,-0.11755729101727702,0.00416722526813212,-0.15658414456064743,0.04678981629496353,-0.023391157980797866,-0.04133084926234525,0.0876294857782141,0.03827351303220579,-0.03988741044778539,-0.19973934266434615,0.025298116683420677,-0.09303995639886134,0.09544873049987528,0.1495892382805726,-0.06855427593640336,-0.04616052769492793,-0.04250029883052885,1.0
