,Frontal_Inf_Tri_R,OFClat_L,ACC_sub_R,Thal_LP_R,OFClat_R,Caudate_L,Cerebellum_8_R,Occipital_Sup_L,Red_N_R,Thal_LGN_R,Cerebellum_4_5_L,Cerebellum_10_R,Frontal_Inf_Orb_2_L,Thal_PuI_R,Temporal_Mid_R,Thal_PuM_L,ACC_pre_L,Occipital_Sup_R,Frontal_Inf_Oper_L,ACC_sup_L,Insula_L,Cingulate_Post_R,Putamen_R,Cerebellum_8_L,Hippocampus_R,Lingual_R,Red_N_L,Cerebellum_9_R,Occipital_Mid_R,Cerebellum_3_L,Occipital_Inf_R,Thal_Re_L,Cingulate_Mid_R,Thal_IL_L,Hippocampus_L,SN_pr_L,Vermis_10,Cerebellum_6_L,Cuneus_R,Thal_AV_L
Insula_L,0.25609695145949046,-0.1460065104071194,-0.12382845928519536,0.3879432872872683,-0.054218112937182684,0.5212730267638945,0.35981488994750643,0.4116446164380349,0.24893925684369766,0.35438334591218196,0.6254543597614666,0.06673729294615323,-0.19799834448490142,0.5447133830011834,-0.026797101586012072,0.4765324680271586,0.14153905737013664,0.25461228435114425,0.7840103720598183,0.38221098321223995,1.0,0.3692629470412289,0.5241569744850398,0.5252626462907153,0.3384096982969274,0.1459357765409843,0.41586676647559534,0.470867535905708,0.11825020490739648,0.14032912034788844,0.26244332245016544,0.18783432025112873,0.4692317691688074,0.5394353631858715,0.6188189229102161,0.36916719614595744,-0.032163589939262764,0.12428294949683681,0.3606686744310232,0.5266708553978463
Cingulate_Post_R,0.04477066503539989,0.1338953998837558,-0.03608255680548937,0.10116934599730106,0.09667347931716698,0.4491696746440078,0.10049595090508555,0.43819195507252917,0.04441199866212143,0.33386035340450865,0.4513266504838767,-0.056157801891847256,0.05442405559284779,0.5220038342492404,0.5752460140294487,0.7044228422318485,0.16332446873992845,0.38033270486399046,0.303166941508445,0.328099829851549,0.3692629470412289,1.0,0.4856241059342542,0.046345791101674354,0.31309884086159406,0.6339744042532497,0.3660654391323224,0.02934161554501176,0.3405004694902202,0.5289031500255769,0.028788982006983002,0.11515871637007959,0.7793472066751282,0.43470214804026586,0.49857934709638374,0.057990669325894806,-0.0036069697206824783,-0.11299259690418063,0.49018760489844504,0.5126464437532106
Putamen_R,0.4180102233580021,-0.06370265939942385,0.009818058489459743,0.4303089302859166,-0.19523675522342723,0.7266820705173921,0.3759602663296293,0.12447570290856656,0.338706623479373,0.1997717576844455,0.2720584594392648,0.0851977636939044,-0.18050189297532587,0.38096127280189673,0.2190141432322426,0.3780948221811758,0.3851032544513478,0.057150885521304456,0.2793537721981253,0.38632357886611046,0.5241569744850398,0.4856241059342542,1.0,0.24186148312119599,0.6945110738722498,0.34888290682445333,0.2404669344590626,-0.04072563380402705,0.01718560059522855,0.23308942333450347,0.09318777812724476,-0.043962094998077586,0.5915480279455356,0.4439469339776215,0.6120048489340228,0.393279822986454,-0.10055596929711459,0.1249684765759777,0.1544646956550888,0.6921588850962884
Cerebellum_8_L,0.3809225540393242,-0.21828436856291802,0.0026638879506085773,0.4258794751698018,-0.07542910997714049,0.3483570444155669,0.6691198533149426,0.24701221379693605,0.29661592909360046,0.24278071462542575,0.4119891174253139,-0.07271485916692524,-0.1502978907118006,0.33555940078495666,-0.2079908314588931,0.18322117658153003,0.0911894263796358,0.20474779808379578,0.3948421195702181,0.3725185694946681,0.5252626462907153,0.046345791101674354,0.24186148312119599,1.0,0.27531993541890043,-0.2055540600361868,0.3875306016435204,0.3267061919851109,-0.019194166601281776,0.11696133080892317,0.4049071290814783,0.23365865973533992,0.2311974021115004,0.24779422390175668,0.5784046903034377,0.42590817215173565,-0.007849950460270714,0.4968540505231502,0.17878015928271374,0.33282563800927734
Hippocampus_R,0.685935388753279,-0.11186436790092276,-0.06536063030137991,0.4952260430125806,-0.3331400181367787,0.7192596741735837,0.5168508213655091,-0.09116079396472915,0.4813652513933101,0.2532672659442934,0.14901118174006642,0.11866216626824992,-0.15281062610575394,0.36318754773896483,0.27315017992574053,0.3419405102938303,0.044425923511498384,0.04385631240748122,0.10749403555502775,0.5167193940980804,0.3384096982969274,0.31309884086159406,0.6945110738722498,0.27531993541890043,1.0,0.3868425959838791,0.27912432141744187,-0.23493102654063983,-0.08729040586587558,0.40448858047767033,0.06472369771005144,-0.17323393840012738,0.5945626532307915,0.40340640835014274,0.660614543804036,0.539747543330684,0.05342343268417495,0.3793016959640338,-0.041394992615843895,0.44291687883973235
Lingual_R,0.20197832400384674,0.11850339891191804,-0.126201021887577,0.26710606506134754,-0.025816153041889025,0.42924133827181266,-0.10424181411535675,0.25774033385667755,0.07917991743192798,0.4581868602837145,0.5117777627203213,0.3995823842789654,0.07523040809348781,0.2680229546951865,0.6708840559271911,0.6753743760507015,0.027600360205842694,0.44875784330409996,0.2788535748250095,0.08248973759038976,0.1459357765409843,0.6339744042532497,0.34888290682445333,-0.2055540600361868,0.3868425959838791,1.0,0.3430604653132507,-0.17702880798450252,0.41780670638671435,0.5667530545195276,-0.13056374803737986,-0.08183328485369382,0.6693911972805978,0.2534668038293676,0.26990400892061844,-0.03434248491556989,0.10029305295478287,-0.11622304887404074,0.41337650043266755,0.18282529627645924
Red_N_L,0.2620342690193541,0.14673278763850697,-0.09692397768470314,0.4402397965982309,0.11706268021500024,0.28815628940947186,0.21161397375831917,0.4182140517775848,0.30904949624962186,0.4122562133353765,0.4864643282448793,0.3049334215623406,0.1303623600285535,0.41626772271420664,0.011677971124706211,0.6826877805208731,-0.06442802244950678,0.4240822042042306,0.4048319547994872,0.1327506519175958,0.41586676647559534,0.3660654391323224,0.2404669344590626,0.3875306016435204,0.27912432141744187,0.3430604653132507,1.0,0.3064186449632996,0.22778382444092943,0.37104441118802073,0.2796571590150307,0.24462902448821566,0.4360083455575073,0.2851536197249051,0.5800571129815708,0.2516475577181602,-0.0454323690861679,0.3043129538253073,0.470068036876365,0.2345300731603989
Cerebellum_9_R,-0.16380875611869142,-0.07517692351922234,-0.06174127285835763,0.1008905475508896,-0.06120046029825586,-0.02475295659950546,0.17820121071121053,0.38559681469731244,-0.07544293299863934,0.11985553283364125,0.3003699815814291,0.1450806733997282,-0.18633242724910462,0.21569602426702417,-0.3340485029635319,0.21762133645241188,-0.024581466965346473,0.184560854123841,0.32417309452616516,-0.02932036016075912,0.470867535905708,0.02934161554501176,-0.04072563380402705,0.3267061919851109,-0.23493102654063983,-0.17702880798450252,0.3064186449632996,1.0,0.053210364041345576,-0.13769226608195617,0.3353892294742581,0.313334796566638,-0.02686822517464435,0.053339843867893054,0.2385083674702829,0.12980242282700563,-0.1414532690063308,0.1367588993731625,0.3485121710275753,0.13370153416790329
Occipital_Mid_R,-0.06788795384116178,-0.09196580328153724,0.027025728455016634,0.0646138656655542,0.033683354442817386,0.046621835263437966,-0.14619971539597645,0.7042511091605095,0.08618374986390613,0.31164382334363294,0.508149418871946,0.0585951045678467,-0.03624361641714773,0.07511392369458121,0.6097163624332882,0.34071699861331134,-0.002117097621782501,0.8570397582191782,0.2867879157657441,-0.16483406886600557,0.11825020490739648,0.3405004694902202,0.01718560059522855,-0.019194166601281776,-0.08729040586587558,0.41780670638671435,0.22778382444092943,0.053210364041345576,1.0,0.3226304015731713,-0.15471309974420705,0.058247964221180316,0.24054967459576002,0.08063973244204647,0.0494282274307833,-0.2131106125870324,-0.05631217842877994,-0.0017452441203023022,0.7197148232323244,0.013701238049782762
Cerebellum_3_L,0.34996888104199514,0.20065227738472602,-0.0727904249655621,0.3691324677009294,0.10436951441430406,0.3468562288925609,0.21366512399379795,0.17285042511435988,0.28948467189454485,0.5996464837678609,0.2900922332347949,0.1152978940446264,0.2761393406340749,0.425748559967261,0.5616207929462561,0.5775866362442819,-0.0654336344492566,0.40465717737255275,0.11069091783418818,0.3230802896370185,0.14032912034788844,0.5289031500255769,0.23308942333450347,0.11696133080892317,0.40448858047767033,0.5667530545195276,0.37104441118802073,-0.13769226608195617,0.3226304015731713,1.0,-0.08944462660333707,-0.01235532219184992,0.6025294674412617,0.39777610299104765,0.28662447447144723,0.11018982892526963,0.07299737996687297,0.2422400477557943,0.3028865051815814,0.18193507656703026
