,OFCant_R,Thal_PuL_L,Parietal_Sup_L,Thal_LGN_R,Precuneus_R,Cuneus_R,ACC_sup_L,Occipital_Mid_L,Paracentral_Lobule_L,Frontal_Inf_Oper_L,Postcentral_L,OFCmed_R,N_Acc_L,Insula_R,Frontal_Inf_Orb_2_R,Frontal_Mid_2_R,Vermis_7,Vermis_10,Thal_Re_L,Putamen_L,Hippocampus_R,Supp_Motor_Area_L,Frontal_Sup_Medial_R,Cerebellum_4_5_L,SN_pr_L
Postcentral_L,0.17571122385489546,0.6914564026959252,0.5978016448993758,0.5508654538668076,0.748513692931371,0.6176088192980826,0.35608652262124485,0.5184059991156107,0.814902777720749,0.6196208553343889,1.0,0.07108162615668681,0.21225763713460755,0.3463419247677049,-0.08227994639875003,0.6385890938431333,0.19317194828440223,0.0638216517575142,0.16655686285176458,0.4264441316548729,0.2609860153874442,0.8153828336672855,0.36957847315244896,0.7521478436635535,0.18886964192101924
OFCmed_R,0.09627730207946214,0.10866527850058504,0.15214808133945754,-0.1123667012522384,0.10960684885380641,0.11326593722823407,0.060318680838999154,0.08951658352537928,0.11247101682284014,-0.009874651498738486,0.07108162615668681,1.0,0.1428626890300929,-0.18204194459677217,-0.4873614962018127,-0.03469490293190051,-0.10284698520044186,-0.05251223782218855,0.08495784887694471,0.07942246418837244,0.14819084836620527,0.019936424292170574,0.0544370846454151,0.24885715772952846,0.20198080613482944
N_Acc_L,-0.036353394726565166,0.25851938873083435,0.17253290895732026,-0.06801984029921249,0.18436483529290873,0.029779010177292183,0.35180925120617357,0.028821427960026964,0.19541328725690715,0.03217372451215503,0.21225763713460755,0.1428626890300929,1.0,-0.020970417858787154,-0.10606779042178448,0.28853158752542685,0.06757014367778015,-0.12140707691615307,0.15696675028627338,0.35261629503073605,-0.06567801053559634,0.14561112235503593,0.10698986752339182,-0.0006442376338620232,0.154496574841639
Insula_R,0.24737474927749642,0.2999631467764106,0.1383831784754439,0.3631493477445596,0.2600501811791626,0.0369139309618586,0.5369987359374382,-0.11478886030601136,0.47482256453559746,0.34015946431051053,0.3463419247677049,-0.18204194459677217,-0.020970417858787154,1.0,0.6422511314684834,0.7330255984699068,0.26441603005711894,0.04839555451800255,-0.009828681134004147,0.6864398106670093,0.7208691782381654,0.3885023198601181,0.7031407944830259,0.18974422103478422,0.48397483682533116
Frontal_Inf_Orb_2_R,0.27076251173514415,-0.1395647052775013,-0.24733724054938325,0.1154834924463037,-0.12406169588443561,-0.23334268087835222,0.2352098005291319,-0.2893267103295977,0.02764865247874953,0.18735022934383377,-0.08227994639875003,-0.4873614962018127,-0.10606779042178448,0.6422511314684834,1.0,0.38507074674003033,0.19069545299167848,0.13400105388477748,0.09531425332323074,0.4075665035642794,0.22369911443614252,-0.09217434844744214,0.3263301287429777,-0.2165959942179179,0.23889617285189182
Frontal_Mid_2_R,0.28224956118893435,0.5982253111078658,0.3530758276386872,0.4155761840914657,0.5662654136376829,0.23896668032099067,0.6781433652152157,0.008033740761676409,0.6939101220565868,0.47208826846300034,0.6385890938431333,-0.03469490293190051,0.28853158752542685,0.7330255984699068,0.38507074674003033,1.0,0.2668866991239518,-0.07892949347464506,0.2096378542164367,0.7389925778392916,0.48446085186634585,0.6716352795459711,0.7403324781954606,0.3521593260678045,0.4910631525728874
Vermis_7,0.04864154804292774,0.14739525541178222,0.17923152879969573,0.16118174328047213,0.17233460701102135,0.1999844061430314,0.22476935120124863,-0.07010208206787924,0.09292986436384096,0.19829414770020623,0.19317194828440223,-0.10284698520044186,0.06757014367778015,0.26441603005711894,0.19069545299167848,0.2668866991239518,1.0,-0.19031376415682474,-0.06628956836330645,0.13822639990715035,0.10246404818003384,0.23958337009814834,0.14730000248930172,0.1650074623981044,0.12106554641606167
Vermis_10,0.06752251135112938,-0.001768164997868938,-0.15170336989460426,0.15265375147527555,-0.08978192089860365,-0.10620263167953743,-0.12015189647943109,0.1166149388893671,-0.06224729132924699,-0.022457954057351442,0.0638216517575142,-0.05251223782218855,-0.12140707691615307,0.04839555451800255,0.13400105388477748,-0.07892949347464506,-0.19031376415682474,1.0,-0.0043386922663066945,-0.026155499062267707,0.05342343268417495,-0.11584086971829263,-0.006271852860778692,0.07367158850849172,-0.10518800932404927
Thal_Re_L,0.22781042650272695,0.021794893456164362,0.1357838476731918,0.07335090683304939,0.1215874319983726,0.2244123359791686,0.06339481445993972,0.07604074390258841,0.24807926221992974,0.20872720460735789,0.16655686285176458,0.08495784887694471,0.15696675028627338,-0.009828681134004147,0.09531425332323074,0.2096378542164367,-0.06628956836330645,-0.0043386922663066945,1.0,0.08836589634555343,-0.17323393840012738,0.15793085895815348,0.09879178910518122,0.14303351978879594,0.04189171232274597
Putamen_L,0.2718752378922673,0.37389848738859816,0.055051037880462415,0.1708508137849415,0.2758893627359102,0.02097535375623248,0.6517429807525944,0.1408874918958636,0.42961329639642687,0.6375065142691438,0.4264441316548729,0.07942246418837244,0.35261629503073605,0.6864398106670093,0.4075665035642794,0.7389925778392916,0.13822639990715035,-0.026155499062267707,0.08836589634555343,1.0,0.4683820661511531,0.284241160295395,0.5566858801558066,0.3240053451680283,0.6111306337151674
Hippocampus_R,0.04206556785873461,0.34832905700150646,0.29367414192404045,0.2532672659442934,0.32287030152116364,-0.041394992615843895,0.5167193940980804,-0.16188010301939365,0.4074444381523851,0.10749403555502775,0.2609860153874442,0.14819084836620527,-0.06567801053559634,0.7208691782381654,0.22369911443614252,0.48446085186634585,0.10246404818003384,0.05342343268417495,-0.17323393840012738,0.4683820661511531,1.0,0.41667556099756076,0.5438735549032236,0.14901118174006642,0.539747543330684
Supp_Motor_Area_L,0.04348617638349713,0.7307830513962228,0.7153220397036221,0.5447720014478337,0.7785156077684862,0.5372786467176605,0.4339350623212212,0.22173699501549335,0.8119279453400805,0.3642948682092156,0.8153828336672855,0.019936424292170574,0.14561112235503593,0.3885023198601181,-0.09217434844744214,0.6716352795459711,0.23958337009814834,-0.11584086971829263,0.15793085895815348,0.284241160295395,0.41667556099756076,1.0,0.4503724889288545,0.5099794096909165,0.20710009092102472
Frontal_Sup_Medial_R,0.32786362801689417,0.37527790957190726,0.11064784249053562,0.3279197493656484,0.23422726029229574,0.008105784254602408,0.5281762698141632,-0.21971533738396007,0.5705194496034117,0.2480261335427918,0.36957847315244896,0.0544370846454151,0.10698986752339182,0.7031407944830259,0.3263301287429777,0.7403324781954606,0.14730000248930172,-0.006271852860778692,0.09879178910518122,0.5566858801558066,0.5438735549032236,0.4503724889288545,1.0,0.19835745111781738,0.4760035261792267
Cerebellum_4_5_L,0.19582631188340982,0.38157530429370057,0.37877102873450746,0.45181772484435384,0.5003570970985296,0.6340458859469293,0.07552485563628186,0.6394320235055699,0.5997729079109219,0.7297204784658912,0.7521478436635535,0.24885715772952846,-0.0006442376338620232,0.18974422103478422,-0.2165959942179179,0.3521593260678045,0.1650074623981044,0.07367158850849172,0.14303351978879594,0.3240053451680283,0.14901118174006642,0.5099794096909165,0.19835745111781738,1.0,0.04773302121283581
SN_pr_L,0.19121916234852543,0.2839904633452602,0.05629884785644453,0.05024551953001589,0.2060831337668387,-0.07021238568876151,0.5805511141560766,-0.13871244743572064,0.27703684358466135,0.2176008246590955,0.18886964192101924,0.20198080613482944,0.154496574841639,0.48397483682533116,0.23889617285189182,0.4910631525728874,0.12106554641606167,-0.10518800932404927,0.04189171232274597,0.6111306337151674,0.539747543330684,0.20710009092102472,0.4760035261792267,0.04773302121283581,1.0
