,Frontal_Med_Orb_R,OFCpost_R,Precentral_R,Thal_PuA_L,VTA_L,Vermis_4_5,Thal_PuM_L,Cerebellum_8_R,ParaHippocampal_L,Caudate_R,Thal_PuA_R,Occipital_Sup_L,LC_L,Pallidum_L,Supp_Motor_Area_L,Cuneus_R,Thal_LGN_L,Hippocampus_R,Hippocampus_L,Cerebellum_Crus2_L
Thal_PuA_R,-0.09788844191552065,0.11604483081610985,0.2684132599544529,0.5814490869614415,-0.14367980709021883,0.5617262613811852,0.7614899015909061,0.1470895239476436,0.2349898945702635,0.4408302905230243,1.0,0.008667169058212177,0.16451604136225742,0.5305432988386226,0.1293798367094692,0.05017706434776436,0.5740303867809838,0.3253667578345201,0.356424577954807,0.1277000025075594
Occipital_Sup_L,-0.1829962832344715,-0.4795984552520162,-0.0782681120693505,-0.33524858914762085,0.6656209067937493,-0.27362399990477215,-0.2420676651902418,0.18407235049984833,-0.657152886387318,-0.7038728576092336,0.008667169058212177,1.0,-0.33565743190275465,-0.42945658775022943,-0.02818877158065337,0.7737748096488817,0.015413026940658723,-0.7642034808895992,-0.6131520049040395,-0.020861294459639256
LC_L,0.41673392489355043,0.4727173314965591,-0.11534702196368893,0.3954880792659186,-0.39487746120098327,0.24678625041909388,0.2861800532285168,-0.28565795523133214,0.6412937857960533,0.45127879825289413,0.16451604136225742,-0.33565743190275465,1.0,0.5051349015600638,0.1719438640226564,-0.4362926357647053,0.14918034673404773,0.5391799357482473,0.5636084156712088,0.12012288365990516
Pallidum_L,0.018297023572513824,0.5230076130407153,0.08268872834516473,0.5686977697526864,-0.6331859171274538,0.3916267706420158,0.5953258636291344,-0.18579240227937513,0.6593234172848299,0.7333199637084014,0.5305432988386226,-0.42945658775022943,0.5051349015600638,1.0,0.09165545831621637,-0.5593507064630457,0.2279631934738208,0.6823582252250885,0.6526163003259045,0.14238297684110549
Supp_Motor_Area_L,0.4940522362943895,0.1194725337492756,0.5211956941530974,0.31546806930206744,-0.17407139559584223,0.1408208992937089,0.09599435907698084,-0.28775284464786005,0.3254658238754673,0.1583608536435429,0.1293798367094692,-0.02818877158065337,0.1719438640226564,0.09165545831621637,1.0,0.035311699337659055,0.25240292652562274,0.010305473074013643,0.3481536871439554,0.3165117875030187
Cuneus_R,-0.2057327283584729,-0.5534988990117963,0.184857587149618,-0.1867018568189001,0.7786264697607107,-0.0082534981424187,-0.1300952818607156,0.406502096583278,-0.5761077227705677,-0.5239909593163887,0.05017706434776436,0.7737748096488817,-0.4362926357647053,-0.5593507064630457,0.035311699337659055,1.0,0.16374553330037317,-0.6688433869053924,-0.4721025772098386,-0.022512630518514144
Thal_LGN_L,0.17460619333736868,0.17759212969196284,0.2022653968964041,0.4849740278697144,0.08326646085333585,0.617320709518616,0.5154345268123866,0.03739100884737826,0.30190922605293585,0.30797244686467945,0.5740303867809838,0.015413026940658723,0.14918034673404773,0.2279631934738208,0.25240292652562274,0.16374553330037317,1.0,0.17482332723586433,0.4975475308223421,0.25130194372076625
Hippocampus_R,0.1377261890303159,0.6359299748007374,0.18693347185916445,0.4626655479883075,-0.6409951912550319,0.5025119516605404,0.5627092350992177,-0.09724176968412555,0.7640468809392345,0.8283175168042684,0.3253667578345201,-0.7642034808895992,0.5391799357482473,0.6823582252250885,0.010305473074013643,-0.6688433869053924,0.17482332723586433,1.0,0.6880843414432866,-0.025356331425945806
Hippocampus_L,0.472634315194987,0.6417973308915341,0.12360209779234957,0.6863984868355901,-0.5345816585707992,0.6004262610680583,0.5208010945062245,-0.3333586990490063,0.9332114773457527,0.7419481353473781,0.356424577954807,-0.6131520049040395,0.5636084156712088,0.6526163003259045,0.3481536871439554,-0.4721025772098386,0.4975475308223421,0.6880843414432866,1.0,0.3086109466916541
Cerebellum_Crus2_L,0.3025949859193955,-0.17919121302135066,-0.12351585281252266,0.47762805011046766,0.03737427931579222,-0.11815312484638653,0.046855133540557696,0.027940391253344778,0.22555113040459962,0.06489825824822637,0.1277000025075594,-0.020861294459639256,0.12012288365990516,0.14238297684110549,0.3165117875030187,-0.022512630518514144,0.25130194372076625,-0.025356331425945806,0.3086109466916541,1.0
