,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_Re_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
Amygdala_R,-0.4034884587518066,0.3261802409546287,0.4388665365532239,-0.21723304701803353,0.6056780806000445,-0.0645734782818473,-0.49692303403895915,-0.5440731585219489,-0.2502158962317298,0.020947909633170888,0.511593433060066,-0.3304183991414077,0.07301839734334307,-0.19517323473691806,-0.5417677361379252,1.0,0.3715322138214708,0.049433578203153056,0.5118155806283585,0.3980735410060512,0.5550479809429969,0.026405364393746595,0.26791691824480013,0.042470235468890956,0.3412012062692087
Temporal_Sup_L,-0.4088810956229462,0.679542793289236,0.6580921195504953,-0.23423768209087997,0.8093653592794531,0.0949263382554545,-0.28057765276504704,-0.6365090618870509,-0.3923759045674708,0.0418662361982223,0.07446072202052939,-0.3666029977499273,0.4140971706950364,0.001174896221260429,-0.5305543659282516,0.3715322138214708,1.0,0.25859205857079576,0.4951596544894256,0.5762307797110886,0.4568970454979578,-0.08590843862110986,0.8842884428651764,0.171791680628514,0.4979950979738357
ACC_sup_R,-0.4167472892037206,0.35564213329333466,0.14109806022663987,0.42442817373210495,0.1445962370265235,0.5259115385418448,-0.22016395820393447,0.027271440618697983,0.2156049064254719,0.3329356367401127,0.2925185628388306,0.4073430177119239,0.2996620991772483,-0.17215794177054006,-0.19626309684518795,0.049433578203153056,0.25859205857079576,1.0,0.12244289902718004,0.31687392384129187,0.32749051419338965,0.4397090914566725,0.35564531923316356,-0.0027889746174614865,0.2012012029870189
Thal_Re_L,-0.6554122781919949,0.49070094214318666,0.45947694153023744,-0.058228374519842536,0.6825924015176477,0.28530054311202885,-0.6133856664826405,-0.47836868280589206,-0.27158723128197537,-0.22913213637309582,0.4037048284418332,-0.5486305718559926,0.036515233322540516,-0.3053836133163738,-0.5670956587085924,0.5118155806283585,0.4951596544894256,0.12244289902718004,1.0,0.26662390342881764,0.7467810003196196,0.3758149531072857,0.3017804442091232,-0.22468394203051525,0.5584022104323888
Precentral_L,-0.2298244087602067,0.4455992147567355,0.24961520420400446,-0.2283671286674754,0.5419305778218858,-0.12577815495611153,-0.040931021202936554,-0.4069099331371274,-0.13102044928609036,0.029797406505888205,0.06862171467182589,0.04854072298010773,0.4210143354665765,0.4970367038340026,-0.13783369273022603,0.3980735410060512,0.5762307797110886,0.31687392384129187,0.26662390342881764,1.0,0.2137684601274526,-0.14028006214933877,0.5237596239634864,0.5641165304633571,0.4956138236346967
LC_R,-0.6751067393961877,0.4928549725322472,0.41380366258002876,-0.10581373981670142,0.6592520859889242,0.21295960764414892,-0.6792646642348548,-0.5010616556560871,-0.4001797198959306,-0.12541160107673763,0.541980408853061,-0.38902215285942726,0.0722763266441669,-0.42119390670644724,-0.657163234321638,0.5550479809429969,0.4568970454979578,0.32749051419338965,0.7467810003196196,0.2137684601274526,1.0,0.27189329960839553,0.27582650096886796,-0.2067776400401065,0.5052879919943783
Frontal_Inf_Orb_2_R,-0.4090011865465063,0.08534899926838621,0.20205770257036132,0.7841521630679714,-0.0641986722459761,0.8257166666461225,-0.37299423946185206,0.2783499026743475,0.5211118875469587,0.2541029096599961,0.2805572736875327,0.09879737226166585,0.05737855551903374,-0.47981797274967125,-0.1285333254924402,0.026405364393746595,-0.08590843862110986,0.4397090914566725,0.3758149531072857,-0.14028006214933877,0.27189329960839553,1.0,-0.01461118321610877,-0.4316092266747579,0.05625757422518971
Insula_L,-0.2811942364530008,0.6421004781035181,0.6753387976357951,-0.04025259656744376,0.6197548755154975,0.19498758693711576,-0.10689091065849247,-0.4331543322456131,-0.2074581677472225,0.20093743276794113,-0.020164864324871915,-0.15924329663975248,0.5148208603332486,0.036455436070728396,-0.4011617881222222,0.26791691824480013,0.8842884428651764,0.35564531923316356,0.3017804442091232,0.5237596239634864,0.27582650096886796,-0.01461118321610877,1.0,0.21556147852477964,0.3454432462246903
Postcentral_L,0.2922931997528305,0.2726917730504024,-0.20571501848852375,-0.2867997946393537,-0.02976383381952598,-0.3603896324514505,0.5299958958381543,-0.0053931932392742845,-0.1515977122978024,-0.04561883408756615,-0.1878269846416901,0.22037038885226484,0.2987674259439031,0.7086251932869718,0.27230553630790394,0.042470235468890956,0.171791680628514,-0.0027889746174614865,-0.22468394203051525,0.5641165304633571,-0.2067776400401065,-0.4316092266747579,0.21556147852477964,1.0,0.12334762835995079
Vermis_7,-0.35495719115733015,0.4268085287023964,0.24245452446982085,-0.31953693054566035,0.6860372582209567,-0.07842390878380202,-0.3451832822305117,-0.38545882509956414,-0.431597049000619,-0.24297687331119694,0.20312097110290459,-0.21427953858253232,0.33314494872692463,0.12856293095920185,-0.2535996568723332,0.3412012062692087,0.4979950979738357,0.2012012029870189,0.5584022104323888,0.4956138236346967,0.5052879919943783,0.05625757422518971,0.3454432462246903,0.12334762835995079,1.0
