,Frontal_Mid_2_L,Frontal_Inf_Tri_R,Thal_PuM_R,OFCant_L,OFClat_R,Vermis_4_5,Paracentral_Lobule_R,Cerebellum_9_L,Vermis_6,Vermis_7,Thal_PuI_R,Rolandic_Oper_L,Thal_VA_R,Raphe_M,Cerebellum_Crus2_R,Hippocampus_R,ParaHippocampal_R,ACC_sub_R,Frontal_Sup_2_R,ACC_sub_L
Thal_PuI_R,0.22957702368166594,0.3803465799344609,0.5051275420301312,-0.0965515385072176,0.30214223040620664,0.27671238563540435,0.4590564800433866,0.3693756473077691,0.1359878705893246,0.17661968017950905,1.0,0.3298234277499008,0.2621126107478792,-0.08495629672161151,-0.2532364468856226,0.055160428671025656,0.2993142591631205,-0.2749917995732342,0.285086868133011,-0.013137599762263388
Rolandic_Oper_L,0.46612724539922284,0.7137160139103136,0.026595855831637833,-0.1902402435527689,0.25096361763962055,0.6095202696169355,0.5256051476411866,0.26899512418040705,0.36088250611868267,0.2987021491973603,0.3298234277499008,1.0,0.11972045804818574,0.3120444440693153,-0.11068262961376367,-0.07175243729182411,0.046657125373599485,-0.2569192414450597,0.6589080573221784,-0.10042967093054253
Thal_VA_R,-0.00029435914099367806,0.11920669580871317,0.10514165590950687,-0.024716614925913958,0.031821752968186665,-0.05370115323742055,-0.1589261324766671,0.20384014406055492,0.012653512522698255,0.1395220280239774,0.2621126107478792,0.11972045804818574,1.0,0.33372107147504854,-0.16619425969285279,-0.22646799372428061,-0.008044056293785452,0.02017481100981277,-0.07990921542144747,0.0877313943382788
Raphe_M,0.1564459360448095,0.22937515246414586,-0.16067501557829456,-0.19766301537557945,0.08679504493505955,0.271953527217291,-0.11465860525987472,0.2965906561448221,0.4317570514725069,0.578166971371514,-0.08495629672161151,0.3120444440693153,0.33372107147504854,1.0,0.10647713094445327,-0.2626437496615604,-0.1064675323923045,-0.016054516337500577,0.16929470427710677,-0.031875680790505734
Cerebellum_Crus2_R,0.47565720886478907,-0.4448606983725782,-0.5436140908056332,-0.7353601555653733,-0.6988932953682884,0.06337277558194389,0.17701332969584244,-0.07155534478150549,0.5163351845856414,0.24838539974891297,-0.2532364468856226,-0.11068262961376367,-0.16619425969285279,0.10647713094445327,1.0,-0.44628465114288096,-0.5691572571759556,-0.605736766912766,0.05604054009407,-0.6972319136517421
Hippocampus_R,-0.19910573761017408,0.13793918345203726,0.4205703566763608,0.45610400339496626,0.6042923214676876,0.14171947507777774,-0.21139108374626905,0.1480832030901653,-0.2530877180228183,-0.036937403861758276,0.055160428671025656,-0.07175243729182411,-0.22646799372428061,-0.2626437496615604,-0.44628465114288096,1.0,0.7960839564807058,0.40485354824699754,0.042405245593075715,0.44150318422146145
ParaHippocampal_R,-0.09167588645125302,0.2966465331724498,0.5419657133297995,0.422226573779694,0.7283979979561199,0.22446149638939927,-0.130281752079801,0.44020437229421566,-0.15327039311042356,0.14131899446665183,0.2993142591631205,0.046657125373599485,-0.008044056293785452,-0.1064675323923045,-0.5691572571759556,0.7960839564807058,1.0,0.34167148540547077,0.06473315842613897,0.45292628818933034
ACC_sub_R,-0.6803292198953989,0.08328755520245533,0.4060037634652048,0.8547682657938191,0.46804737439870187,-0.3076578913153319,-0.6281662460126023,-0.22685340153680214,-0.5542133369575023,-0.400333246222221,-0.2749917995732342,-0.2569192414450597,0.02017481100981277,-0.016054516337500577,-0.605736766912766,0.40485354824699754,0.34167148540547077,1.0,-0.37413732235793734,0.8851810431282698
Frontal_Sup_2_R,0.519239550561628,0.6701175137870317,-0.21137486851297446,-0.297919784129699,0.12469809939531713,0.6745565320858171,0.6730917511314815,0.36486693019657546,0.5202911629021884,0.44875847495778404,0.285086868133011,0.6589080573221784,-0.07990921542144747,0.16929470427710677,0.05604054009407,0.042405245593075715,0.06473315842613897,-0.37413732235793734,1.0,-0.28020629459352103
ACC_sub_L,-0.5803392206522954,0.21358323565655374,0.5711546246500603,0.846547745810997,0.6498964979871497,-0.2573771421898111,-0.5268130467877552,-0.1241899222969852,-0.5279140480019872,-0.3011484232700155,-0.013137599762263388,-0.10042967093054253,0.0877313943382788,-0.031875680790505734,-0.6972319136517421,0.44150318422146145,0.45292628818933034,0.8851810431282698,-0.28020629459352103,1.0
