,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
LC_L,0.48058968081241155,0.34959039801994024,0.3595101928029389,0.4737541440931062,0.08757968522737618,0.3973955666771656,0.42490313542630964,-0.03266762785699857,0.43113612148272085,0.5237103834280337,0.13412577042637,0.2924837585459808,0.21774050313682694,0.262616852436577,0.25699006351828524,0.38528887513913707,0.4352557606112647,0.4733617615357935,0.3707548829917218,0.24724429681637358,1.0,0.4831250932867368,0.5049054760300737,0.3927920883332083,-0.1296255100726923,0.4881528877692726,0.43439961317652853,0.07433103091012006,0.4022467717984452,0.4672319640736392
Frontal_Inf_Orb_2_R,0.5474112790001067,0.12976155618360086,0.5895789367217535,0.5807215248777537,0.23769486992816527,0.2014755367964689,0.21603973857245423,-0.11742052000873383,0.44587704697276326,0.5318031790005961,0.17334819575090624,0.5852031265874731,0.5008989769040856,0.03765072225420022,0.28434889713493483,0.47360878850927474,0.5392193030774569,0.45373646035195225,0.2890068376922745,0.17271115445009486,0.4831250932867368,1.0,0.5329844228535973,0.2814552403298132,-0.16569146256157355,0.5910110118314938,0.3688382202684314,-0.06982226969973027,0.2320906680434295,0.3261408730858192
Insula_L,0.6971872145155085,0.5456657378849747,0.6071347838758356,0.8721146366418288,0.2870859231964136,0.7238562413161765,0.4068847749991617,0.37795917403005663,0.7258120317943325,0.7168874481019276,0.4150363737596199,0.5397629688896692,0.3041636674306705,0.03971737916333886,0.5080430409290493,0.6137652194096708,0.8528395042581843,0.49707209533195224,0.6380689015993466,0.6865810980950907,0.5049054760300737,0.5329844228535973,1.0,0.6822560472176331,0.24248523116271617,0.7370569364971207,0.6018221771192132,-0.14768718218129656,0.45078798168936307,0.49488684701822044
Postcentral_L,0.5012538856129138,0.38716851543268194,0.3355320617850518,0.5189196424190385,0.3897793178182775,0.5444915413807488,0.4106390795703909,0.08346780696701767,0.434915272458154,0.48142956748007304,0.36229427843316675,0.36312310305111734,0.24025745947485194,0.22041182932341896,0.43370528492240973,0.47780748747810203,0.7520090810411815,0.42412349891880835,0.4270113755009191,0.7750042148932578,0.3927920883332083,0.2814552403298132,0.6822560472176331,1.0,0.09747338148743663,0.49375473837144973,0.477397551648808,0.01290406486607324,0.5524593282336632,0.6040891391043741
Vermis_7,-0.056715272555218826,-0.10417575792483195,0.04090678599697536,0.11391777644925569,-0.08548052660925248,0.06330014880779182,0.07100500776056956,0.7729143380582381,0.34259484402290624,-0.014578103418270054,0.6969311154656447,0.05585088981895584,-0.39821123507946893,-0.2865830208562535,0.5933970023885162,0.15195577558192955,0.1382992596568189,-0.11701556836336144,0.048727227950387454,0.2712936879954367,-0.1296255100726923,-0.16569146256157355,0.24248523116271617,0.09747338148743663,1.0,-0.09882172529651599,0.35543472331307135,-0.14171759384014743,0.13425737951949157,-0.0001634936661270255
Hippocampus_R,0.7249254200185333,0.6074004443066391,0.4729189526464369,0.8157169321915833,0.27225952823056715,0.5843198709316495,0.4569963420164604,0.02171400815666912,0.594415541398343,0.8263844085364589,0.13323248509513796,0.6826213143349783,0.6437993231481585,0.25518132453250186,0.33736299672922115,0.6429432650369229,0.777962968228779,0.5481439689824357,0.6856207705186823,0.4163114472124275,0.4881528877692726,0.5910110118314938,0.7370569364971207,0.49375473837144973,-0.09882172529651599,1.0,0.5826642777270343,-0.04997201684004538,0.48801772375189945,0.572062208309719
Cerebellum_10_R,0.6303504786346957,0.3726093401883136,0.42975876727978046,0.6298348303278024,0.14974767684347146,0.4179705481361637,0.5096132003970266,0.2678429700315542,0.6941586938831427,0.5285012131093858,0.6996723184336788,0.44323975763789447,0.326400117669961,0.11278136629087462,0.7642465131524618,0.44646806040303677,0.7092185324106656,0.42989491907758254,0.40637951189575106,0.36474486224475294,0.43439961317652853,0.3688382202684314,0.6018221771192132,0.477397551648808,0.35543472331307135,0.5826642777270343,1.0,0.051079472251862594,0.6608846223771975,0.6281769824772414
Parietal_Sup_L,-0.00014714833521135026,-0.0852039471827043,-0.08933609392355284,-0.068483875676085,0.016457671880890697,-0.020503169609060533,0.22875098819958956,-0.27087126971627,-0.225163587212698,-0.09984136223265347,-0.0006227351015882041,0.006316002162389337,-0.14134082952637286,0.2921667998247115,0.046140134879802445,0.05419646916955941,-0.062466357641740265,0.1683145413997905,-0.039766358670740375,-0.11526824229332946,0.07433103091012006,-0.06982226969973027,-0.14768718218129656,0.01290406486607324,-0.14171759384014743,-0.04997201684004538,0.051079472251862594,1.0,0.17776025335931964,0.2472468655918198
Precuneus_L,0.5443933353045838,0.3919038873446902,0.3768431889408539,0.5403021729336142,-0.10384046144252226,0.4369898424642386,0.900769059620125,-0.07302943897659071,0.4734475004730965,0.49616263549795747,0.4229386997917157,0.24019562575856648,0.14904018451686207,0.5101185955796461,0.49782452580885167,0.3704046232935111,0.6119018881812663,0.6527075820856107,0.4399350044758034,0.22973366278693608,0.4022467717984452,0.2320906680434295,0.45078798168936307,0.5524593282336632,0.13425737951949157,0.48801772375189945,0.6608846223771975,0.17776025335931964,1.0,0.836866347867575
SupraMarginal_R,0.5494758118197636,0.5235616381227983,0.3841040679627488,0.597359779442067,-0.07041762226618001,0.5038739265720494,0.7429846482622832,-0.19484549790910022,0.39094795681964917,0.6453233303818767,0.3572005456656168,0.3587106613676774,0.15017016580614434,0.6819182342326124,0.43568499273241257,0.3503793639447311,0.6436812830338252,0.7125944140956283,0.6149856454878954,0.2959983121978496,0.4672319640736392,0.3261408730858192,0.49488684701822044,0.6040891391043741,-0.0001634936661270255,0.572062208309719,0.6281769824772414,0.2472468655918198,0.836866347867575,1.0
