,OFCmed_L,Paracentral_Lobule_L,Vermis_10,Cerebellum_9_L,Cuneus_R,Red_N_R,Hippocampus_R,Cingulate_Post_R,Cingulate_Post_L,Thal_MDl_L,OFCant_L,Putamen_L,Thal_IL_R,Precuneus_R,Occipital_Inf_R,Supp_Motor_Area_L,Thal_LGN_L,Calcarine_L,Frontal_Sup_Medial_R,Paracentral_Lobule_R,ACC_sup_R,VTA_R,Postcentral_L,Cerebellum_Crus1_L,OFCmed_R,Thal_VA_L,Thal_AV_L,Thal_PuL_L,Caudate_R,Lingual_L,Occipital_Mid_R,Cuneus_L,Thal_VL_L,Pallidum_R,Thal_MGN_L,Rectus_L,SN_pc_R,Thal_PuI_L,Occipital_Sup_R,Raphe_D,Thal_LP_L,Insula_L,SN_pr_R,Thal_MDm_R,Cerebellum_10_R,Thal_PuM_R,N_Acc_R,Occipital_Sup_L,Cerebellum_3_R,Temporal_Sup_R,ParaHippocampal_L,SupraMarginal_R,Temporal_Pole_Sup_L,Temporal_Inf_R,Frontal_Med_Orb_L,Frontal_Mid_2_L,Frontal_Inf_Tri_L,Frontal_Mid_2_R,Temporal_Inf_L,Vermis_1_2,OFCpost_L,Vermis_7,Heschl_L,Thal_VL_R,Caudate_L
OFCant_L,0.5327715415074774,-0.09793416542880909,0.1617902658316334,0.22783385272451379,-0.1831109851402632,0.28987891263160315,0.26727440773594363,0.14504776449752982,0.1573460630012879,0.05119199575518283,1.0,0.26899077434748464,0.20926512882308665,0.023571490831595637,-0.247313527935923,0.21840595716068173,0.23770256373084753,-0.10367144806977598,0.29279229140843993,-0.11603834223448019,0.1369950687007403,-0.4122124077600387,0.20813207569594522,-0.20264821370480468,0.3547163574163548,0.28772885984392893,0.3119539564449961,-0.008367613902996767,0.24792608095663843,0.035474402738091375,-0.37468205578973046,-0.12406498358086954,0.18155047328735743,0.29715771883306574,0.4699159324709497,0.19372589014655206,-0.08210078229848253,0.15981643333072032,-0.28798365624289907,0.0760524143430319,0.07448697916185264,0.22551731939860234,0.1396463677882151,-0.049985199437030954,0.09385467227323725,-0.15257344281217647,0.4985996238473544,-0.42470835052792505,0.24876842598532387,0.2011574094523357,0.3306433140282135,0.1006694927411794,0.18511051395368136,0.18337959264381873,0.33700279866818167,0.3400137161185554,0.5023393040475176,0.39354157061086176,0.34981038418338156,0.399630283598106,0.1422404055359049,-0.3805801059504213,0.48185302514349926,0.2801576291939068,0.20044715959228712
Putamen_L,0.3510547379503623,0.19358799149427708,0.6142733436918504,0.5293467404869848,0.4429024078462711,0.7145549478648763,0.7933201557153674,0.6830709369716862,0.5993524013991628,0.5032910444331171,0.26899077434748464,1.0,0.6745624451780609,0.610016306373771,-0.027991649267045296,0.22603026576613008,0.46008259525113937,0.5596039352678368,0.05675580556094055,0.28549498896812975,0.719761650120567,0.1672094545919286,0.38990354140589234,0.128746349210669,0.4383127162963333,0.7463380932544328,0.574840864232054,0.34074647491363397,0.765357954683214,0.596638754181719,0.15095083661599437,0.5676542410642423,0.7944714248049445,0.8220882255321315,0.4944937114603354,0.25337985493865733,0.4439910954962586,0.6197303669985844,0.2792499945334332,-0.035115256353843896,0.05677090781354758,0.7074977459292905,0.7539939513989898,0.5618263689116043,0.6215991230118281,0.5017366204968485,0.7032370427350184,0.2910503413721126,0.5890264627990427,0.8732387907441799,0.8084057258173039,0.6442228149591873,0.7664663364874684,0.6731055927351116,0.24626254297470035,0.14082571174905248,0.3796685936525482,0.35625989966892807,0.7035908611280135,0.5274992750340369,0.6090174000936284,-0.05897437280079012,0.5774362471011494,0.7563854335832266,0.7753348561702672
Thal_IL_R,0.1943823701671442,-0.061419020983624784,0.42086433325760525,0.4796781384517,0.27064001568025176,0.8146263099074238,0.8360761161487837,0.4039489834324399,0.3658373338365514,0.6286973820419878,0.20926512882308665,0.6745624451780609,1.0,0.3418243062861912,0.07510506949102891,0.327210375787209,0.6098356448357928,0.3675506947549416,0.2372469485500286,0.07098100790626384,0.5427588385031386,0.34640862569558545,0.29937653445303875,0.1882361318152599,0.40096107374459095,0.7566344656292108,0.8271144802765432,0.25542976925854405,0.8790908354419656,0.48901071681360214,0.08059013049421819,0.3136589475590479,0.8063795087428071,0.647285785031292,0.49209092432098783,0.1621866073392688,0.5397610713793252,0.6687405819111808,0.09430289943287097,0.06765920179714582,0.17962308517821554,0.5787496323268433,0.6238874436075162,0.629385056309679,0.44489486141414875,0.46715373004639593,0.6473544657365244,0.1352087795448248,0.4280661393279085,0.6745788490641715,0.7839795003182032,0.3608153985875196,0.5013000169292808,0.5231096252644999,0.21979954018751155,0.23950860590031547,0.36073090124816837,0.45726530658772047,0.6381479451440683,0.4014493289795535,0.4085052715455804,-0.026888888873048175,0.559127082175612,0.8654360954623549,0.7859550674347718
Precuneus_R,0.18692085248885768,0.38890406707763087,0.5179233543187557,0.4583570405577662,0.7860072292523371,0.3406361685284252,0.5394478931119188,0.8846150399933159,0.7796796541633159,0.4658334850428673,0.023571490831595637,0.610016306373771,0.3418243062861912,1.0,-0.12025948311558715,0.39454980815280805,0.4486173071136836,0.8340945832279135,-0.1134220892725499,0.45329189508143986,0.5376481322296328,-0.14512392230168597,0.6216290704456527,0.023726735020916476,0.23349812720545582,0.3559898705218392,0.2820981437069614,0.28546627429963783,0.46706361040631855,0.5788404441300332,0.4485159987536359,0.8824846809153786,0.5243049679785501,0.46856126343084115,0.2644686954232909,0.030715510748523193,0.3175439440798879,0.4118183121671591,0.5812935460659705,-0.11989548009666731,0.11068045423214612,0.4994860881122511,0.4854602348157811,0.5209976862728851,0.6431347081072791,0.5461023932244752,0.3510965789365461,0.644741379633885,0.6080821335164022,0.5643324668934435,0.5445306440366904,0.7863789851138534,0.4451892873209523,0.45350014299385527,0.22188088299088582,-0.023562349714458794,0.1936692213152173,0.11414650734271596,0.44091641738829995,0.5879763126552475,0.29029088184587837,0.04054055590190232,0.2043730831090065,0.40007194411140073,0.460019849095899
Occipital_Inf_R,-0.1592846960697658,-0.2391584786060129,0.2656461479442315,0.4060904103268578,-0.09442295085139864,-0.10155556977396846,0.02171400815666912,0.05096259605829124,0.03490373018610184,0.09899819980190562,-0.247313527935923,-0.027991649267045296,0.07510506949102891,-0.12025948311558715,1.0,0.31724886967560834,0.06922498227528477,0.19722310367150558,0.5850608067104057,-0.41738763639523596,-0.1806938950465655,0.32313061835109214,0.08346780696701767,0.884583098091859,-0.45991271176473175,-0.0320936122922107,0.07286769211883334,0.08409417680696238,0.015979416094202073,0.5045370677382577,0.04796469962372701,-0.1259905950469542,0.04625582329130995,-0.10590255128554696,-0.27040063534282055,-0.414422132000725,0.13540770900189697,0.06831837126566591,-0.2447432047783481,0.2474045940456617,0.12944147835649614,0.37795917403005663,0.062399399492583045,0.12348075612263307,0.2678429700315542,0.18258377226261344,-0.15927516753434492,-0.07513050720831728,0.22910365018854303,0.21347581311642216,-0.03771404129998127,-0.19484549790910022,-0.09204110652490911,0.43094202483313415,-0.6374005253022256,0.5333950037317294,0.38677667481219075,0.5074204241913502,0.349144674396075,-0.4309049693874205,0.20496881521624524,0.7729143380582381,0.18326368492782935,0.00460564293771553,0.0038807261070355273
Supp_Motor_Area_L,0.08749752904301049,-0.023267992627616245,0.19773517585813705,0.4801708574841949,0.1934645145075802,0.2876597007713018,0.39492006729812174,0.39705450411628707,0.3143064722106417,0.27267333466534294,0.21840595716068173,0.22603026576613008,0.327210375787209,0.39454980815280805,0.31724886967560834,1.0,0.609177305183888,0.3309448259359521,0.5378428051410338,-0.2108274686906197,0.013688952768013513,0.05361922189350359,0.5862721946039915,0.38126835454632774,-0.03361623107912773,0.08881845269114778,0.30655849187382533,0.07161816572044676,0.2932311524758438,0.4236206479442038,0.16842839022560008,0.23934466778115338,0.2561025777984632,0.27717573389371136,0.3110753949918655,-0.19940232756895365,0.26806830265693515,0.14821910520650797,0.0194116612279866,0.1209098746297222,0.14747112042263016,0.48776771616488007,0.21664980695913144,0.26775972745060556,0.413384188926614,0.23288140947138355,0.14187220323470945,0.08625237659333644,0.46658724983803057,0.27413128365984646,0.31756639960143157,0.21191173318262352,0.0009889179086518003,0.3828743353120906,-0.031049932531451527,0.5735075741996986,0.5739231907309885,0.6260170332955897,0.5078705194737858,0.13834657777986556,0.25216126136103323,0.20985629476755135,0.4402836456592091,0.22411943229222808,0.12051944800983568
Thal_LGN_L,0.22793425712128065,0.04629342589562674,0.16070327030300013,0.4114712142813075,0.3014105817512171,0.5622263496630298,0.6641015570772368,0.4425725499625505,0.30206864726042953,0.37376880342244556,0.23770256373084753,0.46008259525113937,0.6098356448357928,0.4486173071136836,0.06922498227528477,0.609177305183888,1.0,0.31454625995969715,0.3141817240334336,0.04599058104850232,0.19832428717698988,0.0512333801974823,0.5662329023728577,0.1372188943158479,0.21107362958670106,0.3969421220447458,0.5018294011389901,0.28735703435603016,0.5465927421596203,0.39806916445910834,0.15673620300098604,0.2863351523008515,0.5598089586647136,0.4829227308668715,0.5950570666439204,-0.05206024747712967,0.32791516595099074,0.4918066988027959,0.1438907186271012,0.06241247740302678,0.13483983387297116,0.5243877901446192,0.49157237445803564,0.4934811397748738,0.46674591305908514,0.4498610253098601,0.3802836303481442,0.19305945364591762,0.3986720665219359,0.42215779000488207,0.6261017813637064,0.339547548231684,0.12579695763022636,0.3481762707682704,0.13569442011395377,0.37292355671966987,0.4213877734682291,0.4754111299679119,0.5429041876218499,0.4436975685498659,0.3006818075209098,-0.08906650721947436,0.43812992119016503,0.5012177583888479,0.4179560269106542
Calcarine_L,0.0903954212374573,0.28718544873017215,0.694206337942148,0.6883130314820923,0.7051348160367571,0.34052108911587503,0.4767338948537327,0.7774961339558413,0.6976157226731287,0.5074080274110241,-0.10367144806977598,0.5596039352678368,0.3675506947549416,0.8340945832279135,0.19722310367150558,0.3309448259359521,0.31454625995969715,1.0,0.001402412305174874,0.28959845965362235,0.5175632025866475,-0.0012578168609897326,0.49249596149322616,0.36176458551015905,0.13139981750522178,0.3455771543623893,0.3585856916559462,0.24532389295780938,0.46840121695103515,0.8159808653704849,0.46526707298090786,0.7963301189590599,0.4853648979020734,0.38867389947163844,0.02994168971312683,-0.04671881929547941,0.36865984163457255,0.38196688662438183,0.5071347507614594,-0.04035701074368049,0.10640322110508205,0.5449290309242508,0.4576044174113132,0.5136875982978227,0.7990254737238266,0.5391239374930155,0.29655300781722366,0.637672164611364,0.6984930721155491,0.587915799125813,0.4746494741356702,0.7507652107498929,0.44626269912203453,0.6118775395310008,0.07135008959583201,0.05350705643568022,0.2076420060625724,0.20359650233801987,0.48424974650324953,0.40848755133690706,0.3010731391447614,0.4249493122414059,0.20451184972735623,0.40139745099517415,0.48635187439894306
Frontal_Sup_Medial_R,0.1670846426644139,-0.44743897867265103,0.2855977177136094,0.4334955556283312,-0.3388263248842224,0.14306054728571632,0.24590642325366108,0.12772031494686922,0.1298471731844188,0.16263428524927953,0.29279229140843993,0.05675580556094055,0.2372469485500286,-0.1134220892725499,0.5850608067104057,0.5378428051410338,0.3141817240334336,0.001402412305174874,1.0,-0.5307573260135265,-0.23793127939982658,0.08332233056234464,0.2512576965406976,0.6079117809274139,-0.28007800712562547,0.1756444570055739,0.289227356051012,0.18986948137227116,0.19646844232229008,0.3849207385112476,-0.41971681512769987,-0.29222883655689214,0.19307900046761028,0.018966537113344756,0.23745369292044297,-0.4218359581399735,0.22406690833623008,0.2830466266198925,-0.583486154979367,0.20117920200338654,0.24653787687382817,0.47141159878394867,0.10375573495029718,0.071599347720255,0.20777167025072427,0.0067663398166558685,0.0886317689090517,-0.4306019640015936,0.3087607641611904,0.2425267700769887,0.2164215497658394,-0.20520619782192562,-0.08175359014013808,0.4063577924190735,-0.37165678468450963,0.8888759492538972,0.8153817608884762,0.8884070066166938,0.5061194550959122,-0.07667260402033282,0.2021364644608694,0.3171929296119213,0.40710034276788254,0.2076919956444356,0.1512060001561779
Paracentral_Lobule_R,0.12475007804318461,0.6763119292674938,-0.009159073659504175,-0.15781348891713848,0.6834902168966929,0.183807281851668,0.25518132453250186,0.17593405520434094,0.168528877671297,0.38865076617826716,-0.11603834223448019,0.28549498896812975,0.07098100790626384,0.45329189508143986,-0.41738763639523596,-0.2108274686906197,0.04599058104850232,0.28959845965362235,-0.5307573260135265,1.0,0.37165225870728297,-0.31970604759153576,0.22041182932341896,-0.4135386268201852,0.23884676219071918,0.12123715205542059,-0.012165781352505291,0.1871909254873935,0.2236406396635078,0.002673418896885353,0.5718820442371164,0.5149906703236024,0.2886950002901016,0.09802912932878681,-0.050488632102647854,0.23625670055567588,0.09431449831435709,0.2571521620321259,0.7925288269673003,-0.08229406902248942,-0.015899408167313014,0.03971737916333886,0.402868390567945,0.478806801903525,0.11278136629087462,0.5406546822029904,0.039605142671678285,0.6664956349620478,-0.07844653301082533,0.19822219095445945,0.22408182323093512,0.6819182342326124,0.18218265870196954,-0.12067053016317116,0.1726721453369452,-0.5421236335842404,-0.35174511679940507,-0.3807982360926336,-0.1457799807264165,0.5482366988669967,0.01625170012015298,-0.2865830208562535,-0.3852531083468917,0.2371516407350648,0.31133754312419265
