,Thal_PuL_L,OFCant_L,Frontal_Sup_2_L,OFCpost_R,Cerebellum_10_R,OFClat_L,Fusiform_L,Postcentral_L,Postcentral_R,Precentral_R,Cingulate_Mid_L,Olfactory_L,Thal_PuA_R,Amygdala_L,Precentral_L,Amygdala_R,Occipital_Sup_L,Angular_L,Thal_PuA_L,Temporal_Sup_R,Occipital_Inf_L,Temporal_Inf_R,VTA_R,Temporal_Inf_L,OFClat_R,Precuneus_R,Frontal_Inf_Orb_2_R,Lingual_R,Thal_AV_R,Thal_MDl_L,LC_R,Frontal_Mid_2_L,Thal_LGN_R,Thal_VPL_R,Rolandic_Oper_L,Thal_VA_R,Parietal_Sup_L,N_Acc_L,OFCmed_L,Red_N_L,Heschl_R,Precuneus_L,N_Acc_R,ACC_sub_L,Occipital_Sup_R,Cerebellum_9_L,Cerebellum_8_L,Thal_AV_L,SN_pr_R,Calcarine_R,Cerebellum_Crus2_R,Temporal_Pole_Mid_R,Hippocampus_R,Insula_L,OFCmed_R
Cingulate_Mid_L,0.22370475363976672,-0.3532555051823316,-0.03337348381147551,-0.0387569048810827,0.20540105358254182,0.5373902171099927,0.5675373396458507,0.7470327058662326,0.7545073385472726,0.5823850422586484,1.0,0.39896341605238267,0.5235535063165299,-0.040683512420438564,0.5742877388006135,0.1156635617484872,0.39396176517226394,0.4018243567782344,0.46133413032612913,0.7831173280413833,-0.2956412463751619,-0.03466008398344564,0.668458522428822,0.5779992600840833,0.446043158046263,0.7462726089795849,0.049689606518092524,0.5887209626129197,0.6842767578453341,0.44031011716192614,-0.0015372498676656625,0.7530350568795361,0.674578645013166,0.7095740441905282,0.5846780500687191,0.4705248184580383,0.6460057769236398,0.21885132773487617,0.1735873632367112,0.5479328999989485,0.6493178244667108,0.8265935497927801,0.08558144869579358,-0.0942303787576674,0.34017173872770556,0.7738918297299427,0.4452198043933932,0.2557634957510437,0.7285043424552528,0.6645632897292192,0.13446121051131896,0.10548310522815964,0.7868574484747859,0.3664620689365404,0.5053287965785384
Olfactory_L,0.028252022034927184,0.32392038297359005,0.3781114777605934,0.44943060751785047,0.0805463453419452,0.49397808226473583,0.25741038507214525,0.45851247358244673,0.45556602947584984,0.465260661673499,0.39896341605238267,1.0,0.3875133852250039,-0.18089022235927904,0.4351857856936929,0.08648434829004727,0.033238289275137396,0.03960858645008991,0.336696940171789,0.4397527842587673,-0.07881213952855234,-0.056218541838610074,0.35099211211190995,0.28812465308285584,-0.06321068347715411,0.26973481574606417,0.34357447317096235,0.1156757010906286,0.28039479451240495,0.23570263489806145,-0.02448380223299618,0.5270149242094349,0.43550266083131917,0.44003671050236554,0.5157406313090013,0.3958393153547096,0.1066145767351182,0.5593951512639294,0.39206460505219387,0.45099764491503286,0.498345106973561,0.2913951319523554,0.3553170682706007,-0.0630803760040651,0.03489382728873888,0.346148850760571,0.2391363765797218,0.1984398879207051,0.44928099163501306,0.21897398499935003,-0.07659660675056279,-0.030274533967074163,0.486057473895196,0.3618167413014959,0.4006360171069256
Thal_PuA_R,-0.01877863628461798,-0.13624321465738193,0.19283492810391595,0.27282450900438965,0.08885682016990751,0.453522384082339,0.3040819813964607,0.38006632039843724,0.3700875883828982,0.2785594066600096,0.5235535063165299,0.3875133852250039,1.0,-0.0867257904356455,0.26886166347969076,-0.20673902591791546,0.4240214070364595,0.13122454958493748,0.786293335839657,0.471251571151862,-0.27254503205140385,0.10961053138484682,0.23818604116745834,0.5570282807290018,0.27242819888316816,0.32122709961035356,0.15763266050501334,0.58935886693847,0.3244486173638521,0.4493490021572726,-0.03030584073826671,0.43951759790164485,0.6075811724474974,0.43651975261213727,0.5863592150154944,0.1399729649934154,0.1130144181229361,0.23382211947889187,0.34315074199384643,0.23111430215497328,0.23936822158856513,0.3430425428725772,0.19473383506749484,-0.14120941894866154,0.42350961273984494,0.30603241463948183,0.07699022779666595,0.1936118463450021,0.5075778788692699,0.6101857105154256,0.16378738773940077,-0.04196204855568862,0.5384247879289205,0.4797021434308102,0.03424715387603026
Amygdala_L,0.07107215554679687,-0.02609383057369593,-0.19061981811028067,-0.18992764072858248,0.1843347313704627,0.0774448618237338,0.11574930792998213,-0.08749564851394316,-0.06111083938285128,-0.16003025345049265,-0.040683512420438564,-0.18089022235927904,-0.0867257904356455,1.0,-0.10608737904678829,-0.03983286328162658,0.131846501630357,0.09550179633319357,-0.047414582910888736,-0.03890627433893373,0.10900086615611684,0.20586989546697526,-0.0847080438885439,0.05022474622623973,0.19979463401159062,0.012015662681691582,-0.0911268450767829,-0.05975599272570629,-0.09175890414678345,-0.03768242754463656,0.19005510072381668,-0.15052283098117117,0.05509141842675808,-0.1492701842468503,-0.0757629098482504,-0.2603632587638895,0.07085534824197649,0.04195291917381654,-0.024967348718286597,-0.0130960077530115,-0.12847335661527076,0.051776345734381383,-0.04668382934614726,-0.018991797798897647,0.03177825550858678,-0.04420716935691073,0.054427135741438544,-0.13122221956614533,-0.17522239280434918,-0.03247110757924702,-0.15024700937529195,-0.10491471235472205,-0.15806520352797543,0.01679857537385048,-0.07406554801787939
Precentral_L,0.24022753902013122,0.2350079487952898,0.48831294673076814,0.4536861069032696,0.29249669373997056,0.3476987044589495,0.22174120475957143,0.95536914169362,0.9077083004385074,0.9613962784728896,0.5742877388006135,0.4351857856936929,0.26886166347969076,-0.10608737904678829,1.0,0.09549462373054296,0.3241081729600563,0.6176103281262155,0.35545605402329317,0.7102876224132805,0.20093201284490056,0.03767041426593097,0.5140165280282346,0.3515258863065034,-0.14983930365689094,0.7805996231763304,0.48582827094509945,0.30190233590934135,0.3840795712817728,0.5833263006171893,-0.030907763764507563,0.8516833477464787,0.4463892924155239,0.49531994842391963,0.6741694624458766,0.30191270784047175,0.6045302727247518,0.3600491780713913,0.2961851006034909,0.4456315747361083,0.7343400609675996,0.701775641072816,0.31679508444547644,0.04942730631950283,0.3481881828354369,0.5515400929263304,0.3778852733088999,0.16748778325510388,0.33947896898345853,0.39325333058879625,0.2651327388958853,0.30782701087193415,0.3469401793015658,0.6874112839412381,0.2001509326843613
Amygdala_R,-0.07183492793309806,-0.13164414922036272,-0.11515326565540975,-0.061098283826958345,-0.11187711561610955,0.0001917375947573857,0.20333274486564454,0.1204410937933559,0.15292701967649777,0.13845397837322485,0.1156635617484872,0.08648434829004727,-0.20673902591791546,-0.03983286328162658,0.09549462373054296,1.0,-0.3104091053518918,-0.10245322066981462,-0.23446155810025598,0.06989451587787193,-0.23377549167370307,-0.22595168115609146,0.09249992551271653,-0.012819695027252475,-0.015125428332911795,0.0683608352185289,-0.09804360334588988,-0.13634943017490547,0.26776598258856876,-0.2030405979916057,-0.10220773808082155,0.10530336984900641,-0.1719250396183591,0.11776319284489102,-0.1041584308582726,0.3349591869569088,0.1344598851576657,0.08920001693282054,-0.35945706669443744,0.3251058073949685,0.2354241726967457,0.12144761137440466,-0.01903462743390155,0.055120986948086925,-0.26852880913238897,0.17906351270564996,0.2855528803485034,0.18600463424437635,0.23482182119894976,-0.03668150099657434,-0.0067073384338819,0.16695987498547193,0.16471182990319594,-0.1395521319403524,0.28164803564318985
Occipital_Sup_L,0.2680450579844321,-0.2566770900722997,-0.01680212210710279,-0.12319992782219817,0.08197762127878545,0.25008764751886076,0.16447395160103637,0.4231213153468677,0.44192422042803103,0.2603251088413741,0.39396176517226394,0.033238289275137396,0.4240214070364595,0.131846501630357,0.3241081729600563,-0.3104091053518918,1.0,0.7089281470780028,0.4403944031993804,0.5856836969369162,-0.008007943075382558,0.4244945848690116,0.09624593470562269,0.6004027653500934,0.34390250708712533,0.6452776934542209,-0.15502091857312156,0.7795379657030778,0.18606182075448482,0.445447412493205,0.1964731157164742,0.3331384494235283,0.2466013601862249,0.19988112746570333,0.49104824493972066,-0.1348445994055954,0.5732686340393072,0.1841485073298224,0.21425860696884635,-0.06989848765732769,0.07186241096678171,0.6362484866199942,-0.02671033250391298,0.02454712211848875,0.9439721378742287,0.32174204069777307,-0.04266219424269212,0.1123136690209999,0.05036373047713434,0.6426525182511974,0.5684250979208182,0.34382113876407977,0.078538290883808,0.4783538465461892,-0.03801838204602998
Angular_L,0.4101532303916252,-0.09076006863129378,0.11930472682229087,0.0379155536212391,0.2613695975426793,0.08542801922123235,0.29930364609739923,0.629769459316794,0.606737524106185,0.5531654559217963,0.4018243567782344,0.03960858645008991,0.13122454958493748,0.09550179633319357,0.6176103281262155,-0.10245322066981462,0.7089281470780028,1.0,0.13465585332964788,0.5280537953749249,0.37934617848967456,0.21487764782161864,0.19189813217078427,0.36109086270919877,0.17123348392626345,0.7858820021834447,0.16001181171367668,0.4031950478407973,0.16093785524938647,0.3992438958038093,0.2134744644838273,0.4784215291358013,0.2191764063630187,0.163068203200038,0.33353708206104965,-0.03155529357658967,0.8269566525530848,0.20492546704588463,0.13375875805252863,0.13035183943028208,0.2447860160596017,0.7308165181355396,-0.028405235103380676,0.007881923832322599,0.660201653956443,0.31901078479670847,0.20909241138944598,0.016052665673393016,-0.007939293124289813,0.35583239718455584,0.3557500431154997,0.3519491391810284,0.03042194790033359,0.4455462151425976,-0.003813033899106609
Thal_PuA_L,-0.21823950451310764,0.007369604871064734,0.23542190323764062,0.33837191645512604,0.18251830260250318,0.486655144069289,0.2170598294180504,0.43613298745347306,0.4371484515018911,0.37000228604283175,0.46133413032612913,0.336696940171789,0.786293335839657,-0.047414582910888736,0.35545605402329317,-0.23446155810025598,0.4403944031993804,0.13465585332964788,1.0,0.5234134074950368,-0.2338524168591074,0.20669930072316184,0.25615117850712565,0.589294671212429,0.09461218794342262,0.35863664893335645,0.24599647869750702,0.5814827541757005,0.29387679714779436,0.4872720872161267,-0.18151591262782388,0.47600809191140436,0.5660065322961249,0.4065534587432416,0.7549294948591302,-0.015686330691514126,0.07638340395487164,0.19573832433369723,0.49678931981857205,0.2219797018477109,0.30172723009743957,0.353363099123457,0.3040740396057927,-0.10270187326724632,0.46963405976505135,0.38625074656222597,0.08983863133091058,0.1505995642986108,0.4356668014629574,0.665480758078369,0.15597038993537307,-0.04598589891900007,0.4854512208822065,0.620900056233756,-0.03465285393546385
Temporal_Sup_R,0.2218818545000013,-0.14874043500011946,0.12166498502143447,0.06780332748952278,0.36580940712047627,0.5862885572212643,0.3782495880460955,0.8225164557282263,0.8753573942874012,0.7191794712718849,0.7831173280413833,0.4397527842587673,0.471251571151862,-0.03890627433893373,0.7102876224132805,0.06989451587787193,0.5856836969369162,0.5280537953749249,0.5234134074950368,1.0,-0.17565197090657134,0.1124070616141514,0.5077247419380231,0.6637736703997763,0.2303268202632968,0.8542602839766612,0.06840569152667672,0.6590067669220765,0.612636175068778,0.5212410251837108,-0.06568454772362575,0.8019129584780414,0.5617752128767007,0.6273798838999651,0.7771210986518479,0.3459707815292329,0.6504418992905597,0.30647789823569227,0.1834819820105415,0.46220304260470096,0.7150086211245492,0.861613496816674,0.15169540865913236,-0.024720228368255107,0.599645177628239,0.7582553179999793,0.4075943976421678,0.3343205354258851,0.5170257845522228,0.762896823180201,0.40109482977957206,0.3736286489301631,0.5545199511946279,0.6159340017344909,0.3820002331733601
