,Heschl_R,Lingual_R,Thal_PuL_L,Cerebellum_10_L,Red_N_R,Hippocampus_L,Olfactory_L,SN_pr_L,Thal_MDm_L,Paracentral_Lobule_L,Putamen_L,Parietal_Sup_L,Temporal_Sup_L,Thal_AV_L,OFClat_R,Rolandic_Oper_R,Calcarine_L,Thal_MDm_R,Frontal_Inf_Tri_L,Temporal_Pole_Mid_L,Precuneus_L,Temporal_Inf_L,Frontal_Sup_Medial_L,Cerebellum_3_R,ACC_sub_L,LC_R,Thal_VL_R,Postcentral_R,Temporal_Pole_Sup_L,OFClat_L,Paracentral_Lobule_R,Frontal_Inf_Oper_R,OFCpost_L,Parietal_Inf_L,Cerebellum_8_L
Putamen_L,0.4329661404452928,0.35699036910496,0.03539602293757185,-0.0024038105537281074,0.25384995797808485,0.29898743955029633,0.4624535645889462,0.20306166577725507,0.5429959106005515,0.6726858990437726,1.0,0.28099049040033935,0.653184937600524,0.1642384005916061,-0.14719646034473305,0.7304957484738307,0.44960932503246465,0.28148806355552075,0.6391263815523078,0.15026085781738122,0.4244001022637245,0.43954037068594326,0.656205978205332,0.6160116072563371,-0.0365916270651652,-0.0995943127131859,0.5697330262946149,0.6202460763755209,0.43039815165010825,0.46928139046221856,0.633002769535706,0.7026014833595219,0.8066758406588851,0.4958110164363765,0.18966160077717392
Parietal_Sup_L,0.37327880338419656,0.4506456860421186,0.37867622926891875,0.050285327463354235,-0.00029336309750986974,0.10723770759130867,0.1066145767351182,0.3760352905481623,0.35102182738029075,0.6073721770137395,0.28099049040033935,1.0,0.46470056227695095,0.16575669302977514,0.29456320507014755,0.12780393010776842,0.3371115155705489,0.172073124509825,0.4742260878949879,0.09077291859676072,0.8884753093145369,0.37523472967325183,0.30804613400833214,-0.025983431327692107,0.046022950243096584,0.1843684903771839,0.3791656521529129,0.706397961269077,0.4026525959925846,0.2646505861709173,0.6298417302269123,0.375159040071541,0.04313650339955249,0.8124603740592987,0.4796929091482089
Temporal_Sup_L,0.7446793504219107,0.37625052447861634,0.08999207738606695,0.12932215529149346,0.46648699562066054,0.720597144848466,0.5681376589901381,0.4910608527671006,0.6968447390439838,0.7621624588919349,0.653184937600524,0.46470056227695095,1.0,0.31203191395733626,0.12057176882629732,0.7782029333789843,0.5693580014248563,0.3971961609310426,0.6567805741942597,-0.06545435930986239,0.6859935450303883,0.526997683652014,0.42336488440385805,0.6082509466023717,-0.23125659194796278,-0.20109363314148523,0.6430920743817955,0.8146359734483628,0.36181739330656687,0.6237242776157662,0.7326458248840559,0.6587009656984171,0.4492053309643503,0.7310084145664699,0.4960730330246387
Thal_AV_L,0.23993025623278758,0.27697681972978694,-0.16258505805816853,-0.02547367732687583,0.16962885573017927,0.33353756450980837,0.1984398879207051,0.13828051219219198,0.2857989647179846,0.20641395853261651,0.1642384005916061,0.16575669302977514,0.31203191395733626,1.0,0.00879255697581743,0.17351140246906108,0.29697025002559413,0.3423053110189498,0.12994081339705468,0.28968808293718684,0.28109830681953435,0.1844542044354,0.04966569666674094,0.20561039429108455,-0.13209227609178417,-0.1475270249490645,0.29525934647270574,0.3027165766057246,0.21968569561190227,0.34901246433542144,0.22990631194244554,0.04936451675749874,-0.05527806592817477,0.23573156600362505,0.21487110373765725
OFClat_R,0.041572612536880806,0.32191093224316103,0.21697344011093136,0.18884679831021675,-0.01120125658830205,0.15719461299649792,-0.06321068347715411,0.39241655904605127,0.018632408446702,-0.07815059654274005,-0.14719646034473305,0.29456320507014755,0.12057176882629732,0.00879255697581743,1.0,0.004075685331981576,0.37031775164284253,-0.05026684905606774,-0.16740506306060327,-0.24923110837410617,0.35094799933798,0.3636239491018371,-0.3973749520813219,0.13640238283850822,-0.15563732373129846,0.19773689337520067,-0.04286653717835068,0.08791759412342887,-0.03127152315315147,0.1595575445808843,0.027799953063649626,-0.23465940977342647,-0.19285650206215993,0.4325457750067717,0.1912565812840362
Rolandic_Oper_R,0.5401103184125128,0.30641386642434715,-0.11839254575425269,0.10521942491354212,0.35132278257424354,0.5906517784600348,0.5169947083745928,0.33241752782072215,0.542182531617942,0.6044827434501685,0.7304957484738307,0.12780393010776842,0.7782029333789843,0.17351140246906108,0.004075685331981576,1.0,0.5267163131156862,0.2016777619739518,0.4468168932433658,-0.064212312705352,0.3904407640751753,0.5192772749535657,0.3357734256071492,0.8207651105742215,-0.21502786852706848,-0.27995825146641945,0.3971441336950933,0.600721401953401,0.41229506843273983,0.6211349525416918,0.5541836436636163,0.6356762002701662,0.6635669932438211,0.49786921002083734,0.25601324685593674
Calcarine_L,0.37441650584122177,0.8311200587890819,-0.03528424935255974,-0.12115595253983692,0.2862952214229431,0.3718071827197299,0.2402876480497639,0.5648089324656483,0.45189920072433853,0.4506572245541027,0.44960932503246465,0.3371115155705489,0.5693580014248563,0.29697025002559413,0.37031775164284253,0.5267163131156862,1.0,-0.035954502859176826,0.3175492257525393,0.020857175642235107,0.6178421377612476,0.8187377482018093,0.02331330798383149,0.6555412198788744,-0.1863331317923933,-0.16347803547382203,0.32970507156320367,0.5333486508917948,0.2887663848553649,0.45272006921561625,0.5723404087027613,0.07694943663213481,0.3539326716643967,0.673149510299152,0.17539284369037936
Thal_MDm_R,0.40706915542544186,-0.002191601888653741,0.07943999763201488,0.382901151101298,0.0980029671518379,0.5209188264847808,0.5370321626160177,0.08434401369048085,0.23341076096535027,0.3441347564719999,0.28148806355552075,0.172073124509825,0.3971961609310426,0.3423053110189498,-0.05026684905606774,0.2016777619739518,-0.035954502859176826,1.0,0.3170393358663238,0.3666404318607827,0.27443825328584337,0.052641080012539684,0.3927238298289919,0.17569703499850178,-0.009781787648722428,0.049596678402989314,0.5939410462354671,0.39744015561268686,0.42116965460058237,0.3549237348287219,0.28617030979558117,0.3282029737946326,0.12203653938263925,0.2388308185217483,0.3151964003753162
Frontal_Inf_Tri_L,0.6973428070963965,0.29458368210287494,0.4309131583955941,0.1679108190430006,0.42511889717084955,0.3614984280705589,0.4674422964266173,0.351010859599069,0.6831006486828217,0.8168074233993919,0.6391263815523078,0.4742260878949879,0.6567805741942597,0.12994081339705468,-0.16740506306060327,0.4468168932433658,0.3175492257525393,0.3170393358663238,1.0,0.0560895406785881,0.5931153096824127,0.26302978915836434,0.7726823405576244,0.28610023180386385,0.04797806602919376,0.02856900834179095,0.7002546159847909,0.7620879462433716,0.29898118015647696,0.26390815136084794,0.772533855510279,0.7608827818412106,0.43126624979223704,0.5472647536655243,0.18083254152770287
Temporal_Pole_Mid_L,0.024973419370605827,0.20263959865093462,-0.0508663817357588,0.004399446861200477,-0.27693082516991957,-0.16393343163224772,0.15470037203938425,-0.26051461383201613,-0.18555205594379112,0.22290338626989206,0.15026085781738122,0.09077291859676072,-0.06545435930986239,0.28968808293718684,-0.24923110837410617,-0.064212312705352,0.020857175642235107,0.3666404318607827,0.0560895406785881,1.0,0.12048663611403711,0.08900696914399947,0.2634477052245043,-0.009538875548728513,0.16262594579406364,0.14577032364269765,0.20844213081130306,0.20360778531624615,0.36960092585739257,0.07234600778567092,0.28383630022567297,-0.004103797790215354,0.204667614976079,0.01938355493225763,-0.014028005189943236
