,Thal_MGN_R,Thal_PuM_L,Caudate_L,Parietal_Sup_L,Raphe_M,Cerebellum_Crus2_R,VTA_R,Precuneus_R,Cerebellum_3_R,Temporal_Pole_Sup_R,SupraMarginal_L,Frontal_Inf_Oper_L,Temporal_Mid_L,Thal_VPL_L,Thal_IL_R,Thal_PuA_R,Temporal_Sup_L,Precentral_R,Heschl_L,Temporal_Inf_L
SupraMarginal_L,0.45349834181361987,0.27762339532067515,0.39077406714252466,0.7637676068989889,0.44738580312963966,0.2877854757724802,0.4907930800101723,0.9045642122584004,0.3838886321608683,0.5657507225719486,1.0,0.8575906398295198,0.7095050842199795,0.5776949990037283,0.3551022844125274,0.3196848325360595,0.7300579948694755,0.8138978329354493,0.4883495939682271,0.5315474039512301
Frontal_Inf_Oper_L,0.510397367651902,0.3509859325647882,0.5024595242944737,0.6110685059397569,0.5012837703595169,0.4524717731020792,0.43983237378403656,0.8077395798569074,0.43142561325085993,0.5453894896178656,0.8575906398295198,1.0,0.7265536299525721,0.5683915056384862,0.42836164160794155,0.4131530208065939,0.6707197162786814,0.783630904892761,0.3354882273622921,0.5143403053964805
Temporal_Mid_L,0.6532446171866213,0.22746991361615632,0.14795314492767767,0.44489000298275727,0.5729900773395336,0.3664608153655215,0.3030652959626726,0.6843925806120725,0.6208454757312947,0.5878408777983667,0.7095050842199795,0.7265536299525721,1.0,0.47952344096924143,0.22922109799332177,0.4689989346235072,0.6340274694760066,0.567975183434388,0.12935505597248578,0.7612294112552854
Thal_VPL_L,0.2832564941863301,0.681683638644877,0.5303570646709937,0.4627319748750212,0.30049436240836935,0.03781932047289669,0.6627614387581362,0.6346103482077,0.5284562271341128,0.40440714241244374,0.5776949990037283,0.5683915056384862,0.47952344096924143,1.0,0.5591536781872526,0.5107742127475298,0.7698009825535991,0.6171352834761059,0.4709580721467698,0.5149154893217925
Thal_IL_R,0.1261703157033648,0.6142136871281283,0.6921476155174465,0.18824396141712824,0.27608124289003905,0.13981771135399992,0.4664134164050655,0.320160923467115,0.34752751921334835,0.22284636938972693,0.3551022844125274,0.42836164160794155,0.22922109799332177,0.5591536781872526,1.0,0.42149594662201645,0.40788946410808663,0.3438065031469895,0.2730592636499825,0.2241153276852773
Thal_PuA_R,0.49727227415691316,0.6201861523308324,0.45671812613715657,0.1130144181229361,0.3940827286783601,0.16378738773940077,0.23818604116745834,0.32122709961035356,0.6986755301689339,0.33756104954313476,0.3196848325360595,0.4131530208065939,0.4689989346235072,0.5107742127475298,0.42149594662201645,1.0,0.4651303445858594,0.2785594066600096,0.08250514038374586,0.5570282807290018
Temporal_Sup_L,0.27348537674295015,0.42513564975047125,0.4750760943235358,0.46470056227695095,0.25953041050103687,-0.02684590080749134,0.6441427314272683,0.6953518178590566,0.6082509466023717,0.5234406768516127,0.7300579948694755,0.6707197162786814,0.6340274694760066,0.7698009825535991,0.40788946410808663,0.4651303445858594,1.0,0.7685472154533178,0.616220942044695,0.526997683652014
Precentral_R,0.3081188677920061,0.1919549790536146,0.43914641047949476,0.5766856911923145,0.2980306070176407,0.27583586262530974,0.5445051121614337,0.767107003407802,0.38535595092618236,0.6177812216291869,0.8138978329354493,0.783630904892761,0.567975183434388,0.6171352834761059,0.3438065031469895,0.2785594066600096,0.7685472154533178,1.0,0.5590922095951034,0.4151936362316386
Heschl_L,0.0047229390570872895,0.32945971753949943,0.38218346293653793,0.40847355864334356,0.10092388791432932,-0.24863647850480275,0.46335662960569235,0.48921114072586025,0.18824151097801392,0.1625311831447756,0.4883495939682271,0.3354882273622921,0.12935505597248578,0.4709580721467698,0.2730592636499825,0.08250514038374586,0.616220942044695,0.5590922095951034,1.0,0.07640112946619321
Temporal_Inf_L,0.655385253543373,0.3374290080834926,0.1111028053948093,0.37523472967325183,0.5716593910857644,0.37996728684388587,0.3220335933309987,0.5732333182433784,0.5790943028087278,0.4645506816365059,0.5315474039512301,0.5143403053964805,0.7612294112552854,0.5149154893217925,0.2241153276852773,0.5570282807290018,0.526997683652014,0.4151936362316386,0.07640112946619321,1.0
