,Thal_MDl_L,Putamen_L,Thal_LP_R,Heschl_L,Paracentral_Lobule_R,Cerebellum_6_L,Thal_IL_L,SupraMarginal_L,Cerebellum_4_5_L,Postcentral_L,Cerebellum_9_L,Frontal_Sup_Medial_L,VTA_L,ACC_sub_R,Olfactory_L,Caudate_L,Frontal_Inf_Tri_L,Cerebellum_7b_L,Angular_R,Thal_AV_L,Precuneus_R,Thal_MDl_R,Paracentral_Lobule_L,Heschl_R,Hippocampus_R,Temporal_Inf_R,Cerebellum_8_L,Rectus_L,Amygdala_R,Thal_PuL_L
Cerebellum_9_L,0.11770335524987173,0.2660487795976527,0.22672689382042502,0.4703729965977802,0.3297343809129502,0.6272761119796596,0.21044474489292603,0.3420876576941654,0.5409384199734077,0.25478228320160123,1.0,0.30883819203172075,-0.2496668231458992,0.14437485726675278,0.2808892372780736,0.4264359004510778,0.25880392859218876,-0.21373043660891788,0.30683509762839584,0.18324676816823804,0.42596201685778806,-0.25460275080702627,0.023890296740349558,0.023372288379907104,0.6198970316756628,0.5747303994984115,0.28004611245593725,0.23294379475853141,0.12731828186354704,0.14008966713591556
Frontal_Sup_Medial_L,0.32561444155046154,0.2382917527534096,0.24956390368555406,0.47752985030936485,0.31818397217252714,0.3306034347637356,0.26800549506749094,0.44404275107485375,0.5558913394818261,0.2452736833178477,0.30883819203172075,1.0,-0.0037641655123191826,0.09759706891146089,0.31401629499448774,0.4786187232398157,0.4970682097328215,0.3031380105729891,0.45271514111833455,0.23267020791973356,0.5294541649391099,0.1484471031991293,0.4540182128937449,0.2971380855852554,0.5296691323937894,0.3221088971844362,0.31858681913216447,0.2267033957471969,0.21023633028927885,0.14848736515888752
VTA_L,0.04113453776243124,0.15047276384101604,0.09695284519938671,0.054386634857440275,-0.16192069139992557,-0.2411568728280741,-0.4389799958185124,0.0027477496108593742,-0.046814028415928036,0.08150732507600271,-0.2496668231458992,-0.0037641655123191826,1.0,-0.5036442869485823,0.058737170123455584,-0.1758075603741056,0.15169734689266665,0.07222305270874818,-0.255982560786973,0.23537678080979388,-0.17176809280246494,0.5976056666244569,0.061199049229517716,0.10864659982114605,-0.10131309303771308,0.00037337729311887307,0.19571151024493522,-0.2653575869823818,0.4551167272035252,0.224904169319494
ACC_sub_R,-0.08063701350839521,0.00200007891515217,-0.0023621375235337934,-0.24691296197608317,0.0806414953202073,-0.14295394421506186,0.4898455553495762,-0.25299719503590995,0.11047603273286327,-0.09379514877921848,0.14437485726675278,0.09759706891146089,-0.5036442869485823,1.0,0.21398739498394279,0.23717837675856365,-0.08403699295266326,0.003294319047318028,-0.07241851334488221,0.055796522591383964,-0.09262420321921169,-0.4420529455849962,-0.09324984325085359,-0.17780316585852296,0.19070618850852264,-0.015409520711247801,-0.35439388675221317,0.3608472850081592,-0.29179373255267665,-0.06959416133747384
Olfactory_L,0.5258558432460613,0.24261081865269674,0.1412111747325433,0.38370978309722054,0.09978006266140407,0.02780902084514621,-0.08738983673584093,-0.10060099696311191,0.32272639083934435,-0.03204040751485324,0.2808892372780736,0.31401629499448774,0.058737170123455584,0.21398739498394279,1.0,0.4337989669184118,0.4104275979229533,-0.2279244509745758,-0.02399289816586519,0.1421019607901552,0.0799189199921452,0.2522427122493019,0.10623913564314869,0.14198939780991168,0.5246958462383627,0.11977586154992068,-0.07344341739035322,0.30731786047813775,0.11725990420155653,0.32444534315337703
Caudate_L,0.5373230336699351,0.6399583588528392,0.21684051007940303,0.40849366371851725,0.6989687259978259,0.17859034313655073,0.4053662942192033,0.22519088302150225,0.8123820766490909,0.4091867977232282,0.4264359004510778,0.4786187232398157,-0.1758075603741056,0.23717837675856365,0.4337989669184118,1.0,0.6882866678459572,0.08690549799221155,0.40781716305260224,0.45924272125967663,0.5551122951178681,0.25238995922126817,0.6567639615579962,0.6107204518454242,0.5446951894474776,0.4789559165744141,-0.0649420754790672,0.40600872694660506,0.1511574425059745,0.40773712677714474
Frontal_Inf_Tri_L,0.6404495231967029,0.5984259456056853,0.08337155949220414,0.5766410509552256,0.5507581830345694,0.12486241865302548,0.16121284301744615,0.39012705917400164,0.790345751263511,0.4212936090154357,0.25880392859218876,0.4970682097328215,0.15169734689266665,-0.08403699295266326,0.4104275979229533,0.6882866678459572,1.0,0.24758865281893674,0.43050518607278604,0.397249981004966,0.5839323025493138,0.4364160399268702,0.6627803576432116,0.7735682054726616,0.38253800415226086,0.3091351761783563,0.21863060638420492,0.14289532608811623,0.3652753450931445,0.40713069353058123
Cerebellum_7b_L,0.0009101100042861087,0.06842559237082084,0.0014414984816625187,-0.14405654251207184,0.1450195276563625,0.050687093962582856,0.21486194217595114,0.2964880398937734,0.17537015208379186,0.24135093830286292,-0.21373043660891788,0.3031380105729891,0.07222305270874818,0.003294319047318028,-0.2279244509745758,0.08690549799221155,0.24758865281893674,1.0,0.04261994711319458,0.19577951889824233,0.17011641043581482,0.19897016617441005,0.46113618832132947,0.18918603322890987,-0.06847771477671141,-0.1031474643322108,0.399361773342609,-0.15659190694243752,0.24183747970841257,-0.070301770190978
Angular_R,0.3098616746728277,0.18740906878800023,0.04487483776138576,0.42650006903433235,0.5391786791205906,0.4525598430519592,0.3360023778016952,0.48406434437989315,0.520913258919644,0.2892961239965595,0.30683509762839584,0.45271514111833455,-0.255982560786973,-0.07241851334488221,-0.02399289816586519,0.40781716305260224,0.43050518607278604,0.04261994711319458,1.0,0.02137570294390334,0.8135355448958121,-0.03995522037836374,0.5037865995002228,0.5202405504413815,0.2205593372381879,0.36739839312211076,0.25823462763589833,0.12530312848160952,-0.11857685491452646,0.035481719773325114
Thal_AV_L,0.1853563217148574,0.539863349288138,0.07141316635847551,0.0799500390704395,0.4092652318058794,-0.07470129551080175,0.1256685388752549,0.24155695788757367,0.45490946710275776,0.42050339573145556,0.18324676816823804,0.23267020791973356,0.23537678080979388,0.055796522591383964,0.1421019607901552,0.45924272125967663,0.397249981004966,0.19577951889824233,0.02137570294390334,1.0,0.21752334226762346,0.22317240072224034,0.39986389996378924,0.2509221563422254,0.263849970556544,0.28178207245045667,0.0015114340073046192,0.06546210672026954,0.3870565044084639,0.28834426501810934
