,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L
Vermis_8,0.0059279554943991175,-0.05263480024191736,-0.280240153231383,0.0708124988798923,0.24144683002601483,-0.27453813363380936,0.07583785888848013,0.6154394023959614,0.2116902946361718,0.2784601212256951,1.0,-0.013561664547658798,-0.060926610579852304,-0.11891054404386922,0.4725338617937334,0.041168060362518945,0.3946075103157845,-0.19426739287578548,-0.07366405974304278,-0.22096234994802616,-0.08732068544142263,-0.4584440125055598,0.06325970563037199,-0.1561464415002018,0.6578511863000681,0.1703451142463646,0.15990126123620796,-0.006928670990700143,-0.09299909922932852,-0.239354774934514,0.2859534823938059,-0.2879430462209302,0.21493795597457943,-0.2992690955683463,-0.24526169714857932,0.04411127041176773,-0.03985953134593169,0.44564986131290596,0.2361409860345443,0.5274308068118948
Thal_AV_L,0.35976921536704476,0.1853563217148574,0.03150466392292981,0.2666623084322255,0.014131487360669692,0.2509221563422254,0.05305890930617295,-0.04443623179103645,0.28178207245045667,0.04762171287628118,-0.013561664547658798,1.0,0.06479137106139325,0.4092652318058794,0.03801986113205381,0.3870565044084639,0.1409935411878494,0.32554294976546444,0.18809926144597605,0.5037181118383174,0.15766350997095727,0.23708130880068526,0.2004036669041935,0.42050339573145556,-0.03870004592161613,0.263849970556544,0.13023666599502157,0.07263029221951012,0.22432576258281414,0.3345986905896098,-0.008729207148510764,0.04444268868995981,-0.06552500912355015,0.08216246608125898,0.4607013482108878,0.38449380065066013,0.10101583277942981,0.10208030691118959,0.03425026648947368,-0.22190209065170668
Thal_LGN_R,-0.14016498799592503,0.04585135736668689,0.44980772930401214,0.3261845008565119,0.09460099039570667,-0.001338201499394626,0.31047812475478176,0.06679409649286186,0.2254738677577361,-0.1628185991802852,-0.060926610579852304,0.06479137106139325,1.0,0.3112662476003754,0.13724930292249468,-0.22533762569494586,0.25873510370813957,-0.18928947987777686,0.24734750865518434,0.07064129470464116,-0.12093217578244983,0.52202023211702,0.2703763242795928,0.04329599507488778,-0.1359435542246261,0.28922219686945433,0.21418182163678343,0.21482309192216079,0.27540946390575394,0.11347652233069003,0.3691490518061224,0.6199313830818595,0.21871285708366547,0.6462618782899954,0.30146207813404,0.1684108284549467,-0.03571744202858141,0.2114047481231198,-0.3041453023789214,0.16309601206704655
Paracentral_Lobule_R,0.22589049929660587,0.2637801838531795,-0.05338488807477102,0.3929774697651557,0.12427597108786187,0.5246446908995018,0.4826458981017922,0.1559410870275874,0.591872251150671,0.2301963196283809,-0.11891054404386922,0.4092652318058794,0.3112662476003754,1.0,0.38244022686735213,0.10502776575917605,0.505810160465272,0.17448519900810314,-0.12423119124396373,0.7768776261952002,-0.09302269531548339,0.3001368948640003,0.22046454089528994,0.7162263482569957,0.03656046463763141,0.41690653932259214,-0.10075963824787998,0.6379666141208602,0.7608421068847426,0.507640702940896,0.4025370735757621,0.4958047359059802,0.479358504410246,0.2942471318319629,0.8583879573260551,0.473200266710047,-0.21032465851485466,0.4622534169447557,0.13909775594874368,-0.01970076089160682
Vermis_9,-0.07320815338159158,0.0230867869699593,-0.1838137066774321,0.4890594518171723,0.06016415327082358,0.17524169960236224,0.5751033778625866,0.7351803910445792,0.5413975254248413,0.25148171195983793,0.4725338617937334,0.03801986113205381,0.13724930292249468,0.38244022686735213,1.0,0.10977513570047508,0.6448058414441725,0.07839401838775312,-0.2000006235394607,0.2789243632483401,-0.06825284784805882,-0.0892938922481197,0.23748341929870062,0.32661126640338395,0.42938207368752074,0.3327387236755187,-0.07154515799771186,0.4832307926141688,0.5026838412553598,0.34102639238105525,0.6734278468596775,0.1005245544799919,0.648473385111668,-0.010299935005213414,0.3165648336518436,0.3108483747796635,-0.12748565528195796,0.8025943640815224,0.39475365115445693,0.5308304954055325
Amygdala_R,0.3965877592257941,0.13909712952265058,-0.134327951661575,0.2883145374232585,-0.05229327615833523,0.1734746725361704,-0.09510845017230375,0.07452700153140858,0.28972663756750855,0.11724912013876998,0.041168060362518945,0.3870565044084639,-0.22533762569494586,0.10502776575917605,0.10977513570047508,1.0,0.06796590165142279,0.4872527253409025,0.0679492368149192,0.45974348258901443,0.47494864641417295,0.06215985825714179,0.3028635441004982,0.4225681185355388,0.03998121645631541,0.24090699575588564,0.2399961344927336,-0.005841941185948951,0.038663604267056145,0.21321947644939224,-0.11761845862111742,-0.3677567682993713,-0.14002671496227936,-0.22530749495166774,0.1445126281133916,0.47153400831784953,0.158577301082824,0.025367699832602286,0.04420933958024803,-0.22914680865110493
Temporal_Sup_L,0.17107251878495794,0.4266821755727511,-0.13172586503436234,0.4697087549397099,0.22517723482864974,0.44588715455537997,0.5011854975114947,0.4015729256067411,0.46019669427563586,0.4998629586194646,0.3946075103157845,0.1409935411878494,0.25873510370813957,0.505810160465272,0.6448058414441725,0.06796590165142279,1.0,0.22858085018822005,0.03235050903790158,0.20181579880971443,-0.05893597895266107,0.08418714396583234,0.6155615405532633,0.20705831552474313,0.4602519627868698,0.5233660153974764,-0.04320525095572681,0.33593061729340484,0.5570133995504559,0.4259486096881345,0.4514983976217388,0.14230455480850177,0.6169950502889807,0.2294639867822691,0.40499443369009414,0.47071485576911953,-0.1871003425657007,0.5110271228915573,0.1923627041334891,0.6501035398808164
ACC_pre_R,0.5573611472756207,0.4207342248806688,0.15681247162473566,0.3228332167710167,-0.18322954672081013,0.45713507955125116,0.0018979441411978073,-0.1398454058765816,0.13700239924880386,0.21767844161155034,-0.19426739287578548,0.32554294976546444,-0.18928947987777686,0.17448519900810314,0.07839401838775312,0.4872527253409025,0.22858085018822005,1.0,0.030830576225662126,0.3149973035224961,0.32261814926134746,0.28619154086808246,0.3453439644110986,0.24688114323908128,0.13091638193875615,0.23676575275189482,-0.06394829156888121,-0.1373809821592736,0.1407232445840272,0.44591566139852823,-0.29638415516991456,-0.2236906739057289,-0.10760310776849433,-0.03965145455473221,0.24457412026678946,0.4871287262236862,0.20624779736759086,-0.08897690559666559,-0.06973428115735732,0.023289985945261826
Thal_Re_L,0.04018923272771388,0.15773004778048977,0.3229297230369134,-0.12706469723135969,-0.2408358862332192,0.11536233655840233,0.020017011817365038,-0.34327836719291627,-0.25781749800256865,-0.2854180109183285,-0.07366405974304278,0.18809926144597605,0.24734750865518434,-0.12423119124396373,-0.2000006235394607,0.0679492368149192,0.03235050903790158,0.030830576225662126,1.0,-0.1269360501358663,0.37749236575077827,0.14128435071001505,0.3286862517443646,-0.22266957690735326,-0.0747562074126943,-0.16585359833324884,-0.029268523095995373,-0.29721721682178986,-0.06661468997419555,0.08432972547476518,-0.1764647804595395,0.004658701850056773,-0.17993740963779586,0.304411191208092,-0.01638854465472518,-0.10375959154829902,0.18306014568122495,-0.3983796542548779,-0.4589008219037743,-0.03496398949300573
Precentral_L,0.2984876883288312,0.08652386724201398,-0.07437496622671366,0.42307427066805037,0.09588477809624547,0.41449451121922753,0.3077434988109092,0.16379843502463173,0.5360024525385475,0.14611597783148314,-0.22096234994802616,0.5037181118383174,0.07064129470464116,0.7768776261952002,0.2789243632483401,0.45974348258901443,0.20181579880971443,0.3149973035224961,-0.1269360501358663,1.0,0.13853624628544275,0.25910369003605616,0.1490991014260731,0.9540500882635825,-0.0706029536078129,0.38582615256521574,0.09267056782516978,0.5956522716972202,0.5836638354590244,0.4443942600501921,0.2081522351878725,0.16915648067430625,0.22111738358485714,0.04353758569828673,0.7533871157473955,0.5238928402948481,-0.04662440801700106,0.355537803504582,0.14523376217968414,-0.36753948347515614
