,Caudate_L,Cerebellum_3_L,Cingulate_Post_R,Vermis_1_2,N_Acc_R,LC_L,Thal_LP_L,Frontal_Sup_Medial_R,Thal_IL_R,Cerebellum_7b_L,Occipital_Inf_L,Olfactory_R,Thal_PuA_L,Cerebellum_8_R,Occipital_Sup_L,Frontal_Mid_2_L,Occipital_Mid_R,Rolandic_Oper_R,Temporal_Pole_Sup_R,Temporal_Sup_R,Thal_MDm_L,Vermis_9,Paracentral_Lobule_L,Angular_R,Cerebellum_10_L,Angular_L,ParaHippocampal_L,Occipital_Sup_R,Putamen_L,Cerebellum_6_R,Lingual_R,Postcentral_L,Raphe_M,Temporal_Inf_L,Thal_PuM_L,Thal_LP_R,ACC_pre_L,OFCant_R,Temporal_Sup_L,Precuneus_R
Occipital_Inf_L,-0.43839451580634786,-0.07169300981523317,0.03558225392623525,-0.08867889984770393,0.13621820561246523,-0.03206053409077332,-0.012559593527559396,-0.01897922645377085,-0.10881191469249814,0.4516565673078698,1.0,0.2510886462579093,0.012313970216230293,0.5021590142979733,0.6057207882576793,-0.10024980383773473,0.34133556130520515,-0.07281142162993925,0.3232240530034715,-0.26267682707702,-0.08320195362442373,0.6223651928538652,0.11514269119950256,-0.0022448776753740906,0.43057037738066267,0.5878799862996817,0.004405625360917266,0.342188141204724,-0.19299960565493657,0.3918270106491164,0.37963062128891134,0.08744360456427644,0.1963680469790051,0.6646159690143516,0.20437848741363146,-0.13074159100391194,-0.08504753516640269,0.33701805324958334,0.3002551441928497,0.051423446856565524
Olfactory_R,-0.15731857671863433,-0.0014366398504392548,-0.13335257863926112,-0.043164281552950726,0.6778062308554113,0.06736288258579311,-0.20375913399715598,0.014964479683278405,-0.08269128283383091,0.05260315040770485,0.2510886462579093,1.0,0.13028969145948205,0.01773254856391556,0.15126805122334755,-0.021160554690649022,0.1240329643586884,0.06296146329894163,0.12590130396099616,-0.020950677097088234,-0.14261396358526382,0.06116116006786228,0.08620555477410159,-0.04297999112799697,-0.11742655846684626,0.05392418013482411,-0.07617906910771265,0.004272213762545235,-0.08452581161189059,-0.07420547241623668,-0.037576402942105624,-0.016944129604835552,0.17753429348337796,0.0831458364176033,-0.03641939670528375,-0.05000913799426173,0.1276704929799206,0.5428173622612484,-0.051036630346766795,-0.04794986935507332
Thal_PuA_L,0.3058229205834093,0.3871494961605169,0.33182161904733903,0.6864831587269599,0.00692336315148488,0.6891655378226794,-0.01957664622636314,0.5568149213241401,-0.18985982885530958,0.24740351719559303,0.012313970216230293,0.13028969145948205,1.0,0.07766799488627574,0.25541221983355994,0.4904208976147474,0.14810142172069118,0.2583843456588101,0.25449357775081,0.23240303841239987,-0.18255266705411752,0.293313731475785,0.6196783549109076,0.3256395072170801,0.19851355611299745,0.3440969339887362,0.5310386503396781,0.1620662816395133,0.24377628276356153,0.20410131145538463,0.3236435794557292,0.533243821489593,0.10199709654764162,0.06970503374678612,0.19797412927588462,0.07490560411817945,-0.0353008363328236,0.0003498290964027995,0.3576826723325009,0.44367274346320035
Cerebellum_8_R,-0.4488561379083579,0.019188304503181226,0.2807729765781042,0.08658951638806422,-0.13791950070445963,-0.14225515668988212,0.1568832229563916,0.07631169627481138,-0.017972452537813766,0.2637421457158177,0.5021590142979733,0.01773254856391556,0.07766799488627574,1.0,0.28121146796347857,-0.051674183936004835,0.10870419476510838,0.07673123281070061,0.6001455751038678,-0.24265269924413185,0.11295533148417225,0.7874517229963577,0.28373925419382245,-0.0758289190565058,0.7913081932567564,0.5938149930975399,0.4750522521901633,0.40569641150099933,-0.20331811043102027,0.712228479290788,0.5774790436151777,0.08837487860870655,0.3736201709184348,0.9025522980523221,0.4245415037053308,-0.026063280043369948,-0.4006559326567807,-0.21409342560322292,0.43978829324197605,0.4658208144839216
Occipital_Sup_L,0.06659167136450725,0.4456441784087842,0.5410191050081775,0.2566361351469285,-0.05512732558903017,0.3147258784238297,0.3115901471196975,0.4056059810957489,0.2614825354823286,0.5841951898369915,0.6057207882576793,0.15126805122334755,0.25541221983355994,0.28121146796347857,1.0,0.4067648939907945,0.7216538802789029,0.2861414041118518,0.10795137370284517,0.23696477449449307,0.16964247251894007,0.6316067828670884,0.5167001182024102,0.637581776480336,0.2516691207485894,0.8253607344615195,0.18500908334821523,0.7482576304007079,0.23887559326627997,0.5147616495311862,0.6870145870804977,0.5797283273478012,0.45326095068061184,0.34479998102692183,0.6007007258998679,0.2874144948646356,0.10141819104426376,0.21747592305637373,0.4494398699291183,0.5018362956424997
Frontal_Mid_2_L,0.7694965296132474,0.8181814076642921,0.7848319929315274,0.6369956193266252,-0.07211231819691301,0.5060032437668504,0.4985100167077479,0.9280884207856929,0.5962294845364616,0.4250633820925955,-0.10024980383773473,-0.021160554690649022,0.4904208976147474,-0.051674183936004835,0.4067648939907945,1.0,0.2272521816679515,0.5158800484448886,-0.06254678979147149,0.5069730622286877,0.5179846378366019,0.20134709371690127,0.7841719812894097,0.520438886390978,0.010264902370610571,0.35196433541946087,0.5320728264992618,0.2539068873494533,0.780918768064093,0.30995844285507484,0.47824751279040306,0.9325844094196404,0.3775735605926697,-0.15278296984965012,0.6853289378947967,0.6638349062080008,0.43401965166399653,0.09552376241507786,0.5939664640913825,0.7675862765160538
Occipital_Mid_R,0.06543792781692548,0.23604776365078176,0.36132681524368354,0.02058052139951453,-0.016071854549424208,0.16768624160360462,0.1031138524247019,0.23916796199512125,0.07012784046975665,0.2794759329230831,0.34133556130520515,0.1240329643586884,0.14810142172069118,0.10870419476510838,0.7216538802789029,0.2272521816679515,1.0,0.5115294667915226,0.015460096518801172,0.5454592298120351,-0.0644679898956797,0.4509558800962479,0.16857567244993032,0.7887731920847922,0.05394626277769841,0.5505099765429755,-0.004407799891259148,0.8118514611821365,0.0439705053151918,0.39340156662845327,0.5810377084862315,0.2689444194670379,0.3311485502976459,0.08320594741026834,0.30979411826096326,0.22814091422102378,-0.054850034443904024,0.14702919602008863,-0.005835140770988581,0.3007058569438162
Rolandic_Oper_R,0.3516500127549201,0.39329383970484416,0.5281034782833837,0.13827979683732855,-0.015560338378249097,0.20616083536491603,0.27790621932313037,0.5576809430697892,0.2652770885069168,0.09282455388737616,-0.07281142162993925,0.06296146329894163,0.2583843456588101,0.07673123281070061,0.2861414041118518,0.5158800484448886,0.5115294667915226,1.0,0.0906070530441611,0.8389650935406425,0.1947756024065993,0.41735176059080936,0.28287670441401797,0.6454305141252258,0.09108040412792347,0.2606204302493051,0.18573528112669394,0.4554128370439503,0.31212364038099455,0.3711758597968345,0.5719672910825698,0.3877967012881542,0.28051222486326194,-0.06801918352253329,0.4231189202523068,0.3826607795927829,0.01928710736212329,-0.17260839635287847,0.0313034878611821,0.5314011322674292
Temporal_Pole_Sup_R,-0.24301658384711464,-0.04374729997893921,0.19028386947472326,0.20199267553707548,0.08155519901081668,-0.17988319189181942,0.1662600583690688,0.05912334299273376,-0.17819471976983714,0.10872047829266313,0.3232240530034715,0.12590130396099616,0.25449357775081,0.6001455751038678,0.10795137370284517,-0.06254678979147149,0.015460096518801172,0.0906070530441611,1.0,-0.14734943844328263,0.0739582280855073,0.5344386650878494,0.2180109800806071,-0.09507116585970646,0.6127022524781136,0.4435535945099024,0.5022523945081695,0.23898681692536872,-0.13587556602574558,0.5146112666143906,0.39455292553282395,0.04061127324615529,0.061354574871026114,0.6671246781222006,0.2953067355369959,-0.09406518420628232,-0.34690776332854556,-0.06830184734668122,0.2683700866217222,0.30733615523392727
Temporal_Sup_R,0.4777435357000619,0.45090359977054534,0.4658484275034848,0.1573413153519173,-0.06982912156224347,0.2610347822132091,0.16860028760151596,0.4696732156997659,0.27646481640636555,0.04632595434398168,-0.26267682707702,-0.020950677097088234,0.23240303841239987,-0.24265269924413185,0.23696477449449307,0.5069730622286877,0.5454592298120351,0.8389650935406425,-0.14734943844328263,1.0,0.1282871793573079,0.14610536186655076,0.21404877587769475,0.7541259413473618,-0.24240600218994882,0.05423552611907776,0.030601827786493705,0.3975851548609783,0.34924578624792724,0.14509525148832247,0.41799532171415776,0.38452683429386353,0.23608713465500536,-0.34669003496177625,0.2834736979666082,0.4096687402486918,0.08852968176207585,-0.12157761351557718,-0.15420173117227604,0.396742405216054
Thal_MDm_L,0.453685620992573,0.4906521050712972,0.6596878979021876,0.2827823863977852,-0.050125330168127785,-0.07737457018406042,0.7123075326096074,0.43779581313309107,0.8310877100670878,0.2572172341940112,-0.08320195362442373,-0.14261396358526382,-0.18255266705411752,0.11295533148417225,0.16964247251894007,0.5179846378366019,-0.0644679898956797,0.1947756024065993,0.0739582280855073,0.1282871793573079,1.0,0.11571170448819557,0.38039260677156594,0.08538805966645133,0.17784730750970804,0.18319132266352633,0.30141062696287757,0.07851173783879174,0.6470604932475051,0.30109348722761214,0.3075833828135147,0.5177549006587129,0.19605115838410764,0.03887326936034148,0.6914938877669726,0.7041945210042037,0.3417411512335572,0.034048776520498904,0.5113431043667216,0.5072324032859329
Vermis_9,-0.24573418184240603,0.24421165605386272,0.5047254101540761,0.2054541272747641,-0.13491519226015533,0.08066118523569632,0.2308673299416763,0.33993377045912404,0.05471881195280902,0.44675976855228794,0.6223651928538652,0.06116116006786228,0.293313731475785,0.7874517229963577,0.6316067828670884,0.20134709371690127,0.4509558800962479,0.41735176059080936,0.5344386650878494,0.14610536186655076,0.11571170448819557,1.0,0.4597208832429071,0.31898185060153444,0.720212868133788,0.7994264289007074,0.38684174656851605,0.6480110232253854,-0.03635218998035366,0.7678674824567437,0.8284013101570695,0.3563600385010321,0.46750995535547335,0.7773505468147304,0.567692767937204,0.1039988732952222,-0.3209642007405169,-0.18253878401222592,0.4338703972416949,0.5953417326011373
Paracentral_Lobule_L,0.4376608921060308,0.773877635615045,0.7598586722066083,0.704603740195978,-0.07690262673150473,0.4859872464998959,0.3902609704985627,0.7586797956724127,0.42039676251800423,0.47772421904971135,0.11514269119950256,0.08620555477410159,0.6196783549109076,0.28373925419382245,0.5167001182024102,0.7841719812894097,0.16857567244993032,0.28287670441401797,0.2180109800806071,0.21404877587769475,0.38039260677156594,0.4597208832429071,1.0,0.3965972778886087,0.24501252188009767,0.6300257577365777,0.6690217826574258,0.38161703444262385,0.4961403784165724,0.4725565659328321,0.6058227733904996,0.887570867031824,0.5420153997756989,0.2535413765324928,0.7129111748142596,0.48576233918056166,0.06976342928725841,0.020584510235725526,0.7071145295933714,0.8548359218293565
Angular_R,0.41620127745631,0.5457468218116843,0.563337625384919,0.2758253963468671,-0.17442084930922463,0.35561413191109237,0.21109370604839475,0.47391760412207284,0.2672569612098302,0.2573744696244123,-0.0022448776753740906,-0.04297999112799697,0.3256395072170801,-0.0758289190565058,0.637581776480336,0.520438886390978,0.7887731920847922,0.6454305141252258,-0.09507116585970646,0.7541259413473618,0.08538805966645133,0.31898185060153444,0.3965972778886087,1.0,-0.10351908719560077,0.4743668467635321,0.16120911287351342,0.7431428988663138,0.36446338961552915,0.3461566856988966,0.5740132488279884,0.5197415152315099,0.38281765613576285,-0.15200003285806177,0.44139959091719533,0.41166661999292226,0.014387965646811168,-0.06690627987119031,0.08251132314806871,0.5160046208133096
Cerebellum_10_L,-0.26442521552188797,-0.0371268048375363,0.2876821922504255,0.19854694028793846,-0.2079588705164271,-0.06963621658244924,0.25533948039575566,0.1716452293608555,-0.10064121001727272,0.22393311643928512,0.43057037738066267,-0.11742655846684626,0.19851355611299745,0.7913081932567564,0.2516691207485894,0.010264902370610571,0.05394626277769841,0.09108040412792347,0.6127022524781136,-0.24240600218994882,0.17784730750970804,0.720212868133788,0.24501252188009767,-0.10351908719560077,1.0,0.5541631295304223,0.5197040910050489,0.3048664252103732,-0.029297159879623853,0.5873036664267518,0.5120072751231335,0.1406117628029087,0.061317747617680406,0.7711096136183695,0.3632363093363163,-0.07753382355920095,-0.28423654560658385,-0.23460773551514374,0.5414905428356451,0.40158897149542827
