,Heschl_R,Thal_AV_R,Calcarine_L,SupraMarginal_L,Cerebellum_Crus1_R,Red_N_R,Cerebellum_10_R,Thal_VL_R,Frontal_Med_Orb_R,Frontal_Inf_Orb_2_L,Thal_MDl_L,Occipital_Sup_R,Cerebellum_7b_L,Caudate_L,Occipital_Inf_L,Temporal_Pole_Sup_L,Thal_MDm_R,Frontal_Inf_Orb_2_R,Rectus_R,Precuneus_L,Thal_MDm_L,N_Acc_R,ACC_pre_R,Frontal_Inf_Tri_R,Pallidum_R,OFCpost_R,Parietal_Inf_L,Thal_LGN_R,Precentral_L,Vermis_1_2,Temporal_Pole_Mid_L,Fusiform_L,Frontal_Sup_Medial_R,Thal_VL_L,LC_R
Thal_MDm_L,0.046523640927766945,0.39276516489242885,0.388682554002422,0.44146657313714344,-0.0297057963288756,0.46593894565961985,0.2941286473072776,0.8812707390883074,0.02543736882318533,0.2873896218490782,0.6888960107680643,0.07851173783879174,0.2572172341940112,0.453685620992573,-0.08320195362442373,-0.01782538213550519,0.8690952157384981,0.2004649534933986,0.0009256376286358874,0.5141056402002252,1.0,-0.050125330168127785,0.03888171220165736,0.585873575199655,0.6474311656986591,0.10127660910331511,0.4003479130408607,0.4543945297928803,0.5284678979589884,0.2827823863977852,-0.03882262753246444,0.2321007294095972,0.43779581313309107,0.9077107324830558,0.4873339572136463
N_Acc_R,0.0642794988008931,0.12329144621081937,-0.15951505988764553,-0.1084634513230474,0.32169231843888385,0.1799554956062942,-0.2740403271517803,-0.0012799632277338392,0.5420365301504539,-0.00018050565650844328,0.02834234948257362,-0.21880092242347193,-0.07851101662028709,-0.10071429355198826,0.13621820561246523,0.3622105423875066,-0.014440372481030979,0.06635574576606372,0.6030984247469565,-0.14182892153397467,-0.050125330168127785,1.0,0.2527796456679816,-0.12964865246666205,0.07955299852488609,0.24657752280780154,-0.08850827663273386,-0.055738742218496604,-0.06739212936967522,-0.14896753034597246,0.12477750395434704,-0.2020140870935704,-0.06247980208600934,-0.10610590498616758,-0.05236998481064636
ACC_pre_R,0.25926984564204947,0.2006785378655251,-0.28833514900995927,0.08437953569216552,0.19237416264270538,0.2572112701032648,-0.10277405580381237,0.10426351036195454,0.7194631566626706,0.4853278187273441,0.2789579493235995,-0.3091351765843504,0.12777110903924224,0.4484839619749518,-0.05182577526618582,0.08411113735000544,0.16841705202924304,0.4004645524968185,0.6866118972842344,0.11254498087773916,0.03888171220165736,0.2527796456679816,1.0,0.1998514869837199,0.1853184651029993,0.02633379046474995,0.2552568429690193,0.181885464785076,0.3871276975871766,0.12624657924143282,0.21915464794695252,-0.1737370570113192,0.3825589575720119,0.006969875338465137,-0.18548068974043538
Frontal_Inf_Tri_R,0.5463929078375698,0.3839884424684541,0.23221445566547183,0.2775887120881754,0.008349039951940094,0.3739418525789099,0.4490230876320733,0.6774696071330115,-0.040231660869493,0.28986605000534654,0.7133698136948007,0.2310271760283361,0.11941579128108785,0.7909656204022449,-0.42864041525868796,0.34805007075655653,0.5647490251278676,0.6401198095145234,-0.06676752542279975,0.6333900340502026,0.585873575199655,-0.12964865246666205,0.1998514869837199,1.0,0.5217950688797858,-0.052658362463717856,0.4752494495781745,0.5940210972069547,0.6270928461550745,0.40684272988087083,0.22279591535597942,0.009889287246954233,0.695081324349924,0.6076385702778533,0.2845386540381443
Pallidum_R,0.3236290297111532,0.49708527224891635,0.33883332673772537,0.4845929103195784,0.05908219102030439,0.49348375255646265,0.2891649692346142,0.6443221348495607,0.13157809225986333,0.5632670175003317,0.5419405082752141,0.023779422639530423,0.1796686109170826,0.4631640179628878,-0.06698664251691978,0.09414492912465454,0.6152731088123182,0.44350008385843753,0.13542999874556588,0.5524889041344085,0.6474311656986591,0.07955299852488609,0.1853184651029993,0.5217950688797858,1.0,0.18858275564100802,0.4667846495219172,0.5378210800234288,0.5319300377675908,0.32474142233885117,0.25431615293540744,0.26425025061098106,0.561630178288939,0.593408431692481,0.3163808661282536
OFCpost_R,-0.037068679267851644,0.2136467752063525,0.07940029257012159,0.07211642703107167,0.5403914645270148,0.21022584981254713,-0.1292650538717024,-0.023163570254404454,0.306462136726697,0.12636187371754778,-0.2079924952547465,-0.06303273121510583,0.12931214751139744,0.01991297072350944,0.28299677538774654,0.30383176410561424,0.03394262080602201,0.130636652051329,0.3677209816386164,-0.04508270112309894,0.10127660910331511,0.24657752280780154,0.02633379046474995,-0.052658362463717856,0.18858275564100802,1.0,-0.03037951367056433,-0.11498157855906257,-0.04624963848849617,0.08827782754288174,0.5029329567274108,0.09818930913694597,-0.05957360264529431,0.14451723111916762,0.11406299219356726
Parietal_Inf_L,0.03318352790469319,0.030972982854935646,0.6449455080952596,0.8994620596366947,0.0907590957095491,0.08638632532809255,0.3775973252351132,0.5140322726757824,0.21456731412140947,0.4858358517364799,0.352753132017563,0.5044622217610317,0.5311038376783096,0.4905849436645737,0.2528741478704171,0.2115970520445989,0.24136301047549397,0.2438688626785456,0.12447480496857032,0.9360271339592483,0.4003479130408607,-0.08850827663273386,0.2552568429690193,0.4752494495781745,0.4667846495219172,-0.03037951367056433,1.0,0.5033366120735476,0.875299720015149,0.6006516156581059,0.13947408107391526,0.6098455291395993,0.8070401684130453,0.49614955887909157,0.4024274148856047
Thal_LGN_R,0.2572826920783493,0.534348217461705,0.20498256665706058,0.3591669169437435,-0.11589048187517018,0.5935183714969452,0.37924205525993226,0.5807517228680632,0.027471253616890852,0.283640643913523,0.6049563740727163,0.03659070617738655,0.1040896471548681,0.6386731009479817,-0.3594196020871552,0.02176175368206885,0.5433609662673384,0.31456854820639724,-0.000997667898548582,0.6055153541187185,0.4543945297928803,-0.055738742218496604,0.181885464785076,0.5940210972069547,0.5378210800234288,-0.11498157855906257,0.5033366120735476,1.0,0.6660050610491256,0.5544083359920262,0.1472515525823991,0.22638900543865095,0.553929050548986,0.4699340088741135,0.2321967529519904
Precentral_L,0.20294687155072003,0.2758788950193059,0.469519282915039,0.7404648023406581,0.07602549312487829,0.307979256018399,0.31157663345047,0.6457703527498323,0.2841458918898664,0.4391553373543397,0.5685334730812867,0.27577881995518094,0.5683111662288465,0.6644733398374023,0.04703202176488016,0.16445381073522575,0.44960901997830355,0.3154098597017089,0.20523478505063567,0.8854795032918238,0.5284678979589884,-0.06739212936967522,0.3871276975871766,0.6270928461550745,0.5319300377675908,-0.04624963848849617,0.875299720015149,0.6660050610491256,1.0,0.6651838187740035,0.12005072289809507,0.42387531456816835,0.845407460175176,0.5725641159251743,0.32590931218843044
Vermis_1_2,0.044647962385892775,0.2875989177926034,0.35325333144861326,0.5375881426794852,-0.033526290305237905,0.3414399122002925,0.3006247658377991,0.32862830930592574,0.07812401527561208,0.27162990032467277,0.31343349832935125,0.14635383914710162,0.3639412774209098,0.515150487056579,-0.08867889984770393,0.11835021789460627,0.18017344188615914,0.20105928930690975,0.02525309119509926,0.6789543841154673,0.2827823863977852,-0.14896753034597246,0.12624657924143282,0.40684272988087083,0.32474142233885117,0.08827782754288174,0.6006516156581059,0.5544083359920262,0.6651838187740035,1.0,0.38687415811817055,0.5269151815573092,0.5915971384017665,0.3298388807284399,0.31957162530858996
Temporal_Pole_Mid_L,0.2288535466325873,0.34250113962860707,-0.05573778293861809,0.10979458199518861,0.41723095668386356,0.3332465155669425,0.06769884589184315,-0.06474398711432958,0.2686848432635375,0.3171959200700725,-0.07180656049179462,-0.14716646212644627,0.00840040158328903,0.3686319923855806,-0.020743536433582167,0.4003463287038243,-0.036578006986380314,0.46695579285615907,0.2947240155215868,0.12568286324872885,-0.03882262753246444,0.12477750395434704,0.21915464794695252,0.22279591535597942,0.25431615293540744,0.5029329567274108,0.13947408107391526,0.1472515525823991,0.12005072289809507,0.38687415811817055,1.0,0.10310035100947779,0.22551577564653677,-0.009398166174070488,0.030845612470841763
Fusiform_L,-0.22483803635143512,-0.040099782190290346,0.7296582558928932,0.7428272621191241,-0.06841214644714617,-0.1191073666328477,0.4555249154291242,0.19457503562856696,-0.11827657992620631,0.33198411088745616,-0.036562299105600785,0.4355248931031519,0.4910857156944456,0.006302925498364551,0.45043282557694503,-0.1419904772510767,0.03255620525144897,-0.12039562106487288,-0.17478906857789084,0.6216593370121302,0.2321007294095972,-0.2020140870935704,-0.1737370570113192,0.009889287246954233,0.26425025061098106,0.09818930913694597,0.6098455291395993,0.22638900543865095,0.42387531456816835,0.5269151815573092,0.10310035100947779,1.0,0.4565291991186453,0.30111307783239555,0.43781660007354434
Frontal_Sup_Medial_R,0.37757720482655,0.24710132294746753,0.4370314750246768,0.6654867909120634,-0.0078218950771526,0.19331153564976739,0.5043964442533108,0.5199473173143954,0.2067072500998601,0.6404567786915513,0.5229878763622787,0.26524993166414707,0.41145299753633924,0.6796179950427336,-0.01897922645377085,0.23658085841397727,0.3228853749054908,0.5472048386602469,0.12714328584270443,0.8525334001599626,0.43779581313309107,-0.06247980208600934,0.3825589575720119,0.695081324349924,0.561630178288939,-0.05957360264529431,0.8070401684130453,0.553929050548986,0.845407460175176,0.5915971384017665,0.22551577564653677,0.4565291991186453,1.0,0.44761404298413027,0.2533030862708235
Thal_VL_L,0.030314151534360585,0.3006289218940722,0.5164091535536293,0.5570845913294397,0.05707517076866824,0.3439274064176425,0.2600425000640065,0.8970299209654781,-0.014948488190010087,0.21992934689743407,0.6446544458849967,0.23720731320230176,0.3000690526555526,0.42539979945866807,0.0007060258573635344,0.03867702526894876,0.82856167155094,0.10190989282020714,-0.028747235446881098,0.6044149954796902,0.9077107324830558,-0.10610590498616758,0.006969875338465137,0.6076385702778533,0.593408431692481,0.14451723111916762,0.49614955887909157,0.4699340088741135,0.5725641159251743,0.3298388807284399,-0.009398166174070488,0.30111307783239555,0.44761404298413027,1.0,0.5416256282119066
LC_R,-0.13342534074022855,0.11329796676611364,0.48708337448070244,0.4938643216669142,0.011084152174271309,0.0726217586716899,0.14685129519245327,0.44453624783387,-0.09410008250936959,0.06507696563043686,0.2998009737684393,0.3045085766369603,0.2711158461573168,0.1174284701715967,0.10470288988991139,0.037814015985559876,0.37401738107332116,0.003440654664664779,-0.13892516864266877,0.4686835054126848,0.4873339572136463,-0.05236998481064636,-0.18548068974043538,0.2845386540381443,0.3163808661282536,0.11406299219356726,0.4024274148856047,0.2321967529519904,0.32590931218843044,0.31957162530858996,0.030845612470841763,0.43781660007354434,0.2533030862708235,0.5416256282119066,1.0
