,Occipital_Inf_R,Pallidum_L,Cerebellum_7b_L,OFClat_L,Calcarine_L,SN_pr_L,Temporal_Pole_Sup_L,ACC_sup_R,Putamen_R,Pallidum_R,Hippocampus_R,Caudate_R,Frontal_Med_Orb_L,Angular_R,Parietal_Sup_L,Thal_PuA_L,Fusiform_R,Thal_VA_R,Parietal_Inf_L,Vermis_4_5,Raphe_D,SN_pc_R,Occipital_Sup_L,Vermis_6,Thal_IL_L,N_Acc_L,Cerebellum_7b_R,Temporal_Inf_L,Temporal_Pole_Mid_L,OFCmed_L,Vermis_9,Parietal_Inf_R,Cerebellum_8_R,Frontal_Inf_Tri_L,Olfactory_R,ACC_pre_R,Thal_PuL_L,LC_R,Frontal_Mid_2_R,Temporal_Pole_Sup_R,Heschl_R,Red_N_L,Cerebellum_6_R,Cuneus_L,Fusiform_L,Thal_IL_R,Cerebellum_4_5_R,Cingulate_Post_R,Rolandic_Oper_L,VTA_R
Caudate_R,0.11167514121968083,0.5636122938769814,0.17481760456101728,-0.07210846454481937,0.4183740142620401,0.5248376894742938,-0.08395630956336299,0.24209305347665747,0.37085721604230226,0.6628966285237301,0.5163564531252182,1.0,-0.14351762547710467,-0.0019329069111800633,0.568874026917,0.08204128764459413,0.37566181896972656,0.4795515964526639,0.4905439687382354,0.4847948753028232,0.07675355689595731,0.4563620057110388,0.06731743035975984,-0.11567965017225804,0.5191566773602969,-0.09392012971844475,0.16178458060159112,0.17540673940347057,0.02243306004626532,-0.14782331600479945,0.15843264485121203,0.44101493544946596,0.25242867550621195,0.7285155820066821,-0.15275577227713513,-0.04387748983210309,0.4153551996956114,0.44582587940269935,0.8141930715599149,0.23714381932757206,-0.0027754985956636876,0.49866042334518934,0.41911522901151016,0.03782799317827605,0.46608680671386193,0.6646765180238037,0.549182423793686,0.6636537845425688,0.43229286755068036,0.42563196923016755
Frontal_Med_Orb_L,-0.22270675685765554,0.31017696010246415,0.1422676484634946,-0.2604113436316172,-0.37544079996020185,0.3153452303601745,0.18959186835621555,0.18476416801275347,0.4967692182085558,0.11585000072871954,0.4338248017215202,-0.14351762547710467,1.0,0.008368230383792329,0.05199823682466975,0.11761694125528349,-0.1604579634079217,-0.020869927457731554,0.18417087779647937,-0.18834597028797714,0.054474205246928024,0.2337901040475339,0.09490990973822266,-0.2090884505488474,0.1585163001563951,0.22758432480044935,-0.16418213145401286,-0.5396530898904542,0.32627048182218554,0.9507841912991909,-0.4755804803596772,-0.4833107603906811,-0.608065362088918,0.16957413205224547,0.20328261268193507,0.8299788150486702,0.30717326055485333,-0.2028024544502389,-0.39954599175391364,-0.4486570753714907,0.11016145148299161,0.39354650401183267,-0.46925397776645994,0.04854175249777843,-0.27762634261315944,0.10311506584491618,0.3309107032540146,-0.13474602408579905,0.3765020743161388,0.1497354488427577
Angular_R,-0.08976626255384049,-0.04212410940934993,0.2573744696244123,0.12831832081787473,0.4298188535321666,0.015809224004759283,0.3813344102257429,0.31050793145400923,0.38726597640055715,0.13716779314366256,0.2619108029097059,-0.0019329069111800633,0.008368230383792329,1.0,0.5827520249444392,0.3256395072170801,0.6569999570048712,0.09207041190249468,0.5642428229451223,0.5515518121906589,0.3510042803135488,-0.28532787041039215,0.637581776480336,0.49178009616567053,0.3508568912219762,-0.15672755452573403,-0.19699323299366497,-0.15200003285806177,0.08107416039907268,-0.015868120574938194,0.31898185060153444,0.5760940276060703,-0.0758289190565058,0.2229522702220093,-0.04297999112799697,0.03296082179130128,0.15571160030060668,0.18136046275469958,0.2085883596587933,-0.09507116585970646,0.29620811362208666,-0.1020742349794824,0.3461566856988966,0.6334621168555805,0.11748119425528247,0.2672569612098302,0.47886491112812085,0.563337625384919,0.24385904819000984,-0.16981888495016037
Parietal_Sup_L,0.009037373999190353,0.43289135543453827,0.5351311003191666,0.11647889268945083,0.67243984126696,0.28426512501405216,0.19904930203273422,0.39755145613547427,0.41692363553185996,0.48249283215035593,0.42102421805730855,0.568874026917,0.05199823682466975,0.5827520249444392,1.0,0.5733437826993828,0.6961108177445812,0.549134993970069,0.9360211106619275,0.9152688927395523,0.4183300378158923,0.08762542667115551,0.6301686286685738,0.3947670164740567,0.7052894452911748,-0.042658550023144164,0.11256303625556066,0.21856443761200411,0.16430342225264524,0.05670568469938495,0.5306442436753765,0.7012174712805014,0.3000460448806678,0.8236065977559016,-0.007063919778078675,0.14702064654758595,0.31140091111799334,0.413936807709959,0.7347263539812857,0.20330876073628562,0.10622889859092483,0.1319358099964735,0.600912116364951,0.48240022320979514,0.678801351208317,0.4798641803025372,0.6773393344196167,0.8621056276942114,0.7067922098496391,0.1061871713051331
Thal_PuA_L,-0.23143588148831473,0.2816347616537322,0.24740351719559303,-0.008781273830349594,0.24845712127444536,0.05002314029714753,0.19402538619310403,0.4269425111797151,0.28257619203044165,0.207690128445681,0.22025520265683504,0.08204128764459413,0.11761694125528349,0.3256395072170801,0.5733437826993828,1.0,0.3504228708765906,0.43424851452049595,0.528501119569801,0.5992107219287738,0.24472569869655872,0.14589840721897268,0.25541221983355994,0.37499668450855983,0.4319802856666005,0.08894495935757292,0.020295004093730477,0.06970503374678612,0.3961345783894671,0.10541917585588467,0.293313731475785,0.3592320588518249,0.07766799488627574,0.394923639819774,0.13028969145948205,0.13046702012024464,0.030787254336084074,0.07934779873423208,0.2751295528457487,0.25449357775081,0.19675409536751098,-0.06566598878923155,0.20410131145538463,0.05482397543028926,0.44769239964762675,-0.18985982885530958,0.40769266622613765,0.33182161904733903,0.4668446229835173,0.17284672788289496
Fusiform_R,0.030010849697855113,0.10718161575142628,0.34465136885345293,0.15774300203374217,0.62990750243775,0.10424149126817439,0.21602820934027445,0.3127582803347608,0.3163029858293696,0.30458953795469396,0.28341052115216514,0.37566181896972656,-0.1604579634079217,0.6569999570048712,0.6961108177445812,0.3504228708765906,1.0,0.28143125949563674,0.6272099974627406,0.7551414923236948,0.394226127696575,-0.11649265305861271,0.4791271360370118,0.5610491324038926,0.4811349998898305,-0.1474192112387378,-0.055525235154111306,0.12384246135379226,0.100623512456029,-0.18717561398806776,0.45153601803696275,0.6499285521390714,0.17774597463049552,0.4662944204910618,-0.10685711155021507,-0.023361756204336472,0.14434028043401245,0.25280218377342073,0.5882608267098316,0.14887369626743824,0.2865073506412812,-0.033208025084642746,0.727775439902409,0.5041232957411278,0.4682419827178348,0.3978781973312921,0.6125948208415489,0.7326826698536943,0.3638944543152935,0.013245097739891307
Thal_VA_R,0.14712819720003836,0.45474776173559533,0.2807614521902701,-0.008883009766616587,0.4736623625032985,0.20967373285733104,0.1029058695550758,0.33056580791306256,0.27991049656644534,0.6154512809461076,0.2670343062995245,0.4795515964526639,-0.020869927457731554,0.09207041190249468,0.549134993970069,0.43424851452049595,0.28143125949563674,1.0,0.5239451807418816,0.5465681461728492,0.015601755743665145,0.2557585123023406,0.28039668493888154,0.26852813764321365,0.38848975525313395,-0.07360066832019847,0.21544169141794514,0.31770168343632854,0.2916170920039486,0.008379555231596105,0.41943775092227753,0.3353343412355559,0.272657232290032,0.6144041489741902,0.047655673886967814,-0.002052582804921048,0.35679981147021855,0.21692134125191567,0.5059507909874587,0.36097088581225245,0.13031810700943264,0.2592277782005454,0.351422894984379,0.11855246487017113,0.5320571248442839,0.20858043395580103,0.33876676719254956,0.48023332566697824,0.5379479988740163,0.14469558926257584
Parietal_Inf_L,0.015158809206353811,0.38493324403471774,0.5311038376783096,0.13392608381870363,0.6449455080952596,0.24742540544765482,0.2115970520445989,0.26985410344615895,0.4219264447765925,0.4667846495219172,0.4056758924856161,0.4905439687382354,0.18417087779647937,0.5642428229451223,0.9360211106619275,0.528501119569801,0.6272099974627406,0.5239451807418816,1.0,0.8525452162608496,0.46148785828369626,0.06867943407061856,0.7196063879371515,0.4053411518237895,0.678199313918877,0.01813909313688146,0.11310526899952884,0.18841635893756328,0.13947408107391526,0.19003843796635125,0.48557453142029144,0.6483997612320855,0.23298270178148084,0.8414898840356346,0.05171570318884688,0.2552568429690193,0.3320471017818077,0.4024274148856047,0.637544626950499,0.13791080472230052,0.03318352790469319,0.09956539971862395,0.5496865042912598,0.5747325374939015,0.6098455291395993,0.477823480322976,0.6456912682584616,0.7817555569811583,0.7824401380064246,0.059841982265307084
Vermis_4_5,0.060631141457333726,0.27968690408002833,0.5366826948801751,0.19547833203699105,0.8060879557157755,0.07496658320354513,0.16730095756428556,0.27812883254234777,0.24992585873558149,0.4098339668615274,0.238359368540384,0.4847948753028232,-0.18834597028797714,0.5515518121906589,0.9152688927395523,0.5992107219287738,0.7551414923236948,0.5465681461728492,0.8525452162608496,1.0,0.4011634732919195,-0.04356880894940935,0.6256025382289185,0.5690235970185776,0.612743641615796,-0.05538042496335348,0.1856412547199145,0.39775192321841146,0.0911139236357058,-0.17330601794980593,0.7006647414836075,0.7753313365784423,0.455056452736615,0.7346349067898411,-0.010876956112951737,-0.04871797706487278,0.16816360464039048,0.4421501193933941,0.7732664084957764,0.33357809886529505,0.11013127081717954,-0.06734723292499466,0.7325918009954693,0.5090248090034922,0.7557032112959898,0.3497181379113885,0.5584687380563783,0.8458903953794544,0.6069375734418292,-0.04098436956965371
Raphe_D,-0.1771727386711494,0.21897111767315086,0.2962178759151968,-0.07387740390759358,0.17361189285420317,0.07031041561842713,-0.018762016095372445,-0.014410576301126592,0.2251436337405672,0.0646616223850447,0.17360844028207845,0.07675355689595731,0.054474205246928024,0.3510042803135488,0.4183300378158923,0.24472569869655872,0.394226127696575,0.015601755743665145,0.46148785828369626,0.4011634732919195,1.0,0.0034351739066596,0.33175411639233776,0.04821253553090552,0.5833049462275688,0.08439737857343838,0.022191243489882034,-0.056206343445575874,-0.34702247491230265,0.021712692536371755,0.18811958694983277,0.3528601468332107,0.05249312858785489,0.38322832426510384,0.14572508778369234,0.2496853763149982,-0.07335016419390133,-0.01236330074243832,0.2724495066968651,-0.2063025909478921,0.19126577615294668,-0.057724145663063935,0.1536494524444921,0.23029607250316278,0.11352839246023852,0.34679792565058165,0.354407188885384,0.28544689108072474,0.28849931129953404,-0.042338652226837394
SN_pc_R,-0.08833487194915737,0.7813920785056722,-0.1616920894182835,-0.393772820602736,-0.18593359065405907,0.6963908840845119,-0.12346109730257425,0.07960044390491552,0.4417915216214362,0.392071778481765,0.6010722869029698,0.4563620057110388,0.2337901040475339,-0.28532787041039215,0.08762542667115551,0.14589840721897268,-0.11649265305861271,0.2557585123023406,0.06867943407061856,-0.04356880894940935,0.0034351739066596,1.0,-0.3050210413520098,-0.49705609997547295,0.4260361603702501,0.06266376989324345,0.12260635948429492,-0.20145842872101594,0.15903210567741766,0.1976525131865872,-0.4342721076711047,-0.059691816185609155,-0.17183295251227435,0.31351853483344655,0.025518212816776673,0.20525816538376887,0.3978489754764785,0.08779155968663166,0.17909092139044394,-0.01591769266921438,-0.0017188616918261267,0.7469155534516093,-0.2041420752683878,-0.4244369570315001,0.031950329085547034,0.24545189760348615,0.37505730722990993,0.03902725358124082,0.15629300112222502,0.7889092582965973
Occipital_Sup_L,0.21147533052420064,-0.02296054897592608,0.5841951898369915,0.3070737541262882,0.7177416360108889,-0.08223790414412675,0.23640183340108775,-0.13623327464256418,0.08287650262932147,0.16864559571954327,-0.012999206628924734,0.06731743035975984,0.09490990973822266,0.637581776480336,0.6301686286685738,0.25541221983355994,0.4791271360370118,0.28039668493888154,0.7196063879371515,0.6256025382289185,0.33175411639233776,-0.3050210413520098,1.0,0.6281766175316074,0.2843419765351035,0.047253353084802274,0.18153784951274662,0.34479998102692183,-0.02763077158340261,0.1439806823542846,0.6316067828670884,0.4370878956105491,0.28121146796347857,0.5163680646772753,0.15126805122334755,0.0817032041243536,0.11342130342846775,0.26580806694449294,0.26139809745307196,0.10795137370284517,-0.07978600060678724,-0.24461853973069916,0.5147616495311862,0.9114591039314102,0.443062329719714,0.2614825354823286,0.19254413209124718,0.5410191050081775,0.5153706681837379,-0.32278564121595177
Vermis_6,0.23131834244207736,-0.35784594426948085,0.3416524661869436,0.45864085552925027,0.6741202045883811,-0.4579078994821189,0.3596214336826364,0.025634223735760905,-0.09811269900702814,0.024428044066701127,-0.27791233731861426,-0.11567965017225804,-0.2090884505488474,0.49178009616567053,0.3947670164740567,0.37499668450855983,0.5610491324038926,0.26852813764321365,0.4053411518237895,0.5690235970185776,0.04821253553090552,-0.49705609997547295,0.6281766175316074,1.0,-0.03600997078072017,0.032418326822416854,0.096248945063594,0.4274309643056449,0.2373578610493932,-0.15331358810180024,0.7136967223687922,0.36877654676590893,0.31522977963183135,0.13762574915152154,0.10204606400207594,-0.18162068961574604,-0.14346117642046527,0.09437386086118434,0.17800434509270766,0.3295702680970329,0.029088618439167192,-0.5393192634041447,0.6077718854479169,0.628661534708388,0.42021669096448566,-0.16977957256015455,0.008816684311482515,0.3698675846051943,0.22257666380265595,-0.4742373252513911
