,Cerebellum_6_L,Vermis_3,Occipital_Mid_R,Thal_PuI_R,Thal_PuA_R,Vermis_10,SupraMarginal_L,Temporal_Sup_L,Temporal_Pole_Sup_L,Frontal_Med_Orb_L,Cerebellum_6_R,SupraMarginal_R,Olfactory_L,Frontal_Inf_Tri_L,ACC_sub_R,OFCpost_R,Cingulate_Mid_R,N_Acc_L,Thal_IL_L,Temporal_Sup_R
Cerebellum_6_R,0.9525373726080425,0.14337059577475142,0.3668945512466458,-0.0289085688990305,0.479650698593682,-0.05391415472841108,-0.0676846331836704,0.06350422385156514,0.29472368671045296,0.40928679273805807,1.0,-0.15556867981231237,-0.4013057848473803,0.224778381703468,0.5579207791983429,-0.4023824654440931,0.24408763315223758,-0.2757683959007447,0.25737031787365944,0.3122143711287089
SupraMarginal_R,-0.08370817178805078,0.5253803273736787,0.37956852016953146,0.44718555243524166,0.08757725432396266,0.5884157111457897,0.26156691543595995,0.3480423187673953,0.06774364821874915,-0.11507853360639272,-0.15556867981231237,1.0,0.06382820523728562,0.20917842037172074,-0.023869414260103895,-0.06389880369716097,0.6029873314454459,0.21681368051942682,0.4592284861897874,0.4193548219071717
Olfactory_L,-0.3759463594568984,0.3396043372717375,-0.48798363174355774,0.41287714765550576,0.19964783858159857,0.25998106006761923,0.20627962698289187,0.3674731503067015,0.05392358452051111,-0.027092414938537892,-0.4013057848473803,0.06382820523728562,1.0,0.33592153256178814,-0.3250699783491769,0.8060591227409006,-0.07937022272348777,0.7415377581838052,-0.14882806101736698,0.15886904250271425
Frontal_Inf_Tri_L,0.29564186634119566,0.6906166458670558,0.047089863727644156,0.6027068060942001,0.41889536467526567,0.45378374637682917,0.56575740992875,0.5890215587018348,0.3412196811418821,-0.06019104189396952,0.224778381703468,0.20917842037172074,0.33592153256178814,1.0,0.014835737541549885,0.3095008456432428,0.5128647896162923,0.36055242106110924,0.3405490583082723,0.44424722974085934
ACC_sub_R,0.48839734366016296,-0.08576177709260145,0.13204659647991232,-0.05804749886823634,0.16708448570403436,-0.07762760067963084,-0.04599980367677508,-0.10152671025781052,0.03350207462362418,0.40791072546393387,0.5579207791983429,-0.023869414260103895,-0.3250699783491769,0.014835737541549885,1.0,-0.2763443475497151,0.11730025344895892,-0.08167160212375282,-0.08968422094846679,0.012974185322263115
OFCpost_R,-0.4396699017616188,0.22969773300357232,-0.39849311498737167,0.30991919822444836,0.09943079483928802,0.24759476497556052,0.2949510962632785,0.21129442867435616,0.06998205594126825,-0.020385009907115205,-0.4023824654440931,-0.06389880369716097,0.8060591227409006,0.3095008456432428,-0.2763443475497151,1.0,-0.1663995878578785,0.6411517377516396,-0.16830041355819017,0.13786574589053965
Cingulate_Mid_R,0.2554181255387598,0.6757403930785673,0.5330014729887527,0.5486618752586541,0.3961604630684953,0.44276714581564747,0.6509571977028524,0.41174353702057465,-0.04204460668515072,-0.11285703534087693,0.24408763315223758,0.6029873314454459,-0.07937022272348777,0.5128647896162923,0.11730025344895892,-0.1663995878578785,1.0,0.10006721056489856,0.6474014863582492,0.6422111832311225
N_Acc_L,-0.24488213648015972,0.45540399212760285,-0.2935023947729732,0.5676582347789235,0.3916982648261827,0.27245371927114814,0.24790382974212483,0.3993186076497182,0.10618804616722648,0.1268928040254879,-0.2757683959007447,0.21681368051942682,0.7415377581838052,0.36055242106110924,-0.08167160212375282,0.6411517377516396,0.10006721056489856,1.0,-0.08838101074877024,0.2210132672505025
Thal_IL_L,0.3478743210479257,0.549564884977825,0.5719178884073761,0.2330049171009042,0.41164717943272744,0.5366056736745262,0.43278548228524616,0.4544711648208357,0.24898359806355214,-0.17609237220071106,0.25737031787365944,0.4592284861897874,-0.14882806101736698,0.3405490583082723,-0.08968422094846679,-0.16830041355819017,0.6474014863582492,-0.08838101074877024,1.0,0.36911987099226845
Temporal_Sup_R,0.23974875717313648,0.6338254497705608,0.39478849634852037,0.5555119094022232,0.4042491914029934,0.24266532688965173,0.4186563915659234,0.26629379144744875,-0.1828389180087394,-0.008126535530116885,0.3122143711287089,0.4193548219071717,0.15886904250271425,0.44424722974085934,0.012974185322263115,0.13786574589053965,0.6422111832311225,0.2210132672505025,0.36911987099226845,1.0
