,LC_R,Thal_PuI_L,OFClat_R,Temporal_Pole_Mid_R,Insula_L,Temporal_Mid_R,Lingual_L,Fusiform_R,Cerebellum_3_R,Red_N_R,Thal_LP_R,Thal_VL_L,Thal_PuM_R,Pallidum_R,Thal_VA_L,Calcarine_R,Temporal_Pole_Mid_L,N_Acc_L,Thal_LGN_R,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Cingulate_Mid_L,Parietal_Inf_L,Thal_LP_L
Thal_LP_R,0.39510035154254897,0.389296735159021,0.09477714652465821,0.1428903739827081,-0.15858696857079427,-0.5488049150949306,-0.5865982652596449,-0.25501360554632835,-0.2749290458562774,0.25041599245125257,1.0,0.392845835400758,0.7486763511934591,-0.5894750831921122,0.2864833047923818,-0.7323309197699931,0.27971063435659416,-0.41172240631566276,0.1636659831776366,-0.32226772697752826,-0.1528268761394312,0.28638986722544324,-0.3286904582151282,0.1754639525433325,-0.006630507348580001
Thal_VL_L,0.2984244692312556,0.6930079754630558,-0.18983138561830754,0.42717116421255397,-0.17471847162326512,0.03380381022554324,-0.2156479314260364,0.32619007230327973,0.11682579211906592,0.5371362069660791,0.392845835400758,1.0,0.4587979203380258,-0.1385069773438891,0.2290353070022665,-0.183601980830097,-0.2572366590763161,-0.16921669765691533,0.3534851934694975,0.10971912591426662,0.12909697966798947,0.31113877852099936,-0.22934325868130934,0.35642435535207423,0.480706221589073
Thal_PuM_R,0.485617130711163,0.5003216532267363,0.3644055593028401,0.30166135279991985,0.0508657923001525,-0.5339652536424145,-0.3283971254868654,-0.013560382785296277,0.006274667099915804,0.20076822072138878,0.7486763511934591,0.4587979203380258,1.0,-0.39971863404973756,0.3622584676741424,-0.6525727596613193,0.28172628207447553,-0.31892131931767614,0.3571478468536608,-0.40003129472510884,-0.1482229185979761,0.501713112196679,-0.2550366597558789,0.14533197343615534,-0.008912712826117893
Pallidum_R,-0.4289083891310903,-0.21294123212971303,0.039443049289869386,0.19712375430961737,0.4323354171433666,0.6900945895407777,0.7062235614401203,0.6276386392421328,0.6677189961258375,-0.22047726717974897,-0.5894750831921122,-0.1385069773438891,-0.39971863404973756,1.0,0.04773314438690443,0.6828598231556716,-0.10156998200658551,0.5463322022327102,0.19300267926133652,0.25283266032148666,0.22757038822459,-0.024539557675513995,0.43525335534891907,0.005465637753552966,0.07466941921899886
Thal_VA_L,0.34269110590676466,-0.10888194046444688,0.2756263406001316,0.2600113758930935,0.4019358787997145,0.012211410452396492,0.05388719691348476,0.16218849238754535,0.26838564955811084,0.37037231420714906,0.2864833047923818,0.2290353070022665,0.3622584676741424,0.04773314438690443,1.0,-0.04927343932969246,0.42431108125564704,-0.27567795909275733,-0.06500691274968945,-0.017681186290072797,0.22038483722514227,0.3065847682419873,-0.4154830853347003,-0.11784278384367161,-0.33879286650994533
Calcarine_R,-0.31723090717813485,-0.4627652091746161,-0.04320603445134146,0.05075524813426363,0.40477855473573343,0.828905353622237,0.7819789309780907,0.47325009951848857,0.5011134085636557,-0.19453150099792277,-0.7323309197699931,-0.183601980830097,-0.6525727596613193,0.6828598231556716,-0.04927343932969246,1.0,-0.1470991610610462,0.4078927867226752,-0.18121652834516488,0.4053881064556579,0.4228189719190846,-0.12582537870388483,0.22002356520916663,-0.20066941824367446,0.03752423622182112
Temporal_Pole_Mid_L,0.253325243239941,-0.32149567560100445,0.6233078278471649,0.3445581055274435,0.5939477851107924,-0.14352113772360148,0.13101194543920291,0.008233550609965756,0.20743976425911395,-0.02607356858466379,0.27971063435659416,-0.2572366590763161,0.28172628207447553,-0.10156998200658551,0.42431108125564704,-0.1470991610610462,1.0,0.11277663927451143,-0.04231672923161338,-0.1571944950784417,0.06614102716912122,0.33024036687869784,0.07187156846345458,-0.2792143806373453,-0.3308818638550608
N_Acc_L,-0.2608623294372038,-0.03765225253183415,0.01017597019569033,0.31621422541183786,0.3038595286580029,0.4073479562816747,0.43546197279531595,0.4326982087606158,0.4621322378705481,-0.36493836062883006,-0.41172240631566276,-0.16921669765691533,-0.31892131931767614,0.5463322022327102,-0.27567795909275733,0.4078927867226752,0.11277663927451143,1.0,0.27101418490181445,0.25214277389013073,0.0892491848419931,0.0680468082262694,0.8501086676620386,0.14641109656965842,0.4392309394718463
Thal_LGN_R,0.06555193686504965,0.6333382872294134,0.26828907779414557,0.42851698695076645,0.11527711478066335,-0.09695506268769932,0.11259801054826908,0.4909898569899436,0.3315986312376061,-0.02442068498089259,0.1636659831776366,0.3534851934694975,0.3571478468536608,0.19300267926133652,-0.06500691274968945,-0.18121652834516488,-0.04231672923161338,0.27101418490181445,1.0,-0.0052995954218581385,-0.16522094032152748,0.34287385452418684,0.3257259535941099,0.2641265893647185,0.47384467724009827
Precentral_L,-0.22667560476904303,-0.11284174354317414,-0.2619981094191016,0.15707283023697022,0.11489618556426962,0.5167249315589346,0.2594551075786234,0.2818919212986693,0.1139683160997263,0.2619922568874697,-0.32226772697752826,0.10971912591426662,-0.40003129472510884,0.25283266032148666,-0.017681186290072797,0.4053881064556579,-0.1571944950784417,0.25214277389013073,-0.0052995954218581385,1.0,0.23749308200525843,-0.1679266164441372,0.13592188268193214,0.22714056610979544,0.21878609228572088
Raphe_D,0.11727646957658924,-0.23535870615475735,-0.010130768119580353,0.15186029122857217,0.3626675412305446,0.5259891105868744,0.34709244320728033,0.40824907374502545,0.3917681504103394,0.34825178714988847,-0.1528268761394312,0.12909697966798947,-0.1482229185979761,0.22757038822459,0.22038483722514227,0.4228189719190846,0.06614102716912122,0.0892491848419931,-0.16522094032152748,0.23749308200525843,1.0,0.1575024339629871,-0.07990162333187929,-0.1084890098471175,-0.17041894569158836
Frontal_Inf_Orb_2_R,0.272397115629462,0.26593273434356474,0.5161313504073933,0.49786250061601783,0.3943337038643172,-0.1427621629637223,0.13020904452165488,0.3163247526193517,0.36979575921919083,0.020268252068281666,0.28638986722544324,0.31113877852099936,0.501713112196679,-0.024539557675513995,0.3065847682419873,-0.12582537870388483,0.33024036687869784,0.0680468082262694,0.34287385452418684,-0.1679266164441372,0.1575024339629871,1.0,0.03413194145125146,0.017345486803238906,0.12501821714877748
Cingulate_Mid_L,-0.2686335873643127,0.0838242493672661,0.012019481429776342,0.24884178409262145,0.1306019237393168,0.23549094375911445,0.3202442051097476,0.3215963819216367,0.2844096693554653,-0.427283194370869,-0.3286904582151282,-0.22934325868130934,-0.2550366597558789,0.43525335534891907,-0.4154830853347003,0.22002356520916663,0.07187156846345458,0.8501086676620386,0.3257259535941099,0.13592188268193214,-0.07990162333187929,0.03413194145125146,1.0,0.2137792694192433,0.4714613294703428
Parietal_Inf_L,0.066351093512637,0.4459277734531574,-0.4262419438905844,0.14844423132278556,-0.27261103175624335,-0.010919601795174339,-0.22224221657670398,0.15958503586651593,0.03692065534547481,0.2188277474866477,0.1754639525433325,0.35642435535207423,0.14533197343615534,0.005465637753552966,-0.11784278384367161,-0.20066941824367446,-0.2792143806373453,0.14641109656965842,0.2641265893647185,0.22714056610979544,-0.1084890098471175,0.017345486803238906,0.2137792694192433,1.0,0.4919555896183636
Thal_LP_L,0.04679982775708391,0.6230196133858392,-0.2905297423366885,0.32548842800015965,-0.27381692663051954,0.09510427838262674,-0.024546976934396232,0.31755412600455696,0.07562056908713131,-0.059687262144025914,-0.006630507348580001,0.480706221589073,-0.008912712826117893,0.07466941921899886,-0.33879286650994533,0.03752423622182112,-0.3308818638550608,0.4392309394718463,0.47384467724009827,0.21878609228572088,-0.17041894569158836,0.12501821714877748,0.4714613294703428,0.4919555896183636,1.0
