,ACC_pre_R,Cerebellum_8_R,Cingulate_Post_R,OFCant_R,Frontal_Sup_2_L,Cerebellum_3_R,Cerebellum_7b_L,OFCmed_R,SN_pr_R,Lingual_R,N_Acc_R,Thal_PuA_L,Thal_AV_R,Frontal_Inf_Orb_2_R,Vermis_8,Pallidum_L,Frontal_Med_Orb_L,Temporal_Pole_Sup_R,Thal_VL_L,Cerebellum_9_R
N_Acc_R,0.6183468765601038,0.1076471245338239,0.3272044099083847,-0.21331805241417545,0.21459726117426692,0.5737626674230055,0.2264827835269302,-0.000584594746440961,0.5069749236717002,0.3260930233241423,1.0,0.3395685980566493,0.21948787990447113,0.36805170096436696,0.29841440919553053,0.24812906001137636,0.11940794872801609,0.6155414644378447,0.08723125577674955,0.3458666433931309
Thal_PuA_L,0.38916658309751023,0.20709853309506496,0.4509215103968757,-0.504250425285635,-0.03941509894760581,0.4074829902154459,0.11352639150145626,-0.173997293401994,0.5113135694612184,0.2526145416696618,0.3395685980566493,1.0,-0.40374124673622375,0.3993217214260475,0.34791589902285,0.1345660287719982,-0.4155986634231528,0.24923962133978236,0.3502117669410246,0.3627923480257584
Thal_AV_R,-0.1542522972104648,-0.43729865608105467,0.11942282306049203,0.6012808589903575,-0.0898569540481169,0.3453443146056087,-0.1176827585023434,0.3492921260594158,0.16053689293913648,0.43042481988137926,0.21948787990447113,-0.40374124673622375,1.0,-0.07075969365178159,0.012572228232672495,0.29310151363253917,0.6864290808961164,0.25239745023530213,-0.29731659305615266,0.10370986851145686
Frontal_Inf_Orb_2_R,0.573535229284422,0.18466638976955094,0.2189433234212899,0.066953115622094,0.1501774087375223,0.36979575921919083,-0.048213116748883414,0.4329281149506669,0.24555762737765383,0.09970919600170247,0.36805170096436696,0.3993217214260475,-0.07075969365178159,1.0,0.1943106437110298,0.05599455681232096,0.23864279706225788,0.25420193234471977,0.31113877852099936,0.4032775366683402
Vermis_8,0.35188189393814334,0.48583816884059833,0.23590789152469632,-0.31095228195607816,0.23152583204824723,0.4655343976933399,0.48209911165638974,-0.08085718410163006,0.4071044561000645,0.14202335044533265,0.29841440919553053,0.34791589902285,0.012572228232672495,0.1943106437110298,1.0,0.11536247773292697,-0.1391407026367282,0.2896211927611812,0.10283622144294803,0.41533770091724176
Pallidum_L,0.12181437799867018,-0.06292890293323945,0.042697831481343665,0.08816959430020888,-0.10719353655040728,0.46404237343727317,0.18534271731597282,0.02935485276166206,0.24846163649559655,0.4311525127537926,0.24812906001137636,0.1345660287719982,0.29310151363253917,0.05599455681232096,0.11536247773292697,1.0,0.20659801758692084,0.45679457190225725,0.29010372756489333,0.3682224216969707
Frontal_Med_Orb_L,0.041822728129211784,-0.24638957114704516,-0.09035018367849923,0.8681663128956417,0.13335463492449035,0.20619927270472055,-0.2963274731565652,0.7197137327260872,-0.07266727921187341,0.12669445349493758,0.11940794872801609,-0.4155986634231528,0.6864290808961164,0.23864279706225788,-0.1391407026367282,0.20659801758692084,1.0,0.12767244885959278,-0.15011513174319852,0.1397074538980336
Temporal_Pole_Sup_R,0.38031502662095407,0.09323460076657705,-0.01403230866770909,-0.08357131398061313,0.026542785423500335,0.5195361402604414,0.4420192982814522,-0.08811489607191068,0.2560657277616978,0.3227179227077435,0.6155414644378447,0.24923962133978236,0.25239745023530213,0.25420193234471977,0.2896211927611812,0.45679457190225725,0.12767244885959278,1.0,0.42721891596948747,0.41245940940731596
Thal_VL_L,0.3259401614232381,0.3416585687457844,-0.3929105874705817,-0.2633643449058203,0.08999314282067575,0.11682579211906592,0.3595934753586445,-0.18015700438525026,-0.22720985105981079,-0.2287727765160333,0.08723125577674955,0.3502117669410246,-0.29731659305615266,0.31113877852099936,0.10283622144294803,0.29010372756489333,-0.15011513174319852,0.42721891596948747,1.0,0.21761212495779905
Cerebellum_9_R,0.5002929880928902,0.3706949251305095,0.2533488215990627,0.00636506495926372,0.1219199027357065,0.7076883453123344,0.2625628586352708,0.16281989482274473,0.40115910632694135,0.3868694202607188,0.3458666433931309,0.3627923480257584,0.10370986851145686,0.4032775366683402,0.41533770091724176,0.3682224216969707,0.1397074538980336,0.41245940940731596,0.21761212495779905,1.0
