,Thal_LP_R,Cerebellum_10_L,Thal_LGN_L,Thal_PuI_L,Thal_IL_R,Frontal_Sup_Medial_L,OFClat_L,Vermis_1_2,Postcentral_L,Cerebellum_3_L,Thal_PuM_L,Insula_L,Supp_Motor_Area_L,Vermis_3,Frontal_Inf_Orb_2_R,LC_R,Occipital_Mid_L,ACC_sup_L,Temporal_Inf_L,Thal_LGN_R,Lingual_R,Cerebellum_Crus2_L,ParaHippocampal_R,Occipital_Inf_R,Temporal_Sup_L
Frontal_Inf_Orb_2_R,0.366353897097663,0.2653206412891287,0.3758209718663361,0.19779333984716346,0.1387335646941238,0.20956348907956585,0.2720197478035744,0.028508062780370956,0.1310004059625335,0.08982843263529917,0.08511139501652118,0.6564802645369712,0.16817864442416292,0.34356718175119283,1.0,0.284237797596432,0.0031320480424476293,0.3775752147159275,0.14569280123914602,0.3550520249522565,0.2149262612551709,0.12221997648504317,0.30371143213079327,0.18005103521756416,0.31645888418308077
LC_R,0.4189184430781998,0.32897496425264483,0.5229925666431272,0.14704905545773517,0.42561755305107957,0.45468104448092617,0.15270829370243513,-0.22710919564601736,0.29379287187764247,0.10474859091931685,-0.12376775043414344,0.2735860943192645,0.2979046893796995,0.26253396345862856,0.284237797596432,1.0,-0.09998717702616698,0.41508012987427123,0.38703922663984336,0.3834018620791891,0.2540080742546449,-0.018314756801523682,0.40841785294506183,0.019544914449550987,0.3723448089505328
Occipital_Mid_L,-0.29677783396822016,0.593959093564814,-0.35405071005247635,0.6205748127868356,-0.008540365106723052,0.03131979072495014,-0.2294859882662831,0.7288991266233567,0.1446444804121742,0.8205116449728378,0.6852178752118117,-0.04356252922263385,0.3874197519013525,0.29708806153359646,0.0031320480424476293,-0.09998717702616698,1.0,-0.31544199755521174,0.4710457079388549,0.30191310688957057,0.7280380765068719,0.6702693438147416,0.03593595125099078,0.7086994604302211,0.4167544679012507
ACC_sup_L,0.7477244364950868,0.17443132648954,0.6605814302953812,0.16171650066822923,0.35741996890844413,0.6481841006206589,0.19827328990803866,-0.20711530500599945,0.3993418924001062,-0.13537611529721172,0.10756085894758227,0.4288643953365815,0.2746911366379862,0.29465195302265346,0.3775752147159275,0.41508012987427123,-0.31544199755521174,1.0,0.17358292200143643,0.13517372187843182,-0.016993678264301888,-0.11711533006292113,0.41797463085400366,-0.23239422009902155,0.35150271459562477
Temporal_Inf_L,0.11850603810025398,0.6424754237209885,0.2332807057523896,0.4563533282778608,0.11178978568290585,0.34640420698720664,0.3047059201593956,0.20050551509055295,0.2665896562536757,0.6100959729593558,0.32251740292965125,0.36439580073181504,0.5255667415661881,0.2665462368355556,0.14569280123914602,0.38703922663984336,0.4710457079388549,0.17358292200143643,1.0,0.4808817587677676,0.6062324823126769,0.40896497994557496,0.1965430034619438,0.2721098385278298,0.7886257546832559
Thal_LGN_R,0.0312088130057684,0.43764152588191735,0.23104665423049958,0.34749073161885496,0.1459869622752932,0.25204410706702157,0.2232618576971957,0.1997018192874699,0.33066544377283347,0.5478077919464622,0.22127333606615399,0.31491826967952496,0.43244461175752674,0.47234962045187906,0.3550520249522565,0.3834018620791891,0.30191310688957057,0.13517372187843182,0.4808817587677676,1.0,0.6170811184539865,0.18940188197628344,0.2864672565927311,0.3040222201832326,0.5541413289321956
Lingual_R,-0.045776939925967444,0.6970519239734279,-0.043574747217783635,0.6154800239522509,0.1962135016434919,0.2976974959109664,-0.001903808823456754,0.6056026946369546,0.3838476628916803,0.8675522774409868,0.4811062635101287,0.19332975995965268,0.5543312300735788,0.46303498969073487,0.2149262612551709,0.2540080742546449,0.7280380765068719,-0.016993678264301888,0.6062324823126769,0.6170811184539865,1.0,0.5319239329393693,0.34202886225219226,0.6285071155047426,0.629057002100808
Cerebellum_Crus2_L,-0.14325117466797854,0.47898691130034915,-0.04439291555840491,0.6211715684950804,-0.10832369075573171,-0.0007621935512215005,-0.12017013237372211,0.5053938609006142,-0.14050182343343517,0.653994753714246,0.4787127945370086,0.13800133750968527,0.16885425623862302,0.23613546191197565,0.12221997648504317,-0.018314756801523682,0.6702693438147416,-0.11711533006292113,0.40896497994557496,0.18940188197628344,0.5319239329393693,1.0,-0.06930793107074366,0.6767700862399563,0.3884699018535955
ParaHippocampal_R,0.3724572940771783,0.3270858666051701,0.3491801423442387,0.2903438239193978,0.33827205134641647,0.5311770585445555,0.1151184747380247,0.040156032874649805,0.5819584951091208,0.24508199964372435,0.23432753070872947,0.22518858521350738,0.5014502274833992,0.24945106239727996,0.30371143213079327,0.40841785294506183,0.03593595125099078,0.41797463085400366,0.1965430034619438,0.2864672565927311,0.34202886225219226,-0.06930793107074366,1.0,0.09417291204410964,0.4287870358059646
Occipital_Inf_R,-0.20894589420527385,0.40882600796187146,-0.07780664712213636,0.5992941533272773,-0.013175717353753523,-0.020048640157075182,-0.3112359545441667,0.61975498598566,-0.12136108765188171,0.7070920676814746,0.5368531842413048,0.0652223416044262,0.23781678366315984,0.3348796212730715,0.18005103521756416,0.019544914449550987,0.7086994604302211,-0.23239422009902155,0.2721098385278298,0.3040222201832326,0.6285071155047426,0.6767700862399563,0.09417291204410964,1.0,0.32138583322156594
Temporal_Sup_L,0.2857358755307038,0.678349983944154,0.4269153049425657,0.5992584113513617,0.1278197858510128,0.49431633650948126,0.29075506321490224,0.29936721402466226,0.45452173838007076,0.6146524270590179,0.4559394005620813,0.5652880335856575,0.6760557826578799,0.5539431145730298,0.31645888418308077,0.3723448089505328,0.4167544679012507,0.35150271459562477,0.7886257546832559,0.5541413289321956,0.629057002100808,0.3884699018535955,0.4287870358059646,0.32138583322156594,1.0
