,Caudate_L,Cerebellum_3_R,Fusiform_R,Cerebellum_4_5_R,ACC_pre_L,Postcentral_R,Frontal_Mid_2_R,Thal_MGN_R,Cerebellum_Crus1_R,Lingual_L,VTA_L,Vermis_10,Olfactory_R,Heschl_R,Rolandic_Oper_R,Thal_PuI_L,OFClat_L,Precentral_L,Thal_AV_R,Parietal_Inf_L,Vermis_1_2,Paracentral_Lobule_L,Cuneus_R,Parietal_Sup_R,Paracentral_Lobule_R,Parietal_Inf_R,Cingulate_Post_R,ACC_sup_R,Temporal_Pole_Sup_L,Thal_MDl_L,LC_L,Putamen_L,Cerebellum_6_R,Thal_LP_L,Vermis_3,Cerebellum_Crus2_R,Frontal_Mid_2_L,ACC_sub_R,OFCant_L,Temporal_Mid_L,Vermis_8,Cuneus_L,ACC_sup_L,Cingulate_Mid_R,LC_R
Parietal_Inf_L,-0.025005933066437263,0.5498833180223544,0.48148074559883736,0.4476550642509345,0.018971888363329015,0.852110739883419,0.30131142688280577,0.2528653069071903,0.0011697495523037517,0.25686207814543055,0.1688754436302501,0.0630248026967571,-0.13783839538083553,0.2696513773305011,0.5468012795166692,0.2774021682723278,0.1020556425782602,0.7594613454903044,0.02190593300171009,1.0,0.5517238464857469,0.7603285353490865,0.6023232164301889,0.8561986262995589,0.751218860198843,0.8137641684504309,0.3512288996317624,-0.004737879570922002,-0.034925584878060974,0.0009757400749499036,0.24975409198051843,-0.08059333767740257,0.20100750589611152,-0.1001453710653187,0.2939219333270622,0.06616291788661234,0.16038690973581446,0.09114827292824804,-0.25245109646329844,0.22616252982799484,0.030082461443140796,0.6224170470792965,0.12346875462136112,0.6971724352044266,0.0010108947259429542
Vermis_1_2,-0.18572941903691786,0.5229463262001781,0.2823097399381712,0.36632321549321495,-0.09919617559830526,0.43335187913665274,0.014328136164226063,0.3035981387807081,0.393248669544898,0.602502497544054,0.3556709070371463,0.12083841634900622,-0.3454439082605619,0.13501898515277239,0.4485630327152738,0.48394380830510897,-0.24691699093550754,0.46662058944883816,-0.26175311974638177,0.5517238464857469,1.0,0.37903166639080793,0.6935054765232351,0.5235330926839789,0.3761647082778137,0.5550254274573858,0.3015515577141141,-0.3613757561659342,-0.6111172476006671,-0.40042291006947783,-0.07608019700183839,-0.24066208280626075,0.589610268668998,-0.24366032455963169,0.39045701939752336,0.3347192205728728,0.01389114347113073,0.11655346764836447,-0.0784557762609859,0.5483432286413404,0.39124499963737774,0.7269240100462849,-0.20711530500599945,0.4200700786174347,-0.22710919564601736
Paracentral_Lobule_L,0.2511110731233233,0.6781929027605048,0.7173594148123458,0.6212580528159166,0.004325078406522433,0.8466581946855489,0.6401454628560311,0.36775533313016273,0.18344623652552056,0.4462036550852979,0.2251014391066944,0.34334678635392246,0.007372229494674168,0.5878970659022613,0.7245742177714063,0.5034885344439253,0.3127728748947635,0.8534564542611159,0.1192058581701139,0.7603285353490865,0.37903166639080793,1.0,0.578311227204043,0.5435564747766765,0.6770784923455422,0.7606340769934765,0.5477355489185708,0.30341770408533125,0.09092929192314105,0.3521035366144175,0.28250856161595794,0.18011454372863356,0.41720018543038717,0.13018430880894177,0.5275235766623566,0.1162812938396873,0.47255803286200954,-0.045984294527045375,-0.04945600707252848,0.43102262021136073,0.23599349922982046,0.5022521129284628,0.37815285547515537,0.8480212681790738,0.3081576184058154
Cuneus_R,-0.06069480492979332,0.5964674072347785,0.5233288362736447,0.588800297757297,-0.10036438331502791,0.5374471181486048,0.27616607246146924,0.5202456085405465,0.48209759250061707,0.7238806584072187,0.44535418005559213,0.2908432561843525,-0.31848046061049634,0.3917704692781173,0.5547177834541641,0.5241437818406648,-0.03896568136306293,0.6956818790316827,-0.0916090991347256,0.6023232164301889,0.6935054765232351,0.578311227204043,1.0,0.5761478738653546,0.5854120955736654,0.6726513718148082,0.5853982413179393,-0.2560185227007633,-0.41692838223539225,-0.18435421850691816,-0.04611671521581559,-0.17754873245159866,0.7181590308873462,-0.1800914400966566,0.4349137579324444,0.28739647074126806,0.3114767861422607,0.14217205678410838,0.033148143106354194,0.7308969859098252,0.523599156087169,0.909156582500183,-0.17984909198422414,0.5939915661539585,0.03646035580278402
Parietal_Sup_R,-0.08505642255554437,0.4292069915038654,0.26183226805402665,0.3141173137555628,0.11041382207480102,0.7615223035050319,0.12318458452524512,0.18818420912220007,-0.16679737883157283,0.11124424172748187,0.21019707402965135,-0.09692083799656777,-0.1334910412395572,0.19536520587789152,0.37291398178869406,0.044854656737825634,0.12564188999769177,0.5727866897525575,-0.1122232203871236,0.8561986262995589,0.5235330926839789,0.5435564747766765,0.5761478738653546,1.0,0.8143448798335697,0.7749954047663621,0.16606844204738,-0.1838514195802651,-0.09618698564874968,-0.11183487692457168,0.11132993830859045,-0.14420150664241102,0.06639437147579928,-0.3284655851239118,0.1594560892887349,0.02836585045341998,0.11060773972847485,0.12556542916656388,-0.29165627229891466,0.14222671239944407,-0.07585584233053479,0.6505697382901565,-0.11739633967634308,0.47769774007583843,-0.10949521519950761
Paracentral_Lobule_R,0.129043574722966,0.4847209875940851,0.453488712877529,0.5490496633706989,0.05109142368056993,0.8153677824134117,0.3076473492199318,0.32184525575277373,-0.05238851721893586,0.2168445977954398,0.22835312759704063,0.06155131329103086,-0.014994250313292608,0.37997557434673856,0.5023819947392191,0.09323518881049934,0.21925986010794296,0.64619577262439,-0.052719478262142905,0.751218860198843,0.3761647082778137,0.6770784923455422,0.5854120955736654,0.8143448798335697,1.0,0.712722328526988,0.3978749411104356,-0.011013160076323933,0.0763596590095456,0.20502203674435657,0.20077287482066572,0.01133783991064735,0.2010575581389544,-0.19190302011242724,0.23399453495266434,-0.010102687647594562,0.24691339727514497,0.022822023552803553,-0.24907078101991037,0.24494818309328936,0.04279579168544292,0.6062261600688724,0.012533832967379104,0.5373070662317185,0.09793687529217765
Parietal_Inf_R,0.056682623036054265,0.7049965515108729,0.5878496916416629,0.5494075075719099,-0.007893992388235843,0.8679042811250545,0.4953750213219518,0.32943493834320214,0.17625110442781683,0.5060648813562623,0.3930164235923999,0.21018819288711085,-0.0834096162403182,0.581721732466832,0.5505844589948585,0.3983013740869555,0.21590101457478753,0.7973888104066676,-0.05047961649685699,0.8137641684504309,0.5550254274573858,0.7606340769934765,0.6726513718148082,0.7749954047663621,0.712722328526988,1.0,0.37396158232346327,0.00132403769260068,-0.11937589000165753,0.056065666190039,0.10994358362521443,0.05497546375871436,0.44067713952707666,-0.05492005002875268,0.3697681409435209,0.16229827205469616,0.45239645455188626,0.03671300356888053,0.05302181979837377,0.5102667928872129,0.26519862379471415,0.6954531827525579,0.09077517714568588,0.7502441510960917,0.1804086230532164
Cingulate_Post_R,0.09065384580093644,0.4124058855856341,0.47204451955878457,0.47462986860719414,-0.14354978540162228,0.34200605283237306,0.4101249991372445,0.32418023385240496,0.3981434899145924,0.538394594317929,0.2894679982109465,0.33654051053480627,-0.1334416714437172,0.5303395460452226,0.4697828943870949,0.4747595890492716,0.10637399028584392,0.5307813811935954,-0.04239077512608087,0.3512288996317624,0.3015515577141141,0.5477355489185708,0.5853982413179393,0.16606844204738,0.3978749411104356,0.37396158232346327,1.0,0.036016869369098425,-0.11961070294533496,0.13146561290377892,-0.04932949714749288,0.026184597688826996,0.5537878510942036,0.11169412594801377,0.29490113475093044,0.19778752642158456,0.38412500046500714,-0.03064042955044064,0.0854670608217061,0.627015239128142,0.4528030927755017,0.4947254126001403,0.08420411316328426,0.5832963744596803,0.1890520997551297
ACC_sup_R,0.34414642687445157,0.2021400677005602,0.3199125674984828,0.22291330616737629,-0.033156839409884536,0.19279140427253438,0.6083259500006266,-0.028557740174217257,-0.10407305757883742,-0.1778461844097394,-0.24843379442483657,0.24770939798290453,0.2111654261980053,0.2653817305100683,0.28955529559712795,0.021407269163408727,0.2744857786563821,0.05138864456454423,0.43847724457805637,-0.004737879570922002,-0.3613757561659342,0.30341770408533125,-0.2560185227007633,-0.1838514195802651,-0.011013160076323933,0.00132403769260068,0.036016869369098425,1.0,0.45536449952103314,0.628509250762662,0.34960713217098793,0.4884623321532689,-0.09369937168607397,0.5292688015610842,0.2403870098018149,-0.09919729846696694,0.4121796279082816,-0.13024157029929545,-0.02182009285229068,-0.16199766574212482,-0.13636720924190698,-0.41894660874566414,0.8872646673471959,0.1984872854987922,0.4773802667946004
Temporal_Pole_Sup_L,0.33870128789188875,-0.18557577872976325,0.0019092885130520666,0.014157015279721451,0.14389115245884793,0.12229211293190971,0.24442997577737655,-0.11625278504472626,-0.4009389041792233,-0.4248368644394169,-0.2790753489856803,-0.10383288484418517,0.5025669301115534,0.15507281860448305,-0.04526404589708725,-0.36622478061491054,0.5016408159302793,-0.012880512031884431,0.11288059930278009,-0.034925584878060974,-0.6111172476006671,0.09092929192314105,-0.41692838223539225,-0.09618698564874968,0.0763596590095456,-0.11937589000165753,-0.11961070294533496,0.45536449952103314,1.0,0.6582349461181453,0.3517244385316517,0.3728484361806359,-0.46526624971771285,0.16630584057004533,-0.20152475642560233,-0.2681123707104121,0.1538218960149954,-0.08010088097594784,-0.1322790103854998,-0.3987662057836246,-0.4488459562890805,-0.47024436939894554,0.39310448982258206,0.052566512173359295,0.25291947473105947
