,Thal_AV_L,Vermis_10,Cerebellum_Crus2_R,Temporal_Pole_Sup_L,Frontal_Inf_Oper_R,Vermis_4_5,Vermis_6,Postcentral_R,ACC_sub_R,Frontal_Mid_2_R,VTA_L,ACC_sup_L,Rectus_R,VTA_R,Thal_MGN_L,Angular_L,Raphe_D,SN_pc_R,Precuneus_L,Angular_R,Paracentral_Lobule_R,Rectus_L,OFCpost_L,Temporal_Mid_L,Rolandic_Oper_R,Cerebellum_10_R,Parietal_Sup_R,Occipital_Sup_L,Thal_VA_R,Cerebellum_10_L
Paracentral_Lobule_R,0.12182790696788141,0.06155131329103086,-0.010102687647594562,0.0763596590095456,0.40431078336448045,0.47274843113587467,0.28046046842227024,0.8153677824134117,0.022822023552803553,0.3076473492199318,0.22835312759704063,0.012533832967379104,-0.07545178517996019,0.10780585786828678,0.10228436017384315,0.6069445902805373,0.37067857776979796,0.17944980991415194,0.8738857348803306,0.771699039914434,1.0,-0.09062339957040849,0.05105099572158826,0.24494818309328936,0.5023819947392191,0.272375268005547,0.8143448798335697,0.5867292965271842,0.020950162110687856,0.3214151913230606
Rectus_L,0.19077471239646643,0.08992728945345382,0.04039912982095729,0.5639037273476589,-0.19273292646354434,-0.13327147480811624,-0.3926512480056108,-0.016366083503241886,-0.28161701406580014,0.12220486956605645,-0.23627597551745874,0.05818159232001322,0.9084488951584317,0.09966977051502787,0.06866097786393065,-0.3477893732155598,-0.37264081081533323,-0.033166653549418536,-0.17296438513344792,-0.2311279796609665,-0.09062339957040849,1.0,0.1523828049403659,-0.34488498127556955,-0.16368267296253325,-0.22407991302572863,-0.1791728170387567,-0.4296433055866374,0.7037368618054844,-0.05921791845724046
OFCpost_L,-0.204602080906803,-0.05439633714583654,-0.2592172547365735,0.3538264353377259,0.19848053925261097,0.12317363889901402,-0.04259812844881814,0.12399271633028387,0.0365047372012886,0.264124403569285,-0.06645904196130002,0.35666649907953596,0.14512868101294213,-0.24094150932325512,0.2683475362925153,-0.020699599966337367,0.16839782315252713,-0.1804316225255929,0.03799085565286787,-0.010800040129578832,0.05105099572158826,0.1523828049403659,1.0,0.09025172773922076,0.16157895442550174,0.16454252537975145,-0.03617955301735689,-0.048245191561225614,0.13297161218038,0.12410960844076142
Temporal_Mid_L,0.2107478358708731,0.35124541850083235,0.3082776953877171,-0.3987662057836246,0.3300865835071044,0.6670464862388206,0.7787121124028229,0.2860243453540603,0.07772778750635771,0.35882097431297744,0.5845383679307825,-0.08189363696152062,-0.4107724094130544,0.25094522322769686,0.21146953031879903,0.6298486240756704,0.40557074381161207,0.2127313363125448,0.2800896911637428,0.44895109560593266,0.24494818309328936,-0.34488498127556955,0.09025172773922076,1.0,0.4107371299534409,0.8239155543382314,0.14222671239944407,0.6228114088510445,-0.27991243203236754,0.7237953128621901
Rolandic_Oper_R,0.05546331320915095,0.3603405976258423,0.2283088249623683,-0.04526404589708725,0.778946164726146,0.5735982325971871,0.5293957191351457,0.6396418417239501,0.04456620517078149,0.5708298078484256,0.22910071773357282,0.3924112187360288,-0.22216338026879834,0.07784359975317102,0.42623708589280096,0.43671522322510814,0.4503625243566227,0.3558881628078073,0.529770502154607,0.4504588275827917,0.5023819947392191,-0.16368267296253325,0.16157895442550174,0.4107371299534409,1.0,0.4508275280127957,0.37291398178869406,0.3765327384059355,0.10302419511717799,0.48287977141878063
Cerebellum_10_R,0.1562802771373939,0.41319279622028743,0.3031327980023893,-0.21004462556787648,0.42165340946593227,0.6806748892795514,0.7014234217312696,0.43144744071614344,0.051273436082678266,0.46034314912653673,0.47569565366798555,0.12394836187271058,-0.23848870759870514,0.3021251110261397,0.21642673395984063,0.5464643358166515,0.36881028419558903,0.3393554353098104,0.3193614709205322,0.4132663127846526,0.272375268005547,-0.22407991302572863,0.16454252537975145,0.8239155543382314,0.4508275280127957,1.0,0.15446171946348755,0.5316975134003535,-0.09751112931542724,0.7696378035795837
Parietal_Sup_R,0.1295536216793862,-0.09692083799656777,0.02836585045341998,-0.09618698564874968,0.3601041776419379,0.2506322430719476,0.22294281466203708,0.7615223035050319,0.12556542916656388,0.12318458452524512,0.21019707402965135,-0.11739633967634308,-0.1795469567026186,0.008600028117785919,-0.12286984876203345,0.7053114479045594,0.4403999008932059,0.11998027831367467,0.8869930743089981,0.8693733601773946,0.8143448798335697,-0.1791728170387567,-0.03617955301735689,0.14222671239944407,0.37291398178869406,0.15446171946348755,1.0,0.6461071438315297,-0.1693674284969205,0.22957874819466315
Occipital_Sup_L,0.1345093196070613,0.0990400637000378,0.21088985602681026,-0.49439293517540595,0.40251928334344667,0.48625850728028336,0.6364392116614228,0.45514500301955807,0.1415693116745648,0.04393236651428765,0.3872577704532418,-0.2804375037145501,-0.4625886009164964,0.0899786304071942,-0.01851813546659691,0.9083496747799394,0.5778839943656255,0.011373478568387937,0.705292327000232,0.8550330851972873,0.5867292965271842,-0.4296433055866374,-0.048245191561225614,0.6228114088510445,0.3765327384059355,0.5316975134003535,0.6461071438315297,1.0,-0.4906646132089564,0.47655160330591984
Thal_VA_R,0.2553589698871279,0.3311660436728865,-0.03570743790335481,0.6167410075403092,0.11483241502101793,-0.007208200698861775,-0.3332476580334028,0.20831425761295314,-0.15569162640238482,0.48489192425077576,-0.1608002713277368,0.3999219251432609,0.6675322933580272,0.026177546159518603,0.28946051910229464,-0.3687449790893786,-0.21078208547082802,0.3014233111357989,-0.0754079242780301,-0.23975989455870075,0.020950162110687856,0.7037368618054844,0.13297161218038,-0.27991243203236754,0.10302419511717799,-0.09751112931542724,-0.1693674284969205,-0.4906646132089564,1.0,0.018485652543272092
Cerebellum_10_L,0.18665676534732872,0.4427938806630635,0.29134280065745366,-0.09213081551007601,0.39854306658866556,0.688469219321191,0.6183475907538787,0.46957305632900304,0.057512552178956775,0.5481281648873034,0.3834501846131164,0.17443132648954,-0.1354099039080464,0.41084899275010384,0.22627894719482367,0.5077352950190696,0.3024083166991004,0.3621822365374708,0.38101605095133867,0.4952222586084931,0.3214151913230606,-0.05921791845724046,0.12410960844076142,0.7237953128621901,0.48287977141878063,0.7696378035795837,0.22957874819466315,0.47655160330591984,0.018485652543272092,1.0
