,Thal_IL_L,Thal_PuI_R,Cerebellum_10_R,LC_R,Frontal_Sup_2_R,Cerebellum_Crus2_R,OFCant_R,Raphe_M,Rolandic_Oper_L,Vermis_6,OFCant_L,SupraMarginal_R,Temporal_Pole_Mid_L,Temporal_Pole_Sup_L,Parietal_Inf_L,Frontal_Sup_2_L,SN_pr_L,Vermis_9,Thal_VL_L,Cerebellum_4_5_R,Precentral_L,Cingulate_Post_L,Thal_PuL_R,Cingulate_Mid_L,Thal_AV_L,SN_pc_L,Heschl_L,Frontal_Mid_2_R,Frontal_Inf_Oper_R,Caudate_R,N_Acc_L,Angular_L,Lingual_R,Cerebellum_8_L,ParaHippocampal_L,SupraMarginal_L,Cerebellum_7b_L,Occipital_Sup_L,Precuneus_L,OFCmed_R,Temporal_Pole_Sup_R,Cerebellum_9_R,Occipital_Inf_L,Rolandic_Oper_R,Cerebellum_10_L,Pallidum_R,ACC_sup_L,Hippocampus_L,OFCmed_L,Cingulate_Post_R,Vermis_7,Frontal_Sup_Medial_R,Frontal_Med_Orb_R,Parietal_Sup_R,Frontal_Inf_Orb_2_R,Frontal_Sup_Medial_L,Paracentral_Lobule_R,Temporal_Inf_R,ACC_sub_R,Cerebellum_7b_R,Thal_PuM_R,Angular_R,Thal_LGN_L,Paracentral_Lobule_L,Vermis_3
OFCant_L,-0.045818990812306115,0.06332339062350784,0.03987731374782756,-0.010039381466424708,0.14758793045559163,0.3142110795842149,0.6682779598434317,0.037332533834321634,0.31161556189369294,0.027688953133701174,1.0,0.08790075611791481,0.04076178171852843,0.06687652509817832,-0.08128562628586743,0.42630345183941076,-0.06615696012155199,-0.0810810131715107,0.12193632062557312,0.08309032494969107,0.03315024158902965,0.07212542184653747,0.15010474181987826,-0.03524548379256159,-0.404864412670055,-0.2717054942938553,0.020978059920922127,0.3154589624307487,0.17487769756317595,0.07560122391358887,0.645437136134813,-0.14343989465221124,0.10801833563433792,-0.012052445708705754,-0.1476817316960104,0.04856397603874173,-0.01509551384733803,-0.08091656741004345,-0.037300977258692226,0.3534763597561705,0.2445131600493071,-0.02390545978131035,-0.09240962291995246,0.22588301512290448,0.0980577223792756,0.07055783637079485,0.18807936694098795,0.05057599667081224,0.663408410572071,0.12615971416218294,-0.11780290052559868,-0.005508679665469825,0.09604541190928158,-0.16222377844377728,0.40897016844085926,0.21460962056771618,0.07373554324952179,0.1821905382306534,0.14409837165216247,-0.035658788949804135,0.04873926238399227,-0.07582070424153002,0.06249319389927732,-0.02947610803087034,0.04507189065104482
SupraMarginal_R,-0.03338603298102268,0.08109444904777291,-0.058472295696662485,-0.565419809065968,-0.1259644885933309,-0.04282943041801763,-0.26622453951698805,-0.33428864158513855,0.1891688952938096,0.40920090171723633,0.08790075611791481,1.0,0.1259858854163011,-0.39911779741235853,0.5829831375632107,0.11893583747387532,-0.0679815765096381,0.30483501251524375,0.28234030710308433,0.13083853930813033,0.3115589129023523,-0.1457025262444215,-0.24863835555329666,0.36996634102049925,0.4976576676515402,0.17695926810738727,0.35474977754993525,0.24041056271800326,0.4660054881896614,0.19441670976530517,0.04482427903503388,0.5363144171111407,0.5644885380969775,0.07075633083504655,0.05053017420191293,0.358411670906509,0.4652924027098898,0.6721439297274326,0.49083120571143674,-0.20110417573952008,0.2587209377977265,0.29658328965260267,0.503673198970834,0.29817957379377186,0.18101305861218842,0.026078660043388335,-0.1774114091330618,0.16168964516668238,-0.14389912257448295,-0.039721127669035836,0.013337157351569949,-0.21871284835419827,-0.05046973132567655,0.7174355864610795,0.0884206948416002,-0.0966001689736337,0.208774292446108,0.052797148400997924,-0.20847626891525955,0.38666319278353994,0.05095108211733225,0.7515946832460327,0.2898400314163267,0.48451483351250074,0.7129944204064356
Temporal_Pole_Mid_L,-0.0957487454976191,0.09171626318243677,0.04976679715515176,-0.1120786994292014,-0.01634526376821105,0.06456595531999935,-0.04997423970774519,-0.1145578188293936,0.09335515483175394,-0.09879499237355484,0.04076178171852843,0.1259858854163011,1.0,-0.00944628117604517,-0.024220472714985397,0.03322935170437347,0.057448246559037845,-0.05626046210873624,0.11047913358542548,0.0513299581597361,0.045374002639057005,-0.02708098541980532,-0.17018523302756064,0.0475622565254741,0.19376257245117312,-0.031188262171018197,0.23476951277184516,0.036853000508442424,0.1921793948293158,0.11306363112009589,0.2033268499902459,-0.03067394292421525,-0.06368877208232422,0.0715387240083553,-0.0196543805562847,0.013656931455088853,-0.004889510017246562,0.07130780913885972,0.14256331256338362,0.03484139843701654,-0.17748325008917706,-0.11152083476840138,-0.0064722718335042334,-0.08539330631137303,-0.17219231083908085,0.16812057072249004,-0.13471618274188757,0.0928216049130704,0.060013792500457325,-0.030472820094645296,-0.09479182886620385,0.03726254579475848,0.14077446849832306,0.16105068273936735,-0.1175579648810416,0.01248557514472529,-0.06816604362285086,-0.1396651784360695,-0.09346378443740531,-0.11123045981299526,0.06701175432177793,0.12718411427592918,0.07111715181101647,0.020096599011777995,0.20476801537084446
Temporal_Pole_Sup_L,0.07274329273554546,0.175273994207019,-0.01026321283872237,0.7221476577541864,0.5057539326332646,0.09217443803815342,0.5206568199688562,0.41015777263825576,0.337242084652444,-0.15084779585196073,0.06687652509817832,-0.39911779741235853,-0.00944628117604517,1.0,-0.39184600902353045,0.37797663649103297,-0.20221845427043755,-0.20439779659314114,0.163600660054545,0.3595821015724185,0.08255011495179689,0.17308737427738843,0.3958879285972838,-0.16351157361476612,-0.4038712580818497,0.07695885864802615,-0.0379053661633903,0.291697101042642,-0.011457726386895862,0.27176287849708397,0.2650076524389404,-0.4844783597393871,-0.4900885131879458,-0.16731368156835674,0.5157268221547201,0.054106233735289104,-0.34580247027113353,-0.507386538570948,-0.1633992334084273,0.39631313135872337,-0.479248404780748,-0.09628529691476329,-0.41977770297053124,-0.18282558831124646,0.04822436183891424,0.28922574164728465,0.36997582264160234,0.4025046464267986,0.48518926543163565,0.17941009880675104,-0.2295026981877597,0.5407572400170794,0.373795100136328,-0.5665720930568974,-0.1208346537250123,0.4925322795119254,0.1928048547134691,-0.5273265616038514,0.46309131147348787,-0.3862432516200368,0.2523787648953761,-0.6374632550785249,0.1640062585270543,-0.15241819259533934,-0.4907541220473037
Parietal_Inf_L,0.060358930321949764,0.2664434784013102,0.41646977292400905,-0.36521584411005453,0.2144442389004446,-0.04692917764715155,-0.22660962472909735,-0.1329384604136395,0.21625771703863975,0.30721811644521096,-0.08128562628586743,0.5829831375632107,-0.024220472714985397,-0.39184600902353045,1.0,0.21900373071017568,-0.057065013490957925,0.20572650134949316,0.31869576535248934,0.4397753698588251,0.5327237059442065,0.321903776668234,-0.10921112884480838,0.7275422847762394,0.3611995799273037,0.2180572359256053,0.3855048761656146,0.4367097937842706,0.45915353737644216,0.35582723528671395,0.08704080282206164,0.7628849297829456,0.6041745224179975,0.3722666034014825,0.1433646588329417,0.6242592895164834,0.2890124611586286,0.5918759210143516,0.8107525159077055,-0.3329925206176578,0.3238742063215965,0.2776732937514722,0.24974407385876327,0.5142441664008632,0.003936728187524502,0.19765072967476935,-0.08853579608052566,0.36545306917180354,-0.19951692070817023,0.3410523992513257,0.005046307764254903,0.029848425650853168,-0.22385196597843235,0.568839776215346,0.2826717673580175,-0.14424821432785248,0.4468107238391698,0.25427662003452345,-0.1805100108407962,0.25555986726537716,0.24600705394372632,0.7444828174930631,0.2301597793692564,0.7265025058779205,0.7172750235728856
Frontal_Sup_2_L,-0.06877773614244635,0.4202706550750135,0.5637473928273983,0.35153090039692564,0.7717676107040077,0.2965929910407385,0.51801037348943,0.4447883155258414,0.6914569070279729,-0.20420044752843244,0.42630345183941076,0.11893583747387532,0.03322935170437347,0.37797663649103297,0.21900373071017568,1.0,-0.1199959056192459,-0.4173566624208022,0.5041186483058645,0.6446854459767868,0.6765055000835263,0.531933999562367,0.4343225248861178,0.44500416303763085,-0.3499750597946113,0.011807949226153965,0.365583036152115,0.7476359594680191,0.5593771111655845,0.6442385206557908,0.44586700065267554,-0.25320738399267856,-0.02462505123474311,0.38249253119135934,0.374898302287947,0.36186544849773494,-0.3895472024379885,-0.25727347782282306,0.3391056612883314,0.016477485568207408,0.012143676713028982,-0.2940234142354354,-0.5445476109192252,0.4850173187955088,-0.18779227281976765,0.4491767936591585,0.4856247551412813,0.6683252277865652,0.45388521968403894,0.6239946057452184,-0.3451291296938153,0.6786360754629368,0.28786287410238764,-0.25407689908198516,0.5239755356925049,0.535074642364835,0.5733008152450131,-0.06557749650444121,0.31052739677878277,-0.3591540456622631,0.4241908835323015,-0.15482230786498893,0.3316915774335157,0.4216670748465342,0.1151575073900186
SN_pr_L,-0.21463390777536326,-0.08570026786297495,-0.02044410430559054,0.008794374983224084,-0.11421605295986821,0.052077906530420624,-0.14414524576732007,-0.1140943924464967,-0.054895433848035226,-0.020630097853368144,-0.06615696012155199,-0.0679815765096381,0.057448246559037845,-0.20221845427043755,-0.057065013490957925,-0.1199959056192459,1.0,0.11783511989745431,-0.21041908143204574,-0.203813807228763,-0.07158722583485512,-0.1279371887898871,4.4441189152834296e-05,-0.08033580997313149,-0.025705136462294415,-0.05219188035292413,-0.19471446593025338,-0.19819771874085335,-0.10299952125628933,-0.21272050592620734,-0.09840718657940233,0.010206761114040853,-0.03216391735885965,-0.05809144400985254,-0.16999833781045884,-0.13916152715574012,0.13121065361836923,-0.013373737082382374,-0.09529904710861854,0.0944570519222925,0.07330570719599569,0.041343673837835444,0.056816169664985115,-0.0019726791013638923,0.12019797963955331,-0.2796879362732664,-0.07327853581329248,-0.1807253291609533,-0.20757119589291054,-0.16240266326854125,0.08995973391047953,-0.030549231411245683,-0.15806960891327426,-0.024052758568199342,-0.11397098663177524,-0.14791926542298522,-0.06340469589290665,0.17108203965766358,0.03141102251935185,0.068225607964452,-0.014398589815362713,0.045777823502614785,-0.03557795711581329,-0.14447588985681176,-0.037472552490626115
Vermis_9,0.20446662039440247,-0.037147493709565015,-0.4541720617943189,-0.24019682009909818,-0.26031888342794746,-0.08869761819829558,-0.17334062412665208,-0.35158445580011594,-0.09511638934615872,0.8204588531969769,-0.0810810131715107,0.30483501251524375,-0.05626046210873624,-0.20439779659314114,0.20572650134949316,-0.4173566624208022,0.11783511989745431,1.0,0.011137301245564132,-0.13509655008457883,-0.14947689667341252,-0.2957989493157991,-0.0815456171859914,0.018048957076037722,0.35090150451139085,0.2611140413225128,0.0008322659495551539,-0.15090466322693585,-0.002613938779833774,-0.16752333128163818,-0.07787353389137497,0.631174040225287,0.5019639880907607,-0.3896403039876597,-0.06603789361441244,0.2166524257238189,0.8113066175124614,0.6251499920852543,0.14396273713543842,0.26571096740900096,0.2605176649310601,0.8904518429612879,0.7961282101914969,0.08638154601845284,0.6623087896300051,-0.192270765135004,-0.0585560630832713,-0.14768738678725665,-0.23451921778744886,-0.3876456460358507,0.42898225981669263,-0.3303520158364749,-0.09519348577649253,0.2965099364368124,-0.2743039600257319,-0.1805449923924836,-0.015502696336640247,0.2132926174446881,-0.08758326270092259,0.5984119541210857,0.09334990373950225,0.4327304968476249,0.09057324961966864,-0.030151907802522977,0.25199875126478216
Thal_VL_L,0.16246868191871072,0.49706742580105295,0.4300264984616198,0.0994473415932482,0.5325362154349784,0.15218491610918486,0.19905430119123316,0.36449193298256954,0.3764034724546008,0.2073073166664935,0.12193632062557312,0.28234030710308433,0.11047913358542548,0.163600660054545,0.31869576535248934,0.5041186483058645,-0.21041908143204574,0.011137301245564132,1.0,0.5986217250821873,0.4218977854662567,0.3312956357782785,0.3473566714134873,0.4725979208510433,0.07683895499517146,0.18949640555452243,0.35466165864980037,0.5968896656456473,0.5170408527502246,0.7008290805779147,0.1919664880803586,0.12070788939952826,0.25397407719690696,0.24415870695917274,0.5002137517745691,0.46320069528282487,-0.07017768243933918,0.15627533233264176,0.551078502670766,0.005680694808265342,-0.023307917013768546,0.05889615993103147,-0.13469344183341397,0.32721884259210104,0.006012529562796055,0.6389626462867835,0.4574913004401381,0.5931633232891319,0.21654618379475482,0.4014214763897826,-0.008824541660501894,0.42515125725551134,0.14871960722442065,0.008697045873863888,0.27458539207988875,0.5808383470051898,0.4257825883583902,0.060427032521337194,0.10262787916334201,-0.13542761029358324,0.513411469458462,0.16226206989011133,0.3064519858750811,0.4354924247664462,0.3647196469237549
Cerebellum_4_5_R,0.042426415180773364,0.5478967877030443,0.631730356571194,0.34082823785189953,0.780731869278549,0.2216884016065798,0.3295066022378695,0.45133530268825306,0.5149421052753362,0.1843600560973593,0.08309032494969107,0.13083853930813033,0.0513299581597361,0.3595821015724185,0.4397753698588251,0.6446854459767868,-0.203813807228763,-0.13509655008457883,0.5986217250821873,1.0,0.6368129889673528,0.555491568082728,0.29438447719091754,0.5808484951837403,-0.12658866136127853,0.3070739127523634,0.22848625586248622,0.8250696168890788,0.576751188490815,0.7817646926664078,0.2590156162786353,0.05374191049577545,0.2902751682334553,0.3525994979417493,0.648128252084661,0.5398071965026744,-0.2061172625952274,0.02385262769289634,0.7068514167856912,0.03190165368145791,-0.040404846571918625,0.017335754530718474,-0.3296961248244083,0.4243891403401759,-0.06752194012498021,0.6396387002791457,0.30654346711666897,0.8985280967888053,0.2727082597481906,0.6256988208231279,-0.2453228490785307,0.5031857102717155,0.1511893977627295,-0.1439596124397449,0.3625204953593041,0.33879430115638476,0.7118957255643661,-0.038868398840352515,0.2654591779669319,-0.28045954327339034,0.5357880370789555,0.024002020517254846,0.41030127848806774,0.6158984620182063,0.37598791190856795
