,SupraMarginal_R,Temporal_Pole_Mid_L,Insula_L,VTA_L,Thal_VL_R,Amygdala_R,Thal_MDm_R,Supp_Motor_Area_L,N_Acc_L,OFClat_L,Vermis_3,SN_pc_R,LC_L,Cerebellum_6_L,Putamen_L,LC_R,Amygdala_L,Red_N_R,Caudate_R,Vermis_7,Thal_AV_R,Thal_LP_L,Temporal_Inf_L,Vermis_8,Thal_PuL_R,N_Acc_R,Temporal_Sup_R,Frontal_Mid_2_L,Thal_LP_R,Paracentral_Lobule_R,Cerebellum_7b_L,Thal_IL_R,Fusiform_L,Raphe_D,Thal_LGN_R,Cerebellum_10_L,Parietal_Inf_R,Pallidum_R,Thal_PuA_L,Thal_LGN_L,Precuneus_R,Thal_MDl_R,SN_pr_R,OFCpost_R,Calcarine_L,Lingual_L,OFCant_L,Occipital_Sup_R,Thal_PuI_L,Rolandic_Oper_L
Vermis_3,-0.10127890369844533,0.2551060279052419,0.11229227825581851,0.12062517162733964,0.2100684701460259,0.06301643554230645,0.0034036425103971973,0.17365662458505715,0.3560449049788394,0.2491674157605135,1.0,0.4514833713881542,0.5389861780658324,0.06723251328020097,0.177787160527947,0.42733694837246455,-0.10322512411089559,0.5405615497269874,0.4046243332260406,-0.21481838000198397,0.184196639170184,-0.13790926987308377,0.36512320548919874,-0.2558469342656815,0.34780923302464517,0.247118680161275,0.15953160932173377,0.2614177133091293,0.2792966219254308,0.24990275519035834,-0.22691473078229893,0.3308408249597319,0.22701537962696627,0.5402107567397202,0.18434829427579164,0.12821743178956224,-0.08887060003820164,0.520263701467938,-0.14066899513402192,0.10615068020186422,0.2573923978954098,0.2320524250869466,0.5286312110789032,0.049775690979343604,0.22908847349843775,0.18048513210436354,0.33546840204527284,-0.059029662462300195,-0.0714095587470057,0.3429583654607466
SN_pc_R,-0.37899993513059616,0.14232289470312998,-0.0041082016305694444,0.04909495043198226,0.06132803536357155,-0.41171656389105704,-0.15599369338432115,-0.0952448214953511,0.3024580770721461,0.38996327433185324,0.4514833713881542,1.0,0.22796793022978257,0.2505979877160633,-0.06612168092227863,0.19552008272766874,0.1166292379845002,0.6830633810965994,0.2704121442444676,0.1305012049915324,0.21706133432232363,-0.25309132707366344,0.3151639265348065,0.18378530904058976,-0.05623391114188552,0.10743268806995183,-0.045188495551099585,0.22650300332129292,-0.14273251622117136,-0.07980761124814889,0.22728577508848222,0.15816805543067863,0.1106387937982806,0.0006052830275855602,0.1549407645331581,0.49941132248808956,-0.45752823198742515,0.4076734833086875,-0.38511710654098535,-0.22474980848121873,-0.12060848915958913,-0.05719113945520949,0.7441324765564744,0.10030345120629881,0.014431619047445369,0.0898712872755502,0.1873758744787622,-0.37003691773615827,-0.4530748606464411,0.05191097519010539
LC_L,-0.03958072279160835,-0.18083877250914138,0.03565546751644547,0.0848930165929528,-0.02383744651275251,-0.027135325279267236,0.027037288541231125,0.14971529550358056,-0.23605628740773332,-0.13973500201898092,0.5389861780658324,0.22796793022978257,1.0,-0.16237047540300886,0.2736826414319337,0.05447039481459599,0.25998353635145915,0.10364090010253278,0.3678865060423113,-0.30290074320566507,-0.16850967866501793,0.238659722721008,-0.16559540291562735,-0.3349343199234688,0.10758453371468613,0.571970442476049,0.32351254186732303,0.034696247807737245,0.11853196089853833,0.19622491886430143,-0.5191996638416461,-0.13569163796879646,-0.1853862880237334,0.43224568835620636,0.05816067252338472,-0.10892047441924783,0.04249804471651778,0.4238217355924211,0.13941117250369386,-0.09288634023669179,0.22959900342859246,-0.1172461270829286,0.3898006573266415,-0.1060919081577872,0.08850898224360727,-0.08175285498202596,0.28213300749352865,0.059408206576443454,0.11259518035778483,-0.09455639519113195
Cerebellum_6_L,0.244691102898885,-0.020388782723225297,0.5649946219208836,0.29631785429189356,0.5325536361361297,0.23989095483263087,0.5382531795891885,0.43110864178342523,0.31204818721848715,-0.0026561320113842263,0.06723251328020097,0.2505979877160633,-0.16237047540300886,1.0,0.13748161748795182,0.2521717756186389,0.43883897860216264,0.20065539342391184,0.27424092000600964,0.7362326304705273,0.42899090124898187,0.18148466148811038,0.5254679993632313,0.712071492142049,-0.09976519773478242,0.0025877160583371796,0.21303498949031896,0.4057630671344432,-0.24681400823346047,0.24859467231904137,0.6506165552064571,0.45562513357820944,0.759112218520708,0.05001864362658283,0.38793612457915544,0.7317342064072648,0.04087337985895907,0.05059660786436753,0.30126114435528567,0.1457258245521381,0.16795017310119767,0.46281763749157423,0.16353918834839107,-0.11765538019756008,0.5862130112666807,0.8474106800898149,-0.04637446806337968,0.1303110017692372,0.2714397802851561,0.5569951447520519
Putamen_L,0.27919505721912014,0.2670139217795957,0.3256167849558521,-0.07480403137059846,0.06352257393333705,0.20056844002738966,0.04956839248079174,-0.006690694918473903,-0.2877862700746199,0.02616495631722227,0.177787160527947,-0.06612168092227863,0.2736826414319337,0.13748161748795182,1.0,0.11136852286794346,0.44003204611154256,-0.16534128118552793,0.46776314769146615,0.1084794753694492,-0.24371424702947303,0.04918693002144697,-0.002339380850423637,0.14689255204929796,0.28764359483492796,0.7087148351522103,0.7207165033617878,-0.20886947275142853,0.33986076272953597,-0.11891732445379244,-0.008817097200163453,0.0132638078718724,0.14811246770990513,-0.09943718721215444,0.17931376125673612,0.013888892122296718,0.1782662772667293,0.41313292983423483,0.03859947301383689,0.07462610821585049,-0.15541071809735107,-0.08943932064298002,0.2804218890168762,0.10601926683009935,0.0013067858000639092,0.05322265036938061,0.6292056397806416,-0.00391278731294257,0.21418088481488745,0.20686256697363334
LC_R,-0.15904456106232442,0.25573999486444426,0.14349752318938483,0.42068141516966806,0.18623296073470455,0.2873471992510862,0.07363981395411624,0.36077674665292175,0.5304630361213547,-0.059914582619089406,0.42733694837246455,0.19552008272766874,0.05447039481459599,0.2521717756186389,0.11136852286794346,1.0,-0.23684669842915054,0.5713067267850825,0.18115993596703975,0.15453316067338418,0.17623460989131484,-0.25620011597383874,0.42156582945352244,0.21926150363747124,0.2800961585266131,-0.01817855797110907,0.07132578236088495,0.48785706971547976,0.29920343776356223,0.12872594284107064,0.28019294144727064,0.319051242731746,0.4463211115356132,0.011850343093188215,-0.14839177305747664,0.47679780867402377,-0.2144241314760455,0.24610007903177064,-0.18899788566288975,-0.08480271107770865,0.08746464487052807,0.34772202441995287,0.22789913072205262,-0.13823805950394968,0.16714167315243872,0.33833958153928057,-0.11755003319684386,-0.1760400351471691,0.06951483644061507,0.4752684492651523
Amygdala_L,0.2707098991927708,-0.1441935337937333,0.5912738134709628,-0.06382268429889212,0.3780079675586749,0.05845357852356589,0.4145432111926212,0.2732186921080414,-0.2763653565494317,-0.06396168793947006,-0.10322512411089559,0.1166292379845002,0.25998353635145915,0.43883897860216264,0.44003204611154256,-0.23684669842915054,1.0,-0.2821297022406708,0.42133416206207636,0.3383242723016175,0.20216109688693987,0.5054442793211877,0.030657958345909016,0.31512134578328177,-0.06405813610991849,0.43862168599243906,0.5091458081668222,0.17138932353196787,-0.23009012853238786,0.186424165635979,0.04643390336698283,0.09655869713726811,0.24961211940766925,0.05981657813143082,0.4991383647039305,0.18805517663935045,0.1999874638673367,0.1616417348382001,0.4466876730042047,0.202275158007961,0.1766166302770114,0.08466649079373961,0.16967584317729337,0.048171966031126556,0.323006265116449,0.35114064915743326,0.26839073642540756,0.18863917096713,0.2618662378784741,0.1938143391295673
Red_N_R,-0.44668715728397757,0.17192711005051484,-0.15653337181921,0.4964564778618689,0.041174391660708784,-0.04144948953836521,-0.13353279360628267,0.09116290459317479,0.5668036036935369,0.06924046958255883,0.5405615497269874,0.6830633810965994,0.10364090010253278,0.20065539342391184,-0.16534128118552793,0.5713067267850825,-0.2821297022406708,1.0,0.12748878717306,0.04555167217242765,0.2161301536144223,-0.42729707106885273,0.3739564724164615,0.2437261237667318,0.18436214405772036,-0.1128603100015128,-0.2583639895911598,0.4111501462057293,0.10165011985608619,0.06227234532146232,0.3101578133632826,0.34263769550178685,0.25823494235642763,0.05494114534901333,-0.0933733397246117,0.5692435803543803,-0.4797857240884864,0.32608349317476193,-0.41328858317223066,-0.1479928036928665,0.0018563846167461667,0.17701874048508168,0.46303269397586927,-0.1509770199609855,0.03591617894616988,0.18968388084512644,-0.15671040646264675,-0.355894740224051,-0.15349629355282796,0.1646893395089051
Caudate_R,0.3086183220519094,-0.00904077313274397,0.38394582239466085,0.15502852526211844,0.6909981382253648,0.14253526955942863,0.4849605357830159,0.357196919141465,-0.010516264375219637,0.10781083972652425,0.4046243332260406,0.2704121442444676,0.3678865060423113,0.27424092000600964,0.46776314769146615,0.18115993596703975,0.42133416206207636,0.12748878717306,1.0,0.23002513557938659,0.4432402731992758,0.31010570253168246,0.13523975035974747,0.0339758883157802,0.02163370384564684,0.6066521397726268,0.5706577909130917,0.2745756927197166,0.24240797021673702,0.14154809783592223,-0.07503260966815871,0.5266137371843581,0.26411382170836545,0.22927610680503407,0.6519385531026091,0.023517088290436992,0.22323720380029577,0.41824190513181636,0.27968500621333814,0.27357890954422776,0.3149644376291116,0.40931304033194643,0.33151298561294384,-0.01866688533509278,0.5319543088844987,0.32500229348211684,0.3325395805877414,0.26087000263040455,0.22868865236276395,0.35648606142161127
Vermis_7,0.24818958736361685,-0.12672285029644068,0.31056390030458136,0.2686398232611949,0.366371550862846,0.2339465515220482,0.36243591776008716,0.24361898906349597,0.09253064989725239,0.008627810848048133,-0.21481838000198397,0.1305012049915324,-0.30290074320566507,0.7362326304705273,0.1084794753694492,0.15453316067338418,0.3383242723016175,0.04555167217242765,0.23002513557938659,1.0,0.2801836332913183,0.08512618282891482,0.2989435142984925,0.6842952458041937,-0.18784362336599514,0.056818053114573434,0.14540237956869956,0.21485158028848025,-0.16541174233956898,0.08907120540681314,0.636928131788341,0.36729235730279614,0.472033006964984,-0.1604044815821092,0.34692732368391743,0.5025947970789287,0.06400890941210798,0.029868900486162846,0.1393554203787758,0.12690598500060807,0.03340135682194759,0.3002629570203731,0.029929035339719422,-0.10280148027457482,0.3705150689715663,0.6196910063276231,-0.11407335870112559,0.1289213636399433,0.13720898584947716,0.329887308286585
