,Thal_PuA_R,SN_pc_L,Frontal_Inf_Oper_R,Cingulate_Post_L,Pallidum_R,Raphe_D,ACC_sub_R,Cerebellum_3_R,Cerebellum_10_R,Supp_Motor_Area_R,Occipital_Mid_L,Cuneus_R,SN_pr_R,Occipital_Inf_R,Cingulate_Mid_R,Insula_L,Thal_PuA_L,Thal_MDl_L,Vermis_6,Cingulate_Mid_L
Occipital_Mid_L,0.4703188393277883,-0.0003375019273901228,-0.05561831035042871,0.23399362477223873,-0.4055986313765848,0.10815002372992305,-0.3165479114154946,-0.21312020945727833,-0.05043787295903721,0.29628844945203575,1.0,0.2215072574516113,-0.24540905324478723,0.21280478889048435,0.1547187722638234,0.4014133409099256,0.4140851245078857,0.08587865825580669,0.22506790175183233,0.20429521337493625
Cuneus_R,0.7755074934119697,-0.3388539294482593,0.423958353865435,-0.050517678067463746,0.09830139136500221,0.6625277085429951,-0.20893826776273167,-0.08142529783660897,-0.060788613072710565,0.5771858728576819,0.2215072574516113,1.0,-0.24856580699159275,0.2502054870411367,0.5851194406331252,0.19408260040464972,0.7776555753935398,0.4567147359475346,0.04129311518356236,0.24990581153967614
SN_pr_R,-0.35565087505646864,0.7059368481108996,0.08255858282688062,0.2051003043498055,0.6772444735365944,0.010482457184075037,0.489007621218731,0.4818130013423784,0.30893156823821366,-0.09747406863171733,-0.24540905324478723,-0.24856580699159275,1.0,-0.1207930082509136,0.1710621563317038,0.14841208190928493,-0.3844041864777163,-0.12745323849663573,0.08578352119905538,0.3403865355452755
Occipital_Inf_R,0.4067102155015312,-0.08954092785831957,0.5129212404761906,-0.02098677262517379,-0.1078562004405706,-0.0619793110845038,-0.584774204495621,0.010556708395881024,0.29382363229943453,0.3626107700036314,0.21280478889048435,0.2502054870411367,-0.1207930082509136,1.0,0.20049796169652162,0.24479759925571867,0.49013781933857764,0.23086328736784262,0.546912229450612,-0.01730266928232388
Cingulate_Mid_R,0.4053963522353943,0.02054957803885254,0.6829733516611438,0.43959676498652056,0.33988375140731025,0.4659546040483447,0.037612608854662236,0.35742548088091614,0.3459492379572536,0.7225996605606549,0.1547187722638234,0.5851194406331252,0.1710621563317038,0.20049796169652162,1.0,0.5192451375552561,0.46305709085297014,0.5497226616573847,0.18778574811585358,0.8111540078980107
Insula_L,0.3232157428934119,0.08298823806639671,0.4514617339446578,0.4232249769910048,0.13531588838933123,0.11534217308143846,0.026581100808244218,0.43428741496593326,0.3593875740188119,0.28452553005295944,0.4014133409099256,0.19408260040464972,0.14841208190928493,0.24479759925571867,0.5192451375552561,1.0,0.41172786179866216,0.524151593911824,0.4646274742802556,0.44747700894458553
Thal_PuA_L,0.8543958337260404,-0.3934861134055406,0.5386452667273249,-0.10095280498916136,-0.16948346652113297,0.46939364423349017,-0.5529339188164699,-0.18674978972945974,-0.15192407784274006,0.507721623694441,0.4140851245078857,0.7776555753935398,-0.3844041864777163,0.49013781933857764,0.46305709085297014,0.41172786179866216,1.0,0.46933832819902455,0.11446179471537306,0.1272875460623292
Thal_MDl_L,0.3087278926809487,-0.22244511834643232,0.5080802170631669,0.4738574908163799,0.07517990716801219,0.22196746417432947,-0.04556021841051404,0.2901461992325032,0.2316867441880974,0.35540344336687846,0.08587865825580669,0.4567147359475346,-0.12745323849663573,0.23086328736784262,0.5497226616573847,0.524151593911824,0.46933832819902455,1.0,0.09026742865705376,0.34591380873215255
Vermis_6,0.22240114825200488,0.16965428036369434,0.2598894531267369,0.14272225908007452,0.012192784705890353,-0.31783781092732755,-0.07074607420530597,0.42856680598755487,0.5428916181599217,0.28189299926184713,0.22506790175183233,0.04129311518356236,0.08578352119905538,0.546912229450612,0.18778574811585358,0.4646274742802556,0.11446179471537306,0.09026742865705376,1.0,0.14868731899114485
Cingulate_Mid_L,0.18149031517590014,0.33381555975374727,0.32232887587168335,0.5385652233484821,0.3188986351042698,0.2725854058962328,0.28921088008463264,0.39714893593509715,0.4139192609989981,0.4233146061597736,0.20429521337493625,0.24990581153967614,0.3403865355452755,-0.01730266928232388,0.8111540078980107,0.44747700894458553,0.1272875460623292,0.34591380873215255,0.14868731899114485,1.0
