,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L
Olfactory_L,0.03263215220242312,0.01040573807572221,-0.1828148626739817,-0.14174261868334645,-0.02454401883051368,-0.05309996557539008,-0.09022090816633689,0.003779077572665028,0.00034484801327136613,-0.005322576167661624,-0.14609689370451703,-0.026650992821236206,-0.12455489838828218,0.017128337381925398,1.0,0.2896941981532399,-0.13378842478392264,-0.10400071033887721,0.0215754305136434,0.12980827138368806,0.41359020467455404,0.12359740234950782,0.12882625752908675,0.1584697305802762,-0.0009079145145377215
Olfactory_R,0.13496647637597226,-0.05270265749888061,-0.09776077230464449,-0.07909097042851178,-0.014116815074448591,-0.13938666067817448,-0.23075382119246624,0.15715067235488045,0.04076321252848095,0.027706996171702598,0.00938590521769781,0.15276775507144175,-0.08684889673249128,0.4110084531660844,0.2896941981532399,1.0,-0.11112516825347049,-0.13841511064122178,-0.1972353780873761,0.345556981923923,0.4799180213508613,0.11798253903842636,0.5158381356551813,0.4193993300437299,-0.012022509228658074
Frontal_Sup_Medial_L,0.4850417451446867,0.555286026124247,0.816790446984776,0.8225712702625312,0.6830569754376912,0.7703405394532906,0.7257165134123637,0.6044867057842044,0.6499002884199968,0.7276436245934282,0.7589377160737497,0.6892566747550407,0.6892171619915543,0.27629416589467637,-0.13378842478392264,-0.11112516825347049,1.0,0.8522363234271375,-0.028287998264847652,-0.2667557201622334,-0.02882898048592119,0.176187361438773,-0.04275317547175473,0.08378952943556683,0.516042520080329
Frontal_Sup_Medial_R,0.3615721762006723,0.5005330749121798,0.7668841574964494,0.7946190128076174,0.6214267998426172,0.7461824117845939,0.6643566227882408,0.46720283834275195,0.5211536588839544,0.605679417325042,0.6604697406456593,0.5692025521812425,0.5491865344549266,0.11562987262334648,-0.10400071033887721,-0.13841511064122178,0.8522363234271375,1.0,-0.06769998214699682,-0.2799730371654553,-0.05728589408245188,0.19448032860333217,-0.017946354633410832,0.11905705928152757,0.49138079854666383
Frontal_Med_Orb_L,-0.08882824269314767,0.017542715680973615,-0.10278666795991016,0.05934389856905421,-0.09942865263790708,-0.029343177722220767,-0.08201102742905747,-0.03722698070978752,-0.13991023631768562,-0.01733141743022115,-0.13986030427520926,-0.02588971084253715,-0.1796059059922774,0.07066510291302178,0.0215754305136434,-0.1972353780873761,-0.028287998264847652,-0.06769998214699682,1.0,0.134525002617353,-0.015945373378897516,-0.04089162650655126,-0.06212449526486056,0.032956402858910425,-0.18670283002783158
Frontal_Med_Orb_R,0.06915530192012925,-0.15265858442735789,-0.24614322099654307,-0.20219001802261793,-0.1545127559577061,-0.29453848982334174,-0.22926764466443394,0.07974291874305124,-0.022764781990411168,-0.07948579419933352,-0.25218704603659253,-0.0987724296916413,-0.13830235494590973,0.35791298996694526,0.12980827138368806,0.345556981923923,-0.2667557201622334,-0.2799730371654553,0.134525002617353,1.0,0.27126881525277774,-0.14212627909328213,0.19828659610090904,0.17872595541598027,-0.16620170230746828
Rectus_L,0.14502830535438377,0.03015916633275509,-0.15111354743032812,0.0038299906635123394,0.0128824617484534,-0.10589208890398485,-0.15734142923618163,0.09260410770901337,-0.009630696194683076,0.035837113570962746,-0.16803193132391006,-0.0036289193561115144,-0.10010253418790675,0.2456690131299707,0.41359020467455404,0.4799180213508613,-0.02882898048592119,-0.05728589408245188,-0.015945373378897516,0.27126881525277774,1.0,0.11465822680086113,0.31676653322762305,0.31001046380062647,-0.06308204657212951
Rectus_R,0.09635533574869462,0.23521987191617227,0.108551371857243,0.15731850910879452,0.13749080636603742,0.2576790196453533,0.2815186194155842,0.17784799783906757,0.24941685651031845,0.21995310851276395,0.14038931348843922,0.1843560691083187,0.23244071447719195,0.09383474288076525,0.12359740234950782,0.11798253903842636,0.176187361438773,0.19448032860333217,-0.04089162650655126,-0.14212627909328213,0.11465822680086113,1.0,0.10179396693413814,-0.06673954810918616,0.23319173336803886
OFCmed_L,0.028870265419260653,0.028670151541744505,-0.059158583241449056,0.03160858367829361,-0.028081378720936752,-0.013416839241101984,-0.18336558523214777,0.011372258258110222,-0.07339884967212314,-0.04189503811504662,-0.09814118250589941,0.12049187100177848,-0.16474964577818818,0.05873092069949334,0.12882625752908675,0.5158381356551813,-0.04275317547175473,-0.017946354633410832,-0.06212449526486056,0.19828659610090904,0.31676653322762305,0.10179396693413814,1.0,0.28949715041435486,-0.10721646214546662
OFCmed_R,0.10388100651517751,0.09272321901601142,-0.07688955489917149,0.1670140282339856,0.043196800806061544,0.14276865091533747,-0.15630400514746431,0.2002558417354886,-0.01783485198295279,0.2224770760301765,0.013255932576780954,0.35322082136418476,-0.2696543585605071,0.2148850877658249,0.1584697305802762,0.4193993300437299,0.08378952943556683,0.11905705928152757,0.032956402858910425,0.17872595541598027,0.31001046380062647,-0.06673954810918616,0.28949715041435486,1.0,-0.0977757579179407
OFCant_L,0.10938549058143215,0.06100952667223565,0.48958517795743495,0.2072834360229345,0.33361941962270564,0.37579432525994216,0.459563867732128,0.23042874635832866,0.37345006852742313,0.38314090101789755,0.6751436995192848,0.43785844908241883,0.5264758035392263,0.15295996390583655,-0.0009079145145377215,-0.012022509228658074,0.516042520080329,0.49138079854666383,-0.18670283002783158,-0.16620170230746828,-0.06308204657212951,0.23319173336803886,-0.10721646214546662,-0.0977757579179407,1.0
