,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
Vermis_8,0.06254874620854091,0.08553347162098834,-0.07096705909723688,0.06091003078758644,0.09648270288531928,-0.14235457413285066,-0.15200134192976414,-0.19378796579797106,-0.1934538441386856,0.10055076708194828,1.0,0.033671087823883346,-0.07300864964366895,-0.02008232985842183,-0.284579413554696,-0.09159263636802384,0.08043695716777237,0.09301733584509288,0.03338667128170132,0.09774523118887625,-0.10868860221814633,0.19579903209433988,-0.06869322400641231,0.09615111448865822,-0.4106052694447287,0.12175372930606539,0.27479946368109764,0.024023923385401217,0.06731569840285478,-0.049715683746690005,-0.10387850156514895,0.17343053834184227,-0.08512820605508296,0.06812658652656588,0.12799457895695676,0.057867508935417554,-0.21606343408323414,0.12230589999993528,-0.20948229862130893,0.1515673756373349
Thal_AV_L,0.37872990710956267,0.6831769215246116,0.4511365459404794,0.4298566934701663,-0.01826924005128106,0.4412138977929954,0.03076410513639185,0.050179968672771504,0.28432461532413955,0.5067248179822883,0.033671087823883346,1.0,0.31031605460523837,0.2675362531326905,-0.043290751028873795,0.3820211857915036,0.3969229683784672,0.4638310931655179,0.4148658477229526,0.21460074016642336,0.07651189131807665,0.38636840542399337,0.3426531820380116,0.1874996882950629,-0.16518695693240376,0.5620878969259379,0.4215564567891912,-0.1496626067944353,0.19971252833893638,0.36638158496804407,-0.01467702934822131,0.24837838141707097,-0.07792316579615645,0.5383276301893637,0.5186068288387312,0.2888928202780731,0.293329912541057,0.17544953481268746,0.16816786390450275,0.5459021477061478
Thal_LGN_R,0.15079832693860656,0.3960308626587006,0.15538373152825355,0.5201878531376881,-0.25618333595124143,0.4095808642553955,0.4310983600814374,0.23964214704010942,0.49264239473272664,0.1536242987104398,-0.07300864964366895,0.31031605460523837,1.0,0.38050797892068194,0.059776280902731585,0.21120178392118036,0.3056202250217142,0.24750789110703997,0.14072244907636833,0.3100726433944258,0.322747572285653,0.21991863794414226,0.433540040690933,0.20041467419342252,-0.13614475733114503,0.5371024196103826,0.2980055886462959,0.03236728854042535,0.4311892504772393,0.4152453580895716,-0.017268448160142405,0.153059321634942,0.3343767633529037,0.48994054397165293,0.3830384472880986,0.4629023111190856,0.4279390596725933,0.36726802457451374,-0.016593647646558896,0.35710910181495903
Paracentral_Lobule_R,-0.14312927839224612,0.3704724111797465,-0.2662651630188176,0.422431995930583,-0.29282506795763535,0.372010800155855,0.5656871715729029,0.1516899363726232,0.2575611906410057,0.01260708250298649,-0.02008232985842183,0.2675362531326905,0.38050797892068194,1.0,-0.05463989739901199,-0.24538255578246151,0.3285409138586873,0.41223315929575743,-0.1190153141404948,0.7757283421529118,0.1755360878102011,-0.10560140129943192,0.3664192054704097,0.6602909899169849,-0.01438227695367216,0.21127056230468283,0.12845241289287773,0.5494164994181491,0.7155423082098361,0.7166817752612653,-0.11155522890896034,0.17430049842372256,0.5764901752326264,0.14242884047786367,0.6483387506386112,0.15446566927388952,0.11408199964301208,0.20674032112584093,-0.3545069928259499,0.3321392213802656
Vermis_9,-0.3059878865608355,0.07156670394004158,-0.11734793107011511,-0.1499573315760374,0.26485723560266444,-0.017295248729674487,0.34758356621095815,0.4013512088553948,0.3036889835174146,-0.22083659284331475,-0.284579413554696,-0.043290751028873795,0.059776280902731585,-0.05463989739901199,1.0,0.19184346679156694,0.20848600328529862,-0.05735879132779558,-0.2247684122670359,-0.30259579796415115,0.5700003019336324,-0.5021965665536505,0.3241591692395105,-0.37533407866187524,0.23358130705281108,-0.22665557002269057,-0.7430144076226611,-0.2899762171002369,-0.2871486299791758,0.17101778474419946,0.8053405259994459,-0.25706983195913563,0.10977569435080495,-0.005882028208529482,0.052516105333398594,-0.04540066402381136,0.5475755113557736,-0.020024533314042088,0.5784268630128963,-0.37106531230813644
Amygdala_R,0.478702877303956,0.3865759364708394,0.8082551883030002,0.30828583559997974,0.049764752614709314,0.43292621353620586,-0.15167558442228168,-0.03093383366723082,0.32963338733130815,0.6003236345191736,-0.09159263636802384,0.3820211857915036,0.21120178392118036,-0.24538255578246151,0.19184346679156694,1.0,0.19767637116581302,0.25295426754053907,0.5618877589191075,-0.32026064235899504,0.054120398756769494,0.3929235964566591,0.41428514174834974,-0.34356190538587655,-0.10520754074286774,0.5757888138962813,0.23642437935243557,-0.42132859363033076,-0.17510605974161525,-0.09574943316657432,0.14635290574027288,0.2512286932947931,-0.3358522802897904,0.652233704458344,0.07395485305578624,0.3781936239349957,0.4665821087903149,0.08959079423304499,0.5691740593223191,0.17010496375587025
Temporal_Sup_L,0.1856848739255092,0.4634202866879629,0.2188656378294037,0.5056544475410174,0.24481009000070497,0.43243685177443425,0.36899800716180037,-0.001056728259230433,0.012810413326491299,0.41700182092999616,0.08043695716777237,0.3969229683784672,0.3056202250217142,0.3285409138586873,0.20848600328529862,0.19767637116581302,1.0,0.6226787974618705,0.20962328111128378,0.12847626542911222,0.2338254150567488,0.23452523532654918,0.7501455848297939,0.14869135740459172,-0.012906361155978466,0.3895883810732594,0.07840583127715711,-0.04881751236522492,0.3023071160826636,0.4075642650535338,0.23387598260296885,0.340900404751854,0.09713831173807239,0.5042938896338535,0.5633823797098605,0.31234922585797303,0.24623683989892484,0.33643936552108433,0.4286087327733537,0.36212756744537494
ACC_sup_L,0.24770126552168767,0.5173159348491082,0.3249477742875321,0.6368070019030392,0.13295815734155486,0.5989645959478243,0.439820004552378,0.031344441728858204,0.17516154537320935,0.515889872745747,0.09301733584509288,0.4638310931655179,0.24750789110703997,0.41223315929575743,-0.05735879132779558,0.25295426754053907,0.6226787974618705,1.0,0.31425316176211565,0.3885626371279272,-0.07022883301915903,0.381665269714389,0.6833491394689426,0.46528328623714515,-0.12926856323228259,0.6274132516682714,0.32690924478208744,0.2855726644092054,0.6068477695293194,0.5245656851258443,0.08434783922933549,0.4851001697737068,0.2735273594910031,0.5238384104639241,0.7575740911462474,0.2640157523855113,0.2904451126254437,0.252820602032123,0.07381550289633436,0.5854071165202595
Thal_Re_L,0.6553159468351669,0.416530922511841,0.6255121329913451,0.18059898291237217,0.12453712859017581,0.30463606434005747,-0.27046059814677964,-0.30519930202481066,-0.032050024455594475,0.6027608373750777,0.03338667128170132,0.4148658477229526,0.14072244907636833,-0.1190153141404948,-0.2247684122670359,0.5618877589191075,0.20962328111128378,0.31425316176211565,1.0,-0.1184557767705748,-0.21143423268528141,0.5396151647535028,0.28598872306482387,-0.1123015269446168,-0.14548038315118225,0.5153848735806957,0.4853169963766784,-0.3409785173439891,-0.033939866520010166,-0.02826070591859744,-0.14487618613897119,0.4473398567912768,-0.3830616686751436,0.5827134859160873,0.21179561944605335,0.4202645187697462,0.13215099648848805,0.23415756644831842,0.29009926939772307,0.30209339808333624
Precentral_L,-0.09379889975581471,0.2545279215076996,-0.24457785039654756,0.4695752266326154,-0.4367331096208227,0.3641521220093616,0.43158051559493615,0.24954922559364984,0.2833595941046261,-0.016977894814342455,0.09774523118887625,0.21460074016642336,0.3100726433944258,0.7757283421529118,-0.30259579796415115,-0.32026064235899504,0.12847626542911222,0.3885626371279272,-0.1184557767705748,1.0,-0.06734898522319922,0.10628359079152898,0.15050297846135535,0.8894212113743352,-0.13883091200873868,0.26920280529037843,0.3166586932465143,0.6433776080882604,0.7528534320656975,0.488495353998025,-0.20850045639609163,0.15004362002960187,0.5145669572647754,0.05459220996436094,0.5935231833643793,0.038481451600387885,0.04457405601107705,0.1335875476110016,-0.6042432498833049,0.44524911739833617
