,Frontal_Mid_2_R,Thal_LGN_L,Thal_PuM_R,Thal_PuI_L,Cerebellum_7b_R,Temporal_Inf_L,Thal_MDm_R,OFClat_R,Temporal_Pole_Mid_R,SN_pr_L,OFCmed_R,Cerebellum_Crus2_R,Caudate_R,Thal_VL_R,Cingulate_Post_R,Fusiform_L,Cerebellum_Crus1_R,Cuneus_R,OFClat_L,Cerebellum_6_R,Cerebellum_Crus2_L,Cingulate_Post_L,Raphe_M,Frontal_Med_Orb_L,Frontal_Mid_2_L
OFCmed_R,-0.03952261484399187,0.09724455564001845,0.1083625806586676,0.04822208972737706,0.2785740723024051,-0.01699088631910933,0.13549547672496098,0.3405962140624112,0.23174029398017224,0.3523441882772151,1.0,0.22203569199401849,0.30701927032949977,-0.0256012663556072,-0.13299927901392145,0.06566938402585375,0.12710836721108446,0.12338464081910396,0.06904731865258308,0.13324861022213919,-0.27229895423792994,-0.030212575870447754,-0.06460351193626541,0.08215798384281806,-0.12836709971091678
Cerebellum_Crus2_R,-0.38227041569582193,0.02237748337596654,-0.21960816840804892,-0.18749667484990143,0.7181634384386141,0.46407239204419964,-0.2435664187716603,0.04596873909203946,-0.014700202876673289,0.32251084474827746,0.22203569199401849,1.0,-0.12165482044317737,-0.008582401853399431,-0.2484482020857591,0.5275245560544646,0.6047946471659456,0.4014866303111305,0.058858506027092784,0.5996503033395008,0.11484700729797576,-0.2665091532625716,-0.05575177675431009,-0.09562482494528116,-0.07336843671403684
Caudate_R,0.6771658425486647,0.3986876531541146,0.4781189086927057,0.7254467207630708,-0.25336930534385194,0.04565456559911751,0.6449008267386027,0.4901834601380263,0.5947139842530242,0.4937581674756675,0.30701927032949977,-0.12165482044317737,1.0,0.5422701469354985,0.33701974385131944,0.21860273493743643,0.3167748533930667,-0.0539189113828298,0.06638656237946816,0.17007163148493343,-0.10630203892047238,0.4629380847136406,0.47404568263622915,0.3496485917334977,0.27557515794808674
Thal_VL_R,0.5635311236349226,0.4059921935295967,0.4988600156636833,0.5669538526093673,-0.04328775197219363,0.2893449492447644,0.6411202423310579,0.059142025495801914,0.3637948978984231,0.15321485293607712,-0.0256012663556072,-0.008582401853399431,0.5422701469354985,1.0,0.4230900903771616,0.48796005906521034,0.4087308609128287,0.13420636473207379,0.03894528176249641,0.3665407752062549,0.3103707955202138,0.6092901197346836,0.40891519751827327,0.3340721224820342,0.4595914206274227
Cingulate_Post_R,0.43437447032153287,0.3425493593802325,0.6300152259887657,0.40043200216789987,-0.29030929730797966,0.01815165309172992,0.3835337958937752,0.3015599592802705,0.3597776368528007,0.12149759654787365,-0.13299927901392145,-0.2484482020857591,0.33701974385131944,0.4230900903771616,1.0,0.07692176855833162,0.021723325262193702,-0.06578506627807286,0.1919540861473465,-0.12040664270244754,0.00552869050051032,0.8376487814405513,0.2782861181376557,0.17444188394744842,0.5300783339773123
Fusiform_L,-0.002871840971492893,0.3220787275664817,0.10946252816197426,0.1993624565536743,0.3469925555994446,0.843546120571404,0.13811494877032898,-0.013442954636531858,0.1482187405060261,0.30346354387227886,0.06566938402585375,0.5275245560544646,0.21860273493743643,0.48796005906521034,0.07692176855833162,1.0,0.6516789050893623,0.11581869301733391,0.3040206254739636,0.658814622754018,0.20239043518191108,0.12703283038857668,0.17378895596335592,0.3102024018369397,0.07659983817136153
Cerebellum_Crus1_R,0.14046264386863969,0.22700766889803997,0.07444752754943583,0.25698197024592084,0.4637951217430124,0.40124572728280467,0.24507453684427577,0.18469755781605737,0.4509948750476947,0.4645313165242851,0.12710836721108446,0.6047946471659456,0.3167748533930667,0.4087308609128287,0.021723325262193702,0.6516789050893623,1.0,0.24555949504566074,-0.013936306749531889,0.8494186763309011,0.1572616051651396,0.07091769083477512,0.20226277516449878,0.1275710896919463,0.2043306183935211
Cuneus_R,0.09707466541734096,0.18995701701065615,0.041373311285181194,-0.08752871316882666,0.41666893146588946,0.024030411703662456,-0.08483828491565819,-0.15038262143569348,0.03525712329725197,-0.18775063569661815,0.12338464081910396,0.4014866303111305,-0.0539189113828298,0.13420636473207379,-0.06578506627807286,0.11581869301733391,0.24555949504566074,1.0,-0.20130239493725616,0.17530231750298322,0.24783849736804367,0.029097668574834642,0.06653938199681794,-0.33084689298260694,0.06831038478124148
OFClat_L,-0.04304716763167022,0.1475832187139696,-0.043041580913634005,0.12202493339383617,-0.2278622431580438,0.36454105785773583,-0.14295708775889637,0.17146075720252543,-0.016174882879605945,0.026235953251855567,0.06904731865258308,0.058858506027092784,0.06638656237946816,0.03894528176249641,0.1919540861473465,0.3040206254739636,-0.013936306749531889,-0.20130239493725616,1.0,-0.0722805906614024,-0.21728717523683708,0.09575099656859128,0.01279704087613594,0.22348698572472936,0.021173907880227456
Cerebellum_6_R,0.04209170173319788,0.23211433658303632,-0.05953061572346877,0.08124750312739908,0.5747581559836152,0.42936624517923927,0.10066260257978772,0.1254638963216656,0.3882172969837404,0.2777095159311478,0.13324861022213919,0.5996503033395008,0.17007163148493343,0.3665407752062549,-0.12040664270244754,0.658814622754018,0.8494186763309011,0.17530231750298322,-0.0722805906614024,1.0,0.20305692820630783,0.0021336707385386984,0.1582674961116641,0.16023098384034334,0.14680864246106015
Cerebellum_Crus2_L,0.11053653874490771,0.018181248138901516,0.00618575061153956,-0.10538592017929564,0.11351250854232513,0.1555556951592207,0.029786088743025723,-0.34537319352513557,-0.09126940991873553,-0.12669799695868283,-0.27229895423792994,0.11484700729797576,-0.10630203892047238,0.3103707955202138,0.00552869050051032,0.20239043518191108,0.1572616051651396,0.24783849736804367,-0.21728717523683708,0.20305692820630783,1.0,0.09817974308076577,0.050964591112514356,0.09080389987910742,0.11636681017921115
Cingulate_Post_L,0.652468480628921,0.4553767814838009,0.7242606889126731,0.4974248543430326,-0.21769892346210454,0.016532331306002235,0.5230434843388727,0.2357362628735383,0.422369918813269,0.1311770733853014,-0.030212575870447754,-0.2665091532625716,0.4629380847136406,0.6092901197346836,0.8376487814405513,0.12703283038857668,0.07091769083477512,0.029097668574834642,0.09575099656859128,0.0021336707385386984,0.09817974308076577,1.0,0.42154900762478964,0.18834814931567267,0.6346758097406938
Raphe_M,0.5461335814808497,0.4481401339679497,0.2985175957714705,0.47814897293159514,-0.16945435209506587,0.04538870470857894,0.29257889601039677,0.13290467960242883,0.36169973121780286,0.2333967374543582,-0.06460351193626541,-0.05575177675431009,0.47404568263622915,0.40891519751827327,0.2782861181376557,0.17378895596335592,0.20226277516449878,0.06653938199681794,0.01279704087613594,0.1582674961116641,0.050964591112514356,0.42154900762478964,1.0,0.13074389623351645,0.4200407305663885
Frontal_Med_Orb_L,0.14387407947922604,0.17711715565325695,0.2876830635474813,0.16291549568567656,-0.07942567576723618,0.24298410749264215,0.23267211307013339,0.2580689702686258,0.18363891043567587,0.2865224445183056,0.08215798384281806,-0.09562482494528116,0.3496485917334977,0.3340721224820342,0.17444188394744842,0.3102024018369397,0.1275710896919463,-0.33084689298260694,0.22348698572472936,0.16023098384034334,0.09080389987910742,0.18834814931567267,0.13074389623351645,1.0,-0.059084485057516074
Frontal_Mid_2_L,0.620169865489073,0.49709319323157003,0.49118920326526083,0.5489815274340105,-0.11051542139395598,-0.05091418928816168,0.42397250266151665,0.1587229126831367,0.3397382238243694,0.07071567712617735,-0.12836709971091678,-0.07336843671403684,0.27557515794808674,0.4595914206274227,0.5300783339773123,0.07659983817136153,0.2043306183935211,0.06831038478124148,0.021173907880227456,0.14680864246106015,0.11636681017921115,0.6346758097406938,0.4200407305663885,-0.059084485057516074,1.0
