,Cerebellum_10_L,Parietal_Inf_R,Frontal_Sup_Medial_L,Supp_Motor_Area_R,ACC_pre_R,Hippocampus_R,Cingulate_Post_R,Paracentral_Lobule_R,Temporal_Pole_Mid_L,Thal_AV_L,Vermis_3,Thal_MDm_L,Cerebellum_8_R,OFClat_L,Parietal_Sup_L,Occipital_Sup_R,Occipital_Inf_L,Thal_PuM_R,Frontal_Inf_Orb_2_L,Temporal_Pole_Sup_R
Vermis_3,0.7142792512681972,0.4206626583441407,0.5087630814301887,0.7280052713508635,0.5766075397034924,0.30095533831002297,0.5666577206112167,0.35304880226218904,0.18180743053280965,0.5960585015020855,1.0,0.693446367229255,0.5402179613047655,0.03567235036475674,0.17102832677962526,0.4538968517450535,0.29657326576933823,0.7732215469221276,0.5161855179623719,0.3947427866971134
Thal_MDm_L,0.5356836096363476,0.4696773470822253,0.5767881019174339,0.6616338823731744,0.5174151913754607,0.33272429744238113,0.5091523209496407,0.449893492230186,0.10481998914671457,0.4989985472410892,0.693446367229255,1.0,0.4926718952378133,0.053789976412841445,0.3916313163576531,0.5173769182157678,0.13512741543424128,0.6779797682558002,0.5089962876889262,0.4289325604876276
Cerebellum_8_R,0.673332533636627,0.16810584329207834,0.22227004905739503,0.67463782755931,0.22096836331167335,-0.22464479729198875,0.4033812568782299,-0.042131973083511666,-0.18639161173722357,0.005004434800306181,0.5402179613047655,0.4926718952378133,1.0,-0.4715555158333186,-0.006151544397181091,0.6325376725066008,0.5471414955145416,0.7713931528065636,0.08116127758019528,0.7589726588446066
OFClat_L,-0.12940762827052382,0.23699287270591418,0.252698379789075,0.043927316327592794,0.41864702026667033,0.6503887836334653,0.09744239688580228,0.3555696902049739,0.4316345084382912,0.4447754803130054,0.03567235036475674,0.053789976412841445,-0.4715555158333186,1.0,0.06476810729748582,-0.4756502107765064,-0.3611492218327092,-0.30473154383376405,0.5376218928495033,-0.48801857616422634
Parietal_Sup_L,-0.00017829740951686002,0.5894840812909011,0.7082607855220426,0.30644193342214127,0.4896656093116502,0.4596251888474843,0.28850984579698896,0.7839509136559782,-0.14224673480357852,0.2026629709824243,0.17102832677962526,0.3916313163576531,-0.006151544397181091,0.06476810729748582,1.0,0.4309443517670646,-0.40550143706557834,0.21422157046944248,0.31211326559541763,0.28523259682266205
Occipital_Sup_R,0.5544818456476329,0.5362742292643179,0.5145827035475056,0.6321843429889612,0.14255345935388683,-0.2179237350902269,0.36673670101238215,0.3861515455824081,0.012886613597627711,0.0646010662942145,0.4538968517450535,0.5173769182157678,0.6325376725066008,-0.4756502107765064,0.4309443517670646,1.0,0.551162011885274,0.7680163545164419,0.09296200895656168,0.4739995231478336
Occipital_Inf_L,0.5131252705748612,0.12719649047652914,-0.01997867998737729,0.3802405950657013,-0.253382669105305,-0.6506255256970243,0.05904362860222529,-0.18046381036244127,0.3207725993203577,-0.13678684228141472,0.29657326576933823,0.13512741543424128,0.5471414955145416,-0.3611492218327092,-0.40550143706557834,0.551162011885274,1.0,0.5671092158719091,-0.0572923307075543,0.0784984761261758
Thal_PuM_R,0.7331021071346566,0.45801059517560583,0.5341414248805453,0.7758668875354067,0.3736839348865608,-0.05558660287842401,0.5528887545348988,0.2918042428510403,0.09119308579768354,0.28467088158659803,0.7732215469221276,0.6779797682558002,0.7713931528065636,-0.30473154383376405,0.21422157046944248,0.7680163545164419,0.5671092158719091,1.0,0.32532928969914515,0.5371115216668046
Frontal_Inf_Orb_2_L,0.32968267478899127,0.5067674532093317,0.6339055932155649,0.4954179431889382,0.6508700532918916,0.51446152705549,0.4927023100538834,0.6255024302974199,0.32487706882790907,0.46431730163261326,0.5161855179623719,0.5089962876889262,0.08116127758019528,0.5376218928495033,0.31211326559541763,0.09296200895656168,-0.0572923307075543,0.32532928969914515,1.0,0.02904096166201703
Temporal_Pole_Sup_R,0.33774382767513716,-0.007366295800290481,0.2781411349323022,0.4553400563350822,0.31212687390131605,-0.06693120753047233,0.4063450867133448,-0.036348087100867045,-0.3285110800834058,0.003594887087957208,0.3947427866971134,0.4289325604876276,0.7589726588446066,-0.48801857616422634,0.28523259682266205,0.4739995231478336,0.0784984761261758,0.5371115216668046,0.02904096166201703,1.0
