,Pallidum_R,Vermis_4_5,Supp_Motor_Area_R,Olfactory_R,Temporal_Sup_R,Insula_L,Cerebellum_6_R,Frontal_Mid_2_R,OFCmed_R,Temporal_Pole_Mid_L,Hippocampus_L,Cerebellum_3_L,Thal_PuM_L,Paracentral_Lobule_R,ParaHippocampal_R,Vermis_9,Occipital_Inf_L,Thal_VA_L,N_Acc_R,SupraMarginal_L,Cerebellum_4_5_R,Calcarine_L,Temporal_Pole_Sup_R,OFCpost_R,Occipital_Sup_L,Red_N_R,Temporal_Sup_L,Cingulate_Post_L,Rectus_L,Precentral_R,Heschl_R,ACC_sup_L,Thal_LGN_L,Temporal_Inf_R,Thal_VL_L,OFClat_R,ACC_sub_R,SN_pc_R,Red_N_L,ACC_pre_L
Cerebellum_3_L,0.45677019423522724,0.5137370225244314,0.15444619898487075,0.4981373456365017,0.0877263414318622,0.47871397841569396,-0.05760517052948081,0.5409664120253679,0.5824211535360502,-0.038375334180667735,0.7300355671250762,1.0,-0.41591241112532096,0.5285652760317164,0.6011051487752801,-0.13251314118499563,-0.07382068869453542,0.3624816341542663,-0.3016392653358771,0.09607688699321584,0.5287793800627649,-0.2598973902560473,0.11506391872425795,0.23524597947413384,-0.311297353279941,-0.11047236902196447,0.4322416996385113,0.16436146564258827,0.5657209439805778,-0.027418853622341838,0.37020515504633134,0.23547621161978144,-0.06538398907741272,-0.16950155111069587,0.5382252531309646,0.34075208946939367,0.3212968898840752,0.3744298041237559,-0.05326717245611038,0.48828931726318875
Thal_PuM_L,-0.1599274290181998,-0.04753924077014861,0.2772600632519871,-0.2488923774648124,0.5332499703162116,-0.11410529955163187,0.43948486125435915,-0.17644629003768678,-0.43474384954502493,-0.12761560946881542,-0.235382442821934,-0.41591241112532096,1.0,-0.04468520155076331,-0.07876423951154107,0.15784800812231406,0.09112887491248094,-0.15162752430406842,0.17927513023473968,-0.29765739017665394,-0.08839739469542565,0.46746978498074593,0.3557611457805317,-0.3465612192475516,0.41009158056993894,-0.048094164979942455,-0.28434478349453257,0.134227205290977,-0.13360225998729794,0.4298474570926393,-0.12058867184457218,-0.28323587118969207,0.16780030777809524,0.372723230387256,-0.2805573648208795,-0.14045363031865568,-0.20493007432592306,0.014106064842033953,-0.2795259375663765,-0.23460589513730112
Paracentral_Lobule_R,0.2825507861314765,0.4384899173447091,0.43022148145696054,0.3752843708189727,0.31848328075441684,0.49513459029138157,0.3984504771234736,0.5063516970378364,0.4258091722541348,0.03778722683434811,0.5146649890462415,0.5285652760317164,-0.04468520155076331,1.0,0.4515855757078956,0.19963053657680013,0.11122659932838386,0.3252117525506979,-0.3282755294196962,-0.06631829306262613,0.4268751219550697,0.0467582606859507,0.3772162664291555,0.26610137663387023,-0.18713629237638726,-0.16433810203300042,0.3169332756915625,0.2740632866321774,0.5164714484339227,0.2028211781392712,0.3992040849108462,-0.07878880865808346,0.0827451730968858,0.024144839833389522,0.4699581991668191,0.24990105012142177,0.2510724210780752,0.252032776696822,-0.26053009566165886,0.4095675654337189
ParaHippocampal_R,0.6595153380484039,0.235177149359701,0.36863010163198606,0.6026134408241488,0.5462673946132377,0.3517467691273496,-0.12320943098651545,0.31654758376703424,0.733726226191243,-0.34650158645695484,0.6903445550529282,0.6011051487752801,-0.07876423951154107,0.4515855757078956,1.0,-0.43916181860357906,-0.5530688011608629,0.12454657454171443,-0.35709269036915586,-0.468382752187051,0.42216662460645665,-0.4542613816221115,0.21006266593925002,-0.06926116351552236,-0.5708237936930944,-0.13934770787354425,0.04705203494487743,0.2718303645631877,0.8559424218115226,0.5198601143703977,0.21512463512777932,0.11325127271057117,-0.1095342753628486,-0.14820741992928982,0.6143399345324048,0.7690909860647972,0.5728388928265269,0.37579104132183205,-0.49216919866733805,0.7890166989546418
Vermis_9,-0.49788777729584766,0.2117417078134113,0.06453250248951391,-0.007573221668128822,-0.06396175118856572,0.35121727311062817,0.7093584607450211,0.08016582846988472,-0.33430695398991467,0.47981923067973203,-0.260791641059658,-0.13251314118499563,0.15784800812231406,0.19963053657680013,-0.43916181860357906,1.0,0.7019405447039043,0.17067984166423023,0.07044878233063763,0.2923222707767654,0.048850425093196155,0.46067633875266845,0.47685331008309634,0.3845283199323709,0.439941266697685,0.11936855302042985,0.20873004422576028,-0.18905320884622703,-0.3407978708157899,-0.40952294933295,0.024442181767786984,-0.5322175266595529,0.13979134996737183,0.5866116675534169,-0.10170676829607513,-0.5455024356005048,-0.24702931472954356,-0.02995205348951175,0.3256243042984903,-0.4534407820147428
Occipital_Inf_L,-0.4763251552405141,0.16015203393316227,-0.06721074542340714,-0.21078485088809631,-0.2369270507915888,0.22314341156432943,0.4885885985584162,0.30400071280638596,-0.31854964080944786,0.4454718147141434,-0.25412260294837924,-0.07382068869453542,0.09112887491248094,0.11122659932838386,-0.5530688011608629,0.7019405447039043,1.0,0.340746551651052,0.037588370357205345,0.5160323241412642,0.06874422546922883,0.7063871776894272,0.24832995117529633,0.44530959482344024,0.6739607103198874,-0.00460236827902602,0.25861393445272424,-0.28996177890306624,-0.4434938135453382,-0.48176567538617304,0.19473610494023286,-0.3277443878707125,0.1369822892353686,0.2827096329197907,-0.2323952060302391,-0.7037231853298958,-0.4507113333368986,-0.08348944738324338,0.3291297742004906,-0.5858633228889846
Thal_VA_L,0.19259577659842814,0.43807450728790837,-0.07785667793887545,0.06561039614613469,-0.08510992739537444,0.2800422330194024,0.07910477474786122,0.5405339789813038,0.27270923889720367,0.12036995552272331,0.34393185640416435,0.3624816341542663,-0.15162752430406842,0.3252117525506979,0.12454657454171443,0.17067984166423023,0.340746551651052,1.0,-0.16677218887991643,0.2292609039434407,0.16883625536663882,0.08432921836849859,0.18628345467070873,0.42471093511476504,0.07508594373095756,0.3162045744808143,0.4042747158962436,0.001984204443461487,0.18851755579136023,-0.31113345207578935,0.36982382538304326,-0.18678928646865378,0.32665362272413384,-0.23493695182073085,0.48622709526526375,0.0668360010460794,0.4502141557214783,0.039461024607855444,0.15468391273821763,0.08315390238202647
N_Acc_R,0.028752729429114623,0.023999817852845648,0.10429041362189143,-0.11753708580637437,-0.03686024894814532,-0.16362987587182987,-0.10475184113499789,-0.382834598465241,-0.4202837056782939,-0.09987720886573732,-0.3438702256149743,-0.3016392653358771,0.17927513023473968,-0.3282755294196962,-0.35709269036915586,0.07044878233063763,0.037588370357205345,-0.16677218887991643,1.0,-0.013845754656577901,-0.0848410383135249,-0.09923036228731524,-0.0401929931908262,-0.026536149872158413,0.22735749502343622,0.5887691764246296,-0.34691783904588563,0.04878117124943063,-0.5312091806342385,0.04247588253548207,-0.14102492343841433,-0.056825377236572876,0.2644468428955677,0.2596770359390421,-0.23229722678726888,-0.12912575260684472,-0.22196010036215638,-0.10950446463432313,0.6423672362383153,-0.367339170009177
SupraMarginal_L,-0.4676292137433945,0.23414272139150938,-0.3991459432433568,-0.2329348852810266,-0.7669925689688596,-0.03430016076023348,0.014020036263802028,0.11466316319034285,-0.3127143222981601,0.5321842259669185,0.07687860997630168,0.09607688699321584,-0.29765739017665394,-0.06631829306262613,-0.468382752187051,0.2923222707767654,0.5160323241412642,0.2292609039434407,-0.013845754656577901,1.0,0.04835547217811958,0.3559821984669693,-0.26709902626204013,0.3698216136791868,0.5327032565759243,-0.04874089094675525,0.6711757358602043,-0.003403357754918797,-0.4415953989006607,-0.7461255363813417,0.014246934125276105,0.24929077471053637,-0.04603092948745105,0.014665071060585467,-0.3718962088273638,-0.6439553796044042,-0.364187533697869,-0.1784249029267032,0.4570531857116862,-0.5713214952006307
Cerebellum_4_5_R,0.29000442905588836,0.599791027809219,0.2574403814908778,0.36222157517250614,0.18964187195867188,0.47605504932286025,0.2927365552332368,0.3874068574524179,0.27068243486569776,0.1599677999474443,0.4078427366334152,0.5287793800627649,-0.08839739469542565,0.4268751219550697,0.42216662460645665,0.048850425093196155,0.06874422546922883,0.16883625536663882,-0.0848410383135249,0.04835547217811958,1.0,0.05810036179102515,0.23647148911002616,0.21499561565725053,0.002297371924048956,-0.05749194622229224,0.13390939736919744,0.1697769936950578,0.31652238754963796,0.17230314453019402,0.1813706203937232,0.06828156913085702,0.07367026566613921,0.2737628887888987,0.18916290490645357,0.0627442743189729,-0.05656722830224643,0.269945690834974,-0.05593859796951369,0.20521479081787583
