,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
Vermis_8,-0.1727917987076109,0.42051824116726105,-0.057454106865142074,0.00758611943498922,-0.009080394951552665,0.07361326101357449,-0.20094009342529565,0.5359778842198517,0.717200952027693,-0.22909016683118877,1.0,0.5128378038708415,0.26122748037390964,-0.3612671423082492,0.6844465738232537,0.13638927709148024,0.2994254999151305,0.09413660352051954,-0.05314010957776593,-0.14313603550018178,0.14711439129041834,0.0068211101337081175,0.2821979897533322,-0.2650520393491008,0.7594819934270401
Thal_AV_L,-0.18021501111779237,0.2044065650524658,0.36743126614234195,-0.10641492832706616,0.2502885264012571,0.09125202027917007,-0.30651476729971644,0.06577552355139316,0.3076768513538633,0.08005166877056938,0.5128378038708415,1.0,0.5728111821422738,-0.27213871986589633,0.2911442826906054,0.2995017889443014,0.3846326171746836,0.25040837878277217,0.08361295006141896,0.11063348817040268,0.18229952235426095,0.058625747164577975,0.20244650112755871,-0.027354415449473868,0.21495139060608082
Thal_LGN_R,-0.16524996688498408,0.08914199414153787,0.4349711683267272,0.13792703025952366,0.5122607201922615,0.3781165091221612,0.08146587996460138,-0.20828042489958223,0.3124388909986293,0.2866170005024634,0.26122748037390964,0.5728111821422738,1.0,-0.033171119466442814,0.28214723385332446,0.25090918017988334,0.5328043587092645,0.26290639230733875,0.07415609057795822,0.16934391867682472,0.3239863540935591,0.3395928936599549,0.23291772612854342,0.18346518687043703,-0.012998338323481597
Paracentral_Lobule_R,0.3337752739334733,-0.12054568825852713,0.22253403573240388,0.5203211063416044,0.40408814884485794,0.24023383086461209,0.692813483298252,-0.45987483824970427,-0.2924625709924559,0.46659723480943205,-0.3612671423082492,-0.27213871986589633,-0.033171119466442814,1.0,0.09360498725030471,0.12104431720360996,0.4869010476822149,0.33623915707672286,0.20121949625377897,0.6141293297076134,0.0791344065167769,0.2264129261447528,0.30395548977774406,0.7865676897815393,-0.2732980970320613
Vermis_9,-0.14126232113903645,0.16026989410564876,0.06554673429503152,0.18373974965021114,0.332350355703243,0.0023990861556918374,0.09313378723399554,0.06435999035904895,0.5983690315580604,0.011802229595756783,0.6844465738232537,0.2911442826906054,0.28214723385332446,0.09360498725030471,1.0,0.15261078201193296,0.367461343116017,0.12543861461957467,0.055465475760013684,0.04487231646434195,0.06606740469421656,0.22270691715207047,0.2394270570568764,-0.05506654531515679,0.43663633543549113
Amygdala_R,-0.00831916276650514,0.07165856555942124,0.5277383413668676,0.26322391245798044,0.26050356329537133,0.27656898524104634,0.17675406658340104,-0.17080473119042666,0.014807862959001893,0.5689856459123327,0.13638927709148024,0.2995017889443014,0.25090918017988334,0.12104431720360996,0.15261078201193296,1.0,0.21729085872970388,0.0942680462475251,-0.08385898056775644,0.14664062600616976,0.44218233450659805,0.4707009846332419,0.3294248048285868,0.08323054683012178,-0.06992206770926433
Temporal_Sup_L,-0.019334291361038102,0.09864304571826434,0.26117529105092957,0.38550336499484156,0.5861509341757449,0.3980793807059975,0.36736771926505657,-0.18022174824787762,0.10827091286172343,0.38415595027087923,0.2994254999151305,0.3846326171746836,0.5328043587092645,0.4869010476822149,0.367461343116017,0.21729085872970388,1.0,0.4221248440624841,0.024973497972131765,0.5578883083744215,0.22816106083873128,0.3629143335693256,0.5798809839815978,0.626931626447087,0.12564925098478863
ACC_sup_L,0.33105443678270613,-0.0741775843440408,0.1814667019583129,0.4382757647333915,0.3760242433813484,0.24780554157114096,0.18146337691397427,-0.25924423212179015,-0.0517210206817592,0.24603530076820132,0.09413660352051954,0.25040837878277217,0.26290639230733875,0.33623915707672286,0.12543861461957467,0.0942680462475251,0.4221248440624841,1.0,0.21099631800386018,0.6773991856540826,-0.0632985113022344,0.15831946298173843,0.4707406921806173,0.5445108521222639,-0.07293256076251539
Thal_Re_L,0.3331727093819914,0.31278634870430166,0.23283932733698326,0.2796921127305684,-0.05694382129183059,0.20185287685782424,0.3171089488389726,-0.02440743998875524,0.1225327569160572,-0.035383984100356265,-0.05314010957776593,0.08361295006141896,0.07415609057795822,0.20121949625377897,0.055465475760013684,-0.08385898056775644,0.024973497972131765,0.21099631800386018,1.0,-0.06578050197860781,-0.18555541568698306,-0.3259554307190164,-0.08238850538802159,0.1473961005178936,0.017124407065375147
Precentral_L,0.17877643077034602,-0.38183288398841336,0.10661645170310745,0.2713987792525372,0.45212129545362395,0.11766559396573825,0.17297430005427322,-0.3998376918001356,-0.26111001824919433,0.4238744272163,-0.14313603550018178,0.11063348817040268,0.16934391867682472,0.6141293297076134,0.04487231646434195,0.14664062600616976,0.5578883083744215,0.6773991856540826,-0.06578050197860781,1.0,0.06152574819375363,0.2553866922312537,0.3703305056497118,0.7552828229210549,-0.22103278962210696
Raphe_D,0.09389948874615678,0.22483545162489066,0.13467007229658262,0.11829256435636466,-0.02116785237209944,0.2912351458560058,0.17215795380347593,-0.04801241420980342,0.11233145589511048,0.5799056129105864,0.14711439129041834,0.18229952235426095,0.3239863540935591,0.0791344065167769,0.06606740469421656,0.44218233450659805,0.22816106083873128,-0.0632985113022344,-0.18555541568698306,0.06152574819375363,1.0,0.09483786618177484,0.13139014937893514,0.09569495829644477,0.03764075875444615
Frontal_Inf_Orb_2_R,0.015500960799519646,-0.17345879524816674,0.43548456687029735,0.39034098225783365,0.7451128782293708,0.3101196242141029,0.15748646120675244,-0.3761294653401996,0.02889862137426322,0.42383932279553044,0.0068211101337081175,0.058625747164577975,0.3395928936599549,0.2264129261447528,0.22270691715207047,0.4707009846332419,0.3629143335693256,0.15831946298173843,-0.3259554307190164,0.2553866922312537,0.09483786618177484,1.0,0.6170936095378344,0.12648486805575057,-0.23011470031790793
Insula_L,0.31956400236409804,0.3034480116073998,0.34219150316409097,0.6500953620961591,0.4902352868291005,0.5170378005953106,0.3258476063005935,0.017354758474472785,0.20375210558893805,0.23210211148620932,0.2821979897533322,0.20244650112755871,0.23291772612854342,0.30395548977774406,0.2394270570568764,0.3294248048285868,0.5798809839815978,0.4707406921806173,-0.08238850538802159,0.3703305056497118,0.13139014937893514,0.6170936095378344,1.0,0.3653615580034316,0.16233164776663397
Postcentral_L,0.2614369925916801,-0.05581043862032117,0.2899368616180336,0.47176300145523686,0.4207532471304654,0.36625345161716805,0.6357886722228656,-0.3820301061816208,-0.2735315268479979,0.4026359907194387,-0.2650520393491008,-0.027354415449473868,0.18346518687043703,0.7865676897815393,-0.05506654531515679,0.08323054683012178,0.626931626447087,0.5445108521222639,0.1473961005178936,0.7552828229210549,0.09569495829644477,0.12648486805575057,0.3653615580034316,1.0,-0.240812156357459
Vermis_7,-0.08577178387125425,0.53377677053424,-0.23202589278023222,0.04128892431215035,-0.2819527592078138,0.09980898694740303,-0.06405967610226435,0.8367969293836929,0.6556365938329949,-0.4419423665278521,0.7594819934270401,0.21495139060608082,-0.012998338323481597,-0.2732980970320613,0.43663633543549113,-0.06992206770926433,0.12564925098478863,-0.07293256076251539,0.017124407065375147,-0.22103278962210696,0.03764075875444615,-0.23011470031790793,0.16233164776663397,-0.240812156357459,1.0
