,Temporal_Sup_L,Thal_MDl_L,Occipital_Inf_L,Thal_VPL_L,Cerebellum_7b_L,Vermis_7,Olfactory_L,Thal_VPL_R,Thal_PuA_L,Cerebellum_9_R,Thal_Re_L,Putamen_L,Caudate_L,Parietal_Sup_L,OFCmed_L,SupraMarginal_R,Frontal_Sup_2_R,Parietal_Inf_R,Thal_VA_R,Cerebellum_3_R
Thal_Re_L,0.024973497972131765,0.31278634870430166,-0.03946399623143275,0.14046067927501188,-0.12771295190879306,0.017124407065375147,-0.12427211991570533,0.11157983973250023,0.17613816909364946,0.08157827255371707,1.0,0.09347638180210116,0.14789660818463432,0.20971514471726826,-0.11258020338449815,0.31081150314439143,0.146692716680508,0.2789209270942605,0.5042250929438641,-0.18878586604667727
Putamen_L,0.6458330357615085,0.052571352485097075,-0.4309734124870684,0.37287289708473076,-0.16561539283974813,-0.18155628953498032,0.29279794892775896,-0.20627636593774504,0.15994123438506702,-0.1707128061443986,0.09347638180210116,1.0,0.5448855040154831,0.3094599296164908,0.4556727766152125,0.4889674304032391,0.6571057724570585,0.30418193989362596,0.5873573308759311,0.4297530573624958
Caudate_L,0.5668442018776143,0.41507093580030097,0.06214667441392221,0.6547031384113742,0.30389737604596784,0.2343511918146336,0.414781494965474,0.34228044717361394,0.4059785652183844,0.3190991835856993,0.14789660818463432,0.5448855040154831,1.0,0.049777084333000814,0.36718572911143077,0.10630967299346376,0.30072563632751825,-0.03088807865757056,0.4275032424878355,0.3576146459389584
Parietal_Sup_L,0.2818713034546148,-0.09512121769260566,-0.304376652101417,0.20153259589976733,-0.7154730506715266,-0.538140328384167,0.479115474832192,0.023062535522540308,0.052082325266391685,-0.4158280786072362,0.20971514471726826,0.3094599296164908,0.049777084333000814,1.0,-0.02414347480694312,0.7635186440491909,0.8322444892887169,0.8908564744852654,0.1899586671136906,0.2530074202079217
OFCmed_L,0.032127822150829176,-0.13091740732987894,-0.45023136995951635,-0.04213262412370979,-0.14217792844056293,-0.34977289219674595,-0.1467729372555076,-0.4494657036312076,-0.0392090723295023,-0.30754573782049055,-0.11258020338449815,0.4556727766152125,0.36718572911143077,-0.02414347480694312,1.0,0.06887740539712774,0.15760440111893573,-0.016028748138745726,0.46292320789075975,-0.07522268043314022
SupraMarginal_R,0.37639984791642145,0.16820605391859594,-0.40348469278131116,0.04230589421215834,-0.5338397696607973,-0.27901218485778845,0.2926025565644387,-0.09644181294508672,0.19147373113207264,-0.27449533657827435,0.31081150314439143,0.4889674304032391,0.10630967299346376,0.7635186440491909,0.06887740539712774,1.0,0.7811928999277772,0.9066756227752779,0.36654014767113213,0.23895921857101915
Frontal_Sup_2_R,0.5663103860465969,-0.10078009462509524,-0.4332303245356493,0.38711790480798447,-0.5773552799759322,-0.4216732653805399,0.5297206615324613,-0.078474392923968,0.12043486516400512,-0.3948770555707197,0.146692716680508,0.6571057724570585,0.30072563632751825,0.8322444892887169,0.15760440111893573,0.7811928999277772,1.0,0.7873651259431073,0.3849702707178544,0.4373360766159441
Parietal_Inf_R,0.23511087045576862,0.0561846864136951,-0.4080787656388428,0.042614976914351774,-0.696266573206738,-0.43185188001169283,0.34983376728942805,-0.07194760389903992,0.14740864420330757,-0.3994259010874737,0.2789209270942605,0.30418193989362596,-0.03088807865757056,0.8908564744852654,-0.016028748138745726,0.9066756227752779,0.7873651259431073,1.0,0.26420904583408966,0.15233936273019683
Thal_VA_R,0.23265555591005468,0.2653157233430071,-0.3885186521423582,0.22869549591685281,-0.2484667076936645,-0.17179421642000617,-0.0013263269630291688,-0.2872809381782902,0.22804614732614958,-0.14993735704549438,0.5042250929438641,0.5873573308759311,0.4275032424878355,0.1899586671136906,0.46292320789075975,0.36654014767113213,0.3849702707178544,0.26420904583408966,1.0,-0.017097508670761312
Cerebellum_3_R,0.5638110790643807,0.0653265524322791,0.15231833920501775,0.4995951255511919,0.13617316188751225,0.2583883558244926,0.5644786688082762,0.2868591028164575,0.2329103690080437,0.3100557115357138,-0.18878586604667727,0.4297530573624958,0.3576146459389584,0.2530074202079217,-0.07522268043314022,0.23895921857101915,0.4373360766159441,0.15233936273019683,-0.017097508670761312,1.0
