,Occipital_Sup_R,Precuneus_L,Frontal_Sup_Medial_L,Thal_IL_R,Cerebellum_Crus1_R,Supp_Motor_Area_L,Caudate_L,VTA_L,Cerebellum_9_R,Thal_MGN_R,Raphe_M,Vermis_8,LC_L,Vermis_9,Rectus_R,Calcarine_L,Fusiform_L,Frontal_Sup_2_L,Pallidum_L,Thal_MDm_R,Precentral_R,Frontal_Inf_Tri_L,Temporal_Pole_Sup_R,Caudate_R,Cingulate_Mid_R
Vermis_8,0.20689653138174127,0.15566129119063907,0.1710304955599297,-0.05992427934184654,0.502748068550766,-0.03498512427908423,-0.008228832363807552,0.31333742990190105,0.6260405578691703,-0.022467000596942423,0.499339308197693,1.0,-0.6707175561331831,0.45139395955911205,0.3152438674866386,0.4515023218196996,0.14069859383273814,0.14029469082102244,0.058208501929355005,0.23800303276448526,0.27824689630053806,0.0899491297375834,0.5383350544439123,0.34839530777199557,0.19826217821221265
LC_L,-0.01088600991877549,0.07950173687405192,-0.021814978669959767,0.1346654362115268,-0.40944477621815495,0.17408424842095593,0.15637325759606974,-0.2899681409025117,-0.4335994796322593,0.021843529770979014,-0.43851214756099177,-0.6707175561331831,1.0,-0.3815539727503602,0.02621615242689582,-0.24437651114057202,0.019554727075694143,0.10137171817974178,0.25788413157289286,0.07299836689010226,-0.017100394148163146,0.15991689030222198,-0.4233628918483937,-0.023447963961792776,0.13009639167731826
Vermis_9,0.34191420696869884,0.009506231725722241,0.19960845201932828,0.12555258445365075,0.8299520793962252,0.19398263789046183,0.17089150621435828,0.4827560433350793,0.7787019368207122,0.300406586332428,0.6594055039066536,0.45139395955911205,-0.3815539727503602,1.0,-0.19848248814970781,0.5677910561466831,0.37617233216126394,0.21527805237288086,-0.06953220150774764,-0.06305608122954844,0.41730816225129086,0.197374011818699,0.7251727968678033,0.26052750103470884,0.10062468121711987
Rectus_R,-0.22044410548794985,0.052129867733898286,0.3021190705398174,-0.1685284567332659,-0.17713065950487192,0.2106325594614353,0.2726604885746941,-0.25817659517301045,0.07985824629978026,-0.14611895579832798,-0.058732819526457786,0.3152438674866386,0.02621615242689582,-0.19848248814970781,1.0,-0.09783716848770753,0.2278978894104538,0.39909468503217854,0.42093840626042317,0.3695177429663112,0.2886930041221937,0.38099472619338964,-0.12723171018884857,0.5193743622424549,0.22324486751551892
Calcarine_L,0.8190064308564505,0.6820905165381324,0.31874446853448196,0.5087158929478531,0.6398665934098888,0.469090817003728,0.2626403934865397,0.5033485932681767,0.6989576576374307,0.4317677548379478,0.5761842260888019,0.4515023218196996,-0.24437651114057202,0.5677910561466831,-0.09783716848770753,1.0,0.5835570142311849,0.402454195916229,0.19430404605621254,0.41998924624908274,0.5394684224893489,0.2636252063742221,0.5642825582118408,0.27768348453273045,0.542180896125193
Fusiform_L,0.3668655163475883,0.3136983619200175,0.6698270091526033,0.4441096037053817,0.30148736586659497,0.7186869307530023,0.6943166339565177,0.33741807756408343,0.4869427093667833,0.2684272599780181,0.43175866510447614,0.14069859383273814,0.019554727075694143,0.37617233216126394,0.2278978894104538,0.5835570142311849,1.0,0.7039790415224131,0.4623322440975202,0.3470043403379393,0.6672674372889937,0.5272500495565459,0.2775283104797177,0.5761504678286498,0.5671082339015598
Frontal_Sup_2_L,0.3001544917997077,0.3569328361702377,0.8835564387976769,0.5492191055230073,0.3245761451579638,0.8659740640836497,0.7746392669394185,0.3824744208719227,0.4165711758733243,0.36091015524505493,0.371493850255128,0.14029469082102244,0.10137171817974178,0.21527805237288086,0.39909468503217854,0.402454195916229,0.7039790415224131,1.0,0.5435765113218597,0.5262674054424888,0.9004475567347835,0.7103734133738906,0.36113527520098776,0.8654130383590352,0.7364440008409674
Pallidum_L,0.12279265726312776,0.28473305013526995,0.38011297735691046,0.45566424255766025,0.09490358209509216,0.4276632466717661,0.5963301753269913,-0.10441460607604786,0.24320494620427457,0.3553950991408795,0.14559737330126066,0.058208501929355005,0.25788413157289286,-0.06953220150774764,0.42093840626042317,0.19430404605621254,0.4623322440975202,0.5435765113218597,1.0,0.6798647253912679,0.4400307430924836,0.5805003523422849,-0.005679360679801877,0.4081612984292809,0.45601565305570535
Thal_MDm_R,0.4268080411516474,0.5617763448377276,0.3025616535544894,0.6760180624119067,0.15341041168647684,0.40020996692545396,0.35942427789940407,0.09645426907085514,0.2161134980604398,0.4860807668426761,0.18914764755751248,0.23800303276448526,0.07299836689010226,-0.06305608122954844,0.3695177429663112,0.41998924624908274,0.3470043403379393,0.5262674054424888,0.6798647253912679,1.0,0.4092247919342548,0.6319509581737166,0.07698036262782243,0.3761015318272392,0.45891371519222124
Precentral_R,0.36415694440924024,0.3352360998836748,0.8339812855003551,0.5094187573941288,0.5393325633568071,0.841473732257937,0.7052171260303213,0.45855037460368087,0.5937280851096403,0.3690208336032138,0.500941234902594,0.27824689630053806,-0.017100394148163146,0.41730816225129086,0.2886930041221937,0.5394684224893489,0.6672674372889937,0.9004475567347835,0.4400307430924836,0.4092247919342548,1.0,0.6302538524344673,0.545002487505953,0.8645416437118948,0.7513575192598891
Frontal_Inf_Tri_L,0.11310076773677405,0.11798165896070567,0.508403227318454,0.5513228595650436,0.22141095363047777,0.5593008084454517,0.5100081442760824,0.1754686346498457,0.28234081985330084,0.41601936061460415,0.24679494220020942,0.0899491297375834,0.15991689030222198,0.197374011818699,0.38099472619338964,0.2636252063742221,0.5272500495565459,0.7103734133738906,0.5805003523422849,0.6319509581737166,0.6302538524344673,1.0,0.2528671167742886,0.6124006392452754,0.38013197374294816
Temporal_Pole_Sup_R,0.38682610855105865,0.10053789263036592,0.3168216877676253,0.25859297756805305,0.7742407650396196,0.25719747927038317,0.19345759624714903,0.6110102578387497,0.7125539953361102,0.3683495789268174,0.6053610525524035,0.5383350544439123,-0.4233628918483937,0.7251727968678033,-0.12723171018884857,0.5642825582118408,0.2775283104797177,0.36113527520098776,-0.005679360679801877,0.07698036262782243,0.545002487505953,0.2528671167742886,1.0,0.40255223532837353,0.23918140579322764
Caudate_R,0.1040461045587179,0.12418310890317952,0.855212715175417,0.34521600178841877,0.3587493593048646,0.695775402101808,0.6721915411751104,0.3656891320596915,0.42662531555149846,0.17211734380872037,0.4087383521111045,0.34839530777199557,-0.023447963961792776,0.26052750103470884,0.5193743622424549,0.27768348453273045,0.5761504678286498,0.8654130383590352,0.4081612984292809,0.3761015318272392,0.8645416437118948,0.6124006392452754,0.40255223532837353,1.0,0.658354463626788
Cingulate_Mid_R,0.45352942086389547,0.5671937094668557,0.7418493736746608,0.46994959122166385,0.2797524339046784,0.6587053661503531,0.5663766795858972,0.35308264512882176,0.41965863612388016,0.18593514375451925,0.31710383338153697,0.19826217821221265,0.13009639167731826,0.10062468121711987,0.22324486751551892,0.542180896125193,0.5671082339015598,0.7364440008409674,0.45601565305570535,0.45891371519222124,0.7513575192598891,0.38013197374294816,0.23918140579322764,0.658354463626788,1.0
