,Calcarine_L,Red_N_L,Cerebellum_8_R,ParaHippocampal_L,Vermis_7,Occipital_Inf_R,Thal_LP_L,Thal_VPL_L,N_Acc_L,Temporal_Pole_Sup_R,ACC_pre_R,Parietal_Inf_L,Vermis_8,Precuneus_R,Temporal_Sup_R,LC_R,Thal_PuA_L,Frontal_Inf_Oper_R,N_Acc_R,Cerebellum_6_L,OFCpost_L,Rectus_L,Insula_R,Frontal_Mid_2_R,Temporal_Mid_L,Cerebellum_10_L,Frontal_Sup_2_R,Heschl_L,Cerebellum_8_L,Cerebellum_3_R
ACC_pre_R,-0.5532103659629756,0.07944482860932019,-0.45870830623073,0.6631883708240266,-0.5471653228412842,-0.5614046244148906,0.3327633998904069,0.7857112977175245,0.3882051590183426,0.7004306354605547,1.0,0.2044560702831979,0.16365708259296904,0.1647290024204239,0.4689096252347111,0.32462465058660256,0.5990466939137209,0.4930362205139734,0.07913124482526745,-0.6443578825413624,0.7622363654466747,0.7086040869488995,0.4589392822253787,0.4345836616145139,-0.5012959753821402,0.5597597038814635,0.7981220155510774,0.48456096156610357,-0.6332117317852717,-0.09730408227579584
Parietal_Inf_L,-0.019702432021354497,-0.15465425382398934,-0.14298506039374143,0.2764524923956497,-0.38149509667588627,-0.008882900394042872,0.4067859999382916,0.09529146950587379,0.14247532849357405,0.21755239284707442,0.2044560702831979,1.0,-0.19088933235615324,0.69576895826308,0.46939321672094186,0.22800525824862045,0.08965242370442658,0.18732680127003207,0.20525878138985063,-0.412607884617761,0.3042231399570191,0.18038236756194068,0.36828010425034585,0.14261560168106688,-0.23156455954488547,0.42979999507910227,0.5183594542786355,0.14639990165954986,-0.3777694527987035,0.3401030176261137
Vermis_8,-0.016201092918892223,0.16793721110459484,0.017938796232244463,0.2897998893013398,0.1899544930870908,-0.08781353987561087,-0.33096499055111356,0.29218494392414257,0.16847962047953027,0.07799332389633512,0.16365708259296904,-0.19088933235615324,1.0,-0.06588472757093097,0.09142710923469805,0.26564512454031347,0.2506244916356306,0.141658809293725,0.005780718115904122,0.06506952271556134,0.16670760659856376,0.19924876879235734,0.059277217802877286,0.055658477358949125,0.07615364454555645,0.23606714091312483,0.038479079099491324,0.3838138551767893,-0.05132657998255702,-0.02421493909756337
Precuneus_R,0.21347235781934332,0.02685139172334022,-0.07539541094335529,0.2167643943227255,-0.17998410726624806,0.098726859382482,0.3272688668309105,0.04678598394162734,0.19121302916919927,0.12975760034628908,0.1647290024204239,0.69576895826308,-0.06588472757093097,1.0,0.5574721005262611,0.19230718557537294,0.09736881541132378,0.38999312333752434,0.33461200749699205,-0.11004384889798333,0.12101143944114433,0.02932711254964208,0.33958763418331167,0.3712014676306749,0.08501516904845043,0.3526759900986751,0.47999605312671145,0.2335030497053184,-0.04938002707475726,0.44380781428498634
Temporal_Sup_R,0.22979552868787187,0.24294485417515577,0.14749943412256794,0.33307953882708907,-0.01783711085384318,0.19643009194972189,0.37447723451696757,0.32037309505521533,0.305299431276604,0.6389726689663376,0.4689096252347111,0.46939321672094186,0.09142710923469805,0.5574721005262611,1.0,0.2918514089782789,0.357101091915505,0.6964752176512998,0.2376725850002652,-0.09906919419755639,0.38895846305765974,0.18756014139583582,0.7170226189073727,0.5662227984007956,0.0347278006184593,0.35789185755328706,0.6273076354333402,0.6186615745810241,-0.06800175004317194,0.46636191520455217
LC_R,-0.16125135304496016,-0.06546539436208622,-0.13001290806001867,0.4057700587344786,-0.19064878713244265,-0.18179802291730549,0.11130152698660756,0.2927289486899545,0.12525703510499306,0.283566244892399,0.32462465058660256,0.22800525824862045,0.26564512454031347,0.19230718557537294,0.2918514089782789,1.0,0.18008276553085034,0.3104639769046394,0.09290409180708244,-0.22905703662315402,0.2805051264903233,0.2674555790115522,0.26042895644616865,0.24308777585483335,-0.14551646111800157,0.3298906887365412,0.3376289584462529,0.2083101053579079,-0.2406556264485237,0.028522257639040385
Thal_PuA_L,-0.2543176480096182,0.04569502410536548,-0.16308085806931502,0.3396518044474001,-0.27747035736194947,-0.19401638751331754,0.31158868963835906,0.732421684283896,0.43909140148197473,0.42844905991680443,0.5990466939137209,0.08965242370442658,0.2506244916356306,0.09736881541132378,0.357101091915505,0.18008276553085034,1.0,0.266005677842052,-0.04582736477875739,-0.3617688015968414,0.4925844393199335,0.3638666003333836,0.23744894306565792,0.09755554650879154,-0.3321659065685549,0.30103285281722,0.4675469194367474,0.397587442017716,-0.33532887779268267,0.11964728372994315
Frontal_Inf_Oper_R,0.05666879560374413,0.11764900062884878,-0.008113717822613812,0.4387315216034623,-0.042850090543495103,-0.043854482606182174,0.2725473532464154,0.43360754669757223,0.19232581705634128,0.5160499993979252,0.4930362205139734,0.18732680127003207,0.141658809293725,0.38999312333752434,0.6964752176512998,0.3104639769046394,0.266005677842052,1.0,0.21801829385016464,-0.10896822858133724,0.2682908040526413,0.2515899664807036,0.5312103921011712,0.7810901216332408,-0.028623422079960555,0.2702134862318148,0.6088461325115018,0.5370682982169992,-0.10783858982963096,0.19606003327550647
N_Acc_R,0.07481043640416266,0.24964127877768083,0.007264148992111752,0.2938540938187663,0.026200232538835962,0.06526746904594895,0.12457757576335288,0.1048953014295689,0.4675913751862103,0.11171767093700989,0.07913124482526745,0.20525878138985063,0.005780718115904122,0.33461200749699205,0.2376725850002652,0.09290409180708244,-0.04582736477875739,0.21801829385016464,1.0,0.020168634266098995,0.12482054905441542,0.05829867438973317,0.25415104002628364,0.16988945067752625,0.09988573221930497,0.21280013874690876,0.13478845158046432,0.16475377597521768,0.08482250819414484,0.25228078139850313
Cerebellum_6_L,0.8536786121276656,0.28390847482665127,0.7272066931273768,-0.598422160610326,0.8953395503064703,0.7969422916455384,-0.3247044541162232,-0.6063059382276444,-0.26215096061728543,-0.38522010506225474,-0.6443578825413624,-0.412607884617761,0.06506952271556134,-0.11004384889798333,-0.09906919419755639,-0.22905703662315402,-0.3617688015968414,-0.10896822858133724,0.020168634266098995,1.0,-0.6822818501442893,-0.6863705637132954,-0.09970869731939207,-0.03247666985203889,0.9148752085794939,-0.5798745408508899,-0.5931937438279152,0.08335747490326709,0.961959546202944,0.28589519974791905
OFCpost_L,-0.5394015823773686,0.23880780001974936,-0.4043559031245083,0.6289469262111692,-0.5519728635403799,-0.5052578950499631,0.200425051860023,0.6182617756083876,0.532030043986469,0.7120751000564854,0.7622363654466747,0.3042231399570191,0.16670760659856376,0.12101143944114433,0.38895846305765974,0.2805051264903233,0.4925844393199335,0.2682908040526413,0.12482054905441542,-0.6822818501442893,1.0,0.7329869757237604,0.5137934345722049,0.207862466639681,-0.5793636147755338,0.5744468442347274,0.7073446495404827,0.33899695716886347,-0.6675842745564787,-0.08203631703296557
Rectus_L,-0.669145816812837,0.0256504284677839,-0.513162889690636,0.5729754646304492,-0.5392169507631871,-0.6568515729496691,0.16508221911867668,0.6450356157787718,0.3153275996995247,0.535959681317388,0.7086040869488995,0.18038236756194068,0.19924876879235734,0.02932711254964208,0.18756014139583582,0.2674555790115522,0.3638666003333836,0.2515899664807036,0.05829867438973317,-0.6863705637132954,0.7329869757237604,1.0,0.2674982359292491,0.23392556496083267,-0.5908995553516522,0.5381347281463302,0.6132733370299187,0.263229435465642,-0.6991423458279419,-0.2017998836288839
Insula_R,0.1772231282714718,0.425804719703368,0.12184299092031423,0.38717462042556117,-0.009565262844222842,0.1291916572553747,0.31880991245305407,0.2640778809299327,0.3662696667153912,0.591431188939864,0.4589392822253787,0.36828010425034585,0.059277217802877286,0.33958763418331167,0.7170226189073727,0.26042895644616865,0.23744894306565792,0.5312103921011712,0.25415104002628364,-0.09970869731939207,0.5137934345722049,0.2674982359292491,1.0,0.3735598690917708,0.028511974573927065,0.29536396078983684,0.51831510524019,0.5687840130693538,-0.07605768757513676,0.38234758476407615
Frontal_Mid_2_R,-0.005224435477455313,0.0773876394498708,-0.14809617823011942,0.34653882721574936,-0.0698913267406572,-0.1468683453211605,0.19364864993818898,0.3457762648620109,0.04828995049921052,0.4013847908027691,0.4345836616145139,0.14261560168106688,0.055658477358949125,0.3712014676306749,0.5662227984007956,0.24308777585483335,0.09755554650879154,0.7810901216332408,0.16988945067752625,-0.03247666985203889,0.207862466639681,0.23392556496083267,0.3735598690917708,1.0,0.10597884925628483,0.2690943747469626,0.6597270057015779,0.5118632340736121,-0.044265842884528075,0.07013962901348408
Temporal_Mid_L,0.8334550062891388,0.3124509884228702,0.570632397444615,-0.45113311106200676,0.7611188206271157,0.6935765919928185,-0.23431308627194358,-0.4954291300541267,-0.1671853628501609,-0.3666250327722538,-0.5012959753821402,-0.23156455954488547,0.07615364454555645,0.08501516904845043,0.0347278006184593,-0.14551646111800157,-0.3321659065685549,-0.028623422079960555,0.09988573221930497,0.9148752085794939,-0.5793636147755338,-0.5908995553516522,0.028511974573927065,0.10597884925628483,1.0,-0.46449643805654617,-0.4049603104370538,0.2114408186900186,0.868982543725983,0.3025081902306595
Cerebellum_10_L,-0.46453848934969777,-0.10143298755474559,-0.4322832122385903,0.5806182144048193,-0.4970960701993911,-0.4253428122569826,0.18389023604019406,0.48536899305138725,0.30689767624808306,0.4512443567367899,0.5597597038814635,0.42979999507910227,0.23606714091312483,0.3526759900986751,0.35789185755328706,0.3298906887365412,0.30103285281722,0.2702134862318148,0.21280013874690876,-0.5798745408508899,0.5744468442347274,0.5381347281463302,0.29536396078983684,0.2690943747469626,-0.46449643805654617,1.0,0.6039185990648671,0.281622493429369,-0.569087148672904,0.07197431714387643
Frontal_Sup_2_R,-0.401506051467513,0.0357655634782706,-0.4135575336108284,0.6415983071082344,-0.5359693807766793,-0.4346663567965955,0.3703655352130352,0.6297869586637933,0.3510656232466749,0.6671848917411672,0.7981220155510774,0.5183594542786355,0.038479079099491324,0.47999605312671145,0.6273076354333402,0.3376289584462529,0.4675469194367474,0.6088461325115018,0.13478845158046432,-0.5931937438279152,0.7073446495404827,0.6132733370299187,0.51831510524019,0.6597270057015779,-0.4049603104370538,0.6039185990648671,1.0,0.5057078941621859,-0.567502995882221,0.05685855622970276
Heschl_L,0.14913888682985424,0.2916347841550332,0.12085302114893456,0.3320112726174949,0.1701739576303551,0.12262636841394459,0.09054443731139736,0.4374389335108848,0.2671481714105134,0.5034623257656654,0.48456096156610357,0.14639990165954986,0.3838138551767893,0.2335030497053184,0.6186615745810241,0.2083101053579079,0.397587442017716,0.5370682982169992,0.16475377597521768,0.08335747490326709,0.33899695716886347,0.263229435465642,0.5687840130693538,0.5118632340736121,0.2114408186900186,0.281622493429369,0.5057078941621859,1.0,0.03682923582982499,0.2743622680701024
Cerebellum_8_L,0.8411225820872062,0.27906888894780996,0.7392936370949319,-0.6247185514835312,0.8432446352180505,0.809865463154655,-0.28470238785295754,-0.6223839839703226,-0.22533835558302576,-0.34417739169414535,-0.6332117317852717,-0.3777694527987035,-0.05132657998255702,-0.04938002707475726,-0.06800175004317194,-0.2406556264485237,-0.33532887779268267,-0.10783858982963096,0.08482250819414484,0.961959546202944,-0.6675842745564787,-0.6991423458279419,-0.07605768757513676,-0.044265842884528075,0.868982543725983,-0.569087148672904,-0.567502995882221,0.03682923582982499,1.0,0.3224159285452504
Cerebellum_3_R,0.5095435852343965,0.24543225092061685,0.4455355972282643,-0.03986839612768199,0.31299443932315374,0.5696886603318488,0.10453067942189828,-0.15839711622905128,0.17838763050722925,0.1454006600716287,-0.09730408227579584,0.3401030176261137,-0.02421493909756337,0.44380781428498634,0.46636191520455217,0.028522257639040385,0.11964728372994315,0.19606003327550647,0.25228078139850313,0.28589519974791905,-0.08203631703296557,-0.2017998836288839,0.38234758476407615,0.07013962901348408,0.3025081902306595,0.07197431714387643,0.05685855622970276,0.2743622680701024,0.3224159285452504,1.0
