,Temporal_Inf_L,Raphe_M,Angular_R,Lingual_R,Rolandic_Oper_R,Cerebellum_10_L,Occipital_Sup_R,Frontal_Sup_2_L,Thal_LGN_L,LC_L,Red_N_R,Vermis_10,Pallidum_L,Caudate_L,Temporal_Pole_Sup_L,Cuneus_R,ACC_sub_L,Temporal_Inf_R,SupraMarginal_R,Olfactory_R
Red_N_R,0.10982055288571464,-0.2374291889936731,0.5960872532837868,-0.03043181730522065,0.2132250318014756,-0.16289884456332976,0.039435610159881694,0.3894331237804052,-0.05714779497916267,-0.03902314168101507,1.0,0.5730802179188278,-0.061461146779925376,-0.0968897440119994,-0.40660496427963977,0.3541251559625959,0.10324734453360793,-0.34928993329398117,0.6594743922171779,0.21475940900649232
Vermis_10,0.37998004681585057,-0.16553216566534648,0.28714871492868044,0.2022723393457334,0.3465710288496001,-0.1020308330566206,-0.3565062515994111,0.42370061562958766,0.03628218700709715,-0.18601422550473018,0.5730802179188278,1.0,0.25194570656370774,0.21699527570770574,0.06770952443974955,-0.02110952756018803,0.10861678950642284,-0.19360088528772096,0.41295804171464773,0.17645465032726626
Pallidum_L,0.5817504187632053,0.5657979078669231,-0.4730676281454129,0.11139947749568574,0.3312671898037058,0.6067092791320848,-0.4416226676769769,0.2836426139288562,0.17033905551133305,0.35673912821134324,-0.061461146779925376,0.25194570656370774,1.0,0.8252053487219114,0.7042990951258482,-0.5816231959950142,0.4885106514162676,0.15861200059396913,-0.33877204151623236,-0.13247170411572404
Caudate_L,0.6982137589351383,0.5727201887714413,-0.5793519811916514,-0.16490392657841588,0.18488039513539092,0.6846775652140136,-0.4146312971340333,0.26733636414623746,0.31071371008478377,0.4784965846645802,-0.0968897440119994,0.21699527570770574,0.8252053487219114,1.0,0.5999208877645644,-0.7019423524478611,0.6808072893141455,-0.01925544411098426,-0.41191137964617724,-0.3396373384786076
Temporal_Pole_Sup_L,0.3635521220495422,0.364968077706499,-0.5788219248176377,0.3666795512390955,0.12762132043083663,0.3345668829346918,-0.5521953228831988,0.021525048260687137,0.027916726656890014,0.03675978653377511,-0.40660496427963977,0.06770952443974955,0.7042990951258482,0.5999208877645644,1.0,-0.566864473835215,0.1603193937947541,0.3287388157489769,-0.5505752743299228,-0.16511804892015083
Cuneus_R,-0.5189998392435787,-0.4153657544557206,0.7805839431106073,0.2527423363867287,0.09196717828647,-0.5534272256987616,0.6610400342851306,0.12309849465907062,-0.2416770787065722,-0.30005378746957284,0.3541251559625959,-0.02110952756018803,-0.5816231959950142,-0.7019423524478611,-0.566864473835215,1.0,-0.409212324708977,0.0429873893819755,0.5337515938515659,0.4552241287233402
ACC_sub_L,0.7081523747972598,0.5293917686895698,-0.19310602567321714,-0.4696853492682001,0.025221243128700725,0.6056024267955763,-0.12227135645795205,0.09712392938527607,0.18710202514029664,0.6684625858166777,0.10324734453360793,0.10861678950642284,0.4885106514162676,0.6808072893141455,0.1603193937947541,-0.409212324708977,1.0,-0.4401304041873574,-0.00551578533618582,-0.38284460068572523
Temporal_Inf_R,-0.4639954027877168,-0.01551005225317705,-0.3816591059168065,0.6378602537028161,0.25211426179370794,-0.06383234464082607,0.04726505333321329,0.25055277585351676,0.10388736302408964,-0.38123582461224176,-0.34928993329398117,-0.19360088528772096,0.15861200059396913,-0.01925544411098426,0.3287388157489769,0.0429873893819755,-0.4401304041873574,1.0,-0.6023533921802444,0.4274653604743769
SupraMarginal_R,0.014258652114582236,-0.264069741471578,0.8987041071255106,-0.11911385016532461,0.1981180294076796,-0.30912858815579125,0.1260846755564978,0.1779586907299731,-0.20303608765787948,-0.009527905481019667,0.6594743922171779,0.41295804171464773,-0.33877204151623236,-0.41191137964617724,-0.5505752743299228,0.5337515938515659,-0.00551578533618582,-0.6023533921802444,1.0,0.14417088708044515
Olfactory_R,-0.44460583919580926,-0.3928280804219246,0.33853231537877815,0.6678898881547795,0.24868831953614978,-0.48646272636995014,0.07828633267554491,0.26256399501068645,0.07046114497209069,-0.5154640897957672,0.21475940900649232,0.17645465032726626,-0.13247170411572404,-0.3396373384786076,-0.16511804892015083,0.4552241287233402,-0.38284460068572523,0.4274653604743769,0.14417088708044515,1.0
