,Thal_MGN_L,OFCpost_R,Thal_VA_L,OFClat_R,Hippocampus_L,Frontal_Med_Orb_R,Vermis_4_5,SN_pr_L,Occipital_Mid_R,Vermis_7,Thal_VPL_L,Calcarine_R,Red_N_L,Parietal_Sup_R,Thal_MGN_R,Red_N_R,Occipital_Sup_L,ParaHippocampal_R,OFCant_R,SN_pc_L
Thal_VPL_L,0.4389909332712239,0.019334204013401884,0.5403790927912734,0.14692151476973647,0.4616015533650297,0.3614540635616597,0.2868870298189663,0.41765770931425106,0.08632479406960629,0.15218478793255066,1.0,-0.07303733394353475,0.465304964628384,0.18091873990515625,0.2887534241651908,0.33270322903200406,0.062097923947946554,0.40168637154669734,0.30739382130143866,0.4459728845820017
Calcarine_R,-0.02813402403764534,-0.13161355792105592,0.2966531256965832,-0.413663644184836,0.24675987683440082,-0.26432174715030965,0.5419184354390935,-0.08242998802403567,-0.33429781984270296,-0.2208971649256457,-0.07303733394353475,1.0,-0.025534215717558283,0.3101540408238834,-0.0712959266556535,-0.10907208259676669,-0.1996786396276362,-0.039736678705648544,-0.5786124725606158,-0.11720264455049834
Red_N_L,0.13559223614158136,0.17912167346784805,0.3539901038130653,0.20456441727865968,0.5387695152674766,0.026719544662684728,0.14482476156018664,0.6173646302568536,-0.02488924036151554,-0.02550813145458637,0.465304964628384,-0.025534215717558283,1.0,0.026576227374589242,0.2969711813855998,0.6075950416837517,0.228589738525401,0.5680583071786292,0.31105207680675967,0.5357976197917796
Parietal_Sup_R,0.28705947357906497,0.0599360693957637,0.2815508816563695,-0.1406639208630743,0.327586812694696,0.11469113081308675,0.2810466614997357,0.19718780276796022,0.05209293105422649,-0.1623664236957236,0.18091873990515625,0.3101540408238834,0.026576227374589242,1.0,0.15034435440122393,0.056722384508033255,-0.057678951763554843,0.11217664647774431,0.020173643996737208,0.03112949752628522
Thal_MGN_R,0.5661990519546511,0.007796137387853161,0.3433704239117591,-0.11174104754790008,0.3058006603335828,0.2957514460092852,0.011300010929237504,0.25805799020232695,0.10663833377687426,-0.07236763705515677,0.2887534241651908,-0.0712959266556535,0.2969711813855998,0.15034435440122393,1.0,0.47015553941679905,0.06797263834152839,0.25024600544556475,0.24024027150563118,0.17561399768415395
Red_N_R,0.3976218989883121,0.017534405930151282,0.4743875641290061,0.15625171772602614,0.37183637991320645,0.122722934351525,-0.042037275754994184,0.4928918284512386,-0.054340751230998977,-0.05083110777506684,0.33270322903200406,-0.10907208259676669,0.6075950416837517,0.056722384508033255,0.47015553941679905,1.0,0.27938046027718433,0.5746140587688597,0.1511398659239973,0.37892897011882465
Occipital_Sup_L,-0.15727363814303788,0.002144285399698528,-0.02608395233991453,0.3237455015589376,0.014408739220856835,-0.0547307535768785,-0.129812102435739,0.2075354615641041,0.015205280973154342,0.024842543113144246,0.062097923947946554,-0.1996786396276362,0.228589738525401,-0.057678951763554843,0.06797263834152839,0.27938046027718433,1.0,0.2962087042141434,0.08151196491738502,0.06544802111415417
ParaHippocampal_R,0.0931150000777736,0.1872027038240141,0.3279583426536319,0.43756790656838307,0.46450464633309596,-0.10878727830255389,0.15634237280535299,0.5799456948220957,-0.05440681163597069,0.05182504273819429,0.40168637154669734,-0.039736678705648544,0.5680583071786292,0.11217664647774431,0.25024600544556475,0.5746140587688597,0.2962087042141434,1.0,0.2388374399523563,0.4562345550712202
OFCant_R,0.18342800847576265,0.61881472387149,-0.08904172504482603,0.4625517164513654,0.2890397649858189,0.16211193059020682,-0.09765227107032798,0.3315187057599986,0.2587252674418143,0.041535060324956644,0.30739382130143866,-0.5786124725606158,0.31105207680675967,0.020173643996737208,0.24024027150563118,0.1511398659239973,0.08151196491738502,0.2388374399523563,1.0,0.4520595363874435
SN_pc_L,0.25484109035666797,0.23110562276340413,0.2691867681432314,0.10707354138787578,0.5669950119561824,0.1724661873635797,0.19629860168929253,0.607026746535726,0.1515953941574887,0.22940135566864717,0.4459728845820017,-0.11720264455049834,0.5357976197917796,0.03112949752628522,0.17561399768415395,0.37892897011882465,0.06544802111415417,0.4562345550712202,0.4520595363874435,1.0
