,Frontal_Med_Orb_R,Hippocampus_R,Cuneus_R,Angular_L,Olfactory_R,Thal_PuA_L,Cerebellum_Crus2_L,N_Acc_R,Temporal_Pole_Mid_L,Thal_LGN_L,Thal_VL_R,ACC_sub_R,Thal_PuL_L,Cerebellum_10_R,Occipital_Inf_R,Thal_PuI_R,Cerebellum_8_L,VTA_L,Red_N_R,Occipital_Mid_L,Cingulate_Post_R,Fusiform_L,Thal_LP_L,Cerebellum_6_L,ACC_sub_L,Cerebellum_9_R,Cerebellum_9_L,OFCmed_L,OFCpost_R,OFClat_R,ParaHippocampal_R,Thal_LP_R,Thal_MDl_L,Frontal_Sup_2_R,Precuneus_R,Frontal_Sup_2_L,ACC_sup_R,Angular_R,Caudate_L,Occipital_Sup_L,Calcarine_R,Caudate_R,Thal_PuL_R,Thal_VA_L,Parietal_Inf_L,Rectus_L,Temporal_Pole_Sup_R,Frontal_Inf_Tri_R,Precentral_L,ParaHippocampal_L
Occipital_Mid_L,-0.21248489720080904,-0.21206450071976032,0.0012780458787707508,0.18760181356944514,-0.30755981331453797,-0.00022663669063499676,-0.09860712015271735,-0.2093905257774947,-0.12620833544065746,-0.19778400967919907,-0.015424349201715419,-0.18714575594733715,0.04379273763291164,-0.22715958040314205,0.0589971932612533,-0.14596775787952485,-0.12952180618328046,-0.08181956519778733,-0.144894201653139,1.0,-0.12882243610228947,-0.19018074648227906,-0.1354488463606004,0.032604664327129405,-0.17445935388696276,-0.21204172174341532,-0.25996134597191284,-0.08243185479605371,-0.17414929886652228,-0.09966143099099864,-0.11875965886840227,-0.040433962043817294,-0.19087951370672065,-0.35031281859340263,-0.1482804687288672,-0.3290983206189963,-0.2355953495162849,0.06074934406170296,-0.15609619866188817,0.04899873272265039,0.1144916519742715,-0.24385019303166697,-0.004172183725925871,-0.05773012036475787,-0.11938555003699004,-0.3026724287741278,0.06722068878892386,-0.2066880134062573,-0.1488365335021914,-0.30495086348973227
Cingulate_Post_R,0.2527874312733643,0.7541380448813481,-0.057741431001418424,0.009382701408129036,0.29485980171868936,0.27198482857154693,0.16807604352920041,0.5236957126643356,0.33866117891713393,0.5762197131195261,0.5977352942084805,0.024127780949249594,0.47671595269005557,0.20633163117377304,0.20499719918908532,0.530465753441148,0.07922357402955946,0.2244805515330712,0.5666764399676231,-0.12882243610228947,1.0,0.32433564280416244,0.3060251477921679,-0.10595982971606561,0.12699763963969207,0.4255733918902053,0.43289019185821836,0.5061827925313922,-0.09162681733252387,0.030244622228073656,0.6227616039485954,0.517520658015641,0.5841341564131584,0.5482830235410486,0.27223740389946804,0.5947586875607731,0.3634116635535288,0.004613668300903566,0.5252305787478083,0.18960081803899348,-0.02872211295956205,0.5553933733123357,0.4918975659034733,0.4980004791230952,0.039866878763059305,0.2600442073701439,-0.0643900269688834,0.608869268740326,0.3797993865220369,0.5903401115679356
Fusiform_L,0.2222969725459318,0.35651527298705527,-0.1459441968323112,-0.2773712130975581,0.20728326077198017,0.28957967772359594,-0.11899880878748169,0.41407265095137097,0.24426959359665412,0.48383473138249633,0.37441426166181635,-0.04562165667497301,0.23201057743644438,0.4726917831656401,0.28944638472066186,0.26131805608249087,0.6599122792633368,0.47478766762039165,0.05461864400381153,-0.19018074648227906,0.32433564280416244,1.0,0.33973066472426855,0.025847349016213928,-0.044775223731369974,-0.00902241661721674,0.12862605497275753,0.06912984901846506,0.13895111897271467,-0.38548642864956956,0.07248272489594222,0.28719903731052127,0.36375651075007165,0.2521099836246914,0.5555131460372335,0.22274375791010148,0.4670408090167505,0.2401866462655576,0.16369410343825305,-0.20189661161386707,0.26643492819173065,0.18556195766294237,0.017772987272106282,0.3259903660338722,0.37339310564058265,0.16553126453632505,-0.06877011816598141,0.09414137639375379,0.018751666135185998,0.8263839523243666
Thal_LP_L,0.24685835246632745,0.32247699683926206,-0.0681955122696449,-0.15115410209342672,-0.10021698943051802,0.4710143513868734,-0.23862158200109965,0.1188931688039548,0.3462012599166802,0.3376453977671235,0.6888512535984329,-0.4152477442360807,0.3789452305143203,0.14206693532112658,-0.06662390541219977,0.3263479001680186,0.19043668062800836,0.13577430812503108,0.3153846169713158,-0.1354488463606004,0.3060251477921679,0.33973066472426855,1.0,-0.23202334834619254,-0.2860156400701952,0.27190379541886783,0.1908743174126512,0.3154305980634229,-0.2710967377253407,-0.26570603086063777,0.1816171538833098,0.4400821628526118,0.31323748538119267,0.07070318520972896,0.6003735475906872,0.0538413393469878,0.1481880977716957,0.24364841399253098,0.2631190782191109,-0.15330628781363936,0.36061728294259726,0.3518816179615625,0.06506946058208557,0.5996234181658564,0.5570930676880346,-0.03482200817092718,0.0017225202590325324,0.06790740769363802,0.3352926699960817,0.32719397971353753
Cerebellum_6_L,-0.32021082528745837,-0.07623136493524173,-0.05587158541609369,0.005125141633716169,0.14985243461605094,-0.03519543174848092,0.03323794218834928,0.0028852435414097113,-0.13722258460267076,0.05232240861421364,-0.03402689028143278,0.0024011511900573976,-0.03485748972842051,0.16605004834499257,-0.0030002835879574625,-0.21045023217241576,0.09689390949913268,-0.004295215449172191,0.046486914580281924,0.032604664327129405,-0.10595982971606561,0.025847349016213928,-0.23202334834619254,1.0,-0.16769264317777,-0.1500207735991491,-0.08568044587032235,-0.3611474782385813,0.018660770952395725,-0.1976881809153815,0.03767863863890124,0.01626613765280626,-0.03998787929212964,-0.009838030610876207,-0.05157026841285541,-0.16064964377804786,-0.07827824080564291,0.13599095944673936,-0.09137088917132524,0.1641185523732318,0.08814010985089868,-0.11079858767711039,-0.09878794265477668,-0.12127032891097286,0.12836329842939304,0.1025394609515196,-0.17699102901501196,-0.12267253628377069,0.13203202977510659,0.03167375322654106
ACC_sub_L,0.1293195322206166,0.3292130512599188,0.12260711116815334,0.04528215507675546,0.289193359263559,-0.22024405193875224,0.2863766242364709,0.29585149474133343,0.07673383150945139,0.023714659189444657,-0.21508810725371746,0.6923610972181852,-0.21970342120744843,0.03825563991296786,0.020886778949303186,0.1472573017696301,-0.1578861725904437,0.11587415315590674,0.08812697200643425,-0.17445935388696276,0.12699763963969207,-0.044775223731369974,-0.2860156400701952,-0.16769264317777,1.0,0.10246399356588262,0.11412467829776379,0.16690310478916545,0.45415035988120467,0.7267678017316003,0.3428951540505896,-0.09990584153506389,0.23845534758695883,0.5943183340512566,-0.44927794529399834,0.6563941875938102,0.48286646462381294,-0.5785730477566907,0.39715106669588196,0.24534123943849684,-0.5863879124068141,0.35969832645810096,0.004912457765315991,-0.25012659545976385,-0.6298421175753673,0.163474834524765,0.274170498999633,0.5805119988042513,-0.28676738730855955,0.15659756988109882
Cerebellum_9_R,0.32415632364794755,0.45933689610978135,-0.007668014589515973,-0.07663683347253573,0.37027130861932733,0.10423403001832193,0.0396107891609199,0.43436244644417954,0.24890459043577934,0.26769773852291096,0.23230686398914904,0.19368367288510885,0.19553654274931218,0.20927125751536518,0.2196739995152602,0.3229282976616918,0.020712743038540666,0.13688073948632917,0.49553378705982637,-0.21204172174341532,0.4255733918902053,-0.00902241661721674,0.27190379541886783,-0.1500207735991491,0.10246399356588262,1.0,0.7620887661345284,0.15622969033257408,0.07272720362686544,0.07067967934932941,0.31257084692069853,0.06608774852921698,0.5031280922543624,0.42907717645872095,0.12768286679152174,0.45789705171152684,0.07546046586361703,-0.18300913445203948,0.5643341593619022,-0.040973711556217075,-0.3242861459952814,0.5435018813590031,0.17706510506083323,0.3210400977137738,0.0032879938422212484,0.14311346484401596,-0.24070607526671495,0.1846363595189695,0.13078036555439798,0.19202463141927417
Cerebellum_9_L,0.23303317428953127,0.5739893987448105,-0.053269826884649624,-0.00867478479375257,0.38503968057236804,0.09516794405252392,0.05534977765573187,0.5267644487304893,0.2451460822593173,0.35511747781129066,0.2875613867295057,0.13103925132518673,0.24523299522125458,0.3229311755818322,0.26355827308793384,0.3009788247626783,0.03511717851734333,0.16891185330737826,0.45478099250533593,-0.25996134597191284,0.43289019185821836,0.12862605497275753,0.1908743174126512,-0.08568044587032235,0.11412467829776379,0.7620887661345284,1.0,0.10646519469643445,0.18478906138332232,0.058510947849880666,0.37305068369704264,0.1114341203781393,0.4943462256960863,0.43990795485172646,0.12707608669382545,0.4746204539704329,0.16731564192906856,-0.09326495165802483,0.5317460546062877,-0.015462195588761826,-0.24261368019289853,0.5007082207314889,0.1697804176007914,0.335530494306653,-0.006457008518469333,0.28106497393079816,-0.08020141687434472,0.2725333931482021,0.0739757577857082,0.3237656994059048
OFCmed_L,0.19253663922629358,0.29840341328727654,-0.04059120119644216,0.008576440566164733,-0.23375477761383467,0.08956432097134402,0.0347256611447642,0.1639387279096784,0.43701785624959427,0.18713809784624916,0.27803310653579,-0.27067113979649465,0.436134596334264,-0.02312980934143764,-0.06330405023771567,0.08126464492421495,-0.2094596887205312,-0.11092355102664764,0.1781752139076491,-0.08243185479605371,0.5061827925313922,0.06912984901846506,0.3154305980634229,-0.3611474782385813,0.16690310478916545,0.15622969033257408,0.10646519469643445,1.0,-0.20466594445953654,0.24165742459531966,0.2863986077395237,0.31860807104084354,0.10323967613981899,0.24218040344297515,-0.005312857712535612,0.3059052197186746,0.15975029839079674,0.018656376035564595,0.06155484485372453,0.07812617934668789,0.044542314261508606,0.1299794300826717,0.5446957523503714,0.2962826962595119,-0.07373405287547628,0.20406741306688364,0.22959746465975225,0.5201886811962435,0.11555973294661694,0.24909322344270476
OFCpost_R,-0.27616402427423115,0.23537667918938315,0.015458275161056441,0.020751069321151124,0.1939266732120128,-0.031881245829900304,0.06336804329287656,0.22481883439566563,-0.20339930381561652,-0.010351877371909117,-0.21450938732704153,0.36294178874556365,-0.13394549829375263,0.37918013918597254,0.15244135339376128,-0.01542498905661394,0.1726383139411116,0.17916412890061942,0.017534405930151282,-0.17414929886652228,-0.09162681733252387,0.13895111897271467,-0.2710967377253407,0.018660770952395725,0.45415035988120467,0.07272720362686544,0.18478906138332232,-0.20466594445953654,1.0,0.4538090650070662,0.1872027038240141,-0.19979119733077458,0.1364785041018956,0.46567720208078933,-0.06047855468973875,0.337859931059144,0.5065384113482856,-0.1688169283586447,0.09666737519687656,0.002144285399698528,-0.13161355792105592,0.05684643950266381,-0.11275887201956873,-0.1662035294566734,-0.16013783596568623,0.2585585261706606,0.47790015133169056,0.11292030884016171,-0.3174268591201053,0.16537029468630038
