,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
Vermis_8,0.32007957768891804,-0.043406287586302814,0.2809708542443981,-0.3381403890896927,-0.12095780363223356,-0.23255228712146858,-0.22773779384206805,0.021452882994714626,-0.20223562711689425,-0.215453553527689,1.0,-0.28976450880420257,-0.08416705805335598,0.22796782950618727,0.549756277958746,0.015245344082252065,0.34937798091943345,0.26487635725795916,-0.2524639902299267,0.25251806665220045,-0.22580727018164504,-0.22516078148533536,0.428907919180708,0.3274561439926304,0.680376028291145
Thal_AV_L,0.12202855035577236,0.49044479881128394,0.03355180769034733,0.30283106420817824,0.30013274068687906,0.3795208317410504,0.19133683543188756,0.11880385354487417,-0.024408787149081092,0.6417986626610959,-0.28976450880420257,1.0,0.4234475903790914,0.2439573907336666,-0.16290655118530686,-0.1419382645757748,-0.10400813665921278,0.4506393735834246,0.7376866811480748,0.20210994872087726,0.24906445343414835,0.36026794525746497,0.01762681166622273,0.13470802697431863,-0.40424210879118777
Thal_MGN_L,0.4130077475814988,0.36190476458088194,0.08187132877445388,0.3652022463602957,-0.027284760753906716,0.3811897683896185,-0.03857376149269588,-0.01493516700470516,-0.017129291155349936,0.5995624012624989,-0.08416705805335598,0.4234475903790914,1.0,0.4122200874671572,0.20736299550401457,-0.12200038181186851,0.04409641829430507,0.5121055475529244,0.6134452319638328,0.3272354629608303,0.16245222687950137,0.16399060709373775,0.20927922934937473,0.35943006652524073,-0.05235356189644038
Paracentral_Lobule_R,0.3856292482378259,0.37470709651197404,0.27490760043741996,0.5021149466998825,-0.07360425520822268,0.319782002925748,0.3326066807781987,0.4664641124481754,0.23987692173533245,0.47979199782715004,0.22796782950618727,0.2439573907336666,0.4122200874671572,1.0,0.36072516080152023,0.15942852173632285,0.13284973747690537,0.6202419482730778,0.37626093045489256,0.8460316598049608,0.43002101221929295,0.3175580395971187,0.259544724023249,0.791660543754406,-0.0939643985896068
Vermis_9,0.44144345547137764,0.03491311182529413,0.18285558442220784,-0.2854353809105906,-0.23093154938833202,-0.24061974100405475,-0.25617088849469266,0.03831184517747689,-0.0747520923430093,-0.025895733908229024,0.549756277958746,-0.16290655118530686,0.20736299550401457,0.36072516080152023,1.0,0.00245204274357537,0.5374344567881829,0.36309979028104156,-0.06708936638602325,0.4506186090708041,-0.19365097794254435,-0.04794922527911381,0.558590507539045,0.5664990114371121,0.422661213619533
Amygdala_R,0.10715515312942557,-0.06706799993708246,0.011881190049184158,0.09844216119419813,-0.3528211340082595,0.0011747378969009154,0.1391071192969642,0.08727115545352698,-0.027251069271434857,-0.11415858793861307,0.015245344082252065,-0.1419382645757748,-0.12200038181186851,0.15942852173632285,0.00245204274357537,1.0,-0.0005737060364745071,-0.019351506650308534,-0.22678530460951563,0.12701571852585222,0.00919049675464026,-0.17255062258838366,-0.0018955741423079197,0.11031715511205341,0.07287274215357996
Temporal_Sup_L,0.06751717034594046,0.11696488945704844,0.10225482378361153,-0.3543897795415661,-0.06607462270850406,-0.17312420584852634,-0.1955782005036715,-0.026494682807086906,-0.1881676187205145,-0.18650400139588597,0.34937798091943345,-0.10400813665921278,0.04409641829430507,0.13284973747690537,0.5374344567881829,-0.0005737060364745071,1.0,0.2626750742485816,-0.004651833018972788,0.46544119775912174,-0.15156377333969406,-0.22678021151847666,0.8132724787888809,0.5805175512840067,0.30724194176888764
ACC_sup_L,0.40397815808376075,0.3105183282820045,0.41518991091357255,0.20132186820723133,0.01172026869964884,0.25669006967586006,0.057419259804036796,0.16688144549996947,-0.2196746868440879,0.43430220387042767,0.26487635725795916,0.4506393735834246,0.5121055475529244,0.6202419482730778,0.36309979028104156,-0.019351506650308534,0.2626750742485816,1.0,0.39928106267158137,0.6239999621757049,0.23314522636603133,0.08142272306817053,0.5072141471547782,0.6588882384809761,0.09908754911755537
Thal_MDm_L,0.208696295911856,0.7281954311003181,0.0156572201154038,0.3751947290716234,0.32424667059226064,0.45282723099958194,0.16052984784790242,0.1266546977172338,0.20638746022330887,0.686135299767975,-0.2524639902299267,0.7376866811480748,0.6134452319638328,0.37626093045489256,-0.06708936638602325,-0.22678530460951563,-0.004651833018972788,0.39928106267158137,1.0,0.36917659759894456,0.3059223704055924,0.48960545052461024,0.08780575679505431,0.3221182560774357,-0.38571630106446647
Precentral_L,0.35673742162623445,0.33311329002400486,0.23874896344288224,0.3134232728587876,-0.046548483830835666,0.1803522506381565,0.31598998185324606,0.4062451193402897,0.22662833346457084,0.4066476312757686,0.25251806665220045,0.20210994872087726,0.3272354629608303,0.8460316598049608,0.4506186090708041,0.12701571852585222,0.46544119775912174,0.6239999621757049,0.36917659759894456,1.0,0.3578883269443967,0.22987364858327008,0.481498431899536,0.9402809734525786,-0.07509362166807294
Raphe_D,-0.03631018793826308,0.17980111541439694,0.28999443329816404,0.43092056377816784,0.06654763067864153,0.15544797943541752,0.5927750532299213,0.3754970458251959,0.32686084604744126,0.33654949253309524,-0.22580727018164504,0.24906445343414835,0.16245222687950137,0.43002101221929295,-0.19365097794254435,0.00919049675464026,-0.15156377333969406,0.23314522636603133,0.3059223704055924,0.3578883269443967,1.0,0.27445350056859996,-0.09418277664368384,0.2369211417054054,-0.45152946884305345
Frontal_Inf_Orb_2_R,0.14786583815866097,0.28785773482463184,-0.049639966122164814,0.24101635926280207,0.37555496752148687,0.05670952378198266,0.44019045293160913,0.3325762183164275,0.47984360393449327,0.4170856016365844,-0.22516078148533536,0.36026794525746497,0.16399060709373775,0.3175580395971187,-0.04794922527911381,-0.17255062258838366,-0.22678021151847666,0.08142272306817053,0.48960545052461024,0.22987364858327008,0.27445350056859996,1.0,-0.1836263523999105,0.12714705674288673,-0.5700334995712694
Insula_L,0.13293054983575364,0.17132407531457589,0.24434597601768673,-0.39400927937305674,-0.02402786718287673,-0.11150648391528578,-0.23224345031788615,-0.04984780117995273,-0.37455539241948865,-0.19820262657319113,0.428907919180708,0.01762681166622273,0.20927922934937473,0.259544724023249,0.558590507539045,-0.0018955741423079197,0.8132724787888809,0.5072141471547782,0.08780575679505431,0.481498431899536,-0.09418277664368384,-0.1836263523999105,1.0,0.5998729628530657,0.44158683707451635
Postcentral_L,0.37096367598676033,0.3544383277388433,0.2780075101119555,0.21647944070777006,-0.094435456962012,0.1841792447231933,0.18220516700881675,0.3026728549723673,0.12147583581557217,0.32395274776850413,0.3274561439926304,0.13470802697431863,0.35943006652524073,0.791660543754406,0.5664990114371121,0.11031715511205341,0.5805175512840067,0.6588882384809761,0.3221182560774357,0.9402809734525786,0.2369211417054054,0.12714705674288673,0.5998729628530657,1.0,0.08757825175293396
Vermis_7,0.0844689572453951,-0.09597141982478927,0.1616586145665921,-0.42912328019774515,-0.25896853539079673,-0.07963755624002507,-0.5478919900913192,-0.2941656581292539,-0.517828615432174,-0.4777408657638713,0.680376028291145,-0.40424210879118777,-0.05235356189644038,-0.0939643985896068,0.422661213619533,0.07287274215357996,0.30724194176888764,0.09908754911755537,-0.38571630106446647,-0.07509362166807294,-0.45152946884305345,-0.5700334995712694,0.44158683707451635,0.08757825175293396,1.0
