,Temporal_Inf_L,Occipital_Inf_R,Temporal_Mid_R,Thal_VL_R,Frontal_Med_Orb_R,ACC_pre_R,ACC_sup_L,Cerebellum_9_L,OFClat_L,OFCmed_L,OFCant_L,Thal_AV_R,Cingulate_Post_R,Precuneus_L,Thal_VA_L,Thal_MGN_R,Olfactory_R,N_Acc_R,N_Acc_L,Vermis_7
OFCant_L,0.35673031334837885,0.09508442979577135,0.35154499524765703,-0.007948801071237773,0.17389460751501098,-0.30260106546436094,-0.22650347860523978,0.21248706625338873,-0.4455295109893866,0.22427817616768847,1.0,-0.10866554955957727,0.1764515049871333,0.13436935723530793,0.0028680364178069653,0.25546498497892717,-0.08351366684093835,-0.010567557453264948,-0.2022042172827286,0.0023356835173676737
Thal_AV_R,-0.07879690351588375,0.26599074615216967,0.22907315882408877,0.2734573835621456,0.06399857218667623,0.1621652876126217,0.10342540398732465,-0.0919770857152132,0.19716500217301003,-0.08854397010754593,-0.10866554955957727,1.0,0.08539365497512758,0.2242372067820383,0.24230992499885007,0.0159558213099619,-0.04327019738706238,0.13105953170939422,0.07666610371614382,-0.23676971564065624
Cingulate_Post_R,0.40277951559903086,0.469091530234266,0.3649119089994484,0.43782183441137484,0.04647895351228347,-0.10489216034825699,0.613070544443904,0.6965060863820441,-0.16206386945677625,0.4858047024823574,0.1764515049871333,0.08539365497512758,1.0,0.8756400609101956,0.22655599772798612,0.408506530258405,-0.02977311542616976,0.25691881399461375,0.09194826693091845,-0.06823588797736052
Precuneus_L,0.2968934420645291,0.4635232422527393,0.45522101661022657,0.47774412201339017,0.1059659025194896,-0.039587677610224,0.5171160909336763,0.5672149360639591,-0.05766749747396923,0.4066986974221652,0.13436935723530793,0.2242372067820383,0.8756400609101956,1.0,0.3424049548256425,0.46081035143849797,-0.040278670306555533,0.172997279923322,0.1143882129037925,-0.2055219401035598
Thal_VA_L,0.008596950417793136,0.09236423266471214,0.33406889292264313,0.6637950631196213,0.415727328764506,0.059380209283269814,0.13915681472329952,-0.050533245910280536,0.22297306939837883,0.230858026018676,0.0028680364178069653,0.24230992499885007,0.22655599772798612,0.3424049548256425,1.0,0.4240885535129715,0.037057287720274786,-0.07981372380030782,0.09053979926001046,-0.45631512119978473
Thal_MGN_R,0.08804984286919809,0.2113895138853814,0.5645536832346564,0.51302314885817,0.47340032302501317,0.04133697455779373,0.17654973451293726,0.17305232239153195,-0.03293448502920198,0.5251239319738116,0.25546498497892717,0.0159558213099619,0.408506530258405,0.46081035143849797,0.4240885535129715,1.0,-0.013320316301154737,-0.05493258930343792,-0.17330837602463922,-0.2910281222030391
Olfactory_R,-0.1890438531513879,-0.09259684980620844,-0.22500822242430438,0.010053972229094727,0.08747395059420639,0.015152551890557845,0.017025154646732574,-0.11074429557711689,0.00944063767325751,-0.0825636327471468,-0.08351366684093835,-0.04327019738706238,-0.02977311542616976,-0.040278670306555533,0.037057287720274786,-0.013320316301154737,1.0,0.10526793225500643,0.053882287862978495,0.028234021683376756
N_Acc_R,-0.020197434271002408,0.20026981848126513,0.14976563038820484,-0.061391305748256124,-0.10199632301811551,0.02785710461872464,0.24801526906718072,0.30803229845094515,-0.054522948171387066,-0.05329787195877319,-0.010567557453264948,0.13105953170939422,0.25691881399461375,0.172997279923322,-0.07981372380030782,-0.05493258930343792,0.10526793225500643,1.0,0.17893535584631967,-0.009244377717927852
N_Acc_L,0.0018265605975086576,0.1026311569243854,-0.012306729105687551,0.1555027347431872,-0.05817753373342188,0.016707346904362975,0.10591218333814947,0.03973565120327665,0.1310245943896178,-0.0196241782145028,-0.2022042172827286,0.07666610371614382,0.09194826693091845,0.1143882129037925,0.09053979926001046,-0.17330837602463922,0.053882287862978495,0.17893535584631967,1.0,-0.16743139936234647
Vermis_7,0.13424799904172313,-0.2941656581292539,-0.3510216457164799,-0.2676067473886424,-0.3520706187450856,-0.06137933580975666,0.09908754911755537,0.21761519993240688,-0.25896853539079673,-0.13065899231176306,0.0023356835173676737,-0.23676971564065624,-0.06823588797736052,-0.2055219401035598,-0.45631512119978473,-0.2910281222030391,0.028234021683376756,-0.009244377717927852,-0.16743139936234647,1.0
