,Calcarine_L,Cerebellum_9_L,Thal_LP_L,Cingulate_Post_R,Cuneus_L,Thal_MDm_L,Frontal_Inf_Orb_2_L,Temporal_Mid_R,Thal_MDm_R,Heschl_L,Precentral_R,Thal_VL_L,Thal_LGN_R,SN_pr_R,Lingual_R,Thal_MDl_R,Cerebellum_7b_L,Putamen_R,Temporal_Pole_Mid_R,Olfactory_R
Precentral_R,0.304285765887201,-0.16423589928801532,0.45783453571109123,0.1535827150372665,0.5338167172992686,-0.0299179889027204,0.06401087496113372,0.17120392363524525,0.09385146896231332,0.34937393644321413,1.0,-0.2014871740964455,0.01994156511369017,0.24195145931953377,0.2425994004532559,0.05740199620076968,-0.0644447081879722,-0.24135076756542623,-0.31358083524954244,0.22769394817970426
Thal_VL_L,-0.48882378684131,0.2675438064303211,-0.5829857470480909,0.026368853040631305,-0.4416105793843131,-0.073140191111344,0.5850220018935872,-0.41979924448709216,-0.4824683905434815,-0.3226158572634332,-0.2014871740964455,1.0,-0.08509736300061391,0.07859734133919005,-0.1531808687608312,-0.13562426954879467,0.2413073473937056,0.5192171144866292,-0.13155567897117743,-0.4779672270756304
Thal_LGN_R,0.41378716074332494,0.06250656515727794,0.4609932727553378,0.09567728016769644,0.36109102626867606,0.2534493169809288,-0.2772281557472789,0.02450009018975255,0.7167477992064554,0.2671096969187903,0.01994156511369017,-0.08509736300061391,1.0,-0.07477689517531551,0.21956830559675397,0.8088463541946653,0.42093134045055397,-0.3132872720957517,-0.04753396156554524,0.5153113216973672
SN_pr_R,0.15799851486494323,0.4110558869084254,0.14627965753864255,0.5704087860625408,0.19940232428049903,0.1677975618839014,0.3156339842929891,0.3282955253757002,0.18069580970396004,0.3775846086802149,0.24195145931953377,0.07859734133919005,-0.07477689517531551,1.0,0.3326456637455166,0.033938350635543985,0.15620202235276048,0.3853140632811707,0.0659035087797013,0.41843719102336346
Lingual_R,0.5216351899661765,0.2510572368674686,0.2588558175016136,0.46276609070675473,0.42341160836185915,0.17411200471244276,0.18096842780914693,0.4714802836842736,0.3500442569995769,0.4457721258134473,0.2425994004532559,-0.1531808687608312,0.21956830559675397,0.3326456637455166,1.0,0.25017494834833104,0.26202094988852914,0.14422972543308468,0.2528644507899261,0.3834703246571995
Thal_MDl_R,0.4862897854866742,0.16210963121620175,0.4571736163995879,0.21429732105605637,0.43535750525700057,0.3484358223162127,-0.279602156266857,0.12379726276778909,0.7897344160904676,0.27815982593445804,0.05740199620076968,-0.13562426954879467,0.8088463541946653,0.033938350635543985,0.25017494834833104,1.0,0.3160726820945862,-0.22260302976756768,0.023923908164755238,0.4902994681278175
Cerebellum_7b_L,0.20052630306266903,0.33219135153708035,0.16617510794453688,0.15638318260975528,0.021773108927228002,-0.062205026557275354,0.2229994873399293,-0.09083306110971023,0.1391056360398412,0.13127994456940636,-0.0644447081879722,0.2413073473937056,0.42093134045055397,0.15620202235276048,0.26202094988852914,0.3160726820945862,1.0,0.22371011549574146,0.02105004148306808,0.22714993848290002
Putamen_R,-0.39855594492208707,0.6098644215856512,-0.4616693478589887,0.3077572682311617,-0.43850490296031985,0.1994582838307108,0.5942043347187231,0.09425088112433602,-0.3170330417951298,0.003415930859481774,-0.24135076756542623,0.5192171144866292,-0.3132872720957517,0.3853140632811707,0.14422972543308468,-0.22260302976756768,0.22371011549574146,1.0,0.3915949131077093,-0.1996899869589889
Temporal_Pole_Mid_R,-0.01007750203985437,0.6185354563711549,0.003004192805472872,0.1598407942607093,-0.07493538418702168,0.41806862880136514,-0.024705950343816667,0.6141552347566265,0.09685530435630571,0.3730453488592118,-0.31358083524954244,-0.13155567897117743,-0.04753396156554524,0.0659035087797013,0.2528644507899261,0.023923908164755238,0.02105004148306808,0.3915949131077093,1.0,0.1561228102006172
Olfactory_R,0.6186149054620523,0.25251296404016793,0.7794857085333048,0.5159323778584627,0.579880199360953,0.27775734765534765,-0.4545535710983198,0.5170111886240656,0.7336933521058474,0.6163447303637702,0.22769394817970426,-0.4779672270756304,0.5153113216973672,0.41843719102336346,0.3834703246571995,0.4902994681278175,0.22714993848290002,-0.1996899869589889,0.1561228102006172,1.0
