,Hippocampus_R,Occipital_Sup_L,Rolandic_Oper_L,Thal_PuA_R,VTA_R,Cerebellum_4_5_R,Thal_LP_R,Parietal_Sup_R,OFCmed_R,Thal_MDl_L,Putamen_R,Paracentral_Lobule_L,Thal_VL_L,Lingual_R,Occipital_Inf_R,LC_L,Thal_PuM_R,Occipital_Inf_L,Amygdala_L,Thal_LP_L,Cerebellum_Crus1_L,Frontal_Inf_Tri_R,Vermis_1_2,Calcarine_R,LC_R,ACC_pre_R,Lingual_L,Cerebellum_9_R,Thal_PuI_L,Temporal_Inf_L,Putamen_L,Thal_VA_R,Cerebellum_8_R,Cuneus_R,Frontal_Inf_Orb_2_L
Putamen_R,0.7402204810640796,-0.2215611545673304,0.07816693300721932,-0.0996041224852449,0.13432530951416335,0.43383347530295596,-0.0034504027904607363,-0.3706101074093168,0.31596707569003973,-0.35000377722690407,1.0,0.03252718136644053,0.06362670325968833,0.06489965321184989,0.31632081012805346,-0.11129550374060532,0.1376544950909541,-0.1401706546736943,-0.3014009427653858,-0.08792942677997762,-0.33657635891405885,0.6005805322974545,-0.23780390134641052,-0.2620933239337165,-0.22386396599371697,0.6761088209673091,-0.13579953753384602,0.13839727131021273,-0.05036154683024554,-0.12582002446511795,0.22989272704905941,0.7654608399589384,-0.4757047743147159,-0.5368827182241519,0.29002270964949434
Paracentral_Lobule_L,-0.07050597882159443,-0.6113761391646614,0.5245330530114507,0.6345937788195851,0.01717726960490895,-0.2927966249113189,0.1890473340587576,-0.13308684732815368,-0.2696365275194921,-0.01040499776391205,0.03252718136644053,1.0,0.4233055090445191,0.35507649663433083,-0.4729586780971649,0.36182322059737637,0.4034709473397182,0.00810080408155491,0.22672427825179642,-0.31831724016749535,0.17300751888716437,-0.09355296717770338,0.44914727497898405,0.36339512147247743,0.481751634333387,-0.055157255994151125,0.45688066630135943,-0.14492711678233308,-0.16245650829633604,-0.06503452107527267,0.5059596026267422,0.05648701301281649,0.38054735259122546,-0.13149706434565714,0.45592154532667983
Thal_VL_L,-0.09992262258152838,-0.11302026965579844,0.41881323833588335,0.6314604717388695,0.24013289074356337,-0.01818896935265634,0.03766408309581742,0.08255741072941596,0.005354270551354338,0.5697275120940897,0.06362670325968833,0.4233055090445191,1.0,0.26718774427881997,-0.47805386475221556,0.12330627216031463,0.7158432670125184,0.16220793885622922,0.242331872512068,0.21495599789267575,0.3704470327394407,-0.10359027471848697,0.5431515882414742,0.38099927167241343,0.22041404586338162,-0.19116851826711642,0.3980968494137465,-0.07089745016659667,0.20879785649035817,-0.051431842102615144,0.4565753559661966,0.06834918723040535,0.5072465478695847,0.26556522685492556,0.16941420483851652
Lingual_R,0.01584353521920786,-0.14734149846130407,0.25623444429159886,0.6082970413996528,-0.0874711878110671,0.1419092882171898,0.1522029646622333,-0.018905220000948617,-0.049713115794245935,0.12021627005626677,0.06489965321184989,0.35507649663433083,0.26718774427881997,1.0,-0.061380914954509945,0.15238452613465267,0.35788313123465,-0.10371281044001479,0.2037734900308361,-0.4517481336747046,0.1001962008783063,-0.15330367986007523,0.41245180748769994,0.8330906336582561,0.5096817510278152,-0.38063804522604877,0.8368230013386155,-0.2834532377254702,-0.2893586746648936,0.12887643642504418,0.2277922925754149,-0.12085414392083221,0.10531307357167005,0.31037827481109614,-0.15686837347630042
Occipital_Inf_R,0.578496787816279,0.3121624047466751,-0.49525192872784496,-0.4986644649069153,-0.03927318762246427,0.516869444128994,0.038695191302525106,0.10409624557453133,0.2551928454683086,-0.37974836360353226,0.31632081012805346,-0.4729586780971649,-0.47805386475221556,-0.061380914954509945,1.0,-0.2615735524056978,-0.14995771647483677,-0.02418968395177693,-0.3254624995206374,-0.0016416332921515059,-0.6324315818797482,0.5435375717615898,-0.5958284653617006,-0.34042052193114997,-0.4776216134216834,0.29693145204566884,-0.40339021905993855,0.18056554548880493,-0.042396986065809016,0.15385357012674142,-0.6167617729383185,0.21316562115809423,-0.5791937924722966,-0.10472183955351021,-0.4780624273731119
LC_L,-0.24316793233892484,-0.12912220664628243,0.4101543534385544,0.25359535393225835,0.04821976389660716,-0.298592633398899,-0.10594996065360855,-0.2124169993869351,0.0682297102775782,0.07294410784808435,-0.11129550374060532,0.36182322059737637,0.12330627216031463,0.15238452613465267,-0.2615735524056978,1.0,0.02756197853627573,0.09916620417440272,0.2061217184758647,-0.2071461404235709,0.13386120252551018,-0.3313414956299988,0.3044307384083475,0.2316650141184428,0.3096656577244552,-0.04412801474970586,0.2679523436033548,-0.17237444907284746,-0.05023091721254158,0.02719908495371742,0.4407087386781425,-0.17856908000033153,0.36305302054790656,0.0042135412099924795,0.3535880456464501
Thal_PuM_R,0.16294602073110934,-0.10144828055918498,0.21062781031095115,0.6294911564495473,-0.06022160817713787,0.19254241735910638,0.05209524545042938,0.03905708636133776,-0.18324473993892276,0.24633088486311724,0.1376544950909541,0.4034709473397182,0.7158432670125184,0.35788313123465,-0.14995771647483677,0.02756197853627573,1.0,0.08855439984413041,0.3107846473884861,0.24862837670995874,0.07622943384165418,0.13578513510475548,0.48722703408600754,0.33558787251031585,0.2305670693261811,-0.1757221192174946,0.3277154735720673,0.06891304203976166,0.11358877906670631,0.02307840346640603,0.2929652581747235,0.04178390035192275,0.2767340173327989,0.2700563088617562,0.08661771870526815
Occipital_Inf_L,-0.2534858035526321,0.08969599397686112,-0.000297041053017608,-0.0020488686642934485,0.0365637221682901,-0.12813785172340653,0.05361254777991271,-0.011829290832702372,0.12812948622838766,0.10180923567567332,-0.1401706546736943,0.00810080408155491,0.16220793885622922,-0.10371281044001479,-0.02418968395177693,0.09916620417440272,0.08855439984413041,1.0,0.08912951926781798,0.0661712461075802,0.09685755327427623,-0.21565874558655102,0.1772049264482412,-0.040193399960149284,0.08416340555927905,-0.11494979775320177,-0.11695058579730824,-0.12071318245880204,0.06219038407324678,-0.009954616936830937,0.10887463221120243,-0.2175723340378226,0.3441264204027246,0.16292088429532198,0.019490060229052416
Amygdala_L,-0.44000806103749246,0.01067576649188979,0.10503644164692945,0.3894028801039815,-0.1774909829205991,-0.16737110017022733,0.07426821810952164,-0.1986466447762326,-0.353234169163395,0.32083157994877487,-0.3014009427653858,0.22672427825179642,0.242331872512068,0.2037734900308361,-0.3254624995206374,0.2061217184758647,0.3107846473884861,0.08912951926781798,1.0,-0.02535899241058933,0.26256682009307014,-0.45956752201022316,0.5513808389255868,0.384210792367995,0.48651582029698326,-0.21524759079496542,0.29700442938556343,-0.006976074322753143,0.06880580079313176,-0.00031739757495274115,0.38544544642468664,-0.43561151814742655,0.3796225810261691,0.31794200954328344,0.23294305261891302
Thal_LP_L,-0.03610503330820392,0.3067761009965892,-0.34713368614714224,-0.19055305788531632,0.009496321590550846,0.12519027099750032,-0.16689470621968375,0.19500429680268297,0.013011249141951108,0.26831013071159104,-0.08792942677997762,-0.31831724016749535,0.21495599789267575,-0.4517481336747046,-0.0016416332921515059,-0.2071461404235709,0.24862837670995874,0.0661712461075802,-0.02535899241058933,1.0,0.23959140869406645,0.11417851819586926,0.05801486613479957,-0.31435317460447915,-0.28614153412242443,-0.01981235751486548,-0.40689460807287414,0.35613268602345766,0.27573878899721027,0.0813827779681708,-0.15979126401951435,-0.019680526527273697,0.19177879690800406,0.21150486454477627,-0.19840571091138784
