,Paracentral_Lobule_L,Red_N_R,Raphe_D,Temporal_Pole_Sup_R,Amygdala_L,Lingual_L,Temporal_Inf_L,Thal_PuA_R,Caudate_R,Rolandic_Oper_L,Olfactory_L,ParaHippocampal_R,Thal_MDl_R,Parietal_Inf_R,Angular_L,Vermis_4_5,Occipital_Mid_R,Precuneus_R,Putamen_R,Cerebellum_10_R
Olfactory_L,0.16557378929872574,0.03591828889359187,-0.00480946576964089,0.07133566711552253,0.07823064382189997,-0.024436509361710903,-0.03235418176532541,0.2038021068289999,0.1151031725843318,0.09087110781849966,1.0,0.023847816344755905,0.023795722057792564,-0.005446599141104459,0.08103844539274555,0.011146381771248002,0.08598206120338116,0.19205432264475386,-0.13045526465996446,0.0430720577045123
ParaHippocampal_R,0.6595452773690635,0.8041641090638674,0.38566124784486383,-0.19229314367414838,0.1485053416819464,-0.29865373525777633,0.40616180717268696,0.4696634887809467,0.5135970847164935,0.539353850006681,0.023847816344755905,1.0,0.7561847034127154,0.1494053241207477,-0.5578662780316728,-0.4210464775370766,-0.10646636183832298,0.4228526880287895,0.05686668390559465,0.3316396947328949
Thal_MDl_R,0.6688953939322079,0.6599440713712227,0.4025875493877845,-0.08357544395722982,0.11768349863159241,-0.10865586647013181,0.3388885490334899,0.5511998219943576,0.7653267768860985,0.47472336598387777,0.023795722057792564,0.7561847034127154,1.0,0.23497949866729212,-0.39640451886980904,-0.1680367420787941,-0.010480010746924003,0.4169228355802921,0.24885679377746642,0.12532676681531948
Parietal_Inf_R,0.3037103429253382,0.1581420500768483,0.23869517864868348,0.13600330741658184,0.02208252076987388,0.30433049278877705,-0.006550314765361782,0.1308943869184448,0.1836314671788881,-0.21013335685843543,-0.005446599141104459,0.1494053241207477,0.23497949866729212,1.0,0.11066658709851271,0.3838761644207408,0.14789506738127842,0.609627222299947,0.5089689246900062,0.1041758208374036
Angular_L,-0.0572438827474763,-0.7064615834630127,-0.3394955244271259,0.16290326791027607,-0.12036970445589039,0.8147248666172745,-0.014596206032473451,0.09883970030140449,-0.035693187967583875,-0.13619076557468787,0.08103844539274555,-0.5578662780316728,-0.39640451886980904,0.11066658709851271,1.0,0.7862675867959416,0.0782860535503708,0.2645354806253376,0.2916944823710323,-0.1576514009516411
Vermis_4_5,0.11752201706887495,-0.5778376525284162,-0.13034142344089883,0.29331354863145853,-0.21677413312228397,0.8402009650212208,0.0005613875701623606,0.22469196752792364,0.10344032004615046,-0.2622785364530307,0.011146381771248002,-0.4210464775370766,-0.1680367420787941,0.3838761644207408,0.7862675867959416,1.0,0.2852262403633804,0.4108629815317453,0.5600818914436039,-0.14044476923505925
Occipital_Mid_R,0.0437165337627459,-0.24901361509959732,0.004063631950058571,0.05540701103851896,-0.1391959966008035,0.14974616265686017,-0.049918013131466044,-0.030131732724268133,0.07902383116134944,-0.2801910465393485,0.08598206120338116,-0.10646636183832298,-0.010480010746924003,0.14789506738127842,0.0782860535503708,0.2852262403633804,1.0,0.07157844044220715,0.18454315753746772,-0.1423108680795274
Precuneus_R,0.7733969744316058,0.14857290771081835,0.14811373201424793,0.0053639432791591675,0.08636385614924297,0.3477426325358857,0.3349692076661073,0.5030495698491342,0.4880652392890936,0.2001794673628955,0.19205432264475386,0.4228526880287895,0.4169228355802921,0.609627222299947,0.2645354806253376,0.4108629815317453,0.07157844044220715,1.0,0.2266992860618562,0.16191300300163683
Putamen_R,0.13125770059523825,0.09483859773385817,0.2846064319325982,0.17849822139537652,-0.1531963916030413,0.6125854240131853,0.04215431820856289,0.2937009606150893,0.3011676105880344,-0.05244038639733187,-0.13045526465996446,0.05686668390559465,0.24885679377746642,0.5089689246900062,0.2916944823710323,0.5600818914436039,0.18454315753746772,0.2266992860618562,1.0,0.004043449543792534
Cerebellum_10_R,0.20128951059236908,0.3149997459677959,0.3317304784334226,-0.1679444528369663,0.20863124327414,-0.17691545956832877,0.20058424706145944,0.18852940214697186,-0.0235196498445161,0.2751712456162615,0.0430720577045123,0.3316396947328949,0.12532676681531948,0.1041758208374036,-0.1576514009516411,-0.14044476923505925,-0.1423108680795274,0.16191300300163683,0.004043449543792534,1.0
