,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
Insula_L,0.28409325028174987,-0.22015978646112522,0.14732985451338318,0.05594930500582142,0.5668766639702231,0.6332793143964538,-0.062039301745851844,-0.35849272723711556,-0.30064022749907116,0.4944395043613514,-0.25468000261868784,0.3717392642584772,0.29265962984596694,0.505083618864572,-0.021047666376694016,0.12666234478740168,0.6335730674553147,0.7219555361862963,0.14270785672982367,0.4273050187550211,0.42000856387435453,0.2780869127860265,1.0,0.4080338325237887,-0.2816354794399863,0.35242260700287337,0.5877817849617499,-0.2063043176942145,0.417742423619323,0.1352376947436251,-0.0774131830376047,0.5038734538506815,-0.3376772453756155,0.6104565016041598,0.5336337686876688,0.5486544432426228,-0.3679497128538072,0.46750472867180476,0.22494953310234958,0.6527558516582387
Postcentral_L,0.30574754450316866,-0.08074540215285646,-0.011831629333673729,0.03709195199870135,0.025464407423191143,0.36287878846680743,0.3989622950372974,-0.002377770041569286,-0.09147932522608339,0.42360968556230016,-0.10735392550784655,0.26796000338685355,-0.44673044318910493,0.5676605290271493,0.17920467605457174,0.1804104804096806,0.5735317592459759,0.33473280907492836,-0.24704089623767125,0.9371952238659944,0.23629988819378098,-0.1315894237845226,0.4080338325237887,1.0,-0.19923152548395456,0.021757302759973823,0.2148149676796064,0.16457324212291513,0.7895864642396355,0.16335014279055013,0.12166136388798078,-0.10166279789853135,0.06015718331393973,0.17758740272180115,0.6491845331703956,-0.0188328385944915,-0.11909176269838281,0.09662129405921283,-0.22633008536713434,0.31331761727091595
Vermis_7,-0.018413117131739952,0.5458275242343708,0.0583945324898171,0.638101225056484,-0.4556701778922404,-0.15276292195248117,0.584661696611044,0.7055267395185701,0.83388773442497,-0.25966264130096006,0.7978206486507952,-0.025479351465094963,0.018862783511173025,-0.3245204266569815,0.8013822551663055,0.3138613685373463,-0.41680407309080836,-0.20965425158890727,0.32488337512461835,-0.09198867217229897,0.29254035661827643,0.16907573648515464,-0.2816354794399863,-0.19923152548395456,1.0,0.3589748889582751,-0.14239247480464415,0.47410528599464874,-0.09893769505484785,0.3431066083075227,0.6388193577044347,-0.42272070091220265,0.6976036179866868,-0.5676923252706446,0.052006441334779864,-0.10959596402142076,0.8725510079504837,-0.02469702554860459,0.01617833626204926,-0.006963829139625061
Hippocampus_R,0.06778929667906895,-0.006615139083069553,0.6604312946287161,0.5956918956526475,0.22349635894536565,0.39571705016342207,0.1679882567526797,0.3173740017984061,0.5405145885863541,-0.0854015093583632,0.23021129891714778,0.17328812474713529,0.4366218362924808,0.05305309780832817,0.3140942858099004,0.6044194470287407,-0.06523548559148948,0.46898171059010707,0.5142715954446002,0.18219041715895934,0.4048119499357851,0.70090403176256,0.35242260700287337,0.021757302759973823,0.3589748889582751,1.0,0.5955005146701663,0.15705207087684847,0.07172503042359055,0.21707954738991728,0.14431087995951392,0.22885021559851024,0.2618222495574835,0.28956701408832763,0.2622442851056743,0.34993476958995245,0.3566709529674888,0.30096865633772235,0.24385742707381283,0.5717788810469068
Cerebellum_10_R,0.10010731894208405,-0.22916664577062998,0.5341197273139675,0.1024012484869157,0.527343281148502,0.5353575235560214,-0.037773239001910895,-0.0963213233052722,-0.07165200784650956,0.27093825602151583,-0.06111113333908563,0.3672518295543679,0.4067916607816987,0.3437732566231973,-0.06435293243072888,0.2080589342679219,0.35667853553710877,0.6652974649515984,0.29155530325279577,0.29950361466417547,0.25379381096455245,0.34854671922262387,0.5877817849617499,0.2148149676796064,-0.14239247480464415,0.5955005146701663,1.0,-0.16048121388662112,0.1790997803707435,0.0615039858831207,-0.17546323929982668,0.36256699401632086,-0.1664015295675738,0.6925070508510764,0.36344229651018,0.5085495689894967,-0.1930273139070966,0.47218750542709154,0.2349237770212744,0.6065774023008454
Parietal_Sup_L,-0.027096954692490124,0.17535919490535273,-0.033092079299292296,0.6133166293214836,-0.21176672439474165,0.07983515227216184,0.5643652649189393,0.7743625202078323,0.5547988926382781,-0.15961044136355662,0.37178492983807426,0.16769624193874694,-0.33018851850982545,0.1760670587224708,0.49386671593223447,0.30614541256114125,-0.46572316147552806,-0.00024211818566829602,-0.1119860908001958,0.23233000087178687,-0.04765749310000647,0.0800137794606775,-0.2063043176942145,0.16457324212291513,0.47410528599464874,0.15705207087684847,-0.16048121388662112,1.0,0.2626659465708282,0.5418022794950963,0.5214846970543286,-0.4070420572888131,0.8333244871760278,-0.5575290222963142,0.39660508465335853,-0.28334057730058926,0.6233075689215092,0.04651507350833097,-0.4857155203638535,0.16297891956886368
Precuneus_L,0.22917877518598156,-0.008345054980876867,-0.07615495010243396,0.2902667621226773,0.046837708421310555,0.498162506890534,0.5518230414980917,0.018067957683115435,-0.0575451620193468,0.33920672073170516,0.0007399017665827265,0.16316201572943542,-0.4796343203102544,0.8006037339271939,0.29796530276708977,0.27023710639694587,0.39908139174311913,0.2747257685358089,-0.13113125452996613,0.738856320541279,0.21920945503338188,-0.12577037292966622,0.417742423619323,0.7895864642396355,-0.09893769505484785,0.07172503042359055,0.1790997803707435,0.2626659465708282,1.0,0.5513623315274404,0.3853118370964453,-0.10205432649254167,0.23886065925424588,0.1426320028348345,0.6122134806150673,-0.09753828069234746,-0.07463448944524306,0.12397614976637945,-0.1169595212112398,0.5593615075899319
SupraMarginal_R,-0.07731237402476311,0.24702635451336577,-0.15325496363560295,0.779324998668892,-0.037581650216180255,0.2940054531576592,0.5806463855195914,0.44686263848369884,0.39984921938050044,-0.027022722497411583,0.3125092613883868,0.1591134791171097,-0.16706942194313582,0.4701350005531342,0.5730105209889881,0.3230753178852458,-0.25645997849435265,0.10989474455672144,0.143113773418569,0.1842936278859774,0.18623271852343556,-0.011150681342453738,0.1352376947436251,0.16335014279055013,0.3431066083075227,0.21707954738991728,0.0615039858831207,0.5418022794950963,0.5513623315274404,1.0,0.4937353138747591,-0.227868739587584,0.6521514768784757,-0.25868898030485754,0.49754057001828156,-0.20644921881110506,0.4610974717352566,0.2357185325279866,-0.3260008745867723,0.5343210197724435
Vermis_6,0.09140580689864913,0.33238339613291046,-0.105743914000296,0.5719358358121316,-0.3425196921882372,0.19654804210016816,0.7227372771289177,0.5261487471155328,0.489190411941807,0.03882246490923767,0.5954819008193017,-0.10269981481792419,-0.3726278264840764,0.192753416327518,0.7138143819247287,0.15258544846073838,-0.17933458939050925,-0.1416201088460085,-0.0011855008128859967,0.16672472741721067,0.06155584317395762,0.03902866805683342,-0.0774131830376047,0.12166136388798078,0.6388193577044347,0.14431087995951392,-0.17546323929982668,0.5214846970543286,0.3853118370964453,0.4937353138747591,1.0,-0.44085507908242666,0.6677079973447921,-0.4358612830754036,0.2254880282820426,-0.13776078363905905,0.5434556043353346,-0.1645743368056082,-0.024352425497121993,0.17789920256720687
Thal_PuL_R,0.0887872049068678,-0.35494826370771976,0.15274059328857265,-0.2341722190830284,0.39875486484589234,0.211836789659221,-0.5966692959245317,-0.5048456498813122,-0.4026813113065939,0.1007091365487667,-0.4545356757784511,0.1685807184449732,0.4433038908399424,0.14794056353426027,-0.5039501389988782,-0.08788399177524683,0.24666565968235174,0.4640336947404146,0.07136079301405004,-0.03306227343928196,0.04930495392586231,0.22614626895148787,0.5038734538506815,-0.10166279789853135,-0.42272070091220265,0.22885021559851024,0.36256699401632086,-0.4070420572888131,-0.10205432649254167,-0.227868739587584,-0.44085507908242666,1.0,-0.5451357579050825,0.5476515040900825,0.11589615064718317,0.3848213462977812,-0.5136085643792406,0.2868360744385723,0.2511241106245423,0.2994006782190215
