,N_Acc_L,Temporal_Inf_R,OFCmed_L,Thal_MDm_R,Amygdala_L,Cingulate_Mid_R,Thal_AV_L,Thal_PuM_L,Insula_L,Cerebellum_9_L,Rectus_R,Cerebellum_7b_R,Frontal_Mid_2_L,Occipital_Inf_L,Fusiform_L,Postcentral_R,Thal_VPL_R,OFClat_R,LC_L,Thal_AV_R
Rectus_R,0.32265973469826903,0.46350935062133963,0.6951058050678813,0.21783799956962108,-0.19638686150282417,0.29122682730422567,0.4210301464348734,0.10581694517640204,0.017081927535597,0.1322512734452123,1.0,0.4467094122005679,0.052617652763443074,-0.5035252500475218,-0.14782705129130624,0.098125144980834,-0.07545745041809357,0.527472760582748,0.4471884666535761,0.4295177686690178
Cerebellum_7b_R,0.09606252838542785,0.8922058680871192,0.4217583083351588,0.5302981460284439,-0.1848218849267088,0.13097621584269675,-0.02310488558503671,0.594373274164665,-0.28428319487615034,0.7642512877793148,0.4467094122005679,1.0,-0.13801454872945296,-0.5611266934036004,-0.5885631201166326,-0.16006018741932082,-0.08939995253894087,0.18339782357903395,0.48953063979978273,-0.031741771952825126
Frontal_Mid_2_L,0.569510713606455,-0.13449227891752685,-0.19100238477506268,0.12313708513776729,-0.09528462481693115,0.7026527837723349,0.44713830809756555,0.035228511484697585,0.7171005487146592,-0.028085618461674972,0.052617652763443074,-0.13801454872945296,1.0,-0.14172243400265075,0.5586425066180689,0.3612212095552154,0.48850111897942655,0.061954800266645356,0.178020949111612,0.32105112633771693
Occipital_Inf_L,-0.3191364695487311,-0.6058727070957471,-0.23559423882424807,-0.2699711226394822,0.4075195640939645,-0.26520244980176,-0.36436505295212224,-0.2366078627016738,0.11414488608818316,-0.30379320555098216,-0.5035252500475218,-0.5611266934036004,-0.14172243400265075,1.0,0.3286248596952594,0.031007554631506715,0.09816300106297861,-0.2883565499689782,-0.24063178645908562,-0.16027936613994348
Fusiform_L,0.20394976480844257,-0.49766045988018376,-0.06409832469924824,-0.1983787946237328,0.25443982673303633,0.49479364762274186,0.19301745750308666,-0.24947363604128503,0.6669033893653139,-0.40735076894844247,-0.14782705129130624,-0.5885631201166326,0.5586425066180689,0.3286248596952594,1.0,0.4091010741733761,0.24401387474462422,0.1317475382471276,-0.07448052736016807,0.2774465626249203
Postcentral_R,0.48475861210950116,-0.29505659109580634,0.0561720504140841,0.04296908504464482,-0.09518060042268084,0.5901393445013522,0.285846752945985,0.2255049290930853,0.4847473101461898,-0.20809639888685907,0.098125144980834,-0.16006018741932082,0.3612212095552154,0.031007554631506715,0.4091010741733761,1.0,0.3298413753537042,-0.08055877442822422,0.09991694815327933,0.3035323689281528
Thal_VPL_R,0.34130871968895854,-0.2806170873155351,-0.274842122561967,0.3781824834660619,0.06016027450869939,0.3386299796393422,0.2636219174854991,0.43444876795340254,0.48269049107966616,0.17283285133984383,-0.07545745041809357,-0.08939995253894087,0.48850111897942655,0.09816300106297861,0.24401387474462422,0.3298413753537042,1.0,-0.41997725468558356,0.14148211270760594,0.29649238169460246
OFClat_R,-0.015749393109520626,0.42719582079236307,0.6450278713902375,-0.19881450021145447,0.09246543894220197,0.24600666693979076,0.16682818459389148,-0.2456587711425006,0.11993795935714281,-0.10391779359429772,0.527472760582748,0.18339782357903395,0.061954800266645356,-0.2883565499689782,0.1317475382471276,-0.08055877442822422,-0.41997725468558356,1.0,0.37219226527242927,0.268290684031563
LC_L,0.14992718797948512,0.48989001695889395,0.46201328758622195,0.39603082131834877,0.1208113722366966,0.40537872925313667,0.0903629237129337,0.33683691934805604,0.2394424660184949,0.4173091520610177,0.4471884666535761,0.48953063979978273,0.178020949111612,-0.24063178645908562,-0.07448052736016807,0.09991694815327933,0.14148211270760594,0.37219226527242927,1.0,0.2777638776588376
Thal_AV_R,0.38274733192874505,-0.04302973770172577,0.2643883069940912,0.34505822346779924,0.0128167957613457,0.48386575455920094,0.6123322294615177,0.021105409234278522,0.46750472867180476,0.05530799454345758,0.4295177686690178,-0.031741771952825126,0.32105112633771693,-0.16027936613994348,0.2774465626249203,0.3035323689281528,0.29649238169460246,0.268290684031563,0.2777638776588376,1.0
