,Rolandic_Oper_R,Frontal_Inf_Orb_2_R,Cerebellum_9_R,Cerebellum_Crus2_L,Raphe_M,Thal_PuL_R,Frontal_Mid_2_R,Vermis_4_5,Cerebellum_10_R,Cerebellum_6_R,Occipital_Inf_L,Vermis_10,Cerebellum_3_L,Thal_LP_R,Frontal_Inf_Oper_L,Thal_LP_L,SN_pr_L,Cerebellum_8_L,LC_L,ACC_sup_R,Cerebellum_3_R,N_Acc_L,Postcentral_R,Parietal_Sup_L,Occipital_Sup_L
Occipital_Inf_L,-0.5685368621523695,-0.20024698685092643,-0.49549361580297013,-0.04574786757967345,0.0505418687023478,0.2609473237257159,-0.16453231263291052,-0.34265161136034933,-0.0634136834718791,-0.49765543547871827,1.0,-0.17592688105566878,-0.14377959056867334,-0.21071061390285692,-0.02802346145740251,-0.11407592309741328,0.06815391780158304,-0.03036458802223944,-0.24063178645908562,-0.08003382250872464,-0.2934530393989066,-0.3191364695487311,0.031007554631506715,-0.5749982602214581,-0.5653117226276299
Vermis_10,0.48455387817027257,0.33656287781836314,0.21057770067346124,0.010850275191476471,0.07851603043221007,0.279117463827129,0.7112758225232493,0.544891164339906,0.39529661420274126,0.40426411450083066,-0.17592688105566878,1.0,0.7557768950002313,0.392620572476033,0.4507355942072371,0.44543804398599773,0.32341680204164297,0.020172862236497235,0.49320964348200463,0.5593017718139452,0.6461702941439439,0.3894227932966132,0.5042602494630263,0.1655245705595498,-0.0043846640231812286
Cerebellum_3_L,0.3993459337045506,0.2682204008634927,0.259097452654026,0.11746216805063846,0.07934506691112601,0.08826972642230246,0.64003813351041,0.7069175435439568,0.32422037581684926,0.5509182210584185,-0.14377959056867334,0.7557768950002313,1.0,0.22465990796292218,0.40731588243076977,0.31942050707704306,0.2799039637406103,0.13086729330254457,0.3005374880126724,0.3340632721583061,0.6324164964736565,0.32425673115886855,0.5157318068316641,0.18135758161760843,0.04902228024882601
Thal_LP_R,0.3878105999501193,0.0007469132127729503,0.3902204811764291,0.09284543901758142,-0.009178791841307234,0.08556236024565654,0.3321989562456246,0.3324159253095194,0.20604421784792937,0.3117267132868596,-0.21071061390285692,0.392620572476033,0.22465990796292218,1.0,0.35566341616870656,0.21961777760908802,0.14628733636236252,0.29324196694502697,0.4002831812929567,0.3926960838695592,0.34697706742744944,0.29337268954751666,0.06601147474170527,0.285260513126592,0.18601508505727152
Frontal_Inf_Oper_L,0.10060476265833312,0.10794324128789783,0.08160720539551909,-0.2177050090577378,0.2244338393026803,0.32316690275625465,0.4345589699415425,0.5489308713801939,0.5607411994435645,0.12716340953522381,-0.02802346145740251,0.4507355942072371,0.40731588243076977,0.35566341616870656,1.0,0.18880345839723717,0.3604371658383674,0.24495057419941882,0.15363631307414452,0.573501304585344,0.20855654208067534,0.17251131806847844,0.1249491593141872,-0.26344546518532885,-0.3313958723587122
Thal_LP_L,0.29760059945083867,-0.145755733020473,0.06093257693288414,0.10717248534170902,-0.16935976896005323,-0.004723942117834424,0.38661884249024747,-0.004511174656249334,0.030200503601863646,0.08704682763865083,-0.11407592309741328,0.44543804398599773,0.31942050707704306,0.21961777760908802,0.18880345839723717,1.0,0.3004375109722351,-0.12805355516622507,0.10787613021152628,0.32953339963345096,0.6581305174237649,0.6401865214242985,0.45084038671378046,0.2343049399752501,0.09460011384578525
SN_pr_L,0.00727016909614541,0.10742781635869204,0.044363777353394,0.039273532030254334,-0.27431048583340084,0.0887872049068678,0.22851341627486463,0.15960366256479053,0.10010731894208405,0.07956590384393292,0.06815391780158304,0.32341680204164297,0.2799039637406103,0.14628733636236252,0.3604371658383674,0.3004375109722351,1.0,0.16164259141455276,-0.03911429357870748,0.18648764713390933,0.24413793805146256,0.15003083448711724,0.144640363733601,-0.027096954692490124,-0.15338419331439293
Cerebellum_8_L,0.04894947626011549,-0.043924851965834975,0.6174076961017403,0.4100989645372957,-0.2208095842791812,-0.252110354469167,-0.031500409851911354,0.20416359769091694,-0.07268148603064734,0.4608060062760873,-0.03036458802223944,0.020172862236497235,0.13086729330254457,0.29324196694502697,0.24495057419941882,-0.12805355516622507,0.16164259141455276,1.0,0.07556762623122923,-0.1657567662164236,0.19639889892397802,-0.3545638841979724,-0.24548524298103988,-0.0724153023825856,0.007188732057870184
LC_L,0.5485612076587048,0.40437278291033063,0.48537201619655607,0.29228311596430284,0.14983636796147742,-0.0029509412488090974,0.3813691525357798,0.32174778876786614,0.16175790822106764,0.4781845711970498,-0.24063178645908562,0.49320964348200463,0.3005374880126724,0.4002831812929567,0.15363631307414452,0.10787613021152628,-0.03911429357870748,0.07556762623122923,1.0,0.3206790620489761,0.4426783995931095,0.14992718797948512,0.09991694815327933,0.43740047999838355,0.25363463387087953
ACC_sup_R,0.3942237829368912,0.26873599567062256,-0.10884471702108021,-0.30537832732078296,0.443419523152816,0.4640336947404146,0.6029688415802817,0.41746968106996374,0.6652974649515984,-0.05809260985281785,-0.08003382250872464,0.5593017718139452,0.3340632721583061,0.3926960838695592,0.573501304585344,0.32953339963345096,0.18648764713390933,-0.1657567662164236,0.3206790620489761,1.0,0.2628503980431105,0.4415486639092941,0.43203962970451226,-0.00024211818566829602,-0.12207752691790369
Cerebellum_3_R,0.5800967398499334,0.04755274664932637,0.4893989160911666,0.3857718981980513,-0.08056462048262324,-0.18658566429955595,0.5497513129326608,0.40205494897027133,0.04184738412644132,0.6284401725138683,-0.2934530393989066,0.6461702941439439,0.6324164964736565,0.34697706742744944,0.20855654208067534,0.6581305174237649,0.24413793805146256,0.19639889892397802,0.4426783995931095,0.2628503980431105,1.0,0.46913771052680914,0.517793303190445,0.4970417552950437,0.3764766235814065
N_Acc_L,0.45294684300846183,-0.20431816427474225,0.04356122585231272,-0.11156976874577551,0.09579550027640388,0.02052908886240993,0.31909618442661397,0.1416674493869956,0.18406630797700618,0.11588764731734347,-0.3191364695487311,0.3894227932966132,0.32425673115886855,0.29337268954751666,0.17251131806847844,0.6401865214242985,0.15003083448711724,-0.3545638841979724,0.14992718797948512,0.4415486639092941,0.46913771052680914,1.0,0.48475861210950116,0.37261047039417966,0.1814760745192193
Postcentral_R,0.32031685670639126,-0.056527878156764064,-0.23356054294390743,-0.08729803723362203,0.2919261583793176,0.2523313312236905,0.6938035686322023,0.30160138130434855,0.31193224258423535,0.016077771727826765,0.031007554631506715,0.5042602494630263,0.5157318068316641,0.06601147474170527,0.1249491593141872,0.45084038671378046,0.144640363733601,-0.24548524298103988,0.09991694815327933,0.43203962970451226,0.517793303190445,0.48475861210950116,1.0,0.15542445478747874,0.06348730872415657
Parietal_Sup_L,0.5426897792570489,0.0800137794606775,0.4677276631841734,0.3570673019774342,-0.1166485656013045,-0.4070420572888131,0.16297891956886368,0.14300261060670624,-0.16048121388662112,0.5408899902591419,-0.5749982602214581,0.1655245705595498,0.18135758161760843,0.285260513126592,-0.26344546518532885,0.2343049399752501,-0.027096954692490124,-0.0724153023825856,0.43740047999838355,-0.00024211818566829602,0.4970417552950437,0.37261047039417966,0.15542445478747874,1.0,0.7443278940766542
Occipital_Sup_L,0.4325199657302929,0.013595493723767508,0.47450913002691003,0.3563039674249175,-0.09323161920876519,-0.5170821822784125,0.10155874865397413,0.12334632738667689,-0.14064874443821646,0.5155532599305399,-0.5653117226276299,-0.0043846640231812286,0.04902228024882601,0.18601508505727152,-0.3313958723587122,0.09460011384578525,-0.15338419331439293,0.007188732057870184,0.25363463387087953,-0.12207752691790369,0.3764766235814065,0.1814760745192193,0.06348730872415657,0.7443278940766542,1.0
