,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
Raphe_D,0.7133143409930751,0.8008317096379738,0.9921008598204947,0.8593690239710858,-0.4651804607668519,0.9136368369979145,0.17138878169155533,0.7706928439068684,0.8796349077210148,0.9689191705870899,-0.14170659606425523,0.7415222156651717,-0.4621911526450535,-0.3396646184683667,-0.3882793916934294,0.9596046411205882,-0.5865082513936836,0.0630791456190009,0.45700716679836084,-0.9314304603401,1.0,0.9303726894693396,-0.4292635307624146,-0.9649788394230417,0.32226119035047746,0.7777544935555281,0.9676970481481549,-0.8994290834071157,-0.49724631351343923,0.916547695051748
Frontal_Inf_Orb_2_R,0.8883361770870225,0.9437909694167516,0.932876373754006,0.9807640350650615,-0.12231962770772525,0.9848871450955622,-0.09406678332441276,0.5263548362681981,0.987782318669332,0.9884640753832691,0.21976675354435318,0.9054386334051194,-0.11376528315185096,-0.3770397570760993,-0.04405367716399994,0.9815638918471732,-0.2643164130634059,0.17395633598996496,0.7341773581878251,-0.7708519082161865,0.9303726894693396,1.0,-0.12108941087618297,-0.8569659303209037,0.406417413142207,0.9451658500869777,0.9874411484134413,-0.9914046793425092,-0.41431417317249963,0.8123227550208723
Insula_L,0.30287978500045043,-0.03930630113669052,-0.38152058235106867,-0.03707078719365912,0.9434904301262376,-0.10491680472559303,-0.3714132618860406,-0.6554654615411698,-0.008763886078850596,-0.22949701210997675,0.8600737410350991,-0.00991005475273616,0.9159770091513928,-0.37764346686826566,0.9095163219134789,-0.1721351866589407,0.9457007045485002,0.6572663038248306,0.44376066400534847,0.5618692419733442,-0.4292635307624146,-0.12108941087618297,1.0,0.4115283234121009,0.3834312588277359,0.1497840003368978,-0.231889417405689,0.06525431074534266,0.6581043351757142,-0.6467638106612204
Postcentral_L,-0.6814667036631261,-0.661234810632144,-0.9731218833635298,-0.7530057472679867,0.5186050245239543,-0.8489686327884532,-0.3466171762980486,-0.8436659683164511,-0.8054095376274791,-0.9112612210205533,0.23558430427796614,-0.578310026806419,0.5348813520725751,0.475746954139031,0.447951345301736,-0.9304232771988349,0.6227910727351876,-0.22052092176815227,-0.3401689042711448,0.967593682726723,-0.9649788394230417,-0.8569659303209037,0.4115283234121009,1.0,-0.3846068321275221,-0.6929588492217029,-0.9144019269659087,0.8217362074261813,0.36289452140664213,-0.8270515866472501
Vermis_7,0.514960697718139,0.2283128495337385,0.41006672860795035,0.31620868861079654,0.14600805462640856,0.315473100501488,0.4509443376931462,0.38639527609410745,0.3838488252638054,0.3856036212484447,0.2559700113257222,0.2247413386306404,0.11528343428874592,-0.9142174080843626,0.07451359430896365,0.45178803477264273,0.12065979744701681,0.7326102969085135,0.21982567085660612,-0.17174681537074082,0.32226119035047746,0.406417413142207,0.3834312588277359,-0.3846068321275221,1.0,0.35759800079477294,0.35111528963782457,-0.3601543284232634,0.6101447243992659,0.14531017436712107
Hippocampus_R,0.9633436163832901,0.954420732271672,0.7788071392825838,0.9763288089257539,0.17837363880871923,0.960803561353455,-0.3390438981137844,0.24233136875831235,0.9819332084511093,0.9003947800693801,0.4934768770974586,0.920541060972519,0.18520767286514123,-0.340474645366597,0.2677920290049854,0.8998127076483597,0.032684939167578475,0.272317587805626,0.9056929451286809,-0.5978454903060664,0.7777544935555281,0.9451658500869777,0.1497840003368978,-0.6929588492217029,0.35759800079477294,1.0,0.907356503710055,-0.9686041144473386,-0.3446479444376972,0.6054929769887417
Cerebellum_10_R,0.8496771641908124,0.9055284726799178,0.9663119712004147,0.9526393272374607,-0.24536456111933705,0.9834164863183149,-0.016161693463154606,0.6104301192723949,0.9684941283287336,0.9954364729551405,0.09219035332540933,0.8513046036305022,-0.23995560227824067,-0.35573551377661394,-0.15919976987849502,0.9912157768292924,-0.38249974500018985,0.14620863606472922,0.6533175676632877,-0.8566646565764362,0.9676970481481549,0.9874411484134413,-0.231889417405689,-0.9144019269659087,0.35111528963782457,0.907356503710055,1.0,-0.9759544038048268,-0.4676852057044428,0.8493804451995908
Parietal_Sup_L,-0.9135848297915691,-0.9567838622191847,-0.8971215705654407,-0.9887003108879681,0.05065101076929958,-0.9903521090899728,0.18097013057880315,-0.4465099364605738,-0.9952847052303643,-0.9744553895207643,-0.28858810993193573,-0.9166560576268523,0.04317576827198367,0.3451960657352477,-0.037248957856242416,-0.9654788485443668,0.19577733354395646,-0.18207004795691378,-0.7889844310778642,0.7439548709585899,-0.8994290834071157,-0.9914046793425092,0.06525431074534266,0.8217362074261813,-0.3601543284232634,-0.9686041144473386,-0.9759544038048268,1.0,0.43694676005803806,-0.763720012994573
Precuneus_L,-0.12727710363272754,-0.527873045075606,-0.4120980777826355,-0.4653079596931449,0.42352333719985025,-0.46676700344197775,0.3997026638090377,-0.19288333866085164,-0.39563693689750856,-0.45202014083079783,0.23110770665894134,-0.5102914355193802,0.3756112580217659,-0.6212486892098493,0.30641489504706465,-0.35767804393329716,0.5053258500224787,0.7149519330392755,-0.24578847563307146,0.513062294904537,-0.49724631351343923,-0.41431417317249963,0.6581043351757142,0.36289452140664213,0.6101447243992659,-0.3446479444376972,-0.4676852057044428,0.43694676005803806,1.0,-0.6443166297281209
SupraMarginal_R,0.4613207985210071,0.7421094808444764,0.8982448083361408,0.7545144532143305,-0.6058162908303684,0.766283986272328,0.1394523988555606,0.7558251591230983,0.7277661123515459,0.8535929863556424,-0.29947089472863764,0.7177381182667845,-0.5734679915415491,-0.0629175926005766,-0.5480752126550474,0.8102917241262183,-0.7105612574767312,-0.29015818575483615,0.28772020081046473,-0.8237229866815259,0.916547695051748,0.8123227550208723,-0.6467638106612204,-0.8270515866472501,0.14531017436712107,0.6054929769887417,0.8493804451995908,-0.763720012994573,-0.6443166297281209,1.0
