,ACC_sub_R,OFClat_L,Red_N_L,Thal_PuL_R,Supp_Motor_Area_R,Thal_PuA_L,ACC_sup_L,Vermis_4_5,Cerebellum_4_5_L,Lingual_R,Thal_PuM_L,Thal_VL_R,Vermis_7,Thal_LP_L,Paracentral_Lobule_R,Thal_Re_L,Cerebellum_6_R,Temporal_Pole_Sup_L,Temporal_Sup_R,Postcentral_R,ACC_pre_L,Paracentral_Lobule_L,Thal_MGN_R,Cerebellum_Crus2_L,OFCmed_R,Calcarine_R,Frontal_Inf_Orb_2_R,Cerebellum_6_L,Vermis_6,Frontal_Mid_2_L,Thal_IL_R,SN_pc_L,Vermis_1_2,Cingulate_Post_R,Frontal_Inf_Oper_R
ACC_pre_L,0.20474665816015647,0.7204908202847908,0.5234927482834205,0.548692580198367,0.28968866037024077,-0.21285129145019369,0.4443486106624014,0.4233205089483064,0.25987527693187196,-0.5686384856057722,-0.43482688145463705,0.6558543758662545,-0.4828413014633119,0.5050403828246555,0.009436781400228354,-0.12717283008606078,-0.42227501227087605,0.07428749075665432,0.06773995230935324,-0.01694701249762118,1.0,-0.19389622059219802,-0.27719987517373385,-0.4132494698669095,-0.11018501485852983,-0.563477355255048,0.6674060136937927,-0.5252566605895765,-0.5920559841608233,0.5668626346362104,0.3586285550275225,0.5615756245766653,0.45515030341029467,-0.10741563000924426,0.3785806577117906
Paracentral_Lobule_L,-0.06738998520201989,-0.08397736480623759,0.0011358153119796596,-0.4318441532697251,0.35069893900226823,0.14954293305278654,-0.19410284260702415,-0.05875546166958265,-0.3257735028519607,0.1483447994476472,0.2712452022121152,-0.22565652998535374,-0.2543009571628474,-0.2045806681065114,0.8417276209004753,0.33951817872238704,-0.2358547349214689,-0.0282185460085701,-0.3516292526182704,0.729741766098026,-0.19389622059219802,1.0,-0.0133408154564965,-0.36290658370844336,-0.10388212672911865,0.45038654844419407,-0.3506354449528901,0.028316616967714727,-0.11010915902419104,0.07549999398336626,-0.011137675095224809,-0.405990270464391,-0.46451882653403287,0.28206249916961207,-0.36951421834506026
Thal_MGN_R,0.07969605529421984,-0.6432785428292174,-0.43611786633499205,-0.26553915503156256,0.04785863399347101,0.7321734639673683,-0.4179141385430487,-0.34755499348582125,0.1125946322451135,0.7662205669432506,0.7607698188737454,-0.4447475152053182,0.7341658103468754,-0.4112766292947379,-0.35076249579368124,0.10151483549291422,0.7859107129545219,0.2018228460529149,0.4313839077239957,-0.32628092077027454,-0.27719987517373385,-0.0133408154564965,1.0,0.6757326117136278,-0.19176650258039105,0.6678682635437773,-0.40570424853029496,0.7970785193264468,0.638553990079704,-0.03638977608902572,0.23984796422097426,-0.34559550153832647,0.05003949934650563,0.4322045671493835,-0.012794953809184708
Cerebellum_Crus2_L,-0.06343420982393959,-0.5883889391387905,-0.46279707268549986,-0.16885673790165634,-0.15643529373729423,0.5344873348689382,-0.2455877140526789,-0.42762831231744397,0.06772337908782103,0.7416978081680514,0.5163182942500585,-0.40038209047270207,0.8700915236097534,-0.290611392611904,-0.5592249847229688,0.10227790395362786,0.7863436450538455,0.34622639091123936,0.2851051432006712,-0.44617068463271214,-0.4132494698669095,-0.36290658370844336,0.6757326117136278,1.0,0.07197089144208017,0.5165394179391438,-0.41028581329049174,0.8264906072130732,0.7810650995861442,-0.19034468811388577,-0.0059846547511331494,-0.21191189966407473,0.04567534912460024,0.2385024809696935,0.03612411580106276
OFCmed_R,-0.06326973503940138,0.1279652541627567,-0.1158525133241737,0.01722954942291772,-0.029803479869252608,-0.1663009325328167,0.1504240550847495,-0.009838576338940102,-0.08664423606568793,-0.10176360755146037,-0.11986995075748251,-0.036997538121192164,0.021190111982405523,0.08181880108738324,0.006823051882347282,0.35545973500683253,-0.14609186777484473,0.11844438683279267,-0.20817066030939774,0.1734005045172746,-0.11018501485852983,-0.10388212672911865,-0.19176650258039105,0.07197089144208017,1.0,-0.059883981524736764,0.003904173566158456,-0.04653367472134475,0.12341061253443945,-0.004811790230056931,-0.4324585732371872,0.1390479314233035,0.005203336076989453,-0.03562969948916068,-0.01617225962424503
Calcarine_R,-0.106897648464637,-0.7048535374299032,-0.5268871042486,-0.5006428537217541,0.129958343610196,0.706863163542241,-0.5157572340989502,-0.39112156838098194,-0.09437095610755976,0.9098126692572311,0.8503690827292293,-0.6641611312231234,0.5753317828735798,-0.5157631228391059,0.05348264860464355,0.27169546441347703,0.6500066483551721,0.2573291233668559,0.20595803917828784,0.06593822985941838,-0.563477355255048,0.45038654844419407,0.6678682635437773,0.5165394179391438,-0.059883981524736764,1.0,-0.6225088002897302,0.8594773732664935,0.6759161974925124,-0.054344854070061815,-0.06951068717133825,-0.5813867675321832,-0.30478905879234214,0.592766327670237,-0.18439659946781284
Frontal_Inf_Orb_2_R,0.1605013822032116,0.6631293959556687,0.3603452622784586,0.6690176120399797,0.09340362220260595,-0.5503426711946444,0.6041596598189074,0.5661247800802788,0.4513693978149984,-0.5500855547593324,-0.5828033736406458,0.7386973767133737,-0.5719535833881827,0.684984888948899,-0.08196805534718367,-0.4445916742742128,-0.27389364203188676,-0.25210307140335686,0.3219945894963583,-0.22536462901598184,0.6674060136937927,-0.3506354449528901,-0.40570424853029496,-0.41028581329049174,0.003904173566158456,-0.6225088002897302,1.0,-0.5197842332476086,-0.5848574367986852,0.2381940711853584,0.21626771221888275,0.7197683558613498,0.6236891285562383,-0.17981505039126863,0.6494068174314278
Cerebellum_6_L,-0.04370863948722819,-0.7672085341184334,-0.5448589246018739,-0.3466565667023851,-0.008009300139731942,0.7121129883961818,-0.3691438968433986,-0.40051973497775367,0.08012214187251633,0.9671230696035215,0.7912861830051072,-0.5595529120762505,0.7925798381928311,-0.4134752223125137,-0.3000250701138221,0.16002234615655003,0.865885399996636,0.31178976261790864,0.3490249227545346,-0.266701831613806,-0.5252566605895765,0.028316616967714727,0.7970785193264468,0.8264906072130732,-0.04653367472134475,0.8594773732664935,-0.5197842332476086,1.0,0.7892265074863161,-0.18383515187151175,0.014621138496019415,-0.4548153674938734,-0.0813837940939534,0.5161753453603669,-0.01216394996645182
Vermis_6,-0.0699177474539925,-0.5871759999629336,-0.49214107361703263,-0.3675698044451394,-0.013936264003223585,0.6079213479569685,-0.45019629033780134,-0.33754304172254024,0.049733490358132376,0.7563518498237292,0.6199807021951018,-0.5726681019513675,0.8897438072830669,-0.42387997272071654,-0.36445413049580044,0.2546034389151643,0.6797884031323768,0.33019212474525256,0.23936013851518628,-0.19393140602326864,-0.5920559841608233,-0.11010915902419104,0.638553990079704,0.7810650995861442,0.12341061253443945,0.6759161974925124,-0.5848574367986852,0.7892265074863161,1.0,-0.0031621009920654733,-0.07777022414528353,-0.29209548696065357,-0.08781206510690293,0.3662445740445737,-0.08703248503290757
Frontal_Mid_2_L,0.04784708207165063,0.5384289440787938,0.2808014639315491,0.278638092946653,0.6628988897800452,0.2210358622521005,0.08562994521866142,0.38573542296023894,0.2934002372012096,-0.20407064601373956,0.029374713114301666,0.27498338763555485,-0.0897569610450865,0.23158837928998868,0.09255221991936421,0.12347010753813922,-0.26939374071241756,0.38484049884153376,0.1655767356511441,0.2582152333040012,0.5668626346362104,0.07549999398336626,-0.03638977608902572,-0.19034468811388577,-0.004811790230056931,-0.054344854070061815,0.2381940711853584,-0.18383515187151175,-0.0031621009920654733,1.0,0.2851400041763529,0.3746693818467567,0.2745085662421411,0.360050708660858,0.2786600944155435
Thal_IL_R,0.1143670940271747,0.12858266745296618,0.33904190712373317,0.17235756687025863,0.40946330302683015,0.2430186109867418,0.2167508198075516,0.39961284952292525,0.462729094178027,0.017578558195914702,0.06695111520153611,0.3965549240252234,0.004570103448379789,0.2574362585620428,-0.03247895743221749,-0.2313661432666128,0.06357705056240154,0.05850963170674986,0.28061297564691207,-0.09263718260136464,0.3586285550275225,-0.011137675095224809,0.23984796422097426,-0.0059846547511331494,-0.4324585732371872,-0.06951068717133825,0.21626771221888275,0.014621138496019415,-0.07777022414528353,0.2851400041763529,1.0,0.24598055118633855,0.36770581856324275,0.2534223437559167,0.24685157254519524
SN_pc_L,0.1157064296998881,0.7138813643665449,0.3222892627057151,0.6122690793568493,0.20770794155871042,-0.4057753125173339,0.563944496531558,0.606006660907023,0.5149375435338296,-0.5204966729707484,-0.5198929658648869,0.7096597149554407,-0.33871138859336597,0.608740081267808,-0.10617801075783144,-0.2590134584749609,-0.32355413481952483,-0.048351046467360125,0.27482346691136844,-0.11376461041808086,0.5615756245766653,-0.405990270464391,-0.34559550153832647,-0.21191189966407473,0.1390479314233035,-0.5813867675321832,0.7197683558613498,-0.4548153674938734,-0.29209548696065357,0.3746693818467567,0.24598055118633855,1.0,0.6335415080799713,-0.08407413585595025,0.47788574874792944
Vermis_1_2,0.12850771979348383,0.3135905789804012,0.24154976870768283,0.5845674556516975,0.2843185015679876,-0.04791083926505822,0.48563124623567233,0.5637849686534206,0.7571377426334075,-0.1803114751383182,-0.18025569299903663,0.5864429954151176,-0.044802319236301624,0.6113828957876577,-0.37209152878924134,-0.28571866195727136,0.12224933387706194,-0.1309764269788733,0.5084831721031745,-0.38088593504956014,0.45515030341029467,-0.46451882653403287,0.05003949934650563,0.04567534912460024,0.005203336076989453,-0.30478905879234214,0.6236891285562383,-0.0813837940939534,-0.08781206510690293,0.2745085662421411,0.36770581856324275,0.6335415080799713,1.0,0.13527157142191665,0.6004760583941109
Cingulate_Post_R,-0.15846402027709652,-0.2491812458722915,-0.03214139074271279,0.011117278600856928,0.5903358184358559,0.6014392084057275,0.039581830429617396,0.25350008439098043,0.4205562290511546,0.5167602783443206,0.5817148997510194,-0.058943682885610964,0.28207041012474715,0.062305063170824716,0.019333934144538593,0.19725909239785605,0.340127586125926,0.17420623342500496,0.422196012770461,0.13923925270130097,-0.10741563000924426,0.28206249916961207,0.4322045671493835,0.2385024809696935,-0.03562969948916068,0.592766327670237,-0.17981505039126863,0.5161753453603669,0.3662445740445737,0.360050708660858,0.2534223437559167,-0.08407413585595025,0.13527157142191665,1.0,0.3105674544940635
Frontal_Inf_Oper_R,-0.027710643138603528,0.2495391067556484,0.31425438864398747,0.6184344646481756,0.29875438156376105,-0.16556614844980963,0.6091379643713828,0.5539230669605409,0.655632585951213,-0.02226404501632481,-0.2405666167751441,0.6250844845730433,-0.08647605885942554,0.6032568618471497,-0.2833687920334344,-0.2469310771058549,0.16727461616172998,-0.2078679895969713,0.6202471170882357,-0.33327429722173635,0.3785806577117906,-0.36951421834506026,-0.012794953809184708,0.03612411580106276,-0.01617225962424503,-0.18439659946781284,0.6494068174314278,-0.01216394996645182,-0.08703248503290757,0.2786600944155435,0.24685157254519524,0.47788574874792944,0.6004760583941109,0.3105674544940635,1.0
