,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R
Vermis_8,-0.020763252294089603,0.24009749563275418,-0.4066209689736066,-0.4075849670215821,0.3045018503996993,0.32353117902983913,-0.6734097272896993,0.12704104423400062,-0.4671472341028799,0.26336667950161124,1.0,0.09082522948292714,0.31146092239307566,0.2879085106082625,-0.7445618266153821,0.4255625036601132,0.26266444117833315,0.5244047749299222,-0.16864692571720444,-0.044426426265610316,-0.688690999340901,-0.44601050794726865,0.4081297780563534,0.09480977862602763,0.6626507586292574,0.5719213563526688,0.12345197490962762,0.3127757539432669,0.20505383703672797,-0.14330227929680964,-0.4128265302226998,0.45661161706507397,-0.663574549935265,0.5590050401119466,0.21290420156296017,-0.5644589626589116,-0.6264090054608161,0.18076177271402158,0.6649563186179747,0.2008169309975013
Thal_AV_L,0.15666772953793917,0.28239285875859027,-0.2778843595202972,0.27580940791740705,0.18610820888236254,0.39503072446012266,-0.011639097912438355,0.158746535747113,0.09565280715773532,0.4667192359958518,0.09082522948292714,1.0,0.4404182606895864,0.422635307535073,0.00928314284866365,0.35429750116932224,0.36481287019605996,0.2730099678159599,0.5423561876020722,0.4358734459764861,-0.07749532031145255,0.065652516688241,0.4636422637943497,0.6057113976202091,0.19732728463405702,0.4343652443432983,0.20437407328900495,0.4359086707003099,0.5508548719231142,0.4920408327420935,-0.0696670326265412,0.09931929046132759,0.044773242980337746,0.3160057000948475,0.5684283511810773,0.08831048925144674,0.010130948703120701,0.6580218988210753,0.20643682338429242,0.5259319417012097
Thal_MGN_L,0.3037720705778864,0.6275452203078032,-0.20155478777211316,0.042814565977820504,0.19846082963405295,0.6677517210695412,-0.1949512793467678,0.19357628828741077,0.15598116012292632,0.2993762153750324,0.31146092239307566,0.4404182606895864,1.0,0.5938464084451957,-0.16576810855137658,0.4019410871599969,0.385522614552378,0.4334371880543903,0.42455132490046116,0.6506462393221728,-0.3277387583419163,-0.054029866658932946,0.5332812213255779,0.7059817196506005,0.4878014441285714,0.5960566798684284,0.20144576478737453,0.5088653504974701,0.6198436731738638,0.4328171031326811,-0.09858851944555283,0.3949710181772336,-0.16198946218244284,0.36933791330805277,0.5970550762778526,0.0222312835440479,-0.07566218240419893,0.4780770570040854,0.3723515053295534,0.6159328796053133
Paracentral_Lobule_R,0.17068694545536034,0.6150479012395527,-0.46562116420377403,0.13659552833783303,0.3887055071461859,0.655108877204214,-0.3043596709911618,0.26645548633245597,0.017153772733598287,0.516066016185868,0.2879085106082625,0.422635307535073,0.5938464084451957,1.0,-0.3775392566448065,0.6108483940587143,0.648241900343123,0.6175211276578059,0.39167098942396245,0.6986204369637227,-0.55043222882657,-0.29786409137508324,0.6598275242324343,0.7911043480740655,0.5505810156584017,0.7586334312519489,0.39940826261564916,0.6974744984064387,0.8711468746996194,0.5201071269805547,-0.45759651214193175,0.6073561808440676,-0.275411765059162,0.6563576493107612,0.7568590570053667,-0.22689238771761847,-0.3962796851333158,0.21816709352257665,0.6401226254642114,0.7045227481814607
Vermis_9,0.2926725369690547,-0.16930006143064708,0.5437597970295128,0.5194175533289141,-0.34039133515933284,-0.3117125655544369,0.8045777533382458,-0.20112467041795806,0.48321830816889316,-0.13253976838444276,-0.7445618266153821,0.00928314284866365,-0.16576810855137658,-0.3775392566448065,1.0,-0.34512183540458913,-0.20409613780233737,-0.47679066106817364,0.37277024589637514,-0.008427497121842868,0.7537899908803417,0.5959805340209353,-0.3510014775264011,-0.015684444309916945,-0.7697812547190869,-0.5108453097847573,-0.25344781270376165,-0.23744273990076473,-0.17133794456511955,0.20802260829393446,0.592807058486903,-0.5254533352277727,0.7832543460489252,-0.5008263752678753,-0.15156131777472712,0.7444784672996808,0.8235821184977058,0.07851057047331102,-0.671608594878435,-0.13307468102601094
Amygdala_R,0.10144944255018505,0.538618630343685,-0.48056867000116704,0.24031156736327255,0.45279492396097165,0.6262263259068125,-0.4567763531073002,0.1224718213270586,-0.1350031789760531,0.6889702531288837,0.4255625036601132,0.35429750116932224,0.4019410871599969,0.6108483940587143,-0.34512183540458913,1.0,0.6681078622309155,0.9020686930014297,0.35967123479559926,0.3939820158626147,-0.6155893390457772,-0.34498024005972616,0.7793597904214049,0.34979722471433666,0.48040646347608,0.8706468543550626,0.15565727555771505,0.2874501827973136,0.5464787157384973,0.20263580326911454,-0.3893839473377586,0.7501115341448017,-0.5244925805427302,0.9171672039513314,0.7994205061754511,-0.389281996993405,-0.4478719837917572,0.3970259490017595,0.8588535402167029,0.8071751723610535
Temporal_Sup_L,0.4531469167596638,0.6872978921713129,-0.4001283111177044,0.20942150274462037,0.42667724035319915,0.4867378068122432,-0.14405661782477308,0.18666182481253407,-0.24713420647152776,0.7736710741801204,0.26266444117833315,0.36481287019605996,0.385522614552378,0.648241900343123,-0.20409613780233737,0.6681078622309155,1.0,0.629018361975722,0.5659517572294526,0.5576571535981726,-0.37909530232484273,-0.39328812756832976,0.8279747756811738,0.4873976768522872,0.29387255273743335,0.6999854592190523,0.1414444304116713,0.2850131803321358,0.555148469355374,0.27740170195761776,-0.3651367387871304,0.5512258598522348,-0.30126737263666514,0.7851732204704108,0.8085311128579743,-0.1572944723097507,-0.3307946005165005,0.21595331562688108,0.7056164509851727,0.7383739638987633
ACC_sup_R,0.04011466350526482,0.5540987954061628,-0.5211949407249572,0.09804145570075315,0.4789184058733424,0.6439748374280639,-0.5729152386453402,0.1345533646824501,-0.21293448968367523,0.581848952147979,0.5244047749299222,0.2730099678159599,0.4334371880543903,0.6175211276578059,-0.47679066106817364,0.9020686930014297,0.629018361975722,1.0,0.2587958029094007,0.4054973347181533,-0.7364015986206454,-0.4128129984386694,0.7584713491773354,0.32353244940724146,0.5899138033061863,0.8559668989603475,0.18670644730449137,0.2902167613827077,0.48324610169287424,0.1161624947685157,-0.4223207291230156,0.8307230098085978,-0.6504224451439329,0.8897350789218882,0.7498754668167323,-0.4851009128449271,-0.5850068066734179,0.293714284962382,0.8801626183097954,0.7762813403921555
Thal_MDm_L,0.4749755518606706,0.5387503298392733,0.08094161413852949,0.6940444716837341,-0.054152462379867504,0.40541948442539766,0.456858096566776,-0.08281980240352564,0.36634672644430655,0.5861688233845997,-0.16864692571720444,0.5423561876020722,0.42455132490046116,0.39167098942396245,0.37277024589637514,0.35967123479559926,0.5659517572294526,0.2587958029094007,1.0,0.6097894145941549,0.21404186131984587,0.0864799005052026,0.4302840148471985,0.5642965178067931,-0.18587775263635672,0.3738157333576601,0.09109741748564675,0.17921231566776136,0.4549061917438728,0.5305615502714617,0.2644363432300237,0.15592661994847093,0.31515461880119305,0.32490667605638035,0.6834114604808303,0.45839198529818803,0.31751012176760746,0.41910933876454465,0.10229010414982727,0.6044366152391463
Precentral_L,0.26102940248373946,0.6797332572070778,-0.16495852924850055,0.3885962713103132,0.12203550282731701,0.662270689634304,0.05900335411121514,0.08063679587943161,0.24691241427013447,0.393401811607267,-0.044426426265610316,0.4358734459764861,0.6506462393221728,0.6986204369637227,-0.008427497121842868,0.3939820158626147,0.5576571535981726,0.4054973347181533,0.6097894145941549,1.0,-0.14961808082275962,-0.05047576620291276,0.5603990182693975,0.7544198000238216,0.27205301656400727,0.5153623291281314,0.3223607830578151,0.27742411469283823,0.6037148348665422,0.3705266425138326,0.023678687520902405,0.5069112221631309,-0.06464392707365013,0.3443893709622675,0.7491794041252093,0.03370226569522835,0.0205975120908255,0.22893391984489933,0.3135101701678072,0.7511665772303049
