,Cerebellum_3_L,Cerebellum_Crus1_R,Thal_PuA_L,Supp_Motor_Area_R,Thal_MGN_R,Thal_PuM_L,Thal_LP_R,Frontal_Sup_2_L,Precentral_R,Thal_AV_R,Cingulate_Mid_R,Cerebellum_6_L,LC_R,Thal_MDl_R,OFClat_L,Thal_PuI_L,Occipital_Sup_R,N_Acc_R,Thal_VA_L,Frontal_Sup_Medial_R
Cingulate_Mid_R,0.08768917620131825,-0.24776044073221862,0.8249102111365771,0.918790523901893,0.6851511498672194,0.8125484873262357,0.26944169739313295,0.8341728422364411,0.9012839726596638,0.41005851856163994,1.0,-0.21793562134478422,-0.441045643504747,0.68831851394201,0.276111009444566,0.7109001762346313,-0.30367835085741857,0.5653871741073496,0.7493853563153722,0.699656117260544
Cerebellum_6_L,0.7688084669978894,0.7857057922905487,-0.41614603175330167,-0.26609388278611384,-0.1500854714779244,-0.18378393935663276,-0.15840101502057105,-0.4883688550522356,-0.1392159358303062,-0.09014634927641094,-0.21793562134478422,1.0,0.8381547297429102,-0.1658696613795391,-0.3893974205823393,-0.35110625228944387,0.784211936447584,-0.49941609214437466,-0.1901579683893966,-0.5738047951211043
LC_R,0.7213780119561942,0.8301771564424525,-0.6246323585916204,-0.46108182353922494,-0.27912473476683763,-0.4100920112068404,-0.24266637477496472,-0.6540807295263217,-0.35357960477961353,-0.09645851495165446,-0.441045643504747,0.8381547297429102,1.0,-0.33080311046649763,-0.5341316987225135,-0.565740880468289,0.8507007695376471,-0.7004786840693937,-0.48115334192754744,-0.7274626524420735
Thal_MDl_R,-0.027427718497796922,-0.18084561466875948,0.5807002091649527,0.7021162454022546,0.5300195064325787,0.7102707552047475,0.2031923382174927,0.6749473815089629,0.7545287800229168,0.23260360002735117,0.68831851394201,-0.1658696613795391,-0.33080311046649763,1.0,0.2646688171077121,0.657834117606624,-0.24341348722237882,0.388937031328859,0.5969741513012882,0.6555121845050504
OFClat_L,-0.4665083775886256,-0.4439513819709859,0.42512000628446545,0.37362719757070867,0.2235791344845075,0.2430048062171159,0.15820428099766876,0.5760904654103511,0.3251530547874058,0.17343315708117335,0.276111009444566,-0.3893974205823393,-0.5341316987225135,0.2646688171077121,1.0,0.28364003841486474,-0.4209151501910611,0.4442108232870539,0.3924495685745837,0.630533740910316
Thal_PuI_L,-0.19623460376952467,-0.4517006669587579,0.8199935647656555,0.7646331142412462,0.5472195050291094,0.9027583559761116,0.06207878137951951,0.7262282645560323,0.6793013104385381,-0.012006759460458634,0.7109001762346313,-0.35110625228944387,-0.565740880468289,0.657834117606624,0.28364003841486474,1.0,-0.5257738849393264,0.6460512942240442,0.6351395788704693,0.6647181187863208
Occipital_Sup_R,0.7194629605948103,0.8408435240500827,-0.5401778245907066,-0.3643077520394995,-0.38123030883865694,-0.3102779474400988,0.006447806325507348,-0.5549659677650384,-0.18851966431658487,0.026842918149418898,-0.30367835085741857,0.784211936447584,0.8507007695376471,-0.24341348722237882,-0.4209151501910611,-0.5257738849393264,1.0,-0.6316863998725155,-0.3468555397358341,-0.627881714004165
N_Acc_R,-0.3605499363646502,-0.6484627381060308,0.6767839931966492,0.6012315031486125,0.4914258462937817,0.5112401188997603,0.3048006087515186,0.6938847868496426,0.5210444670129736,0.0967621040440835,0.5653871741073496,-0.49941609214437466,-0.7004786840693937,0.388937031328859,0.4442108232870539,0.6460512942240442,-0.6316863998725155,1.0,0.6451427602681492,0.6130567973105677
Thal_VA_L,-0.0914143935260779,-0.3400577331749978,0.7227060562523134,0.7102764381056225,0.5874578420139919,0.6571099774354134,0.3972328438028241,0.6980487650468177,0.704146418565254,0.39108077124380397,0.7493853563153722,-0.1901579683893966,-0.48115334192754744,0.5969741513012882,0.3924495685745837,0.6351395788704693,-0.3468555397358341,0.6451427602681492,1.0,0.6067939454928951
Frontal_Sup_Medial_R,-0.40050253813557996,-0.5084741640220487,0.7398019458552676,0.7712628251536532,0.5289105180039428,0.6419718002652967,0.1645683118138792,0.91879646497277,0.7141279114498387,0.3051120905479858,0.699656117260544,-0.5738047951211043,-0.7274626524420735,0.6555121845050504,0.630533740910316,0.6647181187863208,-0.627881714004165,0.6130567973105677,0.6067939454928951,1.0
