,Precuneus_R,Cerebellum_9_L,Frontal_Sup_2_L,Occipital_Sup_R,Cerebellum_7b_L,Putamen_L,Hippocampus_R,Parietal_Sup_R,Temporal_Sup_L,N_Acc_L,Occipital_Mid_L,Rectus_R,Temporal_Mid_L,Thal_LP_L,Cerebellum_7b_R,Cerebellum_8_R,ACC_pre_L,Vermis_3,Caudate_R,Rolandic_Oper_R
Occipital_Mid_L,0.45576627410245835,-0.24635213707052336,-0.014381417158924346,0.7001780099253897,0.0676982194787395,-0.21277368843938788,-0.33947173440157535,0.4435364691908757,0.08363449933200967,-0.10132640445165332,1.0,-0.10657147768688721,0.5273364130184507,0.09126052185513608,0.27614739628166146,0.042634595685773866,-0.41193800477427495,-0.0518325150343152,-0.43216856584338625,0.20587710926864886
Rectus_R,0.05224615050686691,0.030023535671828343,0.108551371857243,0.0998558423328089,-0.10512292542613529,0.18430274214024991,0.16012843296195273,0.13096797602777843,0.22331997817927324,-0.0402522178646044,-0.10657147768688721,1.0,0.053353934887782097,-0.0210819541263924,-0.07667582474120017,0.11544036930134739,0.11999499656177952,0.11957777733325999,0.14030018007729386,0.09383474288076525
Temporal_Mid_L,0.4332689286973963,-0.2569508060794161,0.3426477652576846,0.3279546172936425,-0.06199333533650212,0.2746580748808687,0.092273514201209,0.2952529769613489,0.5892660791478411,0.2001934519323764,0.5273364130184507,0.053353934887782097,1.0,0.051170924844117366,0.23501065504491986,-0.04665945660155046,0.10896030782544626,0.40855296682362596,0.009703672278647558,0.42815302282023815
Thal_LP_L,-0.16788372679667232,-0.20431647128433778,-0.04353130682159671,-0.12782632882171385,0.056993790596886224,0.09704947481953764,-0.2771255992535885,-0.11749251960125405,-0.10975939488798894,-0.04652409535257216,0.09126052185513608,-0.0210819541263924,0.051170924844117366,1.0,0.011751913778367824,-0.07506683109059337,-0.44897044225939864,-0.1355233001227631,-0.06695558252941754,0.20378288875594588
Cerebellum_7b_R,0.10604457524867707,-0.23905608754433905,-0.1794606900159283,0.033971639765368655,0.0719489068680087,-0.17254196736937336,-0.2648341580947428,0.24942102004304567,0.03679437139918865,-0.08138874239892742,0.27614739628166146,-0.07667582474120017,0.23501065504491986,0.011751913778367824,1.0,0.12875597047615592,-0.2771064743729015,0.0032896066690871768,-0.29302651835077864,0.1899549843713827
Cerebellum_8_R,0.23432436223000233,0.36057936760572046,0.33242310942737424,0.30986199324188846,0.4153041086467057,-0.1082660102671238,0.07560507684477091,0.47161264591977975,-0.0449608427896802,-0.15611866812821576,0.042634595685773866,0.11544036930134739,-0.04665945660155046,-0.07506683109059337,0.12875597047615592,1.0,-0.08941630977251959,0.08031719771937731,0.16865883815109495,-0.1757315672840215
ACC_pre_L,0.07508769595952176,0.28717553693229814,0.33617587939109256,-0.19666349253253798,-0.14619129925055768,0.46123120483809316,0.5479321062894195,-0.17663915419361872,0.3553832036433997,0.3022967769832923,-0.41193800477427495,0.11999499656177952,0.10896030782544626,-0.44897044225939864,-0.2771064743729015,-0.08941630977251959,1.0,0.4039708279300215,0.5027461905490039,-0.038738779223747265
Vermis_3,0.6039254010379805,0.38154575108359,0.6462429376632758,0.15568629876522244,0.06647930048091588,0.6364570413265583,0.8017905019517787,0.13091921420469427,0.717056477533731,0.2864145589957043,-0.0518325150343152,0.11957777733325999,0.40855296682362596,-0.1355233001227631,0.0032896066690871768,0.08031719771937731,0.4039708279300215,1.0,0.6446456028799629,0.2913714280902769
Caudate_R,0.2086147000649161,0.5777801199579577,0.6243693827826649,-0.13492677911222792,0.16678356298882016,0.6872850060595794,0.7969272394298498,-0.09168139816976727,0.45638129913888376,0.20825328217373507,-0.43216856584338625,0.14030018007729386,0.009703672278647558,-0.06695558252941754,-0.29302651835077864,0.16865883815109495,0.5027461905490039,0.6446456028799629,1.0,0.010504317050470637
Rolandic_Oper_R,0.24115440921812978,-0.38305013223462436,0.11700644865530031,0.025993210626382005,-0.11544561756131308,0.24751424094677676,-0.0016802840980569944,0.2820626014789587,0.19624297468421548,0.44547283208738847,0.20587710926864886,0.09383474288076525,0.42815302282023815,0.20378288875594588,0.1899549843713827,-0.1757315672840215,-0.038738779223747265,0.2913714280902769,0.010504317050470637,1.0
