,Frontal_Inf_Orb_2_L,Frontal_Med_Orb_R,Insula_L,Cerebellum_3_L,Hippocampus_R,Frontal_Inf_Tri_L,Thal_Re_L,OFCpost_R,Parietal_Sup_L,Temporal_Pole_Mid_L,N_Acc_L,Thal_PuA_L,OFCant_L,Thal_MDm_L,Temporal_Mid_R,Frontal_Sup_Medial_L,Thal_PuI_L,Frontal_Sup_2_L,Cerebellum_3_R,Precentral_R,Cuneus_L,Vermis_3,Precuneus_R,Thal_LGN_R,Angular_R
N_Acc_L,0.297461937824381,0.6785860369156868,0.19327210661588917,0.167466719224541,0.40815943992673626,0.26991653507473967,-0.1849041086468423,0.4630030308569912,0.11306994349067226,0.6003142761820917,1.0,0.2981525774182106,0.2432336085394389,0.4389801358883109,0.14407740003480665,0.38962898940247487,0.24531054037303335,0.33263449621205676,0.4140616319850123,-0.008295455985862054,0.2432898635487088,0.44254988912655446,0.1856871282590942,0.07968688596195883,-0.05416738900129148
Thal_PuA_L,0.3607314650554877,0.4853666995134748,0.40404900034354074,0.33971202828904357,0.2361300729347391,0.589618291746864,-0.014543047813463196,0.29136760375489035,0.18821944774982827,0.37043627153493625,0.2981525774182106,1.0,0.3987287174304182,0.36021763305732063,0.25363565990162185,0.5350736285966209,0.3006560128965462,0.5805953560679049,0.37799758380535364,0.09858987926192196,0.3829170151109999,0.37184979220270165,0.42704365342974465,-0.35056474200691085,0.09804356435918458
OFCant_L,0.6888714522724044,0.5285810649881094,0.6016861205569523,0.30458292167362194,0.4870360674145239,0.6362893814708159,0.3553412001436657,0.5211857561047728,0.4035563812569217,0.4359545295081994,0.2432336085394389,0.3987287174304182,1.0,0.30257409507217775,0.6240328510893759,0.5465203429064436,0.333407085022628,0.4892143277121023,0.3414232873790333,0.18720165477827078,0.48006191520665353,0.3302488088051843,0.3939384594373061,0.16172529190549817,0.24224008913565648
Thal_MDm_L,0.3817876596756634,0.5451719945794092,0.4342552772291553,0.5076297794524527,0.5568217304649341,0.3380254775190876,-0.017109830097627024,0.5590845375313618,-0.09069587125507365,0.49120847516525834,0.4389801358883109,0.36021763305732063,0.30257409507217775,1.0,0.32412179535557506,0.404525566317039,0.20526652038289542,0.47044504812633425,0.5333071051046371,0.06041037085447608,0.45643973193134457,0.4815299209655382,0.40982157989774914,0.017672940175385357,-0.2852382230070455
Temporal_Mid_R,0.5465667423147342,0.4531089067612926,0.6510700188061842,0.4205467947613654,0.49239882695831655,0.4383676401466788,0.2652868183586048,0.5018695491667418,0.15108228067627494,0.4333711061790944,0.14407740003480665,0.25363565990162185,0.6240328510893759,0.32412179535557506,1.0,0.5303882898346409,0.12036699530060699,0.40534174392279765,0.4447226422929637,0.4555146839310093,0.5372759979210341,0.3923825712130255,0.6797396326205566,0.23535975624632885,0.1367607220916557
Frontal_Sup_Medial_L,0.6403441946895726,0.5852181333402815,0.5377033097277989,0.5293042764286595,0.4097335237005006,0.8434878040989248,-0.09499339778403472,0.30492867227350684,0.15117169098166355,0.615901115529827,0.38962898940247487,0.5350736285966209,0.5465203429064436,0.404525566317039,0.5303882898346409,1.0,0.22408710641908602,0.8809561707511334,0.6170665603604181,0.34207642140172956,0.4928916549062719,0.7566541745778594,0.6360811966348935,-0.06489280174828574,-0.1752568172063495
Thal_PuI_L,0.13640857600322823,0.38092354230716263,0.09763300176080345,0.20472548000457824,0.27947923888598647,0.2765641024887168,-0.018628155540273757,0.1745396310709578,0.3159124846009879,0.23367881200408738,0.24531054037303335,0.3006560128965462,0.333407085022628,0.20526652038289542,0.12036699530060699,0.22408710641908602,1.0,0.2519387026279978,0.2372551094559496,-0.1958747069566541,0.11725736041387973,0.2564207280604035,0.1168216981207547,-0.0760344982739423,0.10273258511272836
Frontal_Sup_2_L,0.5826632907955634,0.5193140586886281,0.5037519774169991,0.5348191079795033,0.39991187515093224,0.8088874735060938,-0.20052925476569325,0.31207184205419525,0.12706968973115398,0.49110024787502676,0.33263449621205676,0.5805953560679049,0.4892143277121023,0.47044504812633425,0.40534174392279765,0.8809561707511334,0.2519387026279978,1.0,0.5726640002586002,0.16313617503100677,0.5321496594734209,0.644924583430392,0.658473468544364,-0.17910804781698048,-0.25903758907562563
Cerebellum_3_R,0.3140346864879911,0.5268360490076556,0.3161981000256742,0.7663744507029812,0.4893076110500237,0.4582274063362783,-0.04986732816824228,0.29564433730153916,0.02420395875156884,0.5526802945190002,0.4140616319850123,0.37799758380535364,0.3414232873790333,0.5333071051046371,0.4447226422929637,0.6170665603604181,0.2372551094559496,0.5726640002586002,1.0,0.1023465133210831,0.302999833133189,0.8174177366906046,0.44189000549018165,-0.002742911158679618,-0.20809749572912972
Precentral_R,0.43038143315504196,0.10009466377741573,0.6050102650275244,0.01613612460562944,-0.12596649657560066,0.2752035561651953,0.03140226761078346,0.2464741818988609,-0.0443042248131421,0.43615682581289916,-0.008295455985862054,0.09858987926192196,0.18720165477827078,0.06041037085447608,0.4555146839310093,0.34207642140172956,-0.1958747069566541,0.16313617503100677,0.1023465133210831,1.0,0.3313711611636175,0.0645421370506323,0.4986915736136061,0.04147349400894359,-0.06340782669981386
Cuneus_L,0.44192222857558466,0.39128230794728763,0.5394417801888016,0.3800144113673825,0.2728114871939994,0.47037237639296764,0.11251960952031263,0.4111988773590551,0.17606988307302388,0.39775800757539787,0.2432898635487088,0.3829170151109999,0.48006191520665353,0.45643973193134457,0.5372759979210341,0.4928916549062719,0.11725736041387973,0.5321496594734209,0.302999833133189,0.3313711611636175,1.0,0.34577778330795983,0.8115142135687239,0.0009921250449766103,0.1018834521901598
Vermis_3,0.2759976660790759,0.5736203745330223,0.2154631560660266,0.6866866316719169,0.4380310049205559,0.5204293348161241,-0.1210210120060068,0.20069532405556154,0.03386016248989079,0.5210182870027885,0.44254988912655446,0.37184979220270165,0.3302488088051843,0.4815299209655382,0.3923825712130255,0.7566541745778594,0.2564207280604035,0.644924583430392,0.8174177366906046,0.0645421370506323,0.34577778330795983,1.0,0.4701308584739212,0.035846161355964225,-0.19179928112957093
Precuneus_R,0.4171456072291385,0.40687145271145403,0.5548375544445422,0.4701334521954578,0.25401134982803547,0.5352853061582628,-0.09374351920316305,0.33676870323845853,0.12467305721986968,0.43213359647156213,0.1856871282590942,0.42704365342974465,0.3939384594373061,0.40982157989774914,0.6797396326205566,0.6360811966348935,0.1168216981207547,0.658473468544364,0.44189000549018165,0.4986915736136061,0.8115142135687239,0.4701308584739212,1.0,-0.09068556706228242,0.01171069432399855
Thal_LGN_R,0.13749921604747864,0.04215963658149793,0.025432182845520915,0.07864146395073614,0.32799954120345104,-0.21810598094728578,0.4255908243720837,0.23832752026451978,0.013060736762605248,0.06867481248222422,0.07968688596195883,-0.35056474200691085,0.16172529190549817,0.017672940175385357,0.23535975624632885,-0.06489280174828574,-0.0760344982739423,-0.17910804781698048,-0.002742911158679618,0.04147349400894359,0.0009921250449766103,0.035846161355964225,-0.09068556706228242,1.0,0.1426921477891063
Angular_R,-0.09217925155872274,-0.052317241828846756,-0.05487982145363224,-0.16147151684460395,-0.07674915732705216,-0.06464134133815536,0.29385991240534093,-0.02339338471676862,0.48844823748676996,-0.2157375140997848,-0.05416738900129148,0.09804356435918458,0.24224008913565648,-0.2852382230070455,0.1367607220916557,-0.1752568172063495,0.10273258511272836,-0.25903758907562563,-0.20809749572912972,-0.06340782669981386,0.1018834521901598,-0.19179928112957093,0.01171069432399855,0.1426921477891063,1.0
